Date,Open,High,Low,Close,Volume
2015-10-01,10830,10830,10760,10760,30032
2015-10-02,10800,10825,10800,10810,60029
2015-10-05,10930,10940,10880,10900,40976
2015-10-06,10920,10950,10840,10840,40252
2015-10-07,10760,10760,10600,10600,20248
2015-10-08,10660,10680,10430,10500,40068
2015-10-12,10500,10500,10470,10475,40071
2015-10-13,10520,10520,10420,10420,20026
2015-10-14,10415,10450,10370,10370,22141
2015-10-15,10425,10455,10355,10455,243515
2015-10-16,10560,10635,10555,10610,301757
2015-10-19,10640,10645,10590,10600,293816
2015-10-20,10635,10750,10590,10750,285721
2015-10-21,10765,10775,10635,10660,305202
2015-10-22,10600,10605,10465,10485,255949
2015-10-23,10560,10595,10525,10595,234848
2015-10-26,10645,10750,10625,10750,254135
2015-10-27,10785,10805,10655,10655,249757
2015-10-28,10700,10860,10640,10855,239769
2015-10-29,10885,10895,10785,10810,249038
2015-10-30,10820,10820,10640,10645,231953
2015-11-02,10685,10710,10610,10610,226952
2015-11-03,10700,10745,10600,10685,222643
2015-11-04,10705,10735,10650,10735,222544
2015-11-05,10780,10900,10780,10900,293936
2015-11-06,11000,11010,10920,10950,196942
2015-11-09,10995,10995,10605,10625,312418
2015-11-10,10515,10590,10260,10360,368001
2015-11-11,10325,10565,10320,10565,319402
2015-11-12,10605,10730,10605,10680,335240
2015-11-13,10585,10675,10520,10655,368605
2015-11-16,10440,10605,10440,10515,323207
2015-11-17,10685,10710,10635,10700,306449
2015-11-18,10780,10810,10725,10750,315926
2015-11-19,10820,10920,10780,10870,305928
2015-11-20,10895,10935,10865,10935,2243
2015-11-23,10960,11035,10930,10950,396349
2015-11-24,10980,11015,10935,10970,383702
2015-11-25,11000,11020,10935,10965,354343
2015-11-26,11040,11080,10970,11070,377678
2015-11-27,11060,11120,11010,11015,447458
2015-11-30,11075,11075,10905,10980,329716
2015-12-01,11010,11080,10960,11060,346495
2015-12-02,11155,11180,11045,11045,404124
2015-12-03,11050,11100,10965,11100,320682
2015-12-04,10955,11015,10950,10995,349083
2015-12-07,11080,11090,10880,10880,307686
2015-12-08,10835,10890,10600,10655,407333
2015-12-09,10620,10625,10580,10585,303776
2015-12-10,10555,10600,10370,10465,417682
2015-12-11,10485,10490,10260,10300,316150
2015-12-14,10110,10110,9920,9925,348085
2015-12-15,10020,10130,9980,10130,325183
2015-12-16,10225,10285,10200,10220,371288
2015-12-17,10300,10360,10185,10360,406445
2015-12-18,10305,10590,10240,10590,690657
2015-12-21,10530,10615,10525,10570,742594
2015-12-22,10565,10565,10435,10495,491735
2015-12-23,10535,10535,10425,10430,499728
2015-12-24,10415,10430,10300,10300,441201
2015-12-28,10295,10460,10255,10460,410980
2015-12-29,10395,10815,10395,10815,491384
2015-12-30,10870,11015,10825,11015,395520
2016-01-04,11040,11130,10810,10940,619538
2016-01-05,10775,11050,10725,11050,882234
2016-01-06,11065,11150,10910,11150,545702
2016-01-07,11080,11200,10915,11025,853205
2016-01-08,10800,11120,10750,11050,3667733
2016-01-11,11045,11200,10920,10960,364475
2016-01-12,10990,11070,10890,10905,368017
2016-01-13,11025,11150,10970,11140,2358320
2016-01-14,11000,11135,10920,11125,525499
2016-01-15,11285,11285,10970,11030,507937
2016-01-18,10955,11220,10940,11220,473409
2016-01-19,11245,11290,11130,11255,427540
2016-01-20,11280,11355,11000,11155,339438
2016-01-21,11150,11210,10985,11090,356769
2016-01-22,11180,11225,10980,11125,322920
2016-01-25,11235,11330,11200,11305,530587
2016-01-26,11260,11345,11260,11315,359725
2016-01-27,11375,11375,11110,11155,391438
2016-01-28,11145,11265,11085,11235,356251
2016-01-29,11275,11280,11135,11280,416093
2016-02-01,11375,11405,11300,11400,283150
2016-02-02,11415,11425,11360,11395,439150
2016-02-03,11330,11380,11270,11375,445326
