Date,Open,High,Low,Close,Volume
2016-12-27,9976,10010,9946,9991,577279
2016-12-28,10010,10045,9991,10045,412679
2016-12-29,10095,10095,10010,10030,434759
2017-01-02,10045,10045,9995,10040,493968
2017-01-03,10040,10090,9921,9961,500794
2017-01-04,10000,10040,9991,9991,434862
2017-01-05,9827,9827,9678,9678,454018
2017-01-06,9638,9782,9638,9782,436613
2017-01-09,9911,10030,9911,10030,469222
2017-01-10,9876,9946,9802,9812,481499
2017-01-11,9886,9906,9767,9827,434628
2017-01-12,9638,9643,9579,9623,444466
2017-01-13,9524,9569,9480,9494,508688
2017-01-16,9529,9589,9529,9589,420672
2017-01-17,9628,9683,9465,9485,472305
2017-01-18,9326,9365,9291,9356,444434
2017-01-19,9549,9549,9465,9504,532062
2017-01-20,9475,9514,9370,9370,474288
2017-01-23,9405,9405,9306,9331,464150
2017-01-24,9276,9331,9261,9326,452995
2017-01-25,9356,9365,9311,9341,484043
2017-01-26,9266,9266,9172,9222,486199
2017-01-31,9336,9390,9256,9271,420238
2017-02-01,9117,9217,9117,9217,455705
2017-02-02,9127,9132,9003,9048,428174
2017-02-03,9013,9053,8983,9038,383946
2017-02-06,8929,8929,8859,8874,262609
2017-02-07,8869,8998,8869,8993,265120
2017-02-08,9008,9048,8964,9018,254668
2017-02-09,9013,9048,8979,9008,237204
2017-02-10,9117,9137,9063,9073,250362
2017-02-13,9107,9137,9053,9112,243633
2017-02-14,9068,9083,8884,8889,293188
2017-02-15,8934,8993,8894,8939,316253
2017-02-16,8835,8969,8825,8954,334549
2017-02-17,8979,9028,8959,9008,311232
2017-02-20,9078,9078,9008,9043,207920
2017-02-21,8993,9053,8993,9028,214422
2017-02-22,8969,8969,8909,8959,238639
2017-02-23,8929,8949,8864,8894,257907
2017-02-24,8810,8840,8745,8790,297186
2017-02-27,8810,8835,8775,8825,269812
2017-02-28,8830,8850,8770,8785,237398
2017-03-02,8974,8993,8924,8949,361453
2017-03-03,9053,9172,9048,9172,312921
2017-03-06,9142,9222,9142,9212,293492
2017-03-07,9172,9202,9028,9038,278460
2017-03-08,9078,9093,8983,9028,293739
2017-03-09,9142,9222,9132,9212,267522
2017-03-10,9251,9266,9157,9197,545214
2017-03-13,9073,9107,9008,9008,273327
2017-03-14,9068,9083,9018,9073,242574
2017-03-15,9063,9083,8983,8988,286236
2017-03-16,8760,8830,8760,8810,357866
2017-03-17,8785,8820,8760,8805,280171
2017-03-20,8765,8790,8616,8626,592864
2017-03-21,8547,8621,8532,8606,300617
2017-03-22,8666,8711,8626,8671,312273
2017-03-23,8587,8656,8577,8651,339789
2017-03-24,8631,8691,8626,8656,329735
2017-03-27,8522,8547,8512,8512,389729
2017-03-28,8487,8532,8477,8502,381946
2017-03-29,8552,8557,8507,8537,324019
2017-03-30,8507,8611,8492,8582,310007
2017-03-31,8611,8646,8587,8597,315551
2017-04-03,8587,8587,8497,8557,313504
2017-04-04,8601,8636,8572,8636,312612
2017-04-05,8686,8711,8641,8681,314927
2017-04-06,8740,8835,8716,8815,511299
2017-04-07,8790,8919,8780,8835,337084
2017-04-10,8899,8988,8879,8969,407177
2017-04-11,8964,9083,8929,9008,424356
2017-04-12,9038,9073,8939,8939,323538
2017-04-13,8835,8894,8711,8770,400920
2017-04-14,8845,8949,8845,8909,439992
2017-04-17,8924,8924,8815,8874,336515
2017-04-18,8835,8954,8805,8954,380821
2017-04-19,8974,8979,8889,8929,311883
2017-04-20,8983,8993,8909,8929,340372
2017-04-21,8914,8924,8815,8830,373441
2017-04-24,8735,8850,8735,8780,435095
2017-04-25,8830,8869,8711,8716,416455
2017-04-26,8716,8755,8646,8701,570240
2017-04-27,8785,8805,8745,8780,407918
2017-04-28,8785,8889,8750,8874,385589
2017-05-02,8845,8879,8730,8775,425549
2017-05-04,8835,8840,8775,8800,471819
2017-05-08,8835,8879,8765,8785,415634
2017-05-10,8874,8879,8800,8850,455011
2017-05-11,8785,8835,8735,8750,426707
2017-05-12,8691,8780,8671,8755,412966
2017-05-15,8701,8745,8681,8691,334161
