Date,Open,High,Low,Close,Volume
1998-01-20,42.9018,43.4704,42.6778,43.4531,1744600
1998-01-21,43.0568,43.2119,42.6089,42.919,1839600
1998-01-22,42.5572,42.9276,42.4193,42.5572,1662600
1998-01-23,42.7295,42.8673,42.0747,42.4538,1693700
1998-01-26,42.6605,42.8242,42.4193,42.6261,1172800
1998-01-27,42.5227,43.3153,42.4969,43.1258,1454500
1998-01-28,43.2119,43.6857,43.1257,43.6254,1181200
1998-01-29,43.5909,44.2457,43.4962,43.7805,1468500
1998-01-30,44.0734,44.0734,43.5393,43.6857,1095600
1998-02-02,44.4524,44.8315,44.3318,44.6678,955600
1998-02-03,44.6592,45.0297,44.4697,45.0211,619400
1998-02-04,44.7798,45.021,44.5558,44.7798,753200
1998-02-05,45.1071,45.1588,44.5127,44.7884,1067600
1998-02-06,44.9349,45.3053,44.8573,45.2709,1069700
1998-02-09,45.2622,45.3484,44.9004,45.0899,515900
1998-02-10,45.2278,45.9514,45.1675,45.848,892100
1998-02-11,45.7446,45.9772,45.6757,45.848,515000
1998-02-12,45.6154,46.3735,45.4173,46.1409,1065000
1998-02-13,45.9514,46.2271,45.8566,46.1151,596700
1998-02-17,46.4855,46.7095,46.2529,46.3477,840600
1998-02-18,46.3563,46.7009,46.2271,46.6578,773000
1998-02-19,46.6664,46.7009,46.2185,46.2185,804800
1998-02-20,46.3563,46.5717,45.9342,46.4683,540600
1998-02-23,46.8645,46.8645,46.296,46.451,639200
1998-02-24,46.3822,46.5372,46.0548,46.3133,702700
1998-02-25,46.4511,46.9507,46.3563,46.6923,687400
1998-02-26,46.6492,46.9852,46.5372,46.9507,439800
1998-02-27,46.9249,47.3901,46.8043,47.192,451300
1998-03-02,47.2781,47.3384,47.0197,47.2609,1062800
1998-03-03,46.9852,47.4849,46.968,47.4763,596600
1998-03-04,47.2092,47.347,46.9249,47.1575,691700
1998-03-05,46.589,47.0111,46.4339,46.744,778300
1998-03-06,46.9163,47.4332,46.9163,47.4332,933100
1998-03-09,47.2092,47.7347,47.192,47.347,685300
1998-03-10,47.6227,47.8294,47.5021,47.8122,563700
1998-03-11,47.9329,48.0966,47.8209,47.9673,406600
1998-03-12,47.9329,48.0018,47.5883,47.907,576700
1998-03-13,48.0706,48.1051,47.4676,47.5021,458900
1998-03-16,47.7261,48.2257,47.6055,48.2257,733000
1998-03-17,48.1224,48.398,48.0104,48.3894,499900
1998-03-18,48.2947,48.5273,48.1224,48.51,410900
1998-03-19,48.5186,48.6823,48.4325,48.6478,730000
1998-03-20,48.8288,49.294,48.6737,49.1561,754300
1998-03-23,49.1734,49.1734,48.734,48.7857,551600
1998-03-24,49.0527,49.5438,49.0269,49.3112,470300
1998-03-25,49.6558,49.6558,48.6565,49.0011,966200
1998-03-26,48.9838,49.2336,48.8029,48.8632,412800
1998-03-27,49.2595,49.294,48.4497,48.6651,584100
1998-03-30,48.6737,48.8287,48.3463,48.6048,562400
1998-03-31,48.7771,49.2423,48.5531,48.622,620000
1998-04-01,48.7168,49.182,48.3636,49.0355,373700
1998-04-02,49.0183,49.7592,48.9752,49.7075,440600
1998-04-03,49.7592,49.9401,49.518,49.6731,493300
1998-04-06,50.1038,50.3105,49.8109,49.8281,610500
1998-04-07,49.8281,49.8367,49.2078,49.561,707300
1998-04-08,49.6558,49.6558,48.9752,49.225,949500
1998-04-09,49.4318,49.8798,49.4146,49.8281,451700
1998-04-13,50.0262,50.0262,49.3801,49.8108,337900
1998-04-14,49.9142,50.457,49.9142,50.4139,451500
1998-04-15,50.5345,50.7326,50.2847,50.7326,261800
1998-04-16,50.5603,50.5603,50.0607,50.2071,232800
1998-04-17,50.2137,50.7757,50.1272,50.7498,382900
1998-04-20,50.6893,50.7239,50.3607,50.525,299400
1998-04-21,50.499,50.8708,50.3434,50.8622,372000
1998-04-22,50.8363,50.9746,50.7411,50.8276,503400
1998-04-23,50.7585,50.9314,50.4212,50.5337,597700
1998-04-24,50.4818,50.672,49.8419,50.1099,820200
1998-04-27,49.496,49.7381,48.9166,49.3922,1916800
1998-04-28,49.8246,49.8765,49.0636,49.2452,437200
1998-04-29,49.4095,49.7813,49.2106,49.4873,298700
1998-04-30,49.9889,50.5337,49.9284,50.2915,443100
1998-05-01,50.4126,50.7238,50.2569,50.7238,338300
1998-05-04,50.9055,51.2341,50.8104,50.8104,542500
1998-05-05,50.6374,50.8363,50.3434,50.6288,325600
1998-05-06,50.8276,50.8363,49.9629,49.9629,665500
1998-05-07,50.1532,50.1532,49.6517,49.6604,593100
1998-05-08,49.6689,50.352,49.6343,50.3261,638100
1998-05-11,50.5163,50.8276,50.1878,50.3175,703100
1998-05-12,50.3088,50.8709,50.1445,50.8709,479000
1998-05-13,50.8622,51.113,50.7066,51.0525,399400
1998-05-14,50.672,51.0784,50.551,50.8104,622900
1998-05-15,50.8948,50.8948,50.2976,50.2976,280900
1998-05-18,50.3409,50.5919,49.8562,50.1505,249200
1998-05-19,50.4794,50.5832,50.0639,50.1678,482100
1998-05-20,50.5486,50.8948,50.211,50.8429,304400
1998-05-21,50.9295,51.0593,50.4707,50.6179,530600
1998-05-22,50.739,50.739,50.3755,50.54,219000
1998-05-26,50.8169,50.8775,49.6657,49.6657,561300
1998-05-27,49.3022,49.7782,48.7136,49.6657,1041100
1998-05-28,49.7177,49.9081,49.4061,49.8475,367700
1998-05-29,50.012,50.0899,49.2157,49.2157,232400
1998-06-01,49.0945,49.7783,49.0772,49.5272,445800
1998-06-02,49.709,49.7869,49.181,49.2762,391600
1998-06-03,49.51,49.5273,48.6444,48.6617,473100
1998-06-04,48.679,49.2763,48.4886,49.2416,636200
1998-06-05,49.5619,50.3323,49.3022,50.3323,1014000
1998-06-08,50.2716,50.5486,50.1245,50.3669,467900
1998-06-09,50.3063,50.4361,50.0553,50.263,180100
1998-06-10,50.012,50.4794,49.6225,49.7177,531300
1998-06-11,49.8735,49.9341,48.8175,48.8175,529200
1998-06-12,48.8521,49.0945,48.125,49.0598,909200
1998-06-15,48.5059,48.7136,47.6144,47.6403,617400
1998-06-16,48.0905,48.1597,47.6057,48.0818,796500
1998-06-17,48.6271,49.3974,48.5059,49.1118,895100
1998-06-18,48.9906,49.1464,48.8002,48.9213,219000
1998-06-19,49.0788,49.1569,48.2201,48.3415,506100
1998-06-22,48.4023,48.6885,48.1854,48.3936,161500
1998-06-23,48.6625,49.0876,48.6625,49.0615,201600
1998-06-24,49.131,49.6514,48.7753,49.5733,353100
1998-06-25,49.8942,50.1284,49.4866,49.7902,420200
1998-06-26,49.7381,49.9289,49.5993,49.7902,150400
1998-06-29,50.0678,50.328,49.9637,50.0331,297700
1998-06-30,49.9116,50.0504,49.608,49.7902,395600
1998-07-01,50.1718,50.3366,49.9029,50.2933,347100
1998-07-02,50.1545,50.2846,50.0417,50.1285,263900
1998-07-06,50.1371,50.6576,49.981,50.6576,166500
1998-07-07,50.6142,50.8311,50.3627,50.5795,155700
1998-07-08,50.6229,51.0653,50.5796,51.048,146900
1998-07-09,50.727,51.0219,50.2239,50.4494,151500
1998-07-10,50.5361,50.779,50.1544,50.6489,127800
1998-07-13,50.7269,51.0305,50.406,50.5101,164400
1998-07-14,50.7877,51.447,50.7877,51.3168,276000
1998-07-15,51.6291,51.7159,51.2301,51.3515,367900
1998-07-16,51.3168,51.8546,51.126,51.7765,356100
1998-07-17,51.872,51.9761,51.6812,51.8113,222100
1998-07-20,51.9327,51.9501,51.3949,51.6985,234900
1998-07-21,51.95,51.95,50.9351,50.9351,389800
1998-07-22,50.7964,50.9352,50.4234,50.7443,229900
1998-07-23,50.6142,50.7617,49.5212,49.608,297000
1998-07-24,50.007,50.007,49.1482,49.6513,424800
1998-07-27,49.3912,50.1545,49.1483,50.1025,382900
1998-07-28,50.0157,50.0157,48.862,49.5299,557300
1998-07-29,49.8596,49.9637,49.3131,49.4172,330400
1998-07-30,49.8943,50.1718,49.7295,50.0938,533300
1998-07-31,50.0331,50.1718,48.9401,49.1483,234400
1998-08-03,49.2003,49.3651,48.7319,48.7492,429300
1998-08-04,49.2003,49.2003,47.1185,47.1532,947200
1998-08-05,47.4308,47.6997,46.3725,47.5522,1456000
1998-08-06,47.1706,47.8732,47.1706,47.5522,571600
1998-08-07,47.8992,48.4283,47.4655,47.8298,698900
1998-08-10,47.7431,47.9686,47.266,47.6216,233900
1998-08-11,46.7716,47.0838,46.1123,46.8409,1034100
1998-08-12,47.3093,47.6216,47.0318,47.5696,592000
1998-08-13,47.3787,47.8645,46.7889,46.7889,651900
1998-08-14,47.5349,47.5696,46.5113,46.8062,731000
1998-08-17,46.6848,47.7257,46.4592,47.6042,948800
1998-08-18,47.8645,48.6712,47.7604,48.5064,566000
1998-08-19,48.8013,48.8013,48.1767,48.2808,324700
1998-08-20,48.0726,48.3676,47.8298,47.8818,536300
1998-08-21,47.3655,47.6263,46.2874,47.6263,1184400
1998-08-24,47.748,48.0436,47.2959,47.6437,292300
1998-08-25,48.1132,48.3392,47.4524,47.8002,309400
1998-08-26,47.209,47.7481,47.0351,47.5133,653200
1998-08-27,46.7047,46.8612,44.9659,45.0963,1887300
1998-08-28,45.6266,45.9657,44.5833,44.9485,1225000
1998-08-31,45.192,45.2963,41.6622,41.6622,1284000
1998-09-01,42.4098,44.0095,41.1057,43.6966,1760300
1998-09-02,43.7661,44.3051,43.1923,43.2792,551100
1998-09-03,42.4794,43.1923,42.149,42.862,806800
1998-09-04,43.2271,43.2792,41.6969,42.775,578100
1998-09-08,44.0617,44.8789,43.5922,44.8442,1187900
1998-09-09,44.566,44.7746,43.627,43.627,879200
1998-09-10,42.5489,42.9663,41.7317,42.149,1292900
1998-09-11,41.9404,43.8531,41.7404,43.8009,1086900
1998-09-14,44.1921,44.7051,44.0791,44.1834,627700
1998-09-15,43.7487,44.792,43.7313,44.6703,418000
1998-09-16,45.0355,45.4528,44.2878,45.1398,495200
1998-09-17,43.7661,44.1834,43.6792,43.8357,681100
1998-09-18,43.7745,44.0879,43.5308,43.9138,309400
1998-09-21,42.5034,44.3317,42.4338,44.1576,562200
1998-09-22,44.6103,44.6103,43.7484,43.94,431900
1998-09-23,44.5233,45.6202,44.236,45.6202,680200
1998-09-24,45.2807,45.6115,44.1489,44.4449,568800
1998-09-25,44.0009,45.1153,43.8268,44.6452,422200
1998-09-28,45.0978,45.4896,44.7844,45.2893,678800
1998-09-29,45.4026,45.4461,44.3491,44.9585,1089600
1998-09-30,44.4014,44.8192,43.5307,43.5656,673200
1998-10-01,42.9039,43.5481,42.2074,42.4686,1107600
1998-10-02,42.5557,43.6352,41.8243,43.5482,971800
1998-10-05,43.0955,43.4611,42.0333,43.0258,728800
1998-10-06,43.6352,43.9399,42.6949,43.0083,806100
1998-10-07,43.1999,43.7745,42.2684,43.0954,1280800
1998-10-08,41.8592,43.3218,41.4935,43.078,2218200
1998-10-09,43.4959,44.2272,42.6601,44.1227,1196900
1998-10-12,44.8715,45.1152,44.2969,44.4536,630700
1998-10-13,44.5755,44.68,43.8442,44.1141,288500
1998-10-14,44.0183,44.9498,43.9312,44.4013,939700
1998-10-15,44.2969,49.0331,44.1228,46.7346,1219200
1998-10-16,46.7694,47.0393,46.3864,46.9087,694800
1998-10-19,46.8043,47.5008,46.6998,47.1525,423800
1998-10-20,47.6313,48.1972,47.0741,47.3005,959800
1998-10-21,47.6226,47.8054,47.1525,47.3963,599800
1998-10-22,47.3789,47.7445,46.9175,47.6749,574800
1998-10-23,47.3266,47.4659,46.8739,46.9784,463400
1998-10-26,47.3615,47.6052,46.8739,47.0132,381100
1998-10-27,47.5182,47.5965,46.4647,46.6475,915900
1998-10-28,46.7259,47.0132,46.3428,46.4995,355200
1998-10-29,46.752,47.6052,46.5082,47.6052,413600
1998-10-30,47.9709,48.2582,47.6836,47.9361,678700
1998-11-02,48.354,48.7371,48.0493,48.7371,598900
1998-11-03,48.5803,48.8241,48.3104,48.4758,731200
1998-11-04,49.1375,49.5032,48.5194,49.1636,706600
1998-11-05,48.6413,49.8689,48.5542,49.8689,462600
1998-11-06,49.7034,50.1126,49.5902,50.0778,400000
1998-11-09,50.0603,50.1126,49.3203,49.5989,325700
1998-11-10,49.4509,49.8253,49.3116,49.3813,345400
1998-11-11,49.834,49.8601,49.0156,49.2333,365000
1998-11-12,49.1027,49.7121,49.1027,49.3813,354400
1998-11-13,49.3987,50.0082,49.2942,49.8689,408300
1998-11-16,50.2345,50.4086,49.8079,50.339,273700
1998-11-17,50.1213,51.2618,49.6077,50.13,618700
1998-11-18,50.0778,50.6872,50.0081,50.5218,249600
1998-11-19,50.6698,50.7743,50.3216,50.5654,270800
1998-11-20,50.963,51.1984,50.7886,51.1897,331900
1998-11-23,51.5472,52.5152,51.4862,52.5152,530600
1998-11-24,52.3321,52.4018,51.835,51.9571,503700
1998-11-25,52.0443,52.0879,51.6867,51.9745,155300
1998-11-27,52.2972,52.3059,52.0443,52.0443,71000
1998-11-30,51.931,51.9397,50.649,50.6839,527600
1998-12-01,50.37,51.2943,50.1607,50.9368,379800
1998-12-02,50.527,50.7799,49.9601,50.649,317600
1998-12-03,50.4136,50.7798,49.4281,49.5764,638700
1998-12-04,50.0211,50.5793,49.8816,50.5095,1230600
1998-12-07,50.5618,50.7799,50.2305,50.649,522900
1998-12-08,50.5357,50.7886,49.9078,50.4049,405500
1998-12-09,50.3263,50.5967,50.0386,50.2653,310100
1998-12-10,50.1607,50.2392,49.2014,49.2712,422700
1998-12-11,49.1229,49.4543,48.7044,49.0968,548700
1998-12-14,48.7916,49.0968,48.2858,48.2858,393500
1998-12-15,48.8352,49.3235,48.2858,49.2363,637200
1998-12-16,49.4456,49.4456,48.87,49.0444,537800
1998-12-17,49.1927,49.6723,49.1927,49.5154,1114300
1998-12-18,49.8176,49.9661,49.4857,49.5992,289100
1998-12-21,49.9049,50.9794,49.8176,50.2107,483500
1998-12-22,50.464,50.7436,49.9923,50.5077,317700
1998-12-23,51.0056,51.6084,50.6999,51.4686,657600
1998-12-24,51.4948,51.7219,51.3288,51.486,346900
1998-12-28,51.8617,51.8704,51.3289,51.3987,274000
1998-12-29,51.5996,52.2897,51.3026,52.2635,598800
1998-12-30,52.0276,52.2547,51.783,51.783,202600
1998-12-31,51.7743,51.9141,51.1541,51.1716,870300
1999-01-04,51.4773,52.3334,50.9008,51.4074,490200
1999-01-05,51.3987,52.2373,51.3987,52.115,473000
1999-01-06,52.6478,53.565,52.4556,53.4777,701400
1999-01-07,52.6915,53.3816,52.6042,53.2506,450300
1999-01-08,53.8096,54.0192,53.2767,53.9581,446300
1999-01-11,53.8621,53.9232,53.2506,53.8621,603000
1999-01-12,53.635,53.7049,52.8488,52.8488,539600
1999-01-13,51.3201,52.7614,51.3201,52.1849,1082800
1999-01-14,52.2722,52.2722,50.7173,50.8047,604100
1999-01-15,51.5799,52.3586,51.2562,52.3411,470100
1999-01-19,52.8137,52.8137,51.5274,52.1137,1505900
1999-01-20,52.7436,53.0586,51.9387,52.4286,687500
1999-01-21,52.0787,52.5162,51.5362,51.5887,944500
1999-01-22,50.9149,51.5799,50.8187,51.1337,550700
1999-01-25,51.1774,51.6762,50.5999,51.6762,608400
1999-01-26,51.6849,52.4812,51.4224,52.4812,459600
1999-01-27,52.5337,52.6387,51.2387,51.3437,487100
1999-01-28,51.7812,52.1662,51.6412,51.7812,268200
1999-01-29,52.1924,52.6387,51.545,52.2362,306900
1999-02-01,52.6299,52.8311,52.1662,52.2712,191400
1999-02-02,52.2274,52.2449,51.4487,51.8862,473600
1999-02-03,51.6412,52.6386,51.6412,52.5686,238100
1999-02-04,52.3674,52.6386,51.9474,52.3586,442800
1999-02-05,52.2012,52.3499,51.7637,52.1137,438700
1999-02-08,52.3586,52.5074,51.5537,51.9737,335500
1999-02-09,51.8774,51.9911,50.9587,51.1687,341700
1999-02-10,51.2387,51.4662,50.9412,51.3087,751900
1999-02-11,51.58,52.8312,51.2387,52.6387,687700
1999-02-12,52.3411,52.6299,51.6936,52.0261,410400
1999-02-16,52.4111,52.6211,51.7986,51.9124,728100
1999-02-17,51.7811,52.5161,51.4049,51.7636,466000
1999-02-18,51.9299,52.2537,51.5012,52.0962,589200
1999-02-19,52.1979,52.7149,51.9349,52.4608,382200
1999-02-22,52.4169,53.6877,52.3643,53.6702,418500
1999-02-23,53.4773,53.9155,53.0391,53.6,632800
