Date,Open,High,Low,Close,Volume
2006-06-21,194.4264,194.4264,194.3982,194.3982,100
2006-06-22,195.3849,196.5689,195.3285,195.9205,7250
2006-06-23,196.7098,196.7662,195.1875,196.3997,5350
2006-06-26,196.9071,197.189,195.8923,195.8923,1675
2006-06-27,195.8642,198.0912,195.7514,198.0348,4200
2006-06-28,197.33,198.3731,197.2737,197.4428,5250
2006-06-29,196.1742,196.287,193.2425,193.3834,15950
2006-06-30,192.6786,193.5807,192.6786,192.9323,1725
2006-07-03,193.1015,193.4116,192.8196,192.8196,2975
2006-07-05,194.1727,194.511,193.8062,194.0881,6550
2006-07-06,193.6652,193.6652,192.3403,193.0733,7150
2006-07-07,193.0733,195.554,193.0733,195.1311,14875
2006-07-10,194.7929,195.2157,193.7781,194.9339,5725
2006-07-11,195.3567,196.5407,194.4264,194.7929,14525
2006-07-12,194.7365,197.1326,194.37,196.8225,25850
2006-07-13,198.3167,200.1773,197.4992,200.1491,34975
2006-07-14,200.29,202.6579,199.9235,201.5585,33750
2006-07-17,201.4175,202.5451,200.8537,201.8968,17975
2006-07-18,200.7128,203.0808,200.5437,201.1357,35875
2006-07-19,199.4443,199.7825,196.4561,196.7944,30700
2006-07-20,196.4843,198.5985,196.2024,198.5985,10700
2006-07-21,198.4294,200.1208,198.2321,199.3597,19000
2006-07-24,197.8938,198.7113,196.2588,196.5971,19600
2006-07-25,196.7662,197.3582,195.1312,195.4131,18575
2006-07-26,195.9204,196.3715,194.8774,195.6385,16250
2006-07-27,194.511,195.8641,194.1163,195.695,24050
2006-07-28,194.8493,194.8493,193.2706,193.8908,19825
2006-07-31,194.4264,194.511,193.919,194.1445,14175
2006-08-01,194.37,196.2305,194.37,195.6385,20025
2006-08-02,194.9338,195.0466,193.6653,194.3982,8850
2006-08-03,195.0748,195.0748,192.9606,193.4116,15000
2006-08-04,191.9738,197.0481,191.8329,193.6934,32425
2006-08-07,194.3982,194.511,193.6653,194.1445,13025
2006-08-08,193.6653,195.4695,193.1297,194.7083,31300
2006-08-09,193.9472,196.7098,193.5243,196.5688,26775
2006-08-10,196.7662,196.9917,195.3003,195.7231,24800
2006-08-11,196.0615,197.0481,195.7232,196.287,17475
2006-08-14,194.9338,196.5689,194.37,196.4843,22525
2006-08-15,194.2291,194.9056,193.8908,194.2009,25350
2006-08-16,193.5244,193.5244,192.0021,192.2558,21150
2006-08-17,192.3967,192.5095,191.4665,192.1994,16700
2006-08-18,191.551,192.3686,191.4101,191.4947,18025
2006-08-21,191.833,192.4813,191.833,192.1994,15650
2006-08-22,192.5377,192.8196,191.4665,192.3686,16450
2006-08-23,192.0303,193.4679,191.8047,193.2424,17200
2006-08-24,192.8196,193.4398,192.3686,192.876,12650
2006-08-25,193.5244,193.5244,192.735,193.3834,11475
2006-08-28,193.2425,193.2707,191.5793,192.3122,11400
2006-08-29,192.2558,193.1861,191.8893,192.0303,11600
2006-08-30,191.551,192.0585,191.4101,191.6638,8150
2006-08-31,191.3255,192.0585,191.3255,191.6356,8150
2006-09-01,191.4101,191.4101,190.3107,190.5644,19925
2006-09-05,190.7054,190.9591,190.2543,190.508,12525
2006-09-06,191.2974,191.7484,191.1282,191.5511,19450
2006-09-07,192.4532,192.9888,191.9176,192.9606,25450
2006-09-08,192.8196,192.8196,191.8329,192.002,10000
2006-09-11,192.6786,192.9324,191.6074,192.0303,13650
2006-09-12,191.9739,191.9739,190.198,190.5362,16850
2006-09-13,190.3953,190.4516,189.1549,189.5777,12200
