Date,Open,High,Low,Close,Volume
2006-07-13,5785.6001,5924.0,5785.6001,5902.3999,1255
2006-07-14,5920.0,6065.6001,5920.0,6006.3999,1285
2006-07-17,6024.0,6058.3999,5961.6001,6012.0,1016
2006-07-18,6028.7998,6091.2002,5952.0,5952.0,1959
2006-07-19,5892.7998,5898.3999,5696.7998,5723.2002,2875
2006-07-20,5714.3999,5812.0,5698.3999,5812.0,1048
2006-07-21,5796.0,5912.0,5796.0,5892.0,1538
2006-07-24,5819.2002,5824.0,5672.0,5682.3999,1425
2006-07-25,5702.3999,5744.0,5608.0,5626.3999,921
2006-07-26,5668.0,5692.7998,5584.0,5633.6001,805
2006-07-27,5600.0,5660.7998,5560.0,5623.2002,1518
2006-07-28,5596.0,5600.7998,5512.7998,5545.6001,770
2006-07-31,5580.0,5582.3999,5542.3999,5556.0,565
2006-08-01,5576.0,5675.2002,5576.0,5624.0,988
2006-08-02,5600.0,5606.3999,5524.0,5560.0,813
2006-08-03,5636.0,5640.0,5491.2002,5512.0,999
2006-08-04,5400.0,5568.0,5400.0,5520.0,1408
2006-08-07,5552.0,5568.7998,5522.3999,5536.0,690
2006-08-08,5524.0,5620.0,5498.3999,5595.2002,2105
2006-08-09,5524.0,5688.7998,5524.0,5684.0,2123
2006-08-10,5685.6001,5728.0,5611.2002,5638.3999,915
2006-08-11,5660.0,5711.2002,5649.6001,5663.2002,869
2006-08-14,5601.6001,5690.3999,5564.0,5664.0,970
2006-08-15,5579.2002,5604.0,5530.3999,5549.6001,740
2006-08-16,5456.0,5509.6001,5418.3999,5439.2002,1504
2006-08-17,5435.2002,5446.3999,5392.7998,5422.3999,715
2006-08-18,5428.0,5480.0,5388.0,5391.2002,1154
2006-08-21,5440.0,5444.0,5409.6001,5418.3999,874
2006-08-22,5416.0,5460.7998,5388.7998,5431.2002,1056
2006-08-23,5439.2002,5500.0,5404.0,5476.0,1206
2006-08-24,5496.0,5496.0,5448.0,5477.6001,1271
2006-08-25,5496.0,5496.0,5451.2002,5475.2002,648
2006-08-28,5483.2002,5495.2002,5385.6001,5424.7998,1100
2006-08-29,5431.2002,5473.6001,5401.6001,5412.0,946
2006-08-30,5392.0,5420.0,5378.3999,5393.6001,860
2006-08-31,5398.3999,5417.6001,5382.3999,5394.3999,991
2006-09-01,5369.6001,5386.3999,5316.7998,5332.7998,1370
2006-09-05,5344.0,5352.7998,5311.2002,5327.2002,1231
2006-09-06,5384.0,5412.0,5365.6001,5405.6001,1276
2006-09-07,5424.0,5472.0,5408.0,5464.0,2263
2006-09-08,5452.0,5462.3999,5408.0,5424.0,1109
2006-09-11,5432.0,5457.6001,5380.0,5417.6001,1159
2006-09-12,5392.0,5396.0,5288.0,5327.2002,893
2006-09-13,5332.0,5332.7998,5236.7998,5278.3999,1216
