Date,Contract,ContractName,Open,High,Low,Close,Volume,Settle,OpenInterest,Spot
2015-11-23,KR4106KC0002,코스닥150 F 201512,1098.4,1099.5,1083.5,1090.4,356,1090.4,47,1104.98
2015-11-23,KR4106L30005,코스닥150 F 201603,1080.0,1080.0,1080.0,1080.0,1,1080.0,1,1104.98
2015-11-23,KR4106L60002,코스닥150 F 201606,,,,,0,1094.0,0,1104.98
2015-11-23,KR4106L90009,코스닥150 F 201609,,,,,0,1098.3,0,1104.98
2015-11-23,KR4106LC0001,코스닥150 F 201612,,,,,0,1102.7,0,1104.98
2015-11-23,KR4106M60000,코스닥150 F 201706,,,,,0,1106.2,0,1104.98
2015-11-23,KR4106MC0000,코스닥150 F 201712,,,,,0,1115.2,0,1104.98
2015-11-24,KR4106KC0002,코스닥150 F 201512,1090.3,1090.3,1082.6,1084.2,447,1084.2,77,1100.4
2015-11-24,KR4106L30005,코스닥150 F 201603,1080.0,1080.0,1080.0,1080.0,1,1080.0,2,1100.4
2015-11-24,KR4106L60002,코스닥150 F 201606,,,,,0,1087.7,0,1100.4
2015-11-24,KR4106L90009,코스닥150 F 201609,,,,,0,1092.0,0,1100.4
2015-11-24,KR4106LC0001,코스닥150 F 201612,,,,,0,1096.3,0,1100.4
2015-11-24,KR4106M60000,코스닥150 F 201706,,,,,0,1099.9,0,1100.4
2015-11-24,KR4106MC0000,코스닥150 F 201712,,,,,0,1108.8,0,1100.4
2015-11-25,KR4106KC0002,코스닥150 F 201512,1084.2,1086.1,1082.4,1084.8,430,1084.8,156,1101.09
2015-11-25,KR4106L30005,코스닥150 F 201603,1080.0,1080.0,1080.0,1080.0,1,1080.0,3,1101.09
2015-11-25,KR4106L60002,코스닥150 F 201606,,,,,0,1088.4,0,1101.09
2015-11-25,KR4106L90009,코스닥150 F 201609,,,,,0,1092.7,0,1101.09
2015-11-25,KR4106LC0001,코스닥150 F 201612,,,,,0,1097.0,0,1101.09
2015-11-25,KR4106M60000,코스닥150 F 201706,,,,,0,1100.5,0,1101.09
2015-11-25,KR4106MC0000,코스닥150 F 201712,,,,,0,1109.4,0,1101.09
2015-11-26,KR4106KC0002,코스닥150 F 201512,1084.8,1096.7,1084.8,1096.6,282,1096.6,180,1108.28
2015-11-26,KR4106L30005,코스닥150 F 201603,,,,,0,1095.9,3,1108.28
2015-11-26,KR4106L60002,코스닥150 F 201606,,,,,0,1100.3,0,1108.28
2015-11-26,KR4106L90009,코스닥150 F 201609,,,,,0,1104.7,0,1108.28
2015-11-26,KR4106LC0001,코스닥150 F 201612,,,,,0,1109.1,0,1108.28
2015-11-26,KR4106M60000,코스닥150 F 201706,,,,,0,1112.8,0,1108.28
2015-11-26,KR4106MC0000,코스닥150 F 201712,,,,,0,1121.9,0,1108.28
2015-11-27,KR4106KC0002,코스닥150 F 201512,1096.6,1101.0,1091.6,1094.0,295,1094.0,241,1110.18
2015-11-27,KR4106L30005,코스닥150 F 201603,,,,,0,1093.3,3,1110.18
2015-11-27,KR4106L60002,코스닥150 F 201606,,,,,0,1097.8,0,1110.18
2015-11-27,KR4106L90009,코스닥150 F 201609,,,,,0,1102.3,0,1110.18
2015-11-27,KR4106LC0001,코스닥150 F 201612,,,,,0,1106.7,0,1110.18
2015-11-27,KR4106M60000,코스닥150 F 201706,,,,,0,1110.4,0,1110.18
2015-11-27,KR4106MC0000,코스닥150 F 201712,,,,,0,1119.6,0,1110.18
2015-11-30,KR4106KC0002,코스닥150 F 201512,1094.0,1094.0,1085.1,1086.7,392,1086.7,263,1102.28
2015-11-30,KR4106L30005,코스닥150 F 201603,,,,,0,1086.0,3,1102.28
2015-11-30,KR4106L60002,코스닥150 F 201606,,,,,0,1090.5,0,1102.28
2015-11-30,KR4106L90009,코스닥150 F 201609,,,,,0,1094.9,0,1102.28
2015-11-30,KR4106LC0001,코스닥150 F 201612,,,,,0,1099.3,0,1102.28
2015-11-30,KR4106M60000,코스닥150 F 201706,,,,,0,1103.1,0,1102.28
2015-11-30,KR4106MC0000,코스닥150 F 201712,,,,,0,1112.2,0,1102.28
2015-12-01,KR4106KC0002,코스닥150 F 201512,1086.9,1100.2,1086.9,1098.0,618,1098.0,359,1115.8
2015-12-01,KR4106L30005,코스닥150 F 201603,,,,,0,1097.4,3,1115.8
2015-12-01,KR4106L60002,코스닥150 F 201606,,,,,0,1102.1,0,1115.8
2015-12-01,KR4106L90009,코스닥150 F 201609,,,,,0,1106.7,0,1115.8
2015-12-01,KR4106LC0001,코스닥150 F 201612,,,,,0,1111.3,0,1115.8
2015-12-01,KR4106M60000,코스닥150 F 201706,,,,,0,1115.3,0,1115.8
2015-12-01,KR4106MC0000,코스닥150 F 201712,,,,,0,1124.9,0,1115.8
2015-12-02,KR4106KC0002,코스닥150 F 201512,1098.0,1111.0,1098.0,1104.4,404,1104.4,421,1113.07
2015-12-02,KR4106L30005,코스닥150 F 201603,,,,,0,1103.9,3,1113.07
2015-12-02,KR4106L60002,코스닥150 F 201606,,,,,0,1108.5,0,1113.07
2015-12-02,KR4106L90009,코스닥150 F 201609,,,,,0,1113.1,0,1113.07
2015-12-02,KR4106LC0001,코스닥150 F 201612,,,,,0,1117.6,0,1113.07
2015-12-02,KR4106M60000,코스닥150 F 201706,,,,,0,1121.7,0,1113.07
2015-12-02,KR4106MC0000,코스닥150 F 201712,,,,,0,1131.2,0,1113.07
2015-12-03,KR4106KC0002,코스닥150 F 201512,1103.1,1107.0,1094.4,1106.7,514,1106.7,524,1113.48
2015-12-03,KR4106L30005,코스닥150 F 201603,1095.0,1095.0,1095.0,1095.0,53,1095.0,55,1113.48
2015-12-03,KR4106L60002,코스닥150 F 201606,,,,,0,1110.8,0,1113.48
2015-12-03,KR4106L90009,코스닥150 F 201609,,,,,0,1115.4,0,1113.48
2015-12-03,KR4106LC0001,코스닥150 F 201612,,,,,0,1120.0,0,1113.48
2015-12-03,KR4106M60000,코스닥150 F 201706,,,,,0,1124.1,0,1113.48
2015-12-03,KR4106MC0000,코스닥150 F 201712,,,,,0,1133.6,0,1113.48
2015-12-04,KR4106KC0002,코스닥150 F 201512,1106.6,1106.6,1098.3,1100.0,451,1100.0,537,1100.99
2015-12-04,KR4106L30005,코스닥150 F 201603,1095.0,1103.0,1095.0,1095.2,11,1095.2,65,1100.99
2015-12-04,KR4106L60002,코스닥150 F 201606,,,,,0,1104.0,0,1100.99
2015-12-04,KR4106L90009,코스닥150 F 201609,,,,,0,1108.5,0,1100.99
2015-12-04,KR4106LC0001,코스닥150 F 201612,,,,,0,1113.1,0,1100.99
2015-12-04,KR4106M60000,코스닥150 F 201706,,,,,0,1117.0,0,1100.99
2015-12-04,KR4106MC0000,코스닥150 F 201712,,,,,0,1126.4,0,1100.99
2015-12-07,KR4106KC0002,코스닥150 F 201512,1094.7,1106.0,1094.7,1096.6,171,1096.6,523,1093.13
2015-12-07,KR4106L30005,코스닥150 F 201603,1099.0,1099.2,1091.5,1091.6,106,1091.6,104,1093.13
2015-12-07,KR4106L60002,코스닥150 F 201606,,,,,0,1100.5,0,1093.13
2015-12-07,KR4106L90009,코스닥150 F 201609,,,,,0,1105.0,0,1093.13
2015-12-07,KR4106LC0001,코스닥150 F 201612,,,,,0,1109.5,0,1093.13
2015-12-07,KR4106M60000,코스닥150 F 201706,,,,,0,1113.4,0,1093.13
2015-12-07,KR4106MC0000,코스닥150 F 201712,,,,,0,1122.7,0,1093.13
2015-12-08,KR4106KC0002,코스닥150 F 201512,1092.7,1092.7,1063.3,1064.2,168,1064.2,504,1065.38
2015-12-08,KR4106L30005,코스닥150 F 201603,1090.9,1090.9,1060.0,1062.4,289,1062.4,158,1065.38
2015-12-08,KR4106L60002,코스닥150 F 201606,,,,,0,1067.9,0,1065.38
2015-12-08,KR4106L90009,코스닥150 F 201609,,,,,0,1072.3,0,1065.38
2015-12-08,KR4106LC0001,코스닥150 F 201612,,,,,0,1076.7,0,1065.38
2015-12-08,KR4106M60000,코스닥150 F 201706,,,,,0,1080.3,0,1065.38
2015-12-08,KR4106MC0000,코스닥150 F 201712,,,,,0,1089.4,0,1065.38
2015-12-09,KR4106KC0002,코스닥150 F 201512,1064.2,1065.0,1052.0,1062.3,111,1062.3,486,1059.22
2015-12-09,KR4106L30005,코스닥150 F 201603,1062.4,1064.7,1057.6,1057.6,361,1057.6,205,1059.22
2015-12-09,KR4106L60002,코스닥150 F 201606,,,,,0,1065.9,0,1059.22
2015-12-09,KR4106L90009,코스닥150 F 201609,,,,,0,1070.3,0,1059.22
2015-12-09,KR4106LC0001,코스닥150 F 201612,,,,,0,1074.6,0,1059.22
2015-12-09,KR4106M60000,코스닥150 F 201706,,,,,0,1078.2,0,1059.22
2015-12-09,KR4106MC0000,코스닥150 F 201712,,,,,0,1087.3,0,1059.22
2015-12-10,KR4106KC0002,코스닥150 F 201512,1062.3,1063.8,1042.0,1048.6,197,1048.6,0,1048.33
2015-12-10,KR4106L30005,코스닥150 F 201603,1057.6,1059.2,1035.1,1042.3,813,1042.3,319,1048.33
2015-12-10,KR4106L60002,코스닥150 F 201606,,,,,0,1046.6,0,1048.33
2015-12-10,KR4106L90009,코스닥150 F 201609,,,,,0,1050.9,0,1048.33
2015-12-10,KR4106LC0001,코스닥150 F 201612,,,,,0,1055.2,0,1048.33
2015-12-10,KR4106M60000,코스닥150 F 201706,,,,,0,1059.2,0,1048.33
2015-12-10,KR4106MC0000,코스닥150 F 201712,,,,,0,1068.1,0,1048.33
2015-12-11,KR4106L30005,코스닥150 F 201603,1043.1,1049.1,1024.6,1025.7,689,1025.7,451,1032.94
2015-12-11,KR4106L60002,코스닥150 F 201606,,,,,0,1030.0,0,1032.94
2015-12-11,KR4106L90009,코스닥150 F 201609,,,,,0,1034.2,0,1032.94
2015-12-11,KR4106LC0001,코스닥150 F 201612,,,,,0,1038.5,0,1032.94
2015-12-11,KR4106M60000,코스닥150 F 201706,,,,,0,1042.5,0,1032.94
2015-12-11,KR4106MC0000,코스닥150 F 201712,,,,,0,1051.3,0,1032.94
2015-12-11,KR4106NC0009,코스닥150 F 201812,,,,,0,1063.7,0,1032.94
2015-12-14,KR4106L30005,코스닥150 F 201603,1020.0,1020.0,990.1,990.2,835,990.2,637,998.08
2015-12-14,KR4106L60002,코스닥150 F 201606,,,,,0,994.4,0,998.08
2015-12-14,KR4106L90009,코스닥150 F 201609,,,,,0,998.5,0,998.08
2015-12-14,KR4106LC0001,코스닥150 F 201612,,,,,0,1002.6,0,998.08
2015-12-14,KR4106M60000,코스닥150 F 201706,,,,,0,1006.3,0,998.08
2015-12-14,KR4106MC0000,코스닥150 F 201712,,,,,0,1014.8,0,998.08
2015-12-14,KR4106NC0009,코스닥150 F 201812,,,,,0,1026.7,0,998.08
2015-12-15,KR4106L30005,코스닥150 F 201603,990.2,1000.5,988.3,1000.1,1555,1000.1,1725,1014.53
2015-12-15,KR4106L60002,코스닥150 F 201606,,,,,0,1004.3,0,1014.53
2015-12-15,KR4106L90009,코스닥150 F 201609,,,,,0,1008.5,0,1014.53
2015-12-15,KR4106LC0001,코스닥150 F 201612,,,,,0,1012.7,0,1014.53
2015-12-15,KR4106M60000,코스닥150 F 201706,,,,,0,1016.6,0,1014.53
2015-12-15,KR4106MC0000,코스닥150 F 201712,,,,,0,1025.2,0,1014.53
2015-12-15,KR4106NC0009,코스닥150 F 201812,,,,,0,1037.3,0,1014.53
2015-12-16,KR4106L30005,코스닥150 F 201603,1005.1,1020.0,1005.0,1005.6,18574,1005.6,19961,1025.14
2015-12-16,KR4106L60002,코스닥150 F 201606,,,,,0,1009.9,0,1025.14
2015-12-16,KR4106L90009,코스닥150 F 201609,,,,,0,1014.1,0,1025.14
2015-12-16,KR4106LC0001,코스닥150 F 201612,,,,,0,1018.3,0,1025.14
2015-12-16,KR4106M60000,코스닥150 F 201706,,,,,0,1022.3,0,1025.14
