Date,Open,High,Low,Close,Volume
2006-06-21,0.9925,0.9929,0.9814,0.9827,1523200
2006-06-22,0.9793,0.9811,0.9491,0.9596,13612800
2006-06-23,0.9555,0.9733,0.945,0.9567,3411200
2006-06-26,0.9589,0.9657,0.9521,0.9603,3622400
2006-06-27,0.9616,0.9616,0.9244,0.9244,6393600
2006-06-28,0.9283,0.9377,0.917,0.9357,6374400
2006-06-29,0.9474,0.9922,0.943,0.9922,11289600
2006-06-30,0.9997,0.9997,0.9818,0.9827,15168000
2006-07-03,0.9902,0.995,0.9883,0.9941,2380800
2006-07-05,0.9759,0.9763,0.9522,0.955,9900800
2006-07-06,0.9596,0.9671,0.946,0.9494,5369600
2006-07-07,0.9324,0.9508,0.9229,0.9286,4588800
2006-07-10,0.9372,0.9408,0.9051,0.9132,7987200
2006-07-11,0.9064,0.9308,0.8999,0.9282,10604800
2006-07-12,0.9225,0.9249,0.8868,0.8915,14598400
2006-07-13,0.8957,0.8957,0.861,0.863,26745600
2006-07-14,0.8596,0.8617,0.8365,0.8453,13856000
2006-07-17,0.8521,0.8569,0.8384,0.8494,9868800
2006-07-18,0.8569,0.8596,0.8256,0.8542,26054400
2006-07-19,0.8521,0.8851,0.8516,0.8727,16940800
2006-07-20,0.8827,0.8827,0.8481,0.8489,12019200
2006-07-21,0.8342,0.8433,0.8286,0.8297,18630400
2006-07-24,0.8364,0.8632,0.8364,0.8603,15334400
2006-07-25,0.8644,0.8787,0.8538,0.8687,21683200
2006-07-26,0.8651,0.884,0.8542,0.8705,23500800
2006-07-27,0.8889,0.8909,0.8542,0.8617,12038400
2006-07-28,0.8712,0.8961,0.8657,0.8961,6752000
2006-07-31,0.8895,0.9038,0.8834,0.8943,9958400
2006-08-01,0.878,0.878,0.8542,0.8637,15609600
2006-08-02,0.8739,0.8936,0.8719,0.8796,13939200
2006-08-03,0.8644,0.9031,0.8637,0.8943,19961600
2006-08-04,0.9109,0.9181,0.8693,0.8861,18816000
2006-08-07,0.88,0.8834,0.8671,0.8754,17017600
2006-08-08,0.8787,0.8841,0.8555,0.8644,28838400
2006-08-09,0.8761,0.9004,0.861,0.864,28825600
2006-08-10,0.8647,0.8817,0.8555,0.875,23283200
2006-08-11,0.8664,0.8712,0.8576,0.8664,13305600
2006-08-14,0.8772,0.8977,0.8721,0.8743,19321600
2006-08-15,0.903,0.9317,0.8908,0.9199,22054400
2006-08-16,0.9317,0.9646,0.9263,0.9637,31040000
2006-08-17,0.965,0.9834,0.9576,0.9698,44345600
2006-08-18,0.9664,0.9731,0.9487,0.9684,16934400
2006-08-21,0.9527,0.9601,0.946,0.9508,16275200
2006-08-22,0.9607,0.9722,0.9452,0.9532,16268800
2006-08-23,0.9557,0.9652,0.9304,0.9372,18598400
2006-08-24,0.948,0.9487,0.929,0.9444,18432000
2006-08-25,0.9344,0.9629,0.9344,0.948,15257600
2006-08-28,0.9453,0.9671,0.9453,0.9616,16588800
2006-08-29,0.9603,0.9691,0.9408,0.9678,26617600
2006-08-30,0.9687,0.9773,0.9603,0.9763,22585600
2006-08-31,0.9759,0.9812,0.9691,0.9752,9395200
2006-09-01,0.9888,0.9895,0.9751,0.9841,18496000
2006-09-05,0.9853,1.0034,0.9712,1.0018,21452800
2006-09-06,0.9834,0.9886,0.9589,0.9627,23398400
2006-09-07,0.9576,0.9729,0.9467,0.9542,27027200
2006-09-08,0.9589,0.9697,0.9521,0.9637,13990400
2006-09-11,0.9498,0.9857,0.944,0.9766,26662400
2006-09-12,0.98,1.0199,0.978,1.0145,19027200
2006-09-13,1.0174,1.029,1.0086,1.0262,22579200
2006-09-14,1.0166,1.0315,1.0166,1.0252,15187200
2006-09-15,1.0494,1.1103,1.0292,1.0351,15891200
2006-09-18,1.0371,1.0488,1.0242,1.0343,13184000
2006-09-19,1.0337,1.0378,1.0049,1.0218,20812800
2006-09-20,1.0443,1.0575,1.0388,1.0521,21785600
2006-09-21,1.0582,1.063,1.0337,1.0385,50976000
2006-09-22,1.0351,1.0351,1.0133,1.0205,18214400
2006-09-25,1.0321,1.0609,1.0124,1.0582,37670400
2006-09-26,1.0555,1.0698,1.0491,1.0669,24934400
2006-09-27,1.0653,1.0749,1.0521,1.0615,27929600
2006-09-28,1.0702,1.0725,1.0479,1.0677,14444800
2006-09-29,1.0732,1.0736,1.0582,1.0596,12473600
2006-10-02,1.0548,1.0617,1.0291,1.0337,22822400
2006-10-03,1.0242,1.0494,1.0179,1.0411,20364800
2006-10-04,1.0392,1.0915,1.0325,1.0888,27206400
2006-10-05,1.0915,1.1051,1.0862,1.1031,21580800
2006-10-06,1.0899,1.1051,1.0885,1.097,21766400
2006-10-09,1.0964,1.114,1.0922,1.1024,12217600
2006-10-10,1.1058,1.1147,1.0918,1.1085,16710400
2006-10-11,1.0963,1.1181,1.0798,1.1045,23334400
2006-10-12,1.1167,1.1412,1.1125,1.1412,26284800
2006-10-13,1.1412,1.1555,1.1351,1.1499,21683200
