Date,Open,High,Low,Close,Volume
2006-06-21,368.7323,368.7323,363.3647,364.1014,550
2006-06-22,365.9959,368.4691,365.7327,366.9957,900
2006-06-23,368.1533,368.2586,364.7854,367.1009,1013
2006-06-26,367.3114,367.8377,365.6801,365.9432,1100
2006-06-27,365.7326,369.2584,365.7326,369.1005,2213
2006-06-28,368.5744,369.6795,367.2062,367.2062,15463
2006-06-29,365.1538,365.1538,358.9969,359.1547,6825
2006-06-30,358.8917,359.6811,358.5233,359.6811,2050
2006-07-03,359.1547,359.4705,357.4182,357.576,2700
2006-07-05,360.102,361.7334,359.9442,360.2073,4725
2006-07-06,359.418,360.4178,358.2602,359.6811,4525
2006-07-07,360.6283,362.9437,359.4705,362.2596,9200
2006-07-10,361.1018,362.6805,359.9441,361.8911,3788
2006-07-11,362.7858,364.2066,359.9967,360.102,9713
2006-07-12,359.9442,364.9434,359.9442,364.4172,14238
2006-07-13,366.2589,369.6268,365.2591,369.3111,28050
2006-07-14,370.3108,373.6261,369.6267,370.8897,24100
2006-07-17,371.5213,372.7316,369.9952,372.0475,17213
2006-07-18,371.5213,374.7314,370.1005,370.9951,14238
2006-07-19,370.4688,370.4688,363.9435,364.4698,27238
2006-07-20,363.2068,368.0482,363.2068,368.0482,6138
2006-07-21,368.0481,371.1528,367.9954,370.4161,11525
2006-07-24,368.3639,368.6271,363.9962,364.3645,15700
2006-07-25,364.6802,365.7327,361.1544,362.5226,4213
2006-07-26,363.1542,364.3119,360.6809,361.9965,4738
2006-07-27,360.5756,364.575,360.4703,364.154,10300
2006-07-28,365.7328,365.7328,359.3127,359.9969,6275
2006-07-31,360.944,361.4702,359.9441,360.0494,26363
2006-08-01,362.5753,363.5751,361.8386,362.4174,10275
2006-08-02,360.9966,360.9966,358.5233,360.2073,3200
2006-08-03,362.207,362.207,358.4181,359.418,2800
2006-08-04,355.2081,361.6282,354.4188,360.1547,8363
2006-08-07,360.9966,361.8912,360.3125,361.2071,2350
2006-08-08,360.4177,363.3647,359.2074,362.7858,13388
2006-08-09,359.2601,364.3646,359.0496,364.0488,5538
2006-08-10,364.1541,365.6275,362.1017,362.8385,11563
2006-08-11,363.8909,365.2592,363.4699,364.1014,5813
2006-08-14,361.2597,363.9961,360.523,363.3647,11563
2006-08-15,360.523,360.944,358.6812,359.26,5775
2006-08-16,357.0498,358.1023,355.6816,356.1552,17600
2006-08-17,356.6289,356.7868,354.4714,355.5238,6775
2006-08-18,355.7343,356.8394,354.4714,354.6819,7700
2006-08-21,355.8922,356.2605,355.3659,355.7869,5625
2006-08-22,356.2605,356.892,354.7345,355.7869,5413
2006-08-23,355.6291,358.155,354.8397,357.8393,8500
2006-08-24,356.6815,357.9445,356.3131,356.7868,7450
2006-08-25,357.4708,357.5234,355.7869,356.8919,5575
2006-08-28,356.7867,357.5235,354.6291,355.208,5400
2006-08-29,355.7869,357.2077,354.2608,354.7344,6075
2006-08-30,354.7344,355.2606,353.945,354.7344,3288
2006-08-31,354.1555,355.3658,354.1555,354.6291,5500
2006-09-01,354.6291,354.7344,352.8926,353.1031,4375
2006-09-05,353.2084,353.9451,352.3664,352.7874,7063
2006-09-06,354.5238,356.6814,354.4185,356.4709,12425
2006-09-07,357.5235,358.7864,356.5236,358.3654,8150
2006-09-08,357.8392,358.2602,355.9974,356.8394,4075
2006-09-11,358.6286,359.26,356.05,357.1025,6325
2006-09-12,356.1025,357.3129,352.8925,353.1556,17825
2006-09-13,353.4715,353.5241,351.5244,351.6823,6850
2006-09-14,352.2084,353.3661,352.2084,352.5768,11750
2006-09-15,350.2087,352.1032,350.2087,351.9453,6325
2006-09-18,351.9454,352.2611,350.2088,351.4191,1450
2006-09-19,351.5243,353.7345,351.5243,352.1032,9413
2006-09-20,350.3668,351.5245,349.7879,350.3668,7625
2006-09-21,350.2087,353.103,349.8403,352.1557,10525
2006-09-22,353.103,354.5239,352.9978,353.524,7450
2006-09-25,352.3663,354.4712,349.8404,350.4718,8900
2006-09-26,350.2614,350.4719,347.7355,347.7355,9100
2006-09-27,347.8933,348.7879,346.9987,347.946,10150
2006-09-28,347.6829,348.8932,347.1566,347.6829,4550
2006-09-29,347.1565,348.6826,347.1565,348.4195,7050
2006-10-02,348.2618,350.2089,348.1039,350.051,8325
2006-10-03,350.735,350.9455,348.2091,349.2616,7400
2006-10-04,349.209,349.5247,344.8412,344.9991,12025
2006-10-05,344.7359,345.6305,343.9466,344.3149,16925
2006-10-06,346.5252,346.5252,344.9465,344.9465,5463
2006-10-09,345.5253,345.9989,344.6307,345.1043,4663
2006-10-10,344.7361,345.7359,344.3151,344.6834,2750
2006-10-11,346.1042,347.1567,344.6308,345.578,3025
2006-10-12,344.1571,344.6307,342.1048,342.4732,5175
2006-10-13,342.8416,342.8416,341.4208,341.6839,2500
2006-10-16,342.1573,342.1573,340.947,341.1575,4250
2006-10-17,342.631,344.2623,341.9469,342.4205,21325
2006-10-18,337.1582,343.3151,337.1582,342.21,7750
2006-10-19,343.1572,343.1572,341.7364,341.9995,5888
2006-10-20,341.8417,342.9994,341.526,341.6312,9013
2006-10-23,342.4732,342.8416,339.5263,339.9473,10750
2006-10-24,339.842,340.8418,339.6841,339.842,2450
2006-10-25,339.4736,340.2103,338.1054,338.6316,13238
2006-10-26,337.316,339.421,336.8424,337.0529,7100
2006-10-27,338.0528,340.4208,337.6844,339.421,5813
2006-10-30,339.9473,341.0524,339.2105,339.9473,3175
2006-10-31,338.9474,341.6838,338.9474,340.4209,5025
2006-11-01,339.5789,343.2626,339.2632,342.8416,9600
2006-11-02,343.6309,344.1571,342.8415,343.3677,10813
2006-11-03,342.0521,344.6306,341.8416,343.5255,5700
2006-11-06,342.6837,342.8942,339.5789,340.263,5150
2006-11-07,339.6842,340.2104,337.9476,339.2105,7400
2006-11-08,340.7366,340.9471,337.9476,338.6843,5438
2006-11-09,338.158,340.6839,337.8422,340.3682,6838
2006-11-10,340.4209,341.2102,339.6841,339.842,2625
2006-11-13,340.7366,340.7366,338.4211,339.0526,2475
2006-11-14,338.6317,340.5261,336.632,336.9477,9375
2006-11-15,337.0529,337.0529,335.0005,335.8951,6525
