Date,Open,High,Low,Close,Volume
2009-06-25,614240.0,616160.0,585600.0,586320.0,8
2009-06-26,592560.0,600320.0,582960.0,590640.0,16
2009-06-29,585600.0,593280.0,572000.0,573040.0,17
2009-06-30,573680.0,600160.0,567440.0,587040.0,38
2009-07-01,580000.0,582000.0,563440.0,580880.0,40
2009-07-02,603360.0,628880.0,603040.0,627200.0,36
2009-07-06,646240.0,651920.0,625600.0,625760.0,62
2009-07-07,629120.0,664640.0,628560.0,663520.0,73
2009-07-08,653600.0,688080.0,648080.0,663440.0,112
2009-07-09,652720.0,667200.0,646080.0,662000.0,72
2009-07-10,672240.0,679760.0,655120.0,666400.0,86
2009-07-13,659440.0,674160.0,616480.0,616880.0,98
2009-07-14,611520.0,625040.0,605680.0,606080.0,100
2009-07-15,582560.0,585440.0,548880.0,552960.0,134
2009-07-16,558640.0,560960.0,531520.0,538400.0,113
2009-07-17,539760.0,547920.0,535040.0,538160.0,92
2009-07-20,528160.0,536800.0,518160.0,521600.0,143
2009-07-21,509040.0,532080.0,508160.0,513680.0,173
2009-07-22,523440.0,524400.0,504480.0,513200.0,180
2009-07-23,512880.0,513520.0,472640.0,479840.0,330
2009-07-24,486080.0,493360.0,472240.0,473920.0,142
2009-07-27,474880.0,483680.0,468400.0,469280.0,205
2009-07-28,478720.0,487680.0,468960.0,473920.0,312
2009-07-29,482800.0,488800.0,475280.0,479760.0,203
2009-07-30,461680.0,465200.0,447280.0,462720.0,255
2009-07-31,464240.0,468000.0,452880.0,462000.0,175
2009-08-03,446880.0,454720.0,438080.0,440160.0,271
2009-08-04,444720.0,447680.0,433840.0,436000.0,258
2009-08-05,434800.0,450080.0,433680.0,440560.0,273
2009-08-06,433600.0,452320.0,431520.0,446160.0,235
2009-08-07,431840.0,439600.0,417840.0,428800.0,257
2009-08-10,434640.0,440320.0,428560.0,431520.0,183
2009-08-11,437120.0,450800.0,436480.0,448560.0,177
2009-08-12,449120.0,449920.0,422720.0,433040.0,314
2009-08-13,427200.0,440000.0,422720.0,423200.0,239
2009-08-14,423280.0,446400.0,423120.0,433360.0,220
2009-08-17,458080.0,467200.0,456560.0,465680.0,202
2009-08-18,461680.0,464000.0,448560.0,452560.0,203
2009-08-19,464400.0,464800.0,437360.0,440720.0,302
2009-08-20,440000.0,442480.0,425200.0,427680.0,184
2009-08-21,417520.0,419680.0,400480.0,402800.0,211
2009-08-24,397680.0,406960.0,391120.0,402880.0,223
2009-08-25,398160.0,403120.0,388880.0,401120.0,258
2009-08-26,404080.0,408080.0,394880.0,400240.0,247
2009-08-27,401040.0,414640.0,393760.0,396400.0,277
2009-08-28,387840.0,405920.0,386640.0,398320.0,235
2009-08-31,409680.0,416000.0,406720.0,407840.0,319
2009-09-01,414960.0,437840.0,398960.0,436160.0,456
2009-09-02,441200.0,443600.0,432400.0,440320.0,228
2009-09-03,432720.0,443200.0,427840.0,430160.0,176
2009-09-04,426160.0,430640.0,411200.0,411200.0,243
2009-09-08,399600.0,407360.0,399040.0,400640.0,184
2009-09-09,398560.0,402160.0,387200.0,391200.0,180
2009-09-10,390720.0,397200.0,378560.0,379280.0,236
2009-09-11,377600.0,384880.0,374000.0,379520.0,181
2009-09-14,389200.0,389440.0,372080.0,373280.0,181
2009-09-15,371760.0,379200.0,365040.0,369440.0,219
2009-09-16,364720.0,369840.0,352080.0,352320.0,308
2009-09-17,353840.0,359680.0,344960.0,353920.0,320
2009-09-18,349200.0,356720.0,349040.0,352240.0,273
2009-09-21,361280.0,363600.0,353360.0,355680.0,246
2009-09-22,349200.0,354320.0,346720.0,349440.0,224
2009-09-23,346720.0,360160.0,340320.0,357920.0,319
2009-09-24,356080.0,374480.0,353600.0,370080.0,363
2009-09-25,372640.0,379680.0,366720.0,375840.0,295
2009-09-28,371120.0,371920.0,353600.0,356000.0,206
2009-09-29,353760.0,361200.0,348960.0,358800.0,232
2009-09-30,355360.0,372720.0,354560.0,363520.0,488
2009-10-01,366160.0,390000.0,365680.0,389760.0,362
2009-10-02,400800.0,401680.0,388480.0,394560.0,416
2009-10-05,390720.0,394320.0,374480.0,377280.0,244
2009-10-06,369440.0,370000.0,355200.0,361440.0,342
2009-10-07,364320.0,365840.0,357440.0,358480.0,218
2009-10-08,349920.0,355120.0,344720.0,350320.0,257
2009-10-09,350400.0,352480.0,344000.0,344320.0,144
2009-10-12,338640.0,343760.0,336080.0,338960.0,153
2009-10-13,342800.0,348480.0,340160.0,341600.0,189
2009-10-14,329600.0,334320.0,323200.0,324160.0,273
2009-10-15,328560.0,329200.0,320800.0,321600.0,195
2009-10-16,328640.0,333440.0,324560.0,327120.0,355
2009-10-19,325840.0,328960.0,316640.0,319280.0,288
2009-10-20,317840.0,329200.0,317840.0,324160.0,270
2009-10-21,326400.0,333920.0,314800.0,333280.0,340
2009-10-22,334000.0,340080.0,320160.0,322960.0,400
2009-10-23,319760.0,338000.0,319360.0,334080.0,388
2009-10-26,333440.0,347680.0,322800.0,345440.0,548
2009-10-27,344000.0,352080.0,340320.0,349680.0,487
2009-10-28,352400.0,370240.0,349280.0,369200.0,428
2009-10-29,361520.0,363760.0,343680.0,345840.0,390
2009-10-30,348720.0,376720.0,346080.0,374400.0,773
2009-11-02,369920.0,380960.0,355760.0,367600.0,726
2009-11-03,373920.0,375760.0,362800.0,363680.0,522
2009-11-04,354720.0,364080.0,346480.0,362000.0,553
2009-11-05,353280.0,355760.0,340480.0,341600.0,474
2009-11-06,347200.0,348800.0,335920.0,338240.0,444
2009-11-09,330560.0,331280.0,314560.0,314560.0,302
2009-11-10,317600.0,320320.0,312320.0,314960.0,356
2009-11-11,308800.0,314800.0,304560.0,310000.0,353
2009-11-12,311520.0,322160.0,306720.0,320080.0,353
2009-11-13,317280.0,322080.0,310560.0,314240.0,391
2009-11-16,308160.0,308480.0,296720.0,300560.0,372
2009-11-17,303200.0,306640.0,299440.0,299760.0,300
2009-11-18,300080.0,305840.0,298880.0,299920.0,284
2009-11-19,306400.0,317440.0,305920.0,311760.0,422
2009-11-20,317040.0,318800.0,312400.0,314160.0,341
2009-11-23,304000.0,305040.0,296320.0,302560.0,395
2009-11-24,301680.0,309120.0,300560.0,301920.0,440
2009-11-25,300320.0,303040.0,297440.0,298320.0,204
2009-11-27,322640.0,323360.0,306960.0,313120.0,337
2009-11-30,313680.0,317760.0,308000.0,309760.0,353
2009-12-01,300720.0,303040.0,295440.0,299200.0,384
2009-12-02,298560.0,301280.0,292560.0,298720.0,266
2009-12-03,296160.0,306560.0,291200.0,305040.0,349
2009-12-04,293520.0,308480.0,289200.0,300160.0,714
2009-12-07,301360.0,304560.0,296240.0,302000.0,466
2009-12-08,308160.0,314960.0,306560.0,311440.0,463
2009-12-09,312000.0,316800.0,306960.0,307920.0,536
2009-12-10,302400.0,304720.0,299200.0,302960.0,423
2009-12-11,299200.0,303360.0,297280.0,298240.0,374
2009-12-14,292800.0,297040.0,292160.0,292720.0,285
2009-12-15,296320.0,299840.0,292800.0,296960.0,245
2009-12-16,293280.0,297680.0,290800.0,295520.0,255
2009-12-17,302080.0,307200.0,300400.0,306400.0,272
2009-12-18,301280.0,308960.0,300560.0,300800.0,290
2009-12-21,296880.0,296880.0,289200.0,292480.0,288
2009-12-22,289920.0,291360.0,286800.0,288800.0,221
2009-12-23,286960.0,290720.0,286000.0,286800.0,182
2009-12-24,285440.0,285520.0,282240.0,282240.0,77
2009-12-28,279840.0,284320.0,279200.0,280960.0,121
2009-12-29,279040.0,282480.0,278960.0,282320.0,158
2009-12-30,284960.0,285440.0,281920.0,282400.0,123
2009-12-31,280880.0,290800.0,280720.0,290320.0,102
2010-01-04,283600.0,283680.0,275840.0,276240.0,274
2010-01-05,276800.0,278960.0,273760.0,273840.0,207
2010-01-06,274880.0,275520.0,271520.0,273040.0,266
2010-01-07,274800.0,277120.0,269200.0,269840.0,254
2010-01-08,272400.0,273600.0,266960.0,267200.0,204
2010-01-11,263600.0,269520.0,263280.0,266080.0,190
2010-01-12,271760.0,276640.0,269760.0,273360.0,210
2010-01-13,271520.0,275600.0,264400.0,266320.0,240
2010-01-14,267520.0,268000.0,263120.0,264080.0,211
2010-01-15,265920.0,276240.0,265200.0,272880.0,307
2010-01-19,273840.0,273840.0,261120.0,263040.0,260
2010-01-20,268800.0,277280.0,268320.0,270880.0,251
2010-01-21,270960.0,287760.0,268480.0,286640.0,445
2010-01-22,290480.0,306800.0,287360.0,305520.0,601
2010-01-25,297280.0,304160.0,296080.0,301280.0,379
2010-01-26,304800.0,307120.0,295680.0,305040.0,513
2010-01-27,306080.0,313440.0,298720.0,300480.0,580
2010-01-28,297600.0,316400.0,297440.0,311040.0,649
2010-01-29,307120.0,322720.0,300640.0,321120.0,845
2010-02-01,314320.0,315040.0,306240.0,306640.0,413
2010-02-02,304720.0,307760.0,293520.0,294720.0,512
2010-02-03,299120.0,301920.0,294720.0,298960.0,403
2010-02-04,306240.0,327440.0,306000.0,326880.0,898
2010-02-05,326080.0,344640.0,323040.0,324480.0,1471
2010-02-08,324880.0,332880.0,319040.0,332000.0,659
2010-02-09,320720.0,328560.0,310960.0,319840.0,1083
2010-02-10,321360.0,329520.0,316000.0,321280.0,869
2010-02-11,322720.0,328480.0,310320.0,311840.0,838
2010-02-12,321280.0,325520.0,311840.0,312320.0,1036
2010-02-16,304800.0,308640.0,296400.0,297520.0,500
2010-02-17,293440.0,297040.0,291920.0,293200.0,793
2010-02-18,294720.0,294960.0,286000.0,287520.0,627
2010-02-19,290320.0,292000.0,282640.0,285760.0,491
2010-02-22,283040.0,288240.0,282480.0,285760.0,352
2010-02-23,288320.0,298480.0,285440.0,296320.0,670
2010-02-24,293440.0,295760.0,286640.0,288000.0,513
2010-02-25,300480.0,302720.0,288640.0,288720.0,710
2010-02-26,288640.0,293600.0,285760.0,288320.0,378
2010-03-01,285040.0,285040.0,278880.0,279600.0,340
2010-03-02,276000.0,278720.0,273120.0,277520.0,510
2010-03-03,274880.0,278480.0,271840.0,276560.0,414
2010-03-04,275760.0,278400.0,272880.0,274000.0,392
2010-03-05,268560.0,270640.0,261760.0,262160.0,489
2010-03-08,262000.0,263360.0,260320.0,261920.0,359
2010-03-09,264720.0,264720.0,257200.0,260800.0,572
2010-03-10,260000.0,260960.0,255120.0,257200.0,579
2010-03-11,258800.0,261200.0,253680.0,253920.0,593
2010-03-12,250560.0,255840.0,250400.0,253760.0,447
2010-03-15,255040.0,259520.0,253040.0,253600.0,437
2010-03-16,251600.0,253600.0,246880.0,247520.0,678
2010-03-17,245200.0,245600.0,240880.0,243200.0,603
2010-03-18,243200.0,246400.0,242000.0,243600.0,422
2010-03-19,247200.0,250000.0,240960.0,247200.0,499
2010-03-22,251440.0,251760.0,241840.0,243120.0,530
2010-03-23,242000.0,244480.0,237440.0,237760.0,504
2010-03-24,240640.0,242880.0,238400.0,241360.0,601
2010-03-25,236320.0,243360.0,233760.0,242480.0,865
2010-03-26,241120.0,245840.0,237680.0,242240.0,721
2010-03-29,239360.0,240480.0,236960.0,238240.0,484
2010-03-30,237440.0,240960.0,235280.0,238000.0,546
2010-03-31,240880.0,242800.0,237200.0,240400.0,503
2010-04-01,235360.0,239680.0,232880.0,235120.0,569
2010-04-05,232400.0,234560.0,229280.0,229760.0,447
2010-04-06,231280.0,232160.0,226880.0,227920.0,482
2010-04-07,229440.0,234960.0,227760.0,231600.0,484
2010-04-08,234400.0,236480.0,228400.0,229360.0,660
2010-04-09,228000.0,229280.0,224720.0,225200.0,575
2010-04-12,224080.0,224800.0,222240.0,223600.0,591
2010-04-13,224480.0,227920.0,222080.0,222960.0,507
2010-04-14,220480.0,221760.0,215440.0,215680.0,647
2010-04-15,216960.0,216960.0,213840.0,215200.0,471
2010-04-16,217520.0,228720.0,216240.0,225520.0,1098
2010-04-19,227440.0,230480.0,222240.0,222720.0,857
2010-04-20,218320.0,220800.0,216400.0,217040.0,558
2010-04-21,216400.0,221680.0,215120.0,218080.0,642
2010-04-22,222800.0,226400.0,215360.0,216160.0,793
2010-04-23,216560.0,218240.0,211520.0,212000.0,546
2010-04-26,211520.0,214880.0,210160.0,214320.0,451
2010-04-27,218080.0,230640.0,214640.0,229520.0,1070
2010-04-28,225680.0,230560.0,222640.0,224560.0,1098
2010-04-29,220160.0,220400.0,214560.0,216080.0,683
2010-04-30,216000.0,226960.0,215120.0,226960.0,864
2010-05-03,223840.0,224640.0,216320.0,217360.0,699
2010-05-04,225360.0,236640.0,225200.0,233040.0,1213
2010-05-05,239440.0,242560.0,231680.0,237760.0,1157
2010-05-06,240960.0,304080.0,233440.0,260560.0,1621
2010-05-07,263280.0,284560.0,255520.0,272880.0,1769
2010-05-10,239520.0,245920.0,233520.0,237120.0,1747
2010-05-11,243680.0,244560.0,229680.0,239120.0,1016
2010-05-12,236080.0,237280.0,228160.0,229120.0,631
2010-05-13,231040.0,238000.0,227600.0,237360.0,779
2010-05-14,242400.0,256560.0,241440.0,250160.0,1302
2010-05-17,248160.0,264320.0,246160.0,249520.0,1323
2010-05-18,243440.0,262400.0,241440.0,259840.0,1473
2010-05-19,264240.0,274160.0,257360.0,264160.0,1381
2010-05-20,281040.0,294880.0,277760.0,294400.0,1589
2010-05-21,307520.0,310000.0,279280.0,281760.0,1272
2010-05-24,286720.0,293200.0,279440.0,292480.0,947
2010-05-25,313760.0,319680.0,291040.0,291680.0,1519
2010-05-26,286160.0,299520.0,278000.0,297200.0,1375
2010-05-27,280000.0,283440.0,266640.0,266960.0,998
2010-05-28,267840.0,280800.0,267520.0,276480.0,937
2010-06-01,285040.0,292000.0,272720.0,291040.0,1166
2010-06-02,286400.0,290320.0,268160.0,268160.0,1031
2010-06-03,265440.0,273520.0,263040.0,265760.0,923
2010-06-04,280480.0,295840.0,275280.0,292240.0,1103
2010-06-07,290480.0,305120.0,287040.0,304480.0,888
2010-06-08,303840.0,311760.0,292960.0,295360.0,1034
2010-06-09,289440.0,302560.0,281040.0,299680.0,900
2010-06-10,284320.0,285520.0,272240.0,272880.0,972
2010-06-11,281040.0,281040.0,268400.0,268960.0,683
2010-06-14,263040.0,271040.0,258560.0,269760.0,695
2010-06-15,264480.0,265920.0,251280.0,251920.0,866
2010-06-16,255600.0,257120.0,249040.0,252000.0,752
2010-06-17,249760.0,258080.0,249440.0,250960.0,800
2010-06-18,249440.0,252480.0,247440.0,250160.0,565
2010-06-21,240720.0,256240.0,240000.0,252400.0,823
2010-06-22,252160.0,265520.0,248800.0,264480.0,876
2010-06-23,264160.0,272400.0,261360.0,267200.0,788
2010-06-24,270800.0,282320.0,270000.0,280080.0,755
2010-06-25,277760.0,285360.0,272560.0,276320.0,834
2010-06-28,275600.0,282400.0,273280.0,279760.0,629
2010-06-29,291280.0,310480.0,290960.0,305120.0,1137
2010-06-30,308000.0,317120.0,299440.0,314800.0,1003
2010-07-01,314720.0,333200.0,311680.0,317440.0,1262
2010-07-02,314880.0,328800.0,312240.0,322800.0,720
2010-07-06,309760.0,326640.0,302960.0,317360.0,842
2010-07-07,314960.0,315760.0,286160.0,286880.0,900
2010-07-08,280240.0,288720.0,277760.0,278640.0,813
2010-07-09,279040.0,280480.0,272400.0,272640.0,515
2010-07-12,275360.0,278480.0,270320.0,271680.0,606
2010-07-13,263440.0,264960.0,256240.0,259520.0,834
2010-07-14,262000.0,265200.0,256640.0,259440.0,859
2010-07-15,260000.0,270080.0,256800.0,258800.0,978
2010-07-16,263680.0,282080.0,263040.0,280480.0,923
2010-07-19,277520.0,284160.0,272960.0,275680.0,904
2010-07-20,286640.0,287040.0,265920.0,266560.0,912
2010-07-21,262400.0,280000.0,262080.0,276800.0,1023
