Date,Open,High,Low,Close,Volume
2006-06-21,4.43,4.4881,4.4262,4.4688,4436800
2006-06-22,4.4425,4.4425,4.3913,4.4212,2185600
2006-06-23,4.395,4.4612,4.3831,4.4206,713600
2006-06-26,4.4219,4.4481,4.4069,4.4462,603200
2006-06-27,4.4606,4.4606,4.3675,4.3675,1835200
2006-06-28,4.3806,4.4187,4.3562,4.4062,681600
2006-06-29,4.4688,4.5931,4.4619,4.5931,1068800
2006-06-30,4.6256,4.6312,4.5906,4.5906,1449600
2006-07-03,4.6156,4.6531,4.61,4.6531,454400
2006-07-05,4.6031,4.6106,4.5556,4.5912,1184000
2006-07-06,4.6062,4.6381,4.5912,4.6056,1865600
2006-07-07,4.5719,4.6112,4.53,4.5525,1137600
2006-07-10,4.5906,4.6081,4.5437,4.5606,1152000
2006-07-11,4.5406,4.6025,4.5044,4.5994,3080000
2006-07-12,4.5944,4.5963,4.49,4.5087,2051200
2006-07-13,4.4481,4.47,4.3694,4.3725,2780800
2006-07-14,4.3587,4.3719,4.2812,4.3331,2417600
2006-07-17,4.3394,4.3625,4.3,4.3288,910400
2006-07-18,4.3594,4.4156,4.2569,4.3356,3278400
2006-07-19,4.375,4.5125,4.3744,4.4844,3504000
2006-07-20,4.525,4.5312,4.4219,4.4319,1844800
2006-07-21,4.3938,4.4131,4.3444,4.3619,2054400
2006-07-24,4.4044,4.5087,4.4044,4.5,2134400
2006-07-25,4.4913,4.5806,4.4706,4.5569,2742400
2006-07-26,4.5275,4.5963,4.5087,4.5656,2211200
2006-07-27,4.5994,4.6125,4.5037,4.5219,2864000
2006-07-28,4.5444,4.6413,4.5413,4.625,1806400
2006-07-31,4.625,4.625,4.595,4.6125,908800
2006-08-01,4.5625,4.5969,4.5281,4.5712,836800
2006-08-02,4.6169,4.6594,4.595,4.6062,1172800
2006-08-03,4.5625,4.6638,4.5625,4.6294,1441600
2006-08-04,4.7312,4.7344,4.5875,4.6281,2753600
2006-08-07,4.6,4.6219,4.5813,4.6025,785600
2006-08-08,4.6375,4.6462,4.545,4.565,923200
2006-08-09,4.6069,4.6537,4.525,4.53,1115200
2006-08-10,4.5188,4.5781,4.5006,4.57,2590400
2006-08-11,4.5625,4.5625,4.5062,4.5369,1950400
2006-08-14,4.5931,4.6725,4.5394,4.5525,1545600
2006-08-15,4.6231,4.675,4.6112,4.6644,1350400
2006-08-16,4.6969,4.7506,4.6919,4.7425,1792000
2006-08-17,4.7413,4.7869,4.73,4.7619,3046400
2006-08-18,4.7775,4.7937,4.7306,4.7812,1331200
2006-08-21,4.75,4.7712,4.7438,4.7587,649600
2006-08-22,4.7537,4.7913,4.7344,4.7669,1113600
2006-08-23,4.7731,4.7875,4.6975,4.7238,996800
2006-08-24,4.7562,4.7562,4.7112,4.7413,1408000
2006-08-25,4.7337,4.7712,4.7238,4.75,635200
2006-08-28,4.745,4.8075,4.7319,4.7906,1110400
2006-08-29,4.7869,4.8144,4.7419,4.8131,947200
2006-08-30,4.8313,4.8313,4.7387,4.8125,470400
2006-08-31,4.7969,4.8187,4.7937,4.8088,444800
2006-09-01,4.8281,4.8625,4.8137,4.8575,905600
2006-09-05,4.8544,4.8825,4.8387,4.8663,984000
2006-09-06,4.8394,4.8394,4.7688,4.7812,902400
2006-09-07,4.7381,4.7806,4.715,4.7331,1017600
2006-09-08,4.7456,4.7756,4.73,4.7669,902400
2006-09-11,4.7381,4.7944,4.705,4.7656,524800
2006-09-12,4.7781,4.8669,4.7781,4.8587,1075200
2006-09-13,4.8713,4.9138,4.8525,4.9062,636800
2006-09-14,4.89,4.8944,4.8644,4.8825,803200
2006-09-15,4.9469,4.9625,4.9056,4.9244,998400
2006-09-18,4.915,4.9494,4.9019,4.9237,544000
2006-09-19,4.91,4.9256,4.8488,4.8919,1604800
2006-09-20,4.9525,4.9675,4.925,4.9513,1241600
2006-09-21,4.975,4.975,4.8787,4.8975,825600
2006-09-22,4.8969,4.8969,4.84,4.8706,560000
2006-09-25,4.9138,4.9794,4.8525,4.9612,1308800
2006-09-26,4.965,5.03,4.9544,5.0262,1222400
2006-09-27,5.0406,5.0563,5.0113,5.0388,1395200
2006-09-28,5.0656,5.0912,5.0156,5.055,1424000
2006-09-29,5.0531,5.0606,5.0287,5.0344,755200
2006-10-02,5.0294,5.0456,4.9844,4.9925,720000
2006-10-03,4.9906,5.0444,4.9612,5.0106,764800
2006-10-04,5.0125,5.135,4.99,5.1281,1673600
2006-10-05,5.1438,5.1663,5.1219,5.1525,1104000
2006-10-06,5.1069,5.14,5.0956,5.1375,2622400
2006-10-09,5.1219,5.1544,5.1075,5.1425,654400
2006-10-10,5.1413,5.1663,5.1244,5.1581,660800
2006-10-11,5.1225,5.1625,5.0856,5.1375,899200
2006-10-12,5.1725,5.2362,5.1594,5.2294,2403200
2006-10-13,5.2188,5.2581,5.2094,5.2537,950400
2006-10-16,5.2394,5.2812,5.2387,5.27,982400
2006-10-17,5.2312,5.2531,5.1781,5.2275,2585600
2006-10-18,5.2987,5.2994,5.2056,5.2425,2396800
2006-10-19,5.2275,5.2631,5.2169,5.2519,1275200
2006-10-20,5.2562,5.2937,5.2206,5.2594,840000
2006-10-23,5.2312,5.3281,5.2238,5.3081,2041600
2006-10-24,5.3125,5.3319,5.2894,5.3319,852800
2006-10-25,5.3319,5.3744,5.3156,5.3619,1454400
2006-10-26,5.4012,5.42,5.3425,5.4081,2150400
2006-10-27,5.3606,5.3994,5.3137,5.3369,1715200
2006-10-30,5.3094,5.3531,5.2962,5.33,1481600
2006-10-31,5.35,5.3525,5.2825,5.3125,2000000
2006-11-01,5.3569,5.3606,5.2362,5.2494,2022400
2006-11-02,5.2219,5.255,5.2069,5.245,1787200
2006-11-03,5.2812,5.2812,5.2,5.2125,2097600
2006-11-06,5.2625,5.3556,5.2512,5.3394,1664000
2006-11-07,5.3406,5.4156,5.3356,5.3675,1833600
2006-11-08,5.3219,5.4125,5.3031,5.4025,1644800
2006-11-09,5.4094,5.4144,5.3238,5.3406,1726400
2006-11-10,5.3481,5.3538,5.3106,5.35,896000
2006-11-13,5.3344,5.405,5.3319,5.3719,1312000
2006-11-14,5.4094,5.4606,5.3375,5.4481,2665600
2006-11-15,5.4469,5.515,5.4469,5.4869,2889600
2006-11-16,5.5069,5.5356,5.4925,5.5106,2668800
2006-11-17,5.4594,5.5113,5.4594,5.5094,920000
2006-11-20,5.4944,5.5312,5.4862,5.5062,1476800
2006-11-21,5.5125,5.525,5.5031,5.5231,673600
2006-11-22,5.5363,5.5619,5.5175,5.5469,651200
2006-11-24,5.4938,5.5381,5.4938,5.5031,134400
2006-11-27,5.4837,5.4913,5.3381,5.3562,4433600
2006-11-28,5.3463,5.3938,5.3206,5.3894,2662400
2006-11-29,5.4375,5.5,5.4275,5.4862,860800
2006-11-30,5.5037,5.5312,5.4419,5.4906,3601600
2006-12-01,5.4938,5.5094,5.3781,5.4656,2633600
2006-12-04,5.4956,5.565,5.4906,5.5531,569600
2006-12-05,5.5719,5.6056,5.5531,5.5981,1611200
2006-12-06,5.5875,5.605,5.5719,5.5819,860800
2006-12-07,5.6213,5.6294,5.5425,5.5425,1056000
2006-12-08,5.5563,5.5925,5.5131,5.5538,1726400
2006-12-11,5.5687,5.6,5.5563,5.5825,846400
2006-12-12,5.5813,5.5875,5.5244,5.5725,921600
2006-12-13,5.6188,5.6188,5.5706,5.6,1060800
2006-12-14,5.6031,5.7,5.6031,5.675,2076800
2006-12-15,5.7125,5.7312,5.6875,5.6988,1508800
2006-12-18,5.7063,5.7294,5.645,5.6625,1812800
2006-12-19,5.6094,5.7081,5.5938,5.6931,2464000
2006-12-20,5.5381,5.5706,5.4313,5.435,1993600
2006-12-21,5.4412,5.4531,5.3762,5.4025,1348800
2006-12-22,5.3881,5.3881,5.3256,5.3256,1406400
2006-12-26,5.3375,5.3962,5.3337,5.3962,870400
2006-12-27,5.4294,5.475,5.4125,5.4719,1732800
2006-12-28,5.4594,5.4719,5.4262,5.45,961600
2006-12-29,5.4406,5.4594,5.3881,5.3938,1036800
2007-01-03,5.4406,5.4681,5.3044,5.3587,3816000
2007-01-04,5.3356,5.415,5.3056,5.3863,784000
2007-01-05,5.345,5.3531,5.2906,5.3012,3776000
2007-01-08,5.3187,5.3656,5.2756,5.3456,1811200
2007-01-09,5.3531,5.3625,5.285,5.3319,1977600
2007-01-10,5.2906,5.3625,5.2812,5.3562,2985600
2007-01-11,5.3688,5.4488,5.3625,5.4206,3908800
2007-01-12,5.4106,5.4844,5.4094,5.4844,2089600
2007-01-16,5.475,5.4938,5.4538,5.4763,2235200
2007-01-17,5.465,5.5062,5.4569,5.4738,1705600
2007-01-18,5.4781,5.4862,5.4175,5.4281,2886400
2007-01-19,5.4156,5.4688,5.4156,5.4606,3483200
2007-01-22,5.465,5.465,5.3856,5.4019,2828800
2007-01-23,5.4,5.4631,5.3875,5.44,2265600
2007-01-24,5.4569,5.5269,5.455,5.525,2331200
2007-01-25,5.5212,5.5281,5.3938,5.4138,3388800
2007-01-26,5.425,5.425,5.3569,5.4,3576000
2007-01-29,5.3875,5.4313,5.3656,5.3837,3110400
2007-01-30,5.3994,5.4437,5.3875,5.4406,2404800
2007-01-31,5.4219,5.5356,5.4125,5.5081,4113600
2007-02-01,5.5456,5.5837,5.5237,5.5725,2297600
2007-02-02,5.5906,5.6,5.5637,5.5912,1379200
2007-02-05,5.5875,5.5981,5.5525,5.5837,1067200
2007-02-06,5.5938,5.6069,5.5531,5.5837,1739200
2007-02-07,5.6087,5.6319,5.5806,5.6031,1337600
2007-02-08,5.5887,5.61,5.5519,5.5919,1417600
2007-02-09,5.6013,5.625,5.4756,5.5256,2188800
2007-02-12,5.5231,5.5394,5.4587,5.4794,1662400
2007-02-13,5.5106,5.5637,5.5106,5.5637,2284800
2007-02-14,5.5938,5.6594,5.5813,5.6481,2512000
2007-02-15,5.6425,5.665,5.6281,5.6469,307200
2007-02-16,5.6312,5.6525,5.6175,5.6456,923200
2007-02-20,5.6394,5.6838,5.5963,5.6725,1736000
2007-02-21,5.6531,5.6712,5.6119,5.6619,1670400
2007-02-22,5.6781,5.695,5.6087,5.6519,931200
2007-02-23,5.6394,5.6394,5.5906,5.6213,1774400
2007-02-26,5.6588,5.6588,5.5656,5.6069,1934400
2007-02-27,5.4975,5.4975,5.0894,5.1569,10924800
2007-02-28,5.2312,5.3394,5.1781,5.2562,7571200
2007-03-01,5.0856,5.2906,5.0625,5.2425,8740800
2007-03-02,5.1956,5.2356,5.0938,5.0938,7201600
2007-03-05,5.0312,5.1506,4.9931,4.9931,2424000
2007-03-06,5.1281,5.1925,5.07,5.1656,7036800
2007-03-07,5.1744,5.2181,5.1394,5.1456,4886400
2007-03-08,5.2312,5.2669,5.1887,5.2063,3342400
2007-03-09,5.2812,5.2838,5.1875,5.2281,537600
2007-03-12,5.2119,5.2756,5.1956,5.2562,2102400
2007-03-13,5.1906,5.2356,5.0419,5.0419,7249600
2007-03-14,5.0613,5.1181,4.94,5.1181,10929600
2007-03-15,5.1119,5.17,5.0969,5.1419,3200000
2007-03-16,5.1569,5.1813,5.0794,5.0981,2547200
2007-03-19,5.1588,5.2256,5.15,5.2231,2667200
2007-03-20,5.2162,5.2838,5.2125,5.2838,2528000
2007-03-21,5.3063,5.475,5.2712,5.4581,7897600
2007-03-22,5.4563,5.4844,5.4206,5.4556,8249600
2007-03-23,5.4481,5.4938,5.4462,5.4569,2524800
2007-03-26,5.4688,5.4781,5.3556,5.4681,5008000
2007-03-27,5.4075,5.4194,5.3656,5.3981,3817600
2007-03-28,5.3612,5.37,5.285,5.3187,6164800
2007-03-29,5.375,5.375,5.275,5.3438,1174400
2007-03-30,5.3444,5.3975,5.2469,5.3406,1712000
2007-04-02,5.3444,5.3663,5.2937,5.3531,3780800
2007-04-03,5.4012,5.4769,5.4,5.4587,4915200
2007-04-04,5.4594,5.4775,5.4381,5.4656,1435200
2007-04-05,5.4606,5.5138,5.4513,5.5006,2755200
2007-04-09,5.5375,5.54,5.4956,5.5163,4392000
2007-04-10,5.5044,5.5388,5.5044,5.5219,1993600
2007-04-11,5.5312,5.5312,5.4412,5.46,3182400
2007-04-12,5.4437,5.5325,5.4244,5.5312,3296000
2007-04-13,5.5338,5.5712,5.4969,5.5712,2198400
2007-04-16,5.6163,5.6838,5.6131,5.6762,3064000
2007-04-17,5.7,5.7269,5.6762,5.7031,1960000
2007-04-18,5.6694,5.7456,5.6625,5.7069,3507200
2007-04-19,5.6512,5.7256,5.6512,5.7106,4284800
2007-04-20,5.79,5.8094,5.7463,5.8075,3177600
2007-04-23,5.8,5.8212,5.7669,5.7787,1769600
2007-04-24,5.775,5.7962,5.7175,5.7812,4456000
2007-04-25,5.825,5.8956,5.7856,5.8812,3668800
2007-04-26,5.885,5.9056,5.855,5.9,3625600
2007-04-27,5.8481,5.8975,5.8281,5.88,3262400
2007-04-30,5.875,5.8931,5.7781,5.7981,2868800
2007-05-01,5.8063,5.8144,5.7325,5.8125,5614400
2007-05-02,5.8306,5.9106,5.8125,5.8831,4856000
2007-05-03,5.8938,5.9444,5.8938,5.9363,4990400
2007-05-04,5.9625,6.0012,5.9313,5.9781,4193600
2007-05-07,5.9906,6.0031,5.9788,5.9819,1838400
2007-05-08,5.9444,5.9869,5.9206,5.975,5091200
2007-05-09,5.9569,6.0281,5.9481,6.0144,4168000
2007-05-10,5.9688,5.9875,5.8525,5.8781,6022400
2007-05-11,5.8869,5.97,5.8837,5.97,4123200
2007-05-14,5.9837,5.9994,5.9012,5.9481,2372800
2007-05-15,5.9656,6.0369,5.9156,5.9319,5388800
2007-05-16,5.9637,6.0312,5.9344,6.0269,3524800
2007-05-17,6.0031,6.0531,5.9894,6.0119,4214400
2007-05-18,6.0594,6.1025,6.0425,6.1025,4923200
2007-05-21,6.1031,6.1525,6.0938,6.0938,6588800
2007-05-22,6.1062,6.1462,6.0869,6.1044,4350400
2007-05-23,6.1325,6.1712,6.0862,6.0975,6137600
2007-05-24,6.0862,6.1481,5.95,5.9688,10361600
2007-05-25,6.0056,6.0456,5.985,6.0156,3265600
2007-05-29,6.0444,6.0813,6.0056,6.0619,3836800
2007-05-30,5.995,6.1619,5.9913,6.1619,4905600
2007-05-31,6.1813,6.1937,6.1363,6.1556,5232000
2007-06-01,6.2031,6.235,6.165,6.2038,4008000
2007-06-04,6.1656,6.2306,6.1613,6.2044,2592000
2007-06-05,6.1712,6.1925,6.1094,6.155,5500800
2007-06-06,6.1075,6.1119,6.0175,6.0181,9313600
2007-06-07,6.0006,6.035,5.8031,5.8144,16611200
2007-06-08,5.835,5.9594,5.8019,5.9437,11830400
2007-06-11,5.9406,6.0175,5.9219,5.9781,8110400
2007-06-12,5.9156,5.9825,5.8313,5.8313,8147200
2007-06-13,5.9025,6.0194,5.8762,6.0125,8526400
2007-06-14,6.0212,6.1031,6.0194,6.0781,9342400
2007-06-15,6.1781,6.2,6.145,6.1462,6880000
2007-06-18,6.175,6.1775,6.1206,6.1312,4846400
2007-06-19,6.1194,6.175,6.0981,6.1581,6472000
2007-06-20,6.1869,6.1875,5.9819,5.9887,9172800
2007-06-21,5.9856,6.0694,5.9187,6.0606,12366400
2007-06-22,6.0156,6.0413,5.8938,5.9488,11548800
2007-06-25,5.9344,5.9969,5.8275,5.8888,12051200
2007-06-26,5.8956,5.9175,5.7625,5.7656,11694400
2007-06-27,5.7337,5.9262,5.7312,5.9262,11553600
2007-06-28,5.9106,5.9894,5.9006,5.9131,15227200
2007-06-29,5.9313,6.0044,5.8113,5.9062,15792000
2007-07-02,5.945,6.0231,5.9375,6.0231,8094400
2007-07-03,6.0413,6.065,6.0294,6.0538,4776000
2007-07-05,6.0563,6.0687,5.9988,6.0394,8211200
2007-07-06,6.0544,6.12,6.0206,6.1031,6675200
2007-07-09,6.1175,6.1312,6.0763,6.105,5854400
2007-07-10,6.0437,6.0712,5.9194,5.9194,13172800
2007-07-11,5.925,6.02,5.9062,6.02,9795200
2007-07-12,6.0656,6.2356,6.0619,6.2225,11457600
2007-07-13,6.2188,6.2919,6.2063,6.26,10273600
2007-07-16,6.2525,6.2975,6.2231,6.2494,10603200
2007-07-17,6.2506,6.2944,6.2331,6.2375,7244800
2007-07-18,6.1931,6.2325,6.1156,6.22,11124800
2007-07-19,6.275,6.2913,6.2344,6.2581,7064000
2007-07-20,6.2431,6.2469,6.0731,6.1244,13556800
2007-07-23,6.1875,6.2213,6.1525,6.17,6121600
2007-07-24,6.0919,6.1206,5.9113,5.9644,14790400
2007-07-25,6.0069,6.0312,5.8656,5.9812,17796800
2007-07-26,5.8575,5.8969,5.5625,5.6969,37945600
2007-07-27,5.6881,5.75,5.49,5.49,40204800
2007-07-30,5.52,5.665,5.4781,5.6375,22276800
2007-07-31,5.7063,5.7425,5.4556,5.4906,22214400
2007-08-01,5.4738,5.5925,5.3706,5.5644,36564800
2007-08-02,5.5813,5.6519,5.5344,5.6419,20574400
2007-08-03,5.6219,5.6256,5.3113,5.325,29067200
2007-08-06,5.3769,5.5725,5.2719,5.5344,30292800
2007-08-07,5.5025,5.7275,5.4794,5.6375,25001600
2007-08-08,5.7025,5.8481,5.6494,5.7969,25532800
2007-08-09,5.5969,5.7288,5.4494,5.465,26979200
2007-08-10,5.4887,5.5319,5.2881,5.3875,46054400
2007-08-13,5.4606,5.5625,5.435,5.4412,18425600
2007-08-14,5.4781,5.48,5.2512,5.2606,30662400
2007-08-15,5.2344,5.3725,5.0988,5.13,44051200
2007-08-16,5.0363,5.2406,4.855,5.1844,72382400
2007-08-17,5.3913,5.5,5.2206,5.3981,47891200
2007-08-20,5.415,5.4406,5.2812,5.3844,32020800
2007-08-21,5.375,5.4662,5.3438,5.405,25497600
2007-08-22,5.4856,5.5363,5.4262,5.5219,28225600
2007-08-23,5.5837,5.6,5.4437,5.5113,25088000
2007-08-24,5.5156,5.6406,5.4944,5.6375,16654400
2007-08-27,5.6019,5.6156,5.5312,5.5406,15252800
2007-08-28,5.4938,5.4938,5.2819,5.3113,22872000
2007-08-29,5.3562,5.5156,5.3131,5.5012,15886400
2007-08-30,5.4131,5.5487,5.3775,5.4719,20307200
2007-08-31,5.5981,5.6469,5.5169,5.5512,22899200
2007-09-04,5.5813,5.7594,5.5631,5.695,14907200
2007-09-05,5.6125,5.6356,5.5331,5.5687,17284800
2007-09-06,5.6106,5.6487,5.5413,5.6244,12625600
2007-09-07,5.5644,5.5644,5.3994,5.4556,25568000
2007-09-10,5.4862,5.5031,5.3269,5.4194,18792000
2007-09-11,5.475,5.5706,5.4606,5.5687,18577600
2007-09-12,5.5394,5.6256,5.5194,5.5938,13459200
2007-09-13,5.6312,5.7,5.6094,5.6537,14099200
2007-09-14,5.5875,5.6744,5.5731,5.6625,9304000
2007-09-17,5.6075,5.6406,5.5662,5.59,8059200
2007-09-18,5.65,6.25,5.6213,5.9194,26377600
2007-09-19,6.0056,6.0744,5.9488,5.9981,16000000
2007-09-20,5.9831,6.0019,5.8975,5.9187,13624000
2007-09-21,5.9969,6.0125,5.9375,5.9375,8716800
2007-09-24,5.975,6.0087,5.8906,5.925,12513600
2007-09-25,5.8738,5.9006,5.8119,5.8906,13188800
2007-09-26,5.9419,5.9837,5.8987,5.9344,11401600
2007-09-27,5.9988,6.0062,5.9506,6.0062,9728000
2007-09-28,5.9969,6.0125,5.9244,5.9675,10140800
2007-10-01,5.9725,6.1337,5.9719,6.115,13036800
2007-10-02,6.1125,6.1269,6.065,6.0988,11297600
2007-10-03,6.0625,6.1069,6.0312,6.0556,11811200
2007-10-04,6.0794,6.095,6.0444,6.075,5708800
2007-10-05,6.1506,6.235,6.1231,6.2213,15198400
2007-10-08,6.1706,6.1881,6.1331,6.1569,8030400
2007-10-09,6.2025,6.26,6.1525,6.2569,10510400
2007-10-10,6.2156,6.2581,6.18,6.2306,9723200
2007-10-11,6.2981,6.3425,6.105,6.1844,18406400
2007-10-12,6.1863,6.2438,6.1694,6.2431,7584000
2007-10-15,6.2438,6.2469,6.0613,6.1462,14961600
2007-10-16,6.0906,6.1013,6.0225,6.0731,17833600
2007-10-17,6.1687,6.1687,5.9412,6.0844,24425600
2007-10-18,6.01,6.0712,5.9844,6.0481,12704000
2007-10-19,5.9825,5.9887,5.7063,5.7063,33580800
2007-10-22,5.6312,5.7944,5.6306,5.7875,27080000
2007-10-23,5.8438,5.8856,5.7606,5.8469,13222400
2007-10-24,5.8313,5.8688,5.65,5.8562,35635200
2007-10-25,5.8519,5.9113,5.73,5.8794,23980800
2007-10-26,5.9788,6.0181,5.8819,6.0169,20297600
2007-10-29,6.0375,6.0731,6.0075,6.0425,19896000
2007-10-30,6.0,6.0212,5.9519,5.9581,13872000
2007-10-31,6.0219,6.1363,5.9494,6.0931,33459200
2007-11-01,5.9862,5.9875,5.7688,5.8019,47307200
2007-11-02,5.8375,5.8375,5.6663,5.8156,33088000
2007-11-05,5.6438,5.8088,5.6438,5.7144,30507200
2007-11-06,5.7962,5.8831,5.7144,5.8831,21576000
2007-11-07,5.7494,5.8012,5.5269,5.5712,34966400
2007-11-08,5.6562,5.6562,5.3438,5.4988,44792000
2007-11-09,5.3938,5.5237,5.3281,5.36,42720000
2007-11-12,5.3119,5.45,5.24,5.2688,34192000
2007-11-13,5.3794,5.5687,5.3438,5.5687,33260800
2007-11-14,5.6619,5.6619,5.4563,5.5081,39161600
2007-11-15,5.4075,5.505,5.2869,5.3681,40816000
2007-11-16,5.3519,5.4275,5.2894,5.37,34153600
2007-11-19,5.3162,5.3575,5.1875,5.2125,44315200
2007-11-20,5.2162,5.3506,5.1056,5.2725,46014400
2007-11-21,5.2063,5.2325,5.0725,5.0738,47060800
2007-11-23,5.1762,5.2556,5.1406,5.225,13672000
2007-11-26,5.2937,5.2981,4.9906,5.025,35753600
2007-11-27,5.0906,5.1744,5.0131,5.145,36432000
2007-11-28,5.2994,5.4756,5.2444,5.4394,38513600
2007-11-29,5.3219,5.495,5.3219,5.4581,24516800
2007-11-30,5.6269,5.6269,5.4669,5.575,34696000
2007-12-03,5.5437,5.5456,5.4619,5.4781,17987200
2007-12-04,5.4563,5.4656,5.3925,5.4,20353600
2007-12-05,5.5244,5.5844,5.5,5.5681,28915200
2007-12-06,5.6075,5.7481,5.5525,5.7238,28960000
2007-12-07,5.7669,5.7694,5.7006,5.7375,22272000
2007-12-10,5.7894,5.825,5.7238,5.8075,18246400
2007-12-11,5.82,5.8738,5.4725,5.5,51688000
2007-12-12,5.625,5.7744,5.4375,5.5969,51467200
