Date,Open,High,Low,Close,Volume
2010-02-11,1.5012,1.5012,1.5007,1.5009,129600
2010-02-12,1.4954,1.4973,1.4806,1.4956,278400
2010-02-16,1.5721,1.5961,1.5638,1.5961,201600
2010-02-17,1.6258,1.6339,1.6209,1.6305,830400
2010-02-18,1.6371,1.678,1.6353,1.6727,648000
2010-02-19,1.6627,1.6944,1.6513,1.6785,1305600
2010-02-22,1.6954,1.6954,1.6659,1.6681,1094400
2010-02-23,1.6598,1.6804,1.6213,1.6285,643200
2010-02-24,1.6436,1.671,1.6334,1.6661,902400
2010-02-25,1.5937,1.6432,1.5767,1.6392,1987200
2010-02-26,1.6458,1.6545,1.6188,1.6472,1699200
2010-03-01,1.6608,1.6846,1.6562,1.6782,1075200
2010-03-02,1.6971,1.7048,1.6761,1.678,883200
2010-03-03,1.6891,1.7124,1.6717,1.6759,1137600
2010-03-04,1.6903,1.702,1.6844,1.702,988800
2010-03-05,1.7288,1.7602,1.7196,1.7602,619200
2010-03-08,1.7598,1.7676,1.7498,1.7526,614400
2010-03-09,1.7594,1.7835,1.7502,1.7594,806400
2010-03-10,1.768,1.7785,1.7504,1.7627,1051200
2010-03-11,1.7557,1.7859,1.7381,1.7859,465600
2010-03-12,1.8059,1.8059,1.7838,1.7916,523200
2010-03-15,1.7884,1.8016,1.7736,1.8016,249600
2010-03-16,1.8126,1.8294,1.7938,1.8281,384000
2010-03-17,1.8398,1.8645,1.8398,1.8445,340800
2010-03-18,1.8545,1.8751,1.8509,1.8725,484800
2010-03-19,1.8507,1.8914,1.8318,1.8507,964800
2010-03-22,1.8305,1.887,1.8305,1.8747,1152000
2010-03-23,1.8855,1.9309,1.8789,1.9288,499200
2010-03-24,1.9142,1.9238,1.8983,1.9039,427200
2010-03-25,1.9357,1.9618,1.9011,1.9053,489600
2010-03-26,1.917,1.9382,1.896,1.9106,408000
2010-03-29,1.927,1.9389,1.9259,1.9325,724800
2010-03-30,1.9461,1.9569,1.9225,1.9418,484800
2010-03-31,1.927,1.9355,1.9013,1.914,556800
2010-04-01,1.9527,1.9635,1.9217,1.9512,398400
2010-04-05,1.9686,1.98,1.9512,1.9754,590400
2010-04-06,1.9622,1.9822,1.9563,1.9722,595200
2010-04-07,1.9588,1.9701,1.9132,1.9393,1708800
2010-04-08,1.9196,1.9646,1.9104,1.9539,499200
2010-04-09,1.9652,1.9915,1.958,1.9909,720000
2010-04-12,1.9977,2.0045,1.9907,1.9975,254400
2010-04-13,1.9941,2.0112,1.9771,2.0038,720000
2010-04-14,2.0221,2.0599,2.0153,2.0582,964800
2010-04-15,2.0501,2.072,2.0454,2.072,580800
2010-04-16,2.063,2.0766,1.9788,2.0043,1790400
2010-04-19,1.9845,2.0423,1.9841,2.0389,902400
2010-04-20,2.0588,2.0626,2.0372,2.0516,710400
2010-04-21,2.0563,2.0722,2.0354,2.0563,619200
2010-04-22,2.025,2.0709,2.0038,2.0709,720000
2010-04-23,2.0616,2.103,2.0537,2.1023,2817600
2010-04-26,2.1087,2.1263,2.1042,2.1047,705600
2010-04-27,2.0877,2.1112,1.9771,1.9858,2947200
2010-04-28,2.0106,2.0301,1.9724,2.0149,1857600
2010-04-29,2.0393,2.0957,2.0393,2.0798,1075200
2010-04-30,2.0873,2.094,1.9921,1.9926,1540800
2010-05-03,2.021,2.0832,2.021,2.0683,1824000
2010-05-04,2.0132,2.0132,1.9187,1.9471,2793600
2010-05-05,1.9019,1.9556,1.8907,1.9151,1886400
2010-05-06,1.9055,1.923,1.4131,1.7304,7627200
2010-05-07,1.7202,1.7621,1.6071,1.6706,3408000
2010-05-10,1.8438,1.8813,1.8181,1.8627,3192000
2010-05-11,1.8147,1.9041,1.8105,1.8444,1800000
2010-05-12,1.8642,1.9281,1.8607,1.9255,1396800
2010-05-13,1.9092,1.9346,1.8603,1.8605,1939200
2010-05-14,1.8276,1.8387,1.7381,1.7794,1886400
2010-05-17,1.7892,1.7996,1.6918,1.7828,2356800
2010-05-18,1.8219,1.8251,1.7128,1.7253,1737600
2010-05-19,1.7032,1.7323,1.6391,1.6941,2510400
2010-05-20,1.6043,1.6154,1.5095,1.5099,10584000
2010-05-21,1.4513,1.571,1.4405,1.5691,6336000
2010-05-24,1.5447,1.5595,1.5052,1.5084,2534400
2010-05-25,1.4129,1.5037,1.3802,1.4995,6230400
2010-05-26,1.5232,1.5568,1.4615,1.4714,3739200
2010-05-27,1.5438,1.5992,1.5307,1.5992,2318400
2010-05-28,1.5942,1.5942,1.522,1.5387,6028800
2010-06-01,1.5039,1.5752,1.4886,1.4886,1992000
2010-06-02,1.5135,1.5908,1.501,1.5905,1305600
2010-06-03,1.6099,1.6198,1.5562,1.5924,2860800
2010-06-04,1.5137,1.5237,1.4235,1.4394,4329600
2010-06-07,1.4558,1.4606,1.3901,1.3914,3489600
2010-06-08,1.3961,1.4496,1.3674,1.4458,3206400
2010-06-09,1.4644,1.499,1.4184,1.4281,3384000
2010-06-10,1.494,1.5504,1.4937,1.5436,3009600
2010-06-11,1.5075,1.5674,1.5075,1.5631,3508800
2010-06-14,1.6001,1.6192,1.5538,1.5538,2452800
2010-06-15,1.5899,1.6551,1.5816,1.6496,1636800
2010-06-16,1.627,1.6638,1.6215,1.6574,1056000
2010-06-17,1.6699,1.6706,1.6126,1.6689,3096000
2010-06-18,1.6765,1.6882,1.6687,1.6757,998400
2010-06-21,1.7364,1.7451,1.6544,1.6704,3120000
2010-06-22,1.676,1.6953,1.5974,1.6013,3657600
2010-06-23,1.6042,1.6333,1.5703,1.6038,3480000
2010-06-24,1.5784,1.5851,1.5254,1.5356,3187200
2010-06-25,1.5449,1.5551,1.5046,1.543,3225600
2010-06-28,1.5406,1.5567,1.5148,1.5296,3172800
2010-06-29,1.4747,1.4747,1.3819,1.4086,4329600
2010-06-30,1.3989,1.423,1.3597,1.3661,6369600
2010-07-01,1.3656,1.3749,1.3035,1.3466,2956800
2010-07-02,1.3569,1.3641,1.3019,1.3302,4540800
2010-07-06,1.3749,1.3993,1.3194,1.3521,3993600
2010-07-07,1.3559,1.4729,1.3546,1.4686,5049600
2010-07-08,1.4993,1.5233,1.4764,1.522,3571200
2010-07-09,1.5212,1.5513,1.5144,1.5498,2740800
2010-07-12,1.5381,1.5587,1.5282,1.5574,1680000
2010-07-13,1.6002,1.6449,1.6002,1.6229,2812800
2010-07-14,1.6165,1.6415,1.5972,1.6258,3936000
2010-07-15,1.6233,1.6305,1.5671,1.6163,2875200
2010-07-16,1.5941,1.5993,1.4955,1.4996,4084800
2010-07-19,1.5205,1.5404,1.4902,1.5262,4022400
2010-07-20,1.4584,1.5633,1.4569,1.5593,11496000
2010-07-21,1.576,1.5769,1.4902,1.5116,6273600
2010-07-22,1.5561,1.6205,1.5557,1.6004,6182400
2010-07-23,1.5941,1.6561,1.5866,1.6472,5092800
2010-07-26,1.6521,1.6977,1.6455,1.6955,5064000
2010-07-27,1.722,1.722,1.6824,1.7032,5020800
2010-07-28,1.7013,1.708,1.668,1.685,4387200
2010-07-29,1.7129,1.7263,1.6307,1.6686,4857600
2010-07-30,1.6265,1.6854,1.5909,1.6686,4910400
2010-08-02,1.7345,1.7746,1.7241,1.7661,2832000
2010-08-03,1.753,1.7661,1.7152,1.7481,1171200
2010-08-04,1.761,1.7845,1.7474,1.7742,3220800
2010-08-05,1.7405,1.7705,1.7403,1.7682,2433600
2010-08-06,1.7208,1.7627,1.6928,1.7617,3691200
2010-08-09,1.778,1.7953,1.7591,1.7831,3830400
2010-08-10,1.7434,1.785,1.7131,1.7576,3662400
2010-08-11,1.6862,1.6877,1.6243,1.6337,1972800
2010-08-12,1.5714,1.621,1.5714,1.601,3446400
2010-08-13,1.5959,1.6161,1.5907,1.5955,3043200
2010-08-16,1.5714,1.6038,1.5538,1.5926,2227200
2010-08-17,1.6265,1.6778,1.6137,1.6438,1982400
2010-08-18,1.6394,1.6769,1.6123,1.6563,2827200
2010-08-19,1.6335,1.6409,1.5589,1.5837,9187200
2010-08-20,1.5691,1.5703,1.5258,1.5593,2371200
2010-08-23,1.5737,1.5962,1.5377,1.5396,2990400
2010-08-24,1.4934,1.5112,1.4578,1.4767,3254400
2010-08-25,1.4601,1.501,1.4339,1.4883,3350400
2010-08-26,1.5021,1.5036,1.4481,1.4534,3316800
2010-08-27,1.4837,1.5301,1.4343,1.5284,4915200
2010-08-30,1.5116,1.5258,1.4652,1.4652,2328000
2010-08-31,1.4533,1.494,1.4383,1.4658,2208000
2010-09-01,1.5163,1.5834,1.515,1.5803,6062400
2010-09-02,1.5879,1.6019,1.572,1.6008,3326400
2010-09-03,1.6474,1.664,1.6244,1.6616,3974400
2010-09-07,1.6428,1.6455,1.6078,1.6135,2112000
2010-09-08,1.6199,1.6523,1.6199,1.6324,2443200
2010-09-09,1.6826,1.6826,1.6351,1.6474,3043200
2010-09-10,1.6587,1.6712,1.6466,1.669,2188800
2010-09-13,1.7136,1.7229,1.6864,1.7114,3580800
2010-09-14,1.7046,1.7326,1.69,1.7076,2956800
2010-09-15,1.6902,1.7309,1.6837,1.725,1545600
2010-09-16,1.7112,1.7402,1.7046,1.7375,3278400
2010-09-17,1.7576,1.7616,1.7235,1.742,1550400
2010-09-20,1.7593,1.8235,1.7502,1.8123,2539200
2010-09-21,1.8155,1.8523,1.7964,1.8197,2884800
2010-09-22,1.8201,1.8389,1.7926,1.807,3926400
2010-09-23,1.7682,1.8157,1.7579,1.7682,2702400
2010-09-24,1.8246,1.8688,1.8207,1.8652,1867200
2010-09-27,1.8677,1.8722,1.8406,1.8436,1872000
2010-09-28,1.8408,1.8773,1.8004,1.8665,4958400
2010-09-29,1.8535,1.8718,1.8364,1.8512,3979200
2010-09-30,1.8834,1.9103,1.8085,1.8307,5284800
2010-10-01,1.8635,1.8711,1.83,1.8493,4497600
2010-10-04,1.8427,1.8624,1.7915,1.8118,2169600
2010-10-05,1.8662,1.9185,1.8487,1.9046,3422400
2010-10-06,1.9111,1.9264,1.8995,1.9221,2064000
2010-10-07,1.9407,1.9418,1.8887,1.912,849600
2010-10-08,1.9251,1.9549,1.9094,1.9416,2568000
2010-10-11,1.9532,1.956,1.9302,1.9464,840000
2010-10-12,1.9337,1.9672,1.8863,1.9492,1401600
2010-10-13,1.9797,2.0246,1.9721,1.9918,3408000
2010-10-14,1.9839,2.0008,1.952,1.9936,1488000
2010-10-15,2.019,2.019,1.9473,1.9738,2544000
2010-10-18,1.9757,2.0231,1.9735,1.9998,1084800
2010-10-19,1.9657,1.9748,1.8952,1.9287,3499200
2010-10-20,1.9431,2.0186,1.9431,1.996,3120000
2010-10-21,2.0246,2.0548,1.9778,2.0186,3763200
2010-10-22,2.0229,2.0241,1.9992,2.0114,1766400
2010-10-25,2.04,2.0728,2.0273,2.0303,2304000
2010-10-26,2.0019,2.0394,1.9941,2.0303,2011200
2010-10-27,1.9951,2.0106,1.953,2.0072,4603200
2010-10-28,2.0337,2.0356,1.9689,1.997,5400000
