Date,Open,High,Low,Close,Volume
2009-06-25,1.0555,1.1344,1.0555,1.1298,2577600
2009-06-26,1.1202,1.1369,1.1034,1.124,13104000
2009-06-29,1.1325,1.1585,1.1166,1.1559,8690400
2009-06-30,1.1559,1.1653,1.1025,1.1283,17128800
2009-07-01,1.142,1.1742,1.1374,1.1404,12038400
2009-07-02,1.0959,1.0964,1.0459,1.0463,29275200
2009-07-06,1.0174,1.0503,1.0068,1.0491,22572000
2009-07-07,1.0441,1.0467,0.9838,0.9838,29016000
2009-07-08,1.0029,1.0089,0.9502,0.985,49824000
2009-07-09,1.0023,1.0137,0.9805,0.9911,45892800
2009-07-10,0.9734,0.9988,0.9619,0.9816,51199200
2009-07-13,0.9934,1.055,0.97,1.0533,43675200
2009-07-14,1.064,1.0749,1.0406,1.0749,38700000
2009-07-15,1.1144,1.1737,1.1101,1.1668,36921600
2009-07-16,1.1551,1.2113,1.1492,1.1981,46396800
2009-07-17,1.1945,1.204,1.1753,1.196,27374400
2009-07-20,1.2202,1.2419,1.2008,1.2323,37195200
2009-07-21,1.2642,1.2664,1.2082,1.2527,45237600
2009-07-22,1.2285,1.2742,1.2264,1.2504,37634400
2009-07-23,1.2542,1.3511,1.2531,1.3334,55022400
2009-07-24,1.3121,1.3533,1.2948,1.3509,60127200
2009-07-27,1.3467,1.3652,1.3221,1.3623,44935200
2009-07-28,1.3346,1.3636,1.3099,1.3507,46476000
2009-07-29,1.3248,1.3454,1.3066,1.3328,55908000
2009-07-30,1.3838,1.4223,1.3729,1.3744,55886400
2009-07-31,1.3759,1.4092,1.3635,1.3785,54871200
2009-08-03,1.4273,1.4531,1.4029,1.4478,39600000
2009-08-04,1.4301,1.467,1.4217,1.4618,34984800
2009-08-05,1.4653,1.4675,1.4122,1.4514,62568000
2009-08-06,1.4695,1.4739,1.4058,1.4242,69249600
2009-08-07,1.4715,1.5168,1.4473,1.4806,44042400
2009-08-10,1.4615,1.4821,1.4416,1.4704,46512000
2009-08-11,1.4533,1.455,1.4058,1.4144,48729600
2009-08-12,1.4085,1.4947,1.4085,1.4636,71791200
2009-08-13,1.4839,1.4981,1.4408,1.4967,100713600
2009-08-14,1.4978,1.4978,1.4135,1.4609,72115200
2009-08-17,1.3773,1.3802,1.3457,1.3523,84139200
2009-08-18,1.3643,1.3996,1.3556,1.3894,53431200
2009-08-19,1.3523,1.4356,1.3502,1.4213,61682400
2009-08-20,1.4248,1.4754,1.4188,1.4678,51573600
2009-08-21,1.502,1.5595,1.4939,1.5498,61516800
2009-08-24,1.5705,1.5964,1.5354,1.5495,60307200
2009-08-25,1.5709,1.6055,1.5512,1.5598,85644000
2009-08-26,1.5463,1.5827,1.5318,1.5594,83944800
2009-08-27,1.5564,1.5862,1.5064,1.5738,111304800
2009-08-28,1.6098,1.6148,1.5384,1.5682,84880800
2009-08-31,1.5236,1.5327,1.5002,1.5297,103269600
2009-09-01,1.5071,1.562,1.4183,1.4252,137505600
2009-09-02,1.4092,1.4369,1.3999,1.4117,67384800
2009-09-03,1.4347,1.4506,1.4016,1.4429,53100000
2009-09-04,1.4541,1.5073,1.4419,1.506,63266400
2009-09-08,1.5499,1.5505,1.5214,1.5456,63734400
2009-09-09,1.5543,1.597,1.5399,1.5819,54424800
2009-09-10,1.5832,1.6326,1.5587,1.6301,64742400
2009-09-11,1.6385,1.6534,1.6063,1.6277,66132000
2009-09-14,1.5869,1.6605,1.5869,1.6552,56160000
2009-09-15,1.6617,1.692,1.6286,1.6741,76881600
2009-09-16,1.6905,1.7498,1.6742,1.7484,71560800
2009-09-17,1.7438,1.7854,1.7133,1.7401,96328800
2009-09-18,1.7651,1.7655,1.7293,1.7451,87868800
2009-09-21,1.704,1.744,1.6937,1.7304,58125600
2009-09-22,1.7627,1.7756,1.739,1.763,56448000
2009-09-23,1.775,1.808,1.7086,1.7157,108964800
2009-09-24,1.7296,1.7389,1.6389,1.6603,98856000
2009-09-25,1.6491,1.6757,1.6169,1.6348,92296800
2009-09-28,1.652,1.732,1.652,1.7199,62006400
2009-09-29,1.7314,1.755,1.6952,1.7102,75484800
2009-09-30,1.7254,1.7271,1.6396,1.6876,139968000
