Date,Open,High,Low,Close,Volume
2009-06-25,1.1263,1.2104,1.1263,1.2056,2577600
2009-06-26,1.1953,1.2131,1.1774,1.1993,13104000
2009-06-29,1.2083,1.2361,1.1914,1.2333,8690400
2009-06-30,1.2333,1.2433,1.1764,1.2039,17128800
2009-07-01,1.2185,1.2529,1.2136,1.2168,12038400
2009-07-02,1.1693,1.1699,1.116,1.1164,29275200
2009-07-06,1.0856,1.1207,1.0743,1.1194,22572000
2009-07-07,1.114,1.1168,1.0497,1.0497,29016000
2009-07-08,1.0701,1.0765,1.0139,1.051,49824000
2009-07-09,1.0694,1.0817,1.0462,1.0575,45892800
2009-07-10,1.0386,1.0657,1.0264,1.0474,51199200
2009-07-13,1.06,1.1257,1.035,1.1239,43675200
2009-07-14,1.1353,1.1469,1.1103,1.1469,38700000
2009-07-15,1.189,1.2524,1.1844,1.245,36921600
2009-07-16,1.2325,1.2925,1.2263,1.2783,46396800
2009-07-17,1.2746,1.2847,1.254,1.2761,27374400
2009-07-20,1.3019,1.3251,1.2812,1.3149,37195200
2009-07-21,1.3489,1.3513,1.2892,1.3367,45237600
2009-07-22,1.3108,1.3596,1.3086,1.3342,37634400
2009-07-23,1.3382,1.4417,1.3371,1.4228,55022400
2009-07-24,1.4,1.444,1.3815,1.4414,60127200
2009-07-27,1.4369,1.4567,1.4107,1.4536,44935200
2009-07-28,1.424,1.455,1.3976,1.4412,46476000
2009-07-29,1.4136,1.4356,1.3942,1.4221,55908000
2009-07-30,1.4765,1.5176,1.4649,1.4665,55886400
2009-07-31,1.4681,1.5036,1.4549,1.4708,54871200
2009-08-03,1.5229,1.5504,1.4969,1.5449,39600000
2009-08-04,1.526,1.5653,1.5169,1.5597,34984800
2009-08-05,1.5635,1.5658,1.5068,1.5486,62568000
2009-08-06,1.5679,1.5726,1.5,1.5196,69249600
2009-08-07,1.5701,1.6185,1.5443,1.5799,44042400
2009-08-10,1.5594,1.5814,1.5382,1.5689,46512000
2009-08-11,1.5507,1.5525,1.5,1.5092,48729600
