날짜,종가,NAV,괴리율
2016-12-27,10070,10107.69,-0.37
2016-12-28,10125,10154.19,-0.29
2016-12-29,10110,10129.36,-0.19
2017-01-02,10120,10112.86,0.07
2017-01-03,10040,10035.04,0.05
2017-01-04,10070,10086.01,-0.16
2017-01-05,9755,9734.17,0.21
2017-01-06,9860,9873.23,-0.13
2017-01-09,10110,10127.89,-0.18
2017-01-10,9890,9898.71,-0.09
2017-01-11,9905,9910.52,-0.06
2017-01-12,9700,9727.83,-0.29
2017-01-13,9570,9561.17,0.09
2017-01-16,9665,9677.34,-0.13
2017-01-17,9560,9562.26,-0.02
2017-01-18,9430,9399.91,0.32
2017-01-19,9580,9609.3,-0.3
2017-01-20,9445,9489.09,-0.46
2017-01-23,9405,9400.56,0.05
2017-01-24,9400,9413.06,-0.14
2017-01-25,9415,9430.26,-0.16
2017-01-26,9295,9311.2,-0.17
2017-01-31,9345,9362.14,-0.18
2017-02-01,9290,9289.42,0.01
2017-02-02,9120,9088.82,0.34
2017-02-03,9110,9121.58,-0.13
2017-02-06,8945,8963.0,-0.2
2017-02-07,9065,9070.16,-0.06
2017-02-08,9090,9114.03,-0.26
2017-02-09,9080,9106.67,-0.29
2017-02-10,9145,9168.51,-0.26
2017-02-13,9185,9182.09,0.03
2017-02-14,8960,8964.95,-0.06
2017-02-15,9010,9034.71,-0.27
2017-02-16,9025,9032.43,-0.08
2017-02-17,9080,9115.54,-0.39
2017-02-20,9115,9128.99,-0.15
2017-02-21,9100,9100.12,-0.0
2017-02-22,9030,9049.54,-0.22
2017-02-23,8965,8975.28,-0.11
2017-02-24,8860,8875.84,-0.18
2017-02-27,8895,8920.06,-0.28
2017-02-28,8855,8857.0,-0.02
2017-03-02,9020,9046.82,-0.3
2017-03-03,9245,9258.9,-0.15
2017-03-06,9285,9280.77,0.05
2017-03-07,9110,9126.86,-0.18
2017-03-08,9100,9106.12,-0.07
2017-03-09,9285,9286.98,-0.02
2017-03-10,9270,9293.19,-0.25
2017-03-13,9080,9075.49,0.05
2017-03-14,9145,9158.91,-0.15
2017-03-15,9060,9068.47,-0.09
2017-03-16,8880,8881.25,-0.01
2017-03-17,8875,8855.84,0.22
2017-03-20,8695,8693.74,0.01
2017-03-21,8675,8684.02,-0.1
2017-03-22,8740,8743.06,-0.03
2017-03-23,8720,8720.01,-0.0
2017-03-24,8725,8721.94,0.04
2017-03-27,8580,8581.37,-0.02
2017-03-28,8570,8596.25,-0.31
2017-03-29,8605,8611.91,-0.08
2017-03-30,8650,8639.88,0.12
2017-03-31,8665,8669.66,-0.05
2017-04-03,8625,8626.11,-0.01
2017-04-04,8705,8729.83,-0.28
2017-04-05,8750,8758.63,-0.1
2017-04-06,8885,8896.48,-0.13
2017-04-07,8905,8918.01,-0.15
2017-04-10,9040,9045.34,-0.06
2017-04-11,9080,9113.68,-0.37
2017-04-12,9010,9035.13,-0.28
2017-04-13,8840,8852.32,-0.14
2017-04-14,8980,9003.12,-0.26
2017-04-17,8945,8981.12,-0.4
2017-04-18,9025,9038.74,-0.15
2017-04-19,9000,9002.31,-0.03
2017-04-20,9000,8995.12,0.05
2017-04-21,8900,8923.81,-0.27
2017-04-24,8850,8862.19,-0.14
2017-04-25,8785,8778.41,0.08
2017-04-26,8770,8801.99,-0.36
2017-04-27,8850,8852.67,-0.03
2017-04-28,8945,8959.25,-0.16
2017-05-02,8845,8871.98,-0.3
2017-05-04,8870,8905.6,-0.4
2017-05-08,8855,8888.5,-0.38
2017-05-10,8920,8956.56,-0.41
2017-05-11,8820,8835.52,-0.18
2017-05-12,8825,8815.85,0.1
2017-05-15,8760,8749.44,0.12
2017-05-16,8650,8636.36,0.16
2017-05-17,8665,8671.72,-0.08
2017-05-18,8770,8774.31,-0.05
2017-05-19,8790,8813.95,-0.27
2017-05-22,8675,8660.76,0.16
2017-05-23,8745,8749.36,-0.05
2017-05-24,8795,8789.6,0.06
2017-05-25,8645,8649.61,-0.05
2017-05-26,8710,8696.11,0.16
2017-05-29,8705,8727.18,-0.25
2017-05-30,8770,8763.82,0.07
2017-05-31,8695,8671.98,0.27
2017-06-01,8720,8733.95,-0.16
2017-06-02,8720,8728.06,-0.09
2017-06-05,8665,8667.1,-0.02
2017-06-07,8730,8748.71,-0.21
2017-06-08,8725,8730.23,-0.06
2017-06-09,8720,8751.9,-0.36
2017-06-12,8795,8814.57,-0.22
2017-06-13,8800,8834.12,-0.39
2017-06-14,8745,8755.63,-0.12
2017-06-15,8735,8756.9,-0.25
2017-06-16,8900,8924.7,-0.28
2017-06-19,8880,8900.33,-0.23
2017-06-20,8930,8941.97,-0.13
2017-06-21,9065,9063.88,0.01
2017-06-22,9025,9024.31,0.01
2017-06-23,9000,8981.49,0.21
2017-06-26,8955,8951.72,0.04
2017-06-27,8960,8964.3,-0.05
2017-06-28,9055,9075.64,-0.23
2017-06-29,9015,9035.43,-0.23
2017-06-30,9080,9086.77,-0.07
2017-07-03,9105,9121.51,-0.18
2017-07-04,9170,9183.18,-0.14
2017-07-05,9170,9173.92,-0.04
2017-07-06,9285,9292.91,-0.09
2017-07-07,9250,9251.35,-0.01
2017-07-10,9160,9182.93,-0.25
2017-07-11,9185,9198.51,-0.15
2017-07-12,9100,9109.78,-0.11
2017-07-13,8960,8965.9,-0.07
2017-07-14,8925,8929.94,-0.06
2017-07-17,8840,8839.49,0.01
2017-07-18,8760,8760.19,-0.0
2017-07-19,8725,8741.05,-0.18
2017-07-20,8800,8795.96,0.05
2017-07-21,8690,8681.42,0.1
2017-07-24,8625,8610.72,0.17
2017-07-25,8650,8634.67,0.18
2017-07-26,8730,8731.21,-0.01
2017-07-27,8605,8608.59,-0.04
2017-07-28,8740,8726.3,0.16
2017-07-31,8700,8699.31,0.01
2017-08-01,8720,8712.62,0.08
2017-08-02,8770,8762.78,0.08
2017-08-03,8830,8843.19,-0.15
2017-08-04,8775,8787.61,-0.14
2017-08-07,8810,8834.05,-0.27
2017-08-08,8795,8799.28,-0.05
2017-08-09,8930,8938.0,-0.09
2017-08-10,9050,9056.22,-0.07
2017-08-11,9070,9084.57,-0.16
2017-08-14,9010,9000.42,0.11
2017-08-16,9035,9043.0,-0.09
2017-08-17,8955,8975.82,-0.23
2017-08-18,9035,9039.55,-0.05
2017-08-21,9000,9007.79,-0.09
2017-08-22,8920,8933.23,-0.15
2017-08-23,8885,8891.9,-0.08
2017-08-24,8825,8841.49,-0.19
2017-08-25,8825,8840.32,-0.17
2017-08-28,8715,8703.91,0.13
2017-08-29,8790,8795.58,-0.06
2017-08-30,8775,8782.03,-0.08
2017-08-31,8825,8823.22,0.02
2017-09-01,8750,8753.17,-0.04
2017-09-04,8910,8897.81,0.14
2017-09-05,8870,8879.09,-0.1
2017-09-06,8930,8944.27,-0.16
2017-09-07,8840,8859.73,-0.22
2017-09-08,8805,8835.54,-0.35
2017-09-11,8875,8896.51,-0.24
2017-09-12,8840,8830.17,0.11
2017-09-13,8825,8840.39,-0.17
2017-09-14,8900,8909.91,-0.11
2017-09-15,8885,8883.38,0.02
2017-09-18,8810,8810.54,-0.01
2017-09-19,8870,8876.68,-0.08
2017-09-20,8835,8838.56,-0.04
2017-09-21,8900,8907.37,-0.08
2017-09-22,8955,8965.02,-0.11
2017-09-25,8880,8898.9,-0.21
2017-09-26,8960,8986.15,-0.29
2017-09-27,9015,9033.61,-0.21
2017-09-28,9145,9176.08,-0.34
2017-09-29,9105,9113.69,-0.1
2017-10-10,8955,8965.86,-0.12
2017-10-11,8955,8951.39,0.04
2017-10-12,8915,8923.9,-0.1
2017-10-13,8855,8855.11,-0.0
2017-10-16,8840,8834.97,0.06
2017-10-17,8910,8903.41,0.07
2017-10-18,8875,8873.2,0.02
2017-10-19,8905,8901.84,0.04
2017-10-20,8885,8891.84,-0.08
2017-10-23,8870,8872.93,-0.03
2017-10-24,8830,8838.91,-0.1
2017-10-25,8830,8838.62,-0.1
2017-10-26,8790,8784.69,0.06
2017-10-27,8870,8881.43,-0.13
2017-10-30,8790,8782.41,0.09
2017-10-31,8720,8714.04,0.07
2017-11-01,8635,8618.35,0.19
2017-11-02,8625,8619.12,0.07
2017-11-03,8605,8608.19,-0.04
2017-11-06,8635,8637.18,-0.03
2017-11-07,8580,8582.01,-0.02
