종목,파라미터,시작연도,날짜,방향,진입가,등락률(%),사건 번호,청산 사유,보유일,수익률(%)
KODEX 200,K=10,2005,2005-11-23,폭등,16600.0,4.34,1,수익청산,1,0.42
KODEX 200,K=10,2005,2007-07-27,폭락,24005.0,-4.74,2,수익청산,1,1.02
KODEX 200,K=10,2005,2007-08-01,폭락,23450.0,-4.29,2,수익청산,2,1.28
KODEX 200,K=10,2005,2007-08-10,폭락,23040.0,-4.56,2,수익청산,1,1.61
KODEX 200,K=10,2005,2007-08-16,폭락,21695.0,-6.04,2,수익청산,2,1.68
KODEX 200,K=10,2005,2007-08-20,폭등,22060.0,5.05,2,수익청산,1,0.16
KODEX 200,K=10,2005,2007-11-26,폭등,23600.0,4.45,3,수익청산,2,1.4
KODEX 200,K=10,2005,2008-09-08,폭등,19070.0,5.07,4,수익청산,1,1.63
KODEX 200,K=10,2005,2008-09-16,폭락,17980.0,-5.91,4,수익청산,1,2.78
KODEX 200,K=10,2005,2008-09-19,폭등,19080.0,6.06,4,수익청산,1,0.47
KODEX 200,K=10,2005,2008-10-08,폭락,16900.0,-4.79,4,수익청산,1,0.3
KODEX 200,K=10,2005,2008-10-14,폭등,17840.0,6.1,4,수익청산,1,2.02
KODEX 200,K=10,2005,2008-10-16,폭락,15745.0,-9.93,4,수익청산,2,0.35
KODEX 200,K=10,2005,2008-10-22,폭락,14730.0,-6.3,4,장중손절,1,-5.0
KODEX 200,K=10,2005,2008-10-23,폭락,13800.0,-6.31,4,장중손절,1,-5.0
KODEX 200,K=10,2005,2008-10-24,폭락,12160.0,-11.88,4,수익청산,1,1.15
KODEX 200,K=10,2005,2008-10-28,폭등,13400.0,8.94,4,장중손절,1,-5.0
KODEX 200,K=10,2005,2008-10-30,폭등,14820.0,14.97,4,기한청산,2,-0.67
KODEX 200,K=10,2005,2008-11-06,폭락,14300.0,-8.1,4,수익청산,1,4.41
KODEX 200,K=10,2005,2008-11-20,폭락,12430.0,-6.82,4,수익청산,1,6.19
KODEX 200,K=10,2005,2008-11-21,폭등,13200.0,6.19,4,수익청산,1,3.86
KODEX 200,K=10,2005,2008-12-08,폭등,14610.0,8.26,4,수익청산,1,0.27
KODEX 200,K=10,2005,2009-01-15,폭락,14800.0,-5.97,5,수익청산,1,2.09
