종목,청산 요일,기준선 종류,기준,구간,신호 표본,베이스라인 표본,평균 차이(%p),중앙값 차이(%p),오른 비율 차이(%p),내린 비율 차이(%p)
QQQ,금요일,같은 요일 주간 보유,close,-1,329,1383,0.06,0.17,1.86,-1.79
QQQ,금요일,같은 길이 단순 보유,close,4,78,6904,0.38,0.32,4.99,-4.75
QQQ,금요일,같은 길이 단순 보유,close,5,251,6903,-0.05,0.03,-0.79,1.0
SPY,금요일,같은 요일 주간 보유,close,-1,402,1691,-0.01,-0.05,-1.64,1.76
SPY,금요일,같은 길이 단순 보유,close,4,93,8446,0.17,0.1,2.64,-2.39
SPY,금요일,같은 길이 단순 보유,close,5,309,8445,-0.06,-0.15,-5.13,5.45
DIA,금요일,같은 요일 주간 보유,close,-1,342,1438,-0.08,-0.12,-1.57,1.57
DIA,금요일,같은 길이 단순 보유,close,4,81,7191,0.06,0.13,4.41,-4.22
DIA,금요일,같은 길이 단순 보유,close,5,261,7190,-0.12,-0.26,-5.42,5.56
KODEX 200,금요일,같은 요일 주간 보유,close,-1,286,1187,0.07,0.17,3.85,-3.43
KODEX 200,금요일,같은 길이 단순 보유,close,3,5,5888,0.51,0.06,25.38,-24.77
KODEX 200,금요일,같은 길이 단순 보유,close,4,4,5887,0.06,-0.01,19.69,-19.22
KODEX 200,금요일,같은 길이 단순 보유,close,5,42,5886,-1.13,-0.63,-8.41,8.94
KODEX 200,금요일,같은 길이 단순 보유,close,6,235,5885,0.19,0.27,4.86,-4.34
KODEX 200,목요일,같은 요일 주간 보유,close,-1,286,1186,0.02,0.1,3.66,-3.25
KODEX 200,목요일,같은 길이 단순 보유,close,2,2,5889,1.38,1.33,45.97,-45.42
KODEX 200,목요일,같은 길이 단순 보유,close,3,6,5888,-1.08,-0.35,-4.62,5.23
KODEX 200,목요일,같은 길이 단순 보유,close,4,40,5887,-0.69,0.03,-2.81,3.28
KODEX 200,목요일,같은 길이 단순 보유,close,5,238,5886,0.14,0.23,5.73,-5.63
