종목,만기월,방향,손절선(%),신호,제외,합계(%),평균(%),승률(%),최고(%),최악(%),표준편차(%),갭손절,장중손절,평균 보유일
DIA,12,위,무손절,28,0,25.08,0.9,82.14,3.8,-2.8,1.52,0,0,4.29
DIA,12,위,-1.0,28,0,14.86,0.53,64.29,3.8,-1.2,1.49,2,7,3.57
DIA,12,위,-1.5,28,0,15.28,0.55,71.43,3.8,-1.55,1.55,1,5,3.86
DIA,12,위,-2.0,28,0,15.82,0.56,75.0,3.8,-2.0,1.64,0,5,3.96
DIA,12,위,-2.5,28,0,20.03,0.72,78.57,3.8,-2.5,1.57,0,2,4.18
DIA,12,위,-3.0,28,0,19.23,0.69,78.57,3.8,-3.0,1.64,0,1,4.21
DIA,12,위,-3.5,28,0,25.08,0.9,82.14,3.8,-2.8,1.52,0,0,4.29
DIA,12,위,-4.0,28,0,25.08,0.9,82.14,3.8,-2.8,1.52,0,0,4.29
DIA,12,위,-4.5,28,0,25.08,0.9,82.14,3.8,-2.8,1.52,0,0,4.29
DIA,12,위,-5.0,28,0,25.08,0.9,82.14,3.8,-2.8,1.52,0,0,4.29
DIA,12,위,-5.5,28,0,25.08,0.9,82.14,3.8,-2.8,1.52,0,0,4.29
DIA,12,위,-6.0,28,0,25.08,0.9,82.14,3.8,-2.8,1.52,0,0,4.29
DIA,12,위,-6.5,28,0,25.08,0.9,82.14,3.8,-2.8,1.52,0,0,4.29
DIA,12,위,-7.0,28,0,25.08,0.9,82.14,3.8,-2.8,1.52,0,0,4.29
DIA,12,위,-7.5,28,0,25.08,0.9,82.14,3.8,-2.8,1.52,0,0,4.29
DIA,12,위,-8.0,28,0,25.08,0.9,82.14,3.8,-2.8,1.52,0,0,4.29
DIA,12,위,-8.5,28,0,25.08,0.9,82.14,3.8,-2.8,1.52,0,0,4.29
DIA,12,위,-9.0,28,0,25.08,0.9,82.14,3.8,-2.8,1.52,0,0,4.29
DIA,12,위,-9.5,28,0,25.08,0.9,82.14,3.8,-2.8,1.52,0,0,4.29
DIA,12,위,-10.0,28,0,25.08,0.9,82.14,3.8,-2.8,1.52,0,0,4.29
KODEX 200,9,위,무손절,23,0,28.71,1.25,78.26,4.61,-3.32,2.28,0,0,5.3
KODEX 200,9,위,-1.0,23,0,19.54,0.85,56.52,4.61,-5.35,2.42,2,6,4.3
KODEX 200,9,위,-1.5,23,0,23.21,1.01,69.57,4.61,-5.35,2.5,2,3,4.78
KODEX 200,9,위,-2.0,23,0,21.71,0.94,69.57,4.61,-5.35,2.57,2,3,4.83
KODEX 200,9,위,-2.5,23,0,19.36,0.84,69.57,4.61,-5.35,2.71,3,2,5.04
KODEX 200,9,위,-3.0,23,0,18.13,0.79,69.57,4.61,-5.35,2.78,2,3,5.04
KODEX 200,9,위,-3.5,23,0,16.84,0.73,69.57,4.61,-5.35,2.86,1,3,5.04
KODEX 200,9,위,-4.0,23,0,17.24,0.75,69.57,4.61,-5.35,2.84,1,1,5.09
KODEX 200,9,위,-4.5,23,0,16.74,0.73,69.57,4.61,-5.35,2.88,1,1,5.09
KODEX 200,9,위,-5.0,23,0,16.24,0.71,69.57,4.61,-5.35,2.93,1,1,5.09
KODEX 200,9,위,-5.5,23,0,21.17,0.92,73.91,4.61,-5.5,2.67,0,1,5.17
KODEX 200,9,위,-6.0,23,0,28.71,1.25,78.26,4.61,-3.32,2.28,0,0,5.3
KODEX 200,9,위,-6.5,23,0,28.71,1.25,78.26,4.61,-3.32,2.28,0,0,5.3
KODEX 200,9,위,-7.0,23,0,28.71,1.25,78.26,4.61,-3.32,2.28,0,0,5.3
KODEX 200,9,위,-7.5,23,0,28.71,1.25,78.26,4.61,-3.32,2.28,0,0,5.3
KODEX 200,9,위,-8.0,23,0,28.71,1.25,78.26,4.61,-3.32,2.28,0,0,5.3
KODEX 200,9,위,-8.5,23,0,28.71,1.25,78.26,4.61,-3.32,2.28,0,0,5.3
KODEX 200,9,위,-9.0,23,0,28.71,1.25,78.26,4.61,-3.32,2.28,0,0,5.3
KODEX 200,9,위,-9.5,23,0,28.71,1.25,78.26,4.61,-3.32,2.28,0,0,5.3
KODEX 200,9,위,-10.0,23,0,28.71,1.25,78.26,4.61,-3.32,2.28,0,0,5.3
DIA,6,아래,무손절,29,0,12.7,0.44,75.86,4.04,-5.46,2.15,0,0,4.93
DIA,6,아래,-1.0,29,0,1.54,0.05,41.38,4.04,-1.61,1.58,7,9,3.21
DIA,6,아래,-1.5,29,0,8.62,0.3,62.07,4.04,-1.61,1.65,2,8,3.97
DIA,6,아래,-2.0,29,0,18.89,0.65,75.86,4.04,-2.0,1.66,0,5,4.52
DIA,6,아래,-2.5,29,0,18.46,0.64,75.86,4.04,-2.5,1.73,0,4,4.69
DIA,6,아래,-3.0,29,0,15.34,0.53,75.86,4.04,-3.51,1.94,4,0,4.9
DIA,6,아래,-3.5,29,0,14.45,0.5,75.86,4.04,-3.51,2.0,1,3,4.9
DIA,6,아래,-4.0,29,0,14.01,0.48,75.86,4.04,-4.0,2.04,0,2,4.93
DIA,6,아래,-4.5,29,0,13.66,0.47,75.86,4.04,-4.5,2.07,0,1,4.93
DIA,6,아래,-5.0,29,0,13.16,0.45,75.86,4.04,-5.0,2.11,0,1,4.93
DIA,6,아래,-5.5,29,0,12.7,0.44,75.86,4.04,-5.46,2.15,0,0,4.93
DIA,6,아래,-6.0,29,0,12.7,0.44,75.86,4.04,-5.46,2.15,0,0,4.93
DIA,6,아래,-6.5,29,0,12.7,0.44,75.86,4.04,-5.46,2.15,0,0,4.93
DIA,6,아래,-7.0,29,0,12.7,0.44,75.86,4.04,-5.46,2.15,0,0,4.93
DIA,6,아래,-7.5,29,0,12.7,0.44,75.86,4.04,-5.46,2.15,0,0,4.93
DIA,6,아래,-8.0,29,0,12.7,0.44,75.86,4.04,-5.46,2.15,0,0,4.93
DIA,6,아래,-8.5,29,0,12.7,0.44,75.86,4.04,-5.46,2.15,0,0,4.93
DIA,6,아래,-9.0,29,0,12.7,0.44,75.86,4.04,-5.46,2.15,0,0,4.93
DIA,6,아래,-9.5,29,0,12.7,0.44,75.86,4.04,-5.46,2.15,0,0,4.93
DIA,6,아래,-10.0,29,0,12.7,0.44,75.86,4.04,-5.46,2.15,0,0,4.93
SPY,9,아래,무손절,33,0,28.92,0.88,72.73,6.57,-7.36,2.37,0,0,5.0
SPY,9,아래,-1.0,33,0,25.73,0.78,60.61,6.57,-2.51,1.97,2,7,4.21
SPY,9,아래,-1.5,33,0,31.09,0.94,69.7,6.57,-2.51,1.97,2,3,4.61
SPY,9,아래,-2.0,33,0,33.96,1.03,72.73,6.57,-2.51,1.95,1,2,4.73
SPY,9,아래,-2.5,33,0,33.39,1.01,72.73,6.57,-2.51,1.98,1,1,4.82
SPY,9,아래,-3.0,33,0,32.39,0.98,72.73,6.57,-3.0,2.04,0,2,4.82
SPY,9,아래,-3.5,33,0,31.39,0.95,72.73,6.57,-3.5,2.1,0,2,4.82
SPY,9,아래,-4.0,33,0,30.39,0.92,72.73,6.57,-4.0,2.17,0,2,4.85
