지수,짝 종목,배수,방식,롤 규칙,선물이 앞서는 최소 보유 기간,선물이 앞선 보유 기간 수,잰 보유 기간 수
KOSDAQ150,233740,2.0,선물 매일,만기 전 고정,5.0,7,7
KOSDAQ150,233740,2.0,선물 매일,미결제약정 역전,5.0,7,7
KOSDAQ150,251340,-1.0,선물 매일,만기 전 고정,,0,7
KOSDAQ150,251340,-1.0,선물 매일,미결제약정 역전,,0,7
KOSDAQ150,530107,-2.0,선물 매일,만기 전 고정,,0,7
KOSDAQ150,530107,-2.0,선물 매일,미결제약정 역전,5.0,5,7
KOSPI200,114800,-1.0,선물 매일,만기 전 고정,,0,7
KOSPI200,114800,-1.0,선물 매일,미결제약정 역전,,0,7
KOSPI200,122630,2.0,선물 매일,만기 전 고정,,0,7
KOSPI200,122630,2.0,선물 매일,미결제약정 역전,5.0,3,7
KOSPI200,252670,-2.0,선물 매일,만기 전 고정,5.0,3,7
KOSPI200,252670,-2.0,선물 매일,미결제약정 역전,5.0,3,7
KOSDAQ150,233740,2.0,선물 그대로,만기 전 고정,5.0,7,7
KOSDAQ150,233740,2.0,선물 그대로,미결제약정 역전,5.0,7,7
KOSDAQ150,251340,-1.0,선물 그대로,만기 전 고정,5.0,6,7
KOSDAQ150,251340,-1.0,선물 그대로,미결제약정 역전,5.0,6,7
KOSDAQ150,530107,-2.0,선물 그대로,만기 전 고정,5.0,7,7
KOSDAQ150,530107,-2.0,선물 그대로,미결제약정 역전,5.0,7,7
KOSPI200,114800,-1.0,선물 그대로,만기 전 고정,756.0,1,7
KOSPI200,114800,-1.0,선물 그대로,미결제약정 역전,756.0,1,7
KOSPI200,122630,2.0,선물 그대로,만기 전 고정,5.0,2,7
KOSPI200,122630,2.0,선물 그대로,미결제약정 역전,5.0,2,7
KOSPI200,252670,-2.0,선물 그대로,만기 전 고정,5.0,4,7
KOSPI200,252670,-2.0,선물 그대로,미결제약정 역전,5.0,3,7
