시작일,구간,시기,레버리지 ETF(%),선물 매일(%),선물 월 1회(%),선물 그대로(%),제외 사유
2022-10-17,5,고금리(2022~),-4.29,-5.35,-4.58,-4.58,
2022-10-18,5,고금리(2022~),1.24,1.95,2.59,2.59,
2022-10-19,5,고금리(2022~),-0.97,-1.75,-1.22,-1.22,
2022-10-20,5,고금리(2022~),-9.52,-9.48,-9.66,-9.66,
2022-10-21,5,고금리(2022~),-7.24,-7.35,-7.18,-7.18,
2022-10-24,5,고금리(2022~),-3.43,-2.7,-2.53,-2.53,
2022-10-25,5,고금리(2022~),-3.81,-3.33,-3.19,-3.19,
2022-10-26,5,고금리(2022~),-3.08,-2.98,-2.83,-2.83,
2022-10-27,5,고금리(2022~),4.19,4.35,4.4,4.4,
2022-10-28,5,고금리(2022~),1.5,1.19,1.33,1.33,
2022-10-31,5,고금리(2022~),2.33,1.01,1.15,1.15,
2022-11-01,5,고금리(2022~),-2.85,-4.17,-3.97,-3.97,
2022-11-02,5,고금리(2022~),-3.79,-3.61,-3.37,-3.37,
2022-11-03,5,고금리(2022~),-2.86,-2.82,-2.49,-2.49,
2022-11-04,5,고금리(2022~),-14.84,-13.6,-13.65,-13.65,
2022-11-07,5,고금리(2022~),-10.64,-9.92,-9.29,-9.29,
2022-11-08,5,고금리(2022~),-11.98,-12.32,-11.88,-11.88,
2022-11-09,5,고금리(2022~),-11.32,-11.59,-10.99,-10.99,
2022-11-10,5,고금리(2022~),-12.94,-13.67,-13.63,-13.63,
2022-11-11,5,고금리(2022~),1.49,0.03,0.57,0.57,
2022-11-14,5,고금리(2022~),3.71,3.75,4.35,4.35,
2022-11-15,5,고금리(2022~),13.51,14.91,13.75,13.75,
2022-11-16,5,고금리(2022~),6.26,6.14,6.43,6.43,
2022-11-17,5,고금리(2022~),0.74,0.46,1.11,1.11,
2022-11-18,5,고금리(2022~),0.81,0.6,1.25,1.25,
2022-11-21,5,고금리(2022~),0.89,0.18,0.8,0.8,
2022-11-22,5,고금리(2022~),-5.31,-6.09,-5.68,-5.68,
2022-11-23,5,고금리(2022~),-0.29,-0.27,0.15,0.15,
2022-11-24,5,고금리(2022~),-0.94,-0.73,-0.28,-0.28,
2022-11-25,5,고금리(2022~),0.95,1.5,2.06,2.06,
2022-11-28,5,고금리(2022~),-4.91,-4.61,-4.32,-4.32,
2022-11-29,5,고금리(2022~),3.25,3.44,3.82,3.82,
2022-11-30,5,고금리(2022~),3.6,4.03,4.38,4.38,
2022-12-01,5,고금리(2022~),8.09,9.25,8.99,8.99,
2022-12-02,5,고금리(2022~),1.21,2.87,2.98,2.98,
2022-12-05,5,고금리(2022~),5.55,7.15,6.98,6.98,
2022-12-06,5,고금리(2022~),0.31,1.43,1.49,1.49,
2022-12-07,5,고금리(2022~),-4.45,-2.38,-2.28,-2.28,
2022-12-08,5,고금리(2022~),-0.83,-0.54,-0.35,-0.35,
2022-12-09,5,고금리(2022~),4.01,3.59,3.74,3.74,
2022-12-12,5,고금리(2022~),0.57,0.48,0.69,0.69,
2022-12-13,5,고금리(2022~),6.07,6.48,6.52,6.52,
2022-12-14,5,고금리(2022~),9.31,7.56,7.46,7.46,
2022-12-15,5,고금리(2022~),-0.06,0.13,0.55,0.55,
2022-12-16,5,고금리(2022~),5.03,5.3,5.93,5.93,
2022-12-19,5,고금리(2022~),2.02,1.45,2.41,2.41,
2022-12-20,5,고금리(2022~),-5.53,-6.13,-5.49,-5.49,
2022-12-21,5,고금리(2022~),1.45,1.53,2.62,2.62,
2022-12-22,5,고금리(2022~),10.91,10.94,11.17,11.17,
2022-12-23,5,고금리(2022~),4.79,4.64,5.11,5.11,
2022-12-26,5,고금리(2022~),7.38,7.89,7.95,7.95,
2022-12-27,5,고금리(2022~),9.18,10.16,9.87,9.87,
2022-12-28,5,고금리(2022~),5.38,6.2,6.15,6.15,
2022-12-29,5,고금리(2022~),-2.51,-2.27,-2.1,-2.1,
2023-01-02,5,고금리(2022~),-7.98,-7.97,-8.18,-8.18,
2023-01-03,5,고금리(2022~),-3.36,-3.35,-3.07,-3.07,
2023-01-04,5,고금리(2022~),-6.67,-7.05,-6.88,-6.88,
2023-01-05,5,고금리(2022~),-9.19,-9.3,-9.47,-9.47,
2023-01-06,5,고금리(2022~),-4.65,-4.92,-4.7,-4.7,
2023-01-09,5,고금리(2022~),-2.37,-2.95,-2.7,-2.7,
2023-01-10,5,고금리(2022~),-2.36,-3.0,-2.75,-2.75,
2023-01-11,5,고금리(2022~),1.79,1.18,1.3,1.3,
2023-01-12,5,고금리(2022~),2.16,1.75,1.86,1.86,
2023-01-13,5,고금리(2022~),0.53,-0.3,-0.16,-0.16,
2023-01-16,5,고금리(2022~),-2.63,-2.58,-2.39,-2.39,
2023-01-17,5,고금리(2022~),-9.03,-8.86,-9.28,-9.28,
2023-01-18,5,고금리(2022~),-8.25,-7.43,-7.65,-7.65,
2023-01-19,5,고금리(2022~),-6.13,-6.39,-6.48,-6.48,
2023-01-20,5,고금리(2022~),-5.96,-5.38,-5.39,-5.39,
2023-01-25,5,고금리(2022~),-5.72,-6.16,-6.19,-6.19,
2023-01-26,5,고금리(2022~),-7.17,-7.18,-7.26,-7.26,
2023-01-27,5,고금리(2022~),-7.89,-8.45,-8.69,-8.69,
2023-01-30,5,고금리(2022~),-7.53,-7.43,-7.51,-7.51,
2023-01-31,5,고금리(2022~),-11.34,-11.62,-12.18,-12.18,
2023-02-01,5,고금리(2022~),-9.37,-8.56,-8.77,-8.77,
2023-02-02,5,고금리(2022~),-7.66,-7.47,-7.6,-7.6,
2023-02-03,5,고금리(2022~),-4.64,-5.09,-4.95,-4.95,
2023-02-06,5,고금리(2022~),-6.78,-7.47,-7.61,-7.61,
2023-02-07,5,고금리(2022~),-4.89,-5.16,-5.21,-5.21,
2023-02-08,5,고금리(2022~),0.85,-0.08,0.16,0.16,
2023-02-09,5,고금리(2022~),-4.95,-5.43,-4.95,-4.95,
2023-02-10,5,고금리(2022~),-3.47,-3.34,-2.62,-2.62,
2023-02-13,5,고금리(2022~),-9.18,-9.22,-8.77,-8.77,
2023-02-14,5,고금리(2022~),-7.83,-7.83,-7.23,-7.23,
2023-02-15,5,고금리(2022~),-6.4,-5.83,-4.84,-4.84,
2023-02-16,5,고금리(2022~),0.81,0.83,1.55,1.55,
2023-02-17,5,고금리(2022~),-1.37,-1.18,-0.56,-0.56,
