종목,환율 계열,이론값,이상치,연도,거래일,실제(%),이론(%),괴리(%p)
261240,종가 15:30,현물+금리차,포함,2016,2,0.15,0.0,0.15
261240,종가 15:30,현물+금리차,포함,2017,243,-10.39,-11.82,1.43
261240,종가 15:30,현물+금리차,포함,2018,244,6.44,4.48,1.96
261240,종가 15:30,현물+금리차,포함,2019,246,5.63,4.03,1.6
261240,종가 15:30,현물+금리차,포함,2020,248,-5.04,-6.59,1.55
261240,종가 15:30,현물+금리차,포함,2021,248,9.31,8.56,0.74
261240,종가 15:30,현물+금리차,포함,2022,246,7.52,5.87,1.65
261240,종가 15:30,현물+금리차,포함,2023,245,6.72,3.23,3.49
261240,종가 15:30,현물+금리차,포함,2024,244,20.1,15.97,4.13
261240,종가 15:30,현물+금리차,포함,2025,242,1.55,-0.94,2.49
261240,종가 15:30,현물+금리차,포함,2026,156,-1.82,-3.15,1.34
261240,종가 15:30,현물+금리차,제외,2016,2,0.15,0.0,0.15
261240,종가 15:30,현물+금리차,제외,2017,243,-10.39,-11.82,1.43
261240,종가 15:30,현물+금리차,제외,2018,244,6.44,4.48,1.96
261240,종가 15:30,현물+금리차,제외,2019,244,5.2,3.6,1.6
261240,종가 15:30,현물+금리차,제외,2020,248,-5.04,-6.59,1.55
261240,종가 15:30,현물+금리차,제외,2021,248,9.31,8.56,0.74
261240,종가 15:30,현물+금리차,제외,2022,246,7.52,5.87,1.65
261240,종가 15:30,현물+금리차,제외,2023,245,6.72,3.23,3.49
261240,종가 15:30,현물+금리차,제외,2024,244,20.1,15.97,4.13
261240,종가 15:30,현물+금리차,제외,2025,242,1.55,-0.94,2.49
261240,종가 15:30,현물+금리차,제외,2026,156,-1.82,-3.15,1.34
261240,종가 15:30,현물+달러금리,포함,2016,2,0.15,0.01,0.14
261240,종가 15:30,현물+달러금리,포함,2017,243,-10.39,-10.54,0.15
261240,종가 15:30,현물+달러금리,포함,2018,244,6.44,6.25,0.19
261240,종가 15:30,현물+달러금리,포함,2019,246,5.63,5.82,-0.19
261240,종가 15:30,현물+달러금리,포함,2020,248,-5.04,-5.71,0.67
261240,종가 15:30,현물+달러금리,포함,2021,248,9.31,9.49,-0.18
261240,종가 15:30,현물+달러금리,포함,2022,246,7.52,8.49,-0.98
261240,종가 15:30,현물+달러금리,포함,2023,245,6.72,7.13,-0.4
261240,종가 15:30,현물+달러금리,포함,2024,244,20.1,20.2,-0.1
261240,종가 15:30,현물+달러금리,포함,2025,242,1.55,1.78,-0.23
261240,종가 15:30,현물+달러금리,포함,2026,156,-1.82,-1.38,-0.44
261240,종가 15:30,현물+달러금리,제외,2016,2,0.15,0.01,0.14
261240,종가 15:30,현물+달러금리,제외,2017,243,-10.39,-10.54,0.15
261240,종가 15:30,현물+달러금리,제외,2018,244,6.44,6.25,0.19
261240,종가 15:30,현물+달러금리,제외,2019,244,5.2,5.37,-0.17
261240,종가 15:30,현물+달러금리,제외,2020,248,-5.04,-5.71,0.67
261240,종가 15:30,현물+달러금리,제외,2021,248,9.31,9.49,-0.18
261240,종가 15:30,현물+달러금리,제외,2022,246,7.52,8.49,-0.98
261240,종가 15:30,현물+달러금리,제외,2023,245,6.72,7.13,-0.4
261240,종가 15:30,현물+달러금리,제외,2024,244,20.1,20.2,-0.1
261240,종가 15:30,현물+달러금리,제외,2025,242,1.55,1.78,-0.23
261240,종가 15:30,현물+달러금리,제외,2026,156,-1.82,-1.38,-0.44
261240,매매기준율,현물+금리차,포함,2016,2,0.15,0.26,-0.11
261240,매매기준율,현물+금리차,포함,2017,243,-10.39,-11.8,1.41
261240,매매기준율,현물+금리차,포함,2018,244,6.44,4.62,1.82
261240,매매기준율,현물+금리차,포함,2019,246,5.63,3.93,1.7
261240,매매기준율,현물+금리차,포함,2020,248,-5.04,-6.55,1.51
261240,매매기준율,현물+금리차,포함,2021,248,9.31,8.09,1.22
261240,매매기준율,현물+금리차,포함,2022,246,7.52,6.4,1.12
261240,매매기준율,현물+금리차,포함,2023,245,6.72,3.12,3.61
261240,매매기준율,현물+금리차,포함,2024,244,20.1,15.65,4.45
261240,매매기준율,현물+금리차,포함,2025,242,1.55,-1.05,2.61
261240,매매기준율,현물+금리차,포함,2026,155,-1.37,-2.43,1.05
261240,매매기준율,현물+금리차,제외,2016,2,0.15,0.26,-0.11
261240,매매기준율,현물+금리차,제외,2017,243,-10.39,-11.8,1.41
261240,매매기준율,현물+금리차,제외,2018,244,6.44,4.62,1.82
261240,매매기준율,현물+금리차,제외,2019,244,5.2,3.51,1.69
261240,매매기준율,현물+금리차,제외,2020,248,-5.04,-6.55,1.51
261240,매매기준율,현물+금리차,제외,2021,248,9.31,8.09,1.22
261240,매매기준율,현물+금리차,제외,2022,246,7.52,6.4,1.12
261240,매매기준율,현물+금리차,제외,2023,245,6.72,3.12,3.61
261240,매매기준율,현물+금리차,제외,2024,244,20.1,15.65,4.45
261240,매매기준율,현물+금리차,제외,2025,242,1.55,-1.05,2.61
261240,매매기준율,현물+금리차,제외,2026,155,-1.37,-2.43,1.05
261240,매매기준율,현물+달러금리,포함,2016,2,0.15,0.27,-0.12
261240,매매기준율,현물+달러금리,포함,2017,243,-10.39,-10.53,0.14
261240,매매기준율,현물+달러금리,포함,2018,244,6.44,6.39,0.05
261240,매매기준율,현물+달러금리,포함,2019,246,5.63,5.72,-0.09
261240,매매기준율,현물+달러금리,포함,2020,248,-5.04,-5.68,0.64
261240,매매기준율,현물+달러금리,포함,2021,248,9.31,9.01,0.3
261240,매매기준율,현물+달러금리,포함,2022,246,7.52,9.04,-1.52
261240,매매기준율,현물+달러금리,포함,2023,245,6.72,7.01,-0.28
261240,매매기준율,현물+달러금리,포함,2024,244,20.1,19.87,0.23
261240,매매기준율,현물+달러금리,포함,2025,242,1.55,1.66,-0.11
261240,매매기준율,현물+달러금리,포함,2026,155,-1.37,-0.64,-0.73
261240,매매기준율,현물+달러금리,제외,2016,2,0.15,0.27,-0.12
261240,매매기준율,현물+달러금리,제외,2017,243,-10.39,-10.53,0.14
261240,매매기준율,현물+달러금리,제외,2018,244,6.44,6.39,0.05
261240,매매기준율,현물+달러금리,제외,2019,244,5.2,5.28,-0.08
261240,매매기준율,현물+달러금리,제외,2020,248,-5.04,-5.68,0.64
261240,매매기준율,현물+달러금리,제외,2021,248,9.31,9.01,0.3
261240,매매기준율,현물+달러금리,제외,2022,246,7.52,9.04,-1.52
261240,매매기준율,현물+달러금리,제외,2023,245,6.72,7.01,-0.28
