대상,격자 칸,진입 달력일,청산 상대 거래일,신호,제외,표본,평균(%),중앙값(%),오른 비율(%),내린 비율(%),최고(%),최악(%),표준편차(%),기준선 신호,기준선 제외,기준선 표본,기준선 평균(%),기준선 중앙값(%),기준선 오른 비율(%),기준선 내린 비율(%),기준선 최고(%),기준선 최악(%),기준선 표준편차(%),평균 차이(%p),중앙값 차이(%p),오른 비율 차이(%p),내린 비율 차이(%p),평균 우연확률,중앙값 우연확률,오른 비율 우연확률,내린 비율 우연확률,비고,평균-비율 어긋남,판정가능
229200,15일 → 말일-3,15,-3,131,0,131,-0.24,0.21,51.15,48.85,19.35,-17.43,4.71,2153,0,2153,-0.07,0.04,50.26,49.19,22.44,-28.75,4.97,-0.17,0.16,0.89,-0.33,0.6703,0.6743,0.9351,1.0,,True,예
229200,15일 → 말일-2,15,-2,131,0,131,-0.35,0.16,51.91,46.56,28.28,-22.45,5.52,2284,0,2284,-0.2,-0.04,49.34,50.18,31.61,-33.08,5.52,-0.16,0.2,2.57,-3.61,0.7203,0.5415,0.5764,0.3946,,True,예
229200,15일 → 말일-1,15,-1,131,0,131,-0.12,0.38,52.67,47.33,32.04,-26.07,5.82,2415,0,2415,0.05,0.13,51.14,48.53,35.46,-36.21,5.7,-0.17,0.25,1.53,-1.2,0.7293,0.4496,0.7173,0.7832,,True,예
229200,15일 → 말일,15,0,131,0,131,-0.11,0.0,49.62,49.62,29.42,-15.65,5.89,2546,0,2546,0.08,0.14,51.02,48.59,32.77,-27.22,5.58,-0.18,-0.14,-1.4,1.03,0.7213,0.8322,0.7612,0.8292,,False,예
229200,15일 → 말일+1,15,1,131,0,131,0.16,0.45,54.2,45.04,21.81,-13.07,5.53,2677,0,2677,0.35,0.29,52.48,47.03,24.97,-24.99,5.27,-0.19,0.15,1.71,-1.99,0.6863,0.8142,0.7233,0.7223,,False,예
229200,15일 → 말일+2,15,2,131,0,131,0.14,0.43,51.15,48.85,27.18,-15.39,6.12,2677,0,2677,0.34,0.34,52.37,47.18,30.47,-19.82,5.77,-0.2,0.09,-1.23,1.68,0.6903,0.8751,0.8711,0.7293,,False,예
229200,15일 → 말일+3,15,3,130,0,130,0.3,0.53,53.85,46.15,26.52,-18.28,6.47,2657,0,2657,0.41,0.57,54.42,45.43,29.79,-21.05,6.1,-0.12,-0.04,-0.58,0.73,0.8222,0.9391,0.9281,0.8581,,False,예
229200,16일 → 말일-3,16,-3,131,0,131,-0.35,-0.11,49.62,50.38,18.38,-12.78,4.33,2153,0,2153,-0.07,0.04,50.26,49.19,22.44,-28.75,4.97,-0.29,-0.16,-0.64,1.19,0.4805,0.6274,0.8621,0.7922,,False,예
229200,16일 → 말일-2,16,-2,131,0,131,-0.48,0.27,52.67,44.27,27.24,-18.08,5.18,2284,0,2284,-0.2,-0.04,49.34,50.18,31.61,-33.08,5.52,-0.28,0.31,3.33,-5.9,0.5445,0.3377,0.4496,0.1678,,True,예
229200,16일 → 말일-1,16,-1,131,0,131,-0.24,0.15,51.15,48.85,30.96,-21.91,5.53,2415,0,2415,0.05,0.13,51.14,48.53,35.46,-36.21,5.7,-0.29,0.02,0.01,0.32,0.5634,0.8631,1.0,1.0,,True,예
229200,16일 → 말일,16,0,131,0,131,-0.22,0.0,49.62,48.85,28.37,-11.22,5.66,2546,0,2546,0.08,0.14,51.02,48.59,32.77,-27.22,5.58,-0.3,-0.14,-1.4,0.27,0.5594,0.8322,0.7612,1.0,,False,예
229200,16일 → 말일+1,16,1,131,0,131,0.05,0.0,49.62,49.62,20.82,-11.06,5.32,2677,0,2677,0.35,0.29,52.48,47.03,24.97,-24.99,5.27,-0.3,-0.29,-2.87,2.59,0.4885,0.5045,0.5215,0.5205,,False,예
229200,16일 → 말일+2,16,2,131,0,131,0.03,0.52,51.91,47.33,26.14,-12.84,5.86,2677,0,2677,0.34,0.34,52.37,47.18,30.47,-19.82,5.77,-0.32,0.18,-0.46,0.15,0.5425,0.7532,1.0,1.0,,False,예
