종목,월,방향,손절선(%),진입일,진입가,청산일,보유일,청산가,수익률(%),청산 사유
229200,1,아래,3.0,2016-01-20,11155.0,2016-01-29,7,11280.0,-1.12,기한청산
229200,1,아래,3.0,2017-01-20,9205.0,2017-01-31,5,9105.0,1.09,기한청산
229200,1,아래,3.0,2018-01-19,16240.0,2018-01-24,3,16775.0,-3.29,갭손절
229200,1,아래,3.0,2019-01-18,11630.0,2019-01-28,6,11979.0,-3.0,장중손절
229200,1,아래,3.0,2020-01-20,10365.0,2020-01-31,7,9695.0,6.46,기한청산
229200,1,아래,3.0,2021-01-20,15095.0,2021-01-25,3,15548.0,-3.0,장중손절
229200,1,아래,3.0,2022-01-20,13645.0,2022-01-28,6,12335.0,9.6,기한청산
229200,1,아래,3.0,2023-01-20,9945.0,2023-01-26,2,10243.0,-3.0,장중손절
229200,1,아래,3.0,2024-01-19,13075.0,2024-01-31,8,12435.0,4.89,기한청산
229200,1,아래,3.0,2025-01-20,12155.0,2025-01-31,5,12315.0,-1.32,기한청산
229200,1,아래,3.0,2026-01-20,16220.0,2026-01-26,4,16940.0,-4.44,갭손절
229200,1,아래,4.0,2016-01-20,11155.0,2016-01-29,7,11280.0,-1.12,기한청산
229200,1,아래,4.0,2017-01-20,9205.0,2017-01-31,5,9105.0,1.09,기한청산
229200,1,아래,4.0,2018-01-19,16240.0,2018-01-29,6,16890.0,-4.0,장중손절
229200,1,아래,4.0,2019-01-18,11630.0,2019-01-31,9,12095.0,-4.0,장중손절
229200,1,아래,4.0,2020-01-20,10365.0,2020-01-31,7,9695.0,6.46,기한청산
229200,1,아래,4.0,2021-01-20,15095.0,2021-01-26,4,15699.0,-4.0,장중손절
229200,1,아래,4.0,2022-01-20,13645.0,2022-01-28,6,12335.0,9.6,기한청산
229200,1,아래,4.0,2023-01-20,9945.0,2023-01-27,3,10343.0,-4.0,장중손절
229200,1,아래,4.0,2024-01-19,13075.0,2024-01-31,8,12435.0,4.89,기한청산
229200,1,아래,4.0,2025-01-20,12155.0,2025-01-31,5,12315.0,-1.32,기한청산
229200,1,아래,4.0,2026-01-20,16220.0,2026-01-26,4,16940.0,-4.44,갭손절
229200,1,아래,5.0,2016-01-20,11155.0,2016-01-29,7,11280.0,-1.12,기한청산
229200,1,아래,5.0,2017-01-20,9205.0,2017-01-31,5,9105.0,1.09,기한청산
229200,1,아래,5.0,2018-01-19,16240.0,2018-01-29,6,17052.0,-5.0,장중손절
229200,1,아래,5.0,2019-01-18,11630.0,2019-01-31,9,12060.0,-3.7,기한청산
229200,1,아래,5.0,2020-01-20,10365.0,2020-01-31,7,9695.0,6.46,기한청산
229200,1,아래,5.0,2021-01-20,15095.0,2021-01-29,7,14415.0,4.5,기한청산
229200,1,아래,5.0,2022-01-20,13645.0,2022-01-28,6,12335.0,9.6,기한청산
229200,1,아래,5.0,2023-01-20,9945.0,2023-01-31,5,10225.0,-2.82,기한청산
229200,1,아래,5.0,2024-01-19,13075.0,2024-01-31,8,12435.0,4.89,기한청산
229200,1,아래,5.0,2025-01-20,12155.0,2025-01-31,5,12315.0,-1.32,기한청산
229200,1,아래,5.0,2026-01-20,16220.0,2026-01-26,4,17031.0,-5.0,장중손절
229200,1,아래,6.0,2016-01-20,11155.0,2016-01-29,7,11280.0,-1.12,기한청산
229200,1,아래,6.0,2017-01-20,9205.0,2017-01-31,5,9105.0,1.09,기한청산
229200,1,아래,6.0,2018-01-19,16240.0,2018-01-29,6,17214.0,-6.0,장중손절
229200,1,아래,6.0,2019-01-18,11630.0,2019-01-31,9,12060.0,-3.7,기한청산
229200,1,아래,6.0,2020-01-20,10365.0,2020-01-31,7,9695.0,6.46,기한청산
229200,1,아래,6.0,2021-01-20,15095.0,2021-01-29,7,14415.0,4.5,기한청산
229200,1,아래,6.0,2022-01-20,13645.0,2022-01-28,6,12335.0,9.6,기한청산
229200,1,아래,6.0,2023-01-20,9945.0,2023-01-31,5,10225.0,-2.82,기한청산
229200,1,아래,6.0,2024-01-19,13075.0,2024-01-31,8,12435.0,4.89,기한청산
229200,1,아래,6.0,2025-01-20,12155.0,2025-01-31,5,12315.0,-1.32,기한청산
