종목,청산 요일,만기월,신호,제외,표본,평균(%),중앙값(%),오른 비율(%),내린 비율(%),최고(%),최악(%),표준편차(%),오른 평균(%),내린 평균(%),오른 건수,내린 건수,기준선 신호,기준선 제외,기준선 표본,기준선 평균(%),기준선 중앙값(%),기준선 오른 비율(%),기준선 내린 비율(%),기준선 최고(%),기준선 최악(%),기준선 표준편차(%),기준선 오른 평균(%),기준선 내린 평균(%),기준선 오른 건수,기준선 내린 건수,평균 차이(%p),중앙값 차이(%p),오른 비율 차이(%p),내린 비율 차이(%p),평균 우연확률,중앙값 우연확률,오른 비율 우연확률,내린 비율 우연확률,비고,평균-비율 어긋남
QQQ,금요일,1,27,0,27,-0.02,0.03,51.85,48.15,4.8,-10.65,2.99,1.9,2.09,14,13,116,0,116,0.29,0.29,56.03,43.97,12.97,-10.65,3.34,2.47,2.5,65,51,-0.31,-0.26,-4.18,4.18,0.5721,0.4279,0.602,0.602,,True
QQQ,금요일,2,27,0,27,-1.03,-0.04,44.44,55.56,5.71,-10.63,3.35,1.37,2.95,12,15,109,0,109,-0.32,0.13,52.29,47.71,6.73,-10.63,2.99,1.76,2.6,57,52,-0.71,-0.17,-7.85,7.85,0.1393,0.7413,0.5075,0.5075,,False
QQQ,금요일,3,28,0,28,0.68,0.77,60.71,39.29,8.55,-7.31,3.32,2.63,2.32,17,11,116,0,116,0.16,0.26,55.17,44.83,9.28,-11.25,3.68,2.58,2.82,64,52,0.52,0.51,5.54,-5.54,0.3532,0.2886,0.5224,0.5224,,False
QQQ,금요일,4,28,0,28,1.18,1.81,67.86,32.14,8.6,-9.92,3.72,3.0,2.66,19,9,99,0,99,0.21,0.24,52.53,47.47,19.05,-24.62,4.63,3.05,2.94,52,47,0.97,1.57,15.33,-15.33,0.1592,0.0348,0.0498,0.0498,,False
QQQ,금요일,5,28,0,28,0.59,1.28,64.29,35.71,7.07,-5.13,2.8,2.29,2.46,18,10,124,0,124,0.5,0.42,54.03,45.97,20.42,-7.45,3.47,2.69,2.08,67,57,0.09,0.86,10.25,-10.25,0.9055,0.1045,0.3234,0.3234,,False
QQQ,금요일,6,28,0,28,-0.15,-0.53,42.86,57.14,7.25,-4.6,2.51,2.09,1.82,12,16,118,0,118,0.14,0.2,52.54,47.46,7.43,-10.03,2.9,2.22,2.17,62,56,-0.28,-0.73,-9.69,9.69,0.6617,0.3483,0.4328,0.4328,,False
QQQ,금요일,7,28,0,28,-0.03,0.95,60.71,39.29,3.97,-10.44,3.43,2.12,3.35,17,11,116,0,116,0.15,0.65,54.31,45.69,7.56,-10.44,2.97,2.31,2.42,63,53,-0.18,0.29,6.4,-6.4,0.7164,0.5522,0.5672,0.5672,,True
QQQ,금요일,8,28,0,28,1.16,1.52,67.86,32.14,6.2,-4.78,2.37,2.42,1.49,19,9,123,0,123,0.27,0.29,56.91,43.09,6.2,-8.0,3.06,2.3,2.4,70,53,0.89,1.23,10.95,-10.95,0.0697,0.0547,0.204,0.204,,False
QQQ,금요일,9,27,0,27,-1.11,-1.2,33.33,66.67,3.48,-5.78,2.49,1.66,2.49,9,18,115,0,115,-0.12,0.22,53.04,46.96,9.59,-11.93,2.98,1.95,2.46,61,54,-0.99,-1.42,-19.71,19.71,0.0348,0.005,0.0299,0.0299,,False
QQQ,금요일,10,27,0,27,0.6,0.82,66.67,33.33,7.33,-8.64,3.51,2.4,3.01,18,9,119,0,119,0.88,0.91,64.71,35.29,11.45,-13.43,3.71,2.87,2.77,77,42,-0.28,-0.09,1.96,-1.96,0.6517,0.8408,0.8308,0.8308,,False
QQQ,금요일,11,27,0,27,0.98,0.9,70.37,29.63,9.19,-4.95,3.0,2.33,2.22,19,8,116,0,116,0.46,0.76,62.07,37.07,9.19,-13.62,3.44,2.39,2.76,72,43,0.52,0.14,8.3,-7.44,0.408,0.8905,0.5025,0.5025,,False
QQQ,금요일,12,27,0,27,0.53,0.73,62.96,37.04,7.68,-5.28,2.56,1.93,1.86,17,10,113,0,113,0.1,0.5,56.64,43.36,7.68,-8.39,2.77,1.95,2.33,64,49,0.43,0.23,6.33,-6.33,0.2537,0.2985,0.3582,0.3582,,False
SPY,금요일,1,33,0,33,-0.01,0.56,57.58,42.42,2.48,-5.93,2.01,1.3,1.78,19,14,143,0,143,0.21,0.56,54.55,45.45,5.01,-5.93,2.21,1.81,1.71,78,65,-0.22,0.0,3.03,-3.03,0.5274,0.9403,0.8607,0.8607,,True
SPY,금요일,2,34,0,34,-0.55,-0.14,47.06,52.94,1.94,-11.16,2.43,0.97,1.9,16,18,137,0,137,-0.12,0.2,54.01,45.99,5.85,-11.16,2.22,1.34,1.83,74,63,-0.43,-0.34,-6.96,6.96,0.1891,0.2687,0.3333,0.3333,,False
SPY,금요일,3,34,0,34,0.31,-0.35,35.29,64.71,10.76,-5.89,2.94,3.22,1.27,12,22,142,0,142,0.16,0.2,51.41,48.59,10.76,-15.05,2.96,2.03,1.82,73,69,0.15,-0.55,-16.11,16.11,0.7214,0.0846,0.0299,0.0299,,True
SPY,금요일,4,34,0,34,0.58,0.78,70.59,29.41,4.6,-4.86,1.73,1.39,1.35,24,10,120,0,120,0.32,0.5,56.67,43.33,12.09,-10.19,2.51,1.8,1.62,68,52,0.26,0.27,13.92,-13.92,0.4876,0.1542,0.0448,0.0448,,False
SPY,금요일,5,34,0,34,0.39,0.34,64.71,35.29,6.58,-3.52,1.9,1.41,1.48,22,12,151,0,151,0.38,0.3,56.29,43.71,7.13,-4.59,2.09,1.79,1.43,85,66,0.01,0.04,8.41,-8.41,0.8607,0.7662,0.2488,0.2488,,False
SPY,금요일,6,34,0,34,-0.3,-0.33,32.35,67.65,6.62,-3.95,2.13,1.93,1.37,11,23,143,0,143,-0.0,-0.12,45.45,53.85,6.62,-6.14,2.1,1.7,1.44,65,77,-0.3,-0.21,-13.1,13.8,0.3333,0.3184,0.0697,0.0796,,False
SPY,금요일,7,34,0,34,0.23,0.29,55.88,44.12,4.18,-5.47,2.22,1.67,1.61,19,15,141,0,141,0.14,0.48,59.57,40.43,7.01,-7.77,2.22,1.47,1.83,84,57,0.09,-0.19,-3.69,3.69,0.8657,0.7313,0.6468,0.6468,,False
SPY,금요일,8,33,0,33,0.57,0.76,72.73,27.27,4.73,-4.78,1.85,1.37,1.59,24,9,148,0,148,0.08,0.34,59.46,39.86,5.18,-5.53,1.99,1.33,1.79,88,59,0.49,0.42,13.27,-12.59,0.0896,0.1443,0.1194,0.1393,,False
SPY,금요일,9,33,0,33,-0.88,-0.59,27.27,72.73,7.36,-6.57,2.37,1.61,1.81,9,24,141,0,141,-0.06,0.03,50.35,49.65,7.36,-8.7,2.15,1.51,1.65,71,70,-0.82,-0.62,-23.08,23.08,0.01,0.0597,0.01,0.01,,False
SPY,금요일,10,33,0,33,0.41,0.55,54.55,45.45,4.22,-6.62,2.34,2.06,1.58,18,15,146,0,146,0.52,0.56,64.38,35.62,11.25,-19.79,3.14,2.07,2.3,94,52,-0.11,-0.01,-9.84,9.84,0.8259,0.9502,0.2438,0.2438,,False
SPY,금요일,11,33,0,33,0.74,0.42,66.67,33.33,13.29,-4.62,2.93,1.96,1.69,22,11,141,0,141,0.49,0.47,66.67,33.33,13.29,-8.2,2.45,1.65,1.82,94,47,0.25,-0.05,0.0,0.0,0.5522,0.7363,1.0,1.0,,False
SPY,금요일,12,33,0,33,0.71,0.68,69.7,30.3,3.95,-2.9,1.53,1.45,0.99,23,10,138,0,138,0.14,0.22,54.35,45.65,6.65,-7.59,1.93,1.46,1.43,75,63,0.57,0.47,15.35,-15.35,0.0448,0.1443,0.0547,0.0547,,False
DIA,금요일,1,28,0,28,-0.23,0.59,57.14,42.86,2.48,-5.47,2.16,1.23,2.17,16,12,122,0,122,0.02,0.25,52.46,47.54,4.29,-5.47,2.12,1.62,1.74,64,58,-0.25,0.34,4.68,-4.68,0.4378,0.4378,0.6915,0.6915,,True
DIA,금요일,2,29,0,29,-0.83,-0.13,48.28,51.72,1.58,-12.14,2.68,0.79,2.35,14,15,117,0,117,-0.21,0.12,54.7,45.3,5.39,-12.14,2.35,1.27,1.99,64,53,-0.63,-0.25,-6.42,6.42,0.0647,0.2289,0.3483,0.3483,,False
DIA,금요일,3,29,0,29,0.35,-0.29,48.28,51.72,12.74,-5.61,3.46,2.64,1.78,14,15,121,0,121,0.23,0.26,56.2,43.8,12.74,-17.32,3.36,2.13,2.2,68,53,0.12,-0.54,-7.92,7.92,0.7662,0.194,0.4378,0.4378,,True
DIA,금요일,4,29,0,29,0.33,0.66,58.62,41.38,2.47,-3.66,1.43,1.3,1.05,17,12,102,0,102,0.4,0.4,57.84,42.16,12.6,-7.57,2.33,1.73,1.43,59,43,-0.07,0.26,0.78,-0.78,0.9005,0.4229,1.0,1.0,,False
DIA,금요일,5,29,0,29,-0.03,-0.12,48.28,51.72,6.29,-3.85,2.17,1.63,1.58,14,15,129,0,129,0.13,-0.15,48.06,51.94,6.78,-4.38,2.1,1.83,1.44,62,67,-0.16,0.03,0.21,-0.21,0.6766,1.0,1.0,1.0,,False
DIA,금요일,6,29,0,29,-0.44,-0.45,24.14,75.86,5.46,-4.04,2.15,2.4,1.34,7,22,122,0,122,-0.12,-0.06,48.36,51.64,5.6,-5.45,2.11,1.56,1.69,59,63,-0.32,-0.39,-24.22,24.22,0.3483,0.2587,0.01,0.01,,False
DIA,금요일,7,29,0,29,0.18,0.34,62.07,37.93,4.01,-4.64,2.19,1.56,2.08,18,11,120,0,120,0.2,0.36,61.67,38.33,7.39,-7.99,2.26,1.49,1.87,74,46,-0.02,-0.02,0.4,-0.4,0.8657,0.8308,1.0,1.0,,False
DIA,금요일,8,28,0,28,0.28,0.55,57.14,42.86,4.44,-5.62,1.99,1.53,1.4,16,12,126,0,126,-0.03,0.12,50.79,49.21,5.29,-6.0,1.93,1.39,1.5,64,62,0.31,0.43,6.35,-6.35,0.3383,0.1692,0.5025,0.5025,,False
DIA,금요일,9,28,0,28,-0.94,-1.02,28.57,71.43,6.7,-6.45,2.49,1.73,2.01,8,20,119,0,119,-0.08,-0.14,47.06,52.94,6.7,-7.15,2.09,1.6,1.57,56,63,-0.86,-0.87,-18.49,18.49,0.0498,0.0448,0.0249,0.0249,,False
DIA,금요일,10,28,0,28,0.74,0.75,67.86,32.14,5.69,-5.08,2.48,2.08,2.07,19,9,124,0,124,0.66,0.75,66.13,33.87,12.53,-18.85,3.21,2.16,2.28,82,42,0.09,0.0,1.73,-1.73,0.8955,0.9453,0.8159,0.8159,,False
DIA,금요일,11,28,0,28,0.7,0.79,60.71,39.29,9.63,-4.75,2.63,2.12,1.5,17,11,120,0,120,0.49,0.49,60.0,40.0,9.63,-6.56,2.35,1.87,1.58,72,48,0.21,0.31,0.71,-0.71,0.5622,0.3483,1.0,1.0,,False
DIA,금요일,12,28,0,28,0.9,0.67,82.14,17.86,3.8,-2.8,1.52,1.38,1.34,23,5,116,0,116,0.25,0.33,58.62,41.38,6.03,-7.18,1.89,1.44,1.43,68,48,0.64,0.34,23.52,-23.52,0.0299,0.2687,0.005,0.005,,False
KODEX 200,금요일,1,24,0,24,0.01,-0.36,41.67,58.33,6.21,-5.68,3.04,2.73,1.94,10,14,100,0,100,0.23,0.03,51.0,48.0,6.58,-7.14,3.02,2.54,2.21,51,48,-0.23,-0.38,-9.33,10.33,0.6567,0.3582,0.3881,0.2687,,True
