종목,청산 요일,기준선 종류,기준,구간,표본,관측 평균(%),관측 중앙값(%),무작위 하위5%(%),무작위 상위5%(%),평균 백분위,평균 우연확률,중앙값 백분위,중앙값 우연확률,관측 오른 비율(%),오른 비율 백분위,오른 비율 우연확률,관측 내린 비율(%),내린 비율 백분위,내린 비율 우연확률,비고
QQQ,금요일,같은 요일 주간 보유,close,-1,330,0.29,0.58,-0.03,0.5,70.0,0.6169,90.0,0.2139,57.88,79.5,0.3881,42.12,15.0,0.4478,
QQQ,금요일,같은 길이 단순 보유,close,4,78,0.58,0.71,-0.27,0.82,86.5,0.2786,83.5,0.3433,61.54,79.0,0.3881,38.46,17.0,0.4478,
QQQ,금요일,같은 길이 단순 보유,close,5,252,0.2,0.52,-0.1,0.59,43.0,0.8557,59.5,0.7413,56.75,39.5,0.8209,43.25,57.5,0.791,
SPY,금요일,같은 요일 주간 보유,close,-1,402,0.18,0.25,0.02,0.36,45.0,0.9204,30.5,0.6517,54.48,18.5,0.393,45.52,79.0,0.3881,
SPY,금요일,같은 길이 단순 보유,close,4,93,0.33,0.4,-0.19,0.52,79.0,0.4378,72.5,0.5622,60.22,63.0,0.6816,39.78,29.0,0.7861,
SPY,금요일,같은 길이 단순 보유,close,5,309,0.14,0.2,-0.01,0.4,34.0,0.6617,7.0,0.1642,52.75,2.5,0.0647,47.25,97.5,0.0448,
DIA,금요일,같은 요일 주간 보유,close,-1,342,0.08,0.15,-0.0,0.37,21.0,0.403,18.0,0.2736,53.51,23.0,0.4876,46.49,75.5,0.4876,
DIA,금요일,같은 길이 단순 보유,close,4,81,0.19,0.38,-0.22,0.62,59.0,0.8806,70.0,0.5721,60.49,71.5,0.5124,39.51,21.5,0.5721,
DIA,금요일,같은 길이 단순 보유,close,5,261,0.05,0.06,-0.05,0.42,24.0,0.4726,4.5,0.0746,51.34,4.5,0.1194,48.66,95.0,0.0945,
KODEX 200,금요일,같은 요일 주간 보유,close,-1,286,0.31,0.53,-0.02,0.5,64.0,0.7164,88.5,0.2338,59.79,93.5,0.1095,40.21,6.0,0.1443,
KODEX 200,금요일,같은 길이 단순 보유,close,3,5,0.68,0.29,,,,,,,80.0,,,20.0,,,표본 부족으로 검정 불가
KODEX 200,금요일,같은 길이 단순 보유,close,4,4,0.28,0.29,,,,,,,75.0,,,25.0,,,표본 부족으로 검정 불가
KODEX 200,금요일,같은 길이 단순 보유,close,5,42,-0.86,-0.28,-0.57,1.13,1.0,0.0348,11.0,0.194,47.62,12.5,0.3682,52.38,81.0,0.3682,
KODEX 200,금요일,같은 길이 단순 보유,close,6,235,0.51,0.66,-0.02,0.72,81.5,0.3582,89.5,0.1841,61.28,95.5,0.1045,38.72,6.5,0.1642,
KODEX 200,목요일,같은 요일 주간 보유,close,-1,286,0.27,0.51,0.0,0.48,56.5,0.8458,73.0,0.5323,60.49,92.0,0.1343,39.16,8.0,0.1692,
KODEX 200,목요일,같은 길이 단순 보유,close,2,2,1.49,1.49,,,,,,,100.0,,,0.0,,,표본 부족으로 검정 불가
KODEX 200,목요일,같은 길이 단순 보유,close,3,6,-0.92,-0.12,,,,,,,50.0,,,50.0,,,표본 부족으로 검정 불가
KODEX 200,목요일,같은 길이 단순 보유,close,4,40,-0.48,0.33,-0.55,1.04,6.0,0.1343,52.5,0.9602,52.5,28.5,0.7612,47.5,58.5,0.7811,
KODEX 200,목요일,같은 길이 단순 보유,close,5,238,0.42,0.58,-0.09,0.6,81.0,0.403,88.0,0.2239,61.76,96.5,0.0498,37.82,2.0,0.0547,
