종목,테스트,파라미터,시작연도,방향,시대 구간,사건,구간,기준,신호,제외,표본,평균(%),중앙값(%),승률(%),최고(%),최악(%),표준편차(%)
QQQ,테스트 A(역대급 등락),K=5,2003,폭등,전체,2,1일,종가,3,0,3,-2.94,-4.25,0.0,-0.25,-4.33,2.33
QQQ,테스트 A(역대급 등락),K=5,2003,폭등,전체,2,1일,익일시가,3,0,3,-3.02,-1.63,0.0,-0.41,-7.03,3.52
QQQ,테스트 A(역대급 등락),K=5,2003,폭등,전체,2,1주,종가,3,0,3,-1.41,-4.68,33.33,5.93,-5.49,6.38
QQQ,테스트 A(역대급 등락),K=5,2003,폭등,전체,2,1주,익일시가,3,0,3,-1.49,-2.07,33.33,5.77,-8.16,6.98
QQQ,테스트 A(역대급 등락),K=5,2003,폭등,전체,2,1개월,종가,3,0,3,-5.83,-7.88,33.33,4.71,-14.32,9.68
QQQ,테스트 A(역대급 등락),K=5,2003,폭등,전체,2,1개월,익일시가,3,0,3,-5.72,-8.02,33.33,7.59,-16.74,12.32
QQQ,테스트 A(역대급 등락),K=5,2003,폭등,전체,2,3개월,종가,3,0,3,-1.39,-7.16,33.33,18.93,-15.94,18.14
QQQ,테스트 A(역대급 등락),K=5,2003,폭등,전체,2,3개월,익일시가,3,0,3,-1.14,-7.3,33.33,22.19,-18.31,20.94
QQQ,테스트 A(역대급 등락),K=5,2003,폭등,전체,2,6개월,종가,3,0,3,10.29,7.6,66.67,31.05,-7.77,19.55
QQQ,테스트 A(역대급 등락),K=5,2003,폭등,전체,2,6개월,익일시가,3,0,3,10.57,7.43,66.67,34.65,-10.37,22.67
QQQ,테스트 A(역대급 등락),K=5,2003,폭등,전체,2,1년,종가,3,0,3,27.87,29.91,100.0,32.49,21.21,5.91
QQQ,테스트 A(역대급 등락),K=5,2003,폭등,전체,2,1년,익일시가,3,0,3,27.87,29.71,100.0,36.12,17.79,9.3
QQQ,테스트 A(역대급 등락),K=5,2003,폭락,전체,2,1일,종가,3,0,3,7.16,7.58,100.0,8.47,5.42,1.57
QQQ,테스트 A(역대급 등락),K=5,2003,폭락,전체,2,1일,익일시가,3,0,3,3.77,3.8,100.0,4.71,2.82,0.94
QQQ,테스트 A(역대급 등락),K=5,2003,폭락,전체,2,1주,종가,3,0,3,0.3,0.19,100.0,0.69,0.03,0.34
QQQ,테스트 A(역대급 등락),K=5,2003,폭락,전체,2,1주,익일시가,3,0,3,-2.84,-2.86,0.0,-0.65,-5.03,2.19
QQQ,테스트 A(역대급 등락),K=5,2003,폭락,전체,2,1개월,종가,3,0,3,12.58,14.5,66.67,23.7,-0.46,12.19
QQQ,테스트 A(역대급 등락),K=5,2003,폭락,전체,2,1개월,익일시가,3,0,3,8.92,8.53,66.67,19.35,-1.14,10.25
QQQ,테스트 A(역대급 등락),K=5,2003,폭락,전체,2,3개월,종가,3,0,3,22.7,31.98,66.67,41.02,-4.9,24.33
QQQ,테스트 A(역대급 등락),K=5,2003,폭락,전체,2,3개월,익일시가,3,0,3,18.54,25.1,66.67,36.06,-5.55,21.57
QQQ,테스트 A(역대급 등락),K=5,2003,폭락,전체,2,6개월,종가,3,0,3,41.66,53.59,100.0,62.53,8.86,28.76
QQQ,테스트 A(역대급 등락),K=5,2003,폭락,전체,2,6개월,익일시가,3,0,3,36.84,45.58,100.0,56.81,8.11,25.5
QQQ,테스트 A(역대급 등락),K=5,2003,폭락,전체,2,1년,종가,3,0,3,69.33,77.9,100.0,89.36,40.72,25.43
QQQ,테스트 A(역대급 등락),K=5,2003,폭락,전체,2,1년,익일시가,3,0,3,63.7,68.63,100.0,82.7,39.76,21.89
QQQ,테스트 A(역대급 등락),K=10,2003,폭등,전체,2,1일,종가,3,0,3,-2.94,-4.25,0.0,-0.25,-4.33,2.33
QQQ,테스트 A(역대급 등락),K=10,2003,폭등,전체,2,1일,익일시가,3,0,3,-3.02,-1.63,0.0,-0.41,-7.03,3.52
QQQ,테스트 A(역대급 등락),K=10,2003,폭등,전체,2,1주,종가,3,0,3,-1.41,-4.68,33.33,5.93,-5.49,6.38
QQQ,테스트 A(역대급 등락),K=10,2003,폭등,전체,2,1주,익일시가,3,0,3,-1.49,-2.07,33.33,5.77,-8.16,6.98
QQQ,테스트 A(역대급 등락),K=10,2003,폭등,전체,2,1개월,종가,3,0,3,-5.83,-7.88,33.33,4.71,-14.32,9.68
QQQ,테스트 A(역대급 등락),K=10,2003,폭등,전체,2,1개월,익일시가,3,0,3,-5.72,-8.02,33.33,7.59,-16.74,12.32
QQQ,테스트 A(역대급 등락),K=10,2003,폭등,전체,2,3개월,종가,3,0,3,-1.39,-7.16,33.33,18.93,-15.94,18.14
QQQ,테스트 A(역대급 등락),K=10,2003,폭등,전체,2,3개월,익일시가,3,0,3,-1.14,-7.3,33.33,22.19,-18.31,20.94
QQQ,테스트 A(역대급 등락),K=10,2003,폭등,전체,2,6개월,종가,3,0,3,10.29,7.6,66.67,31.05,-7.77,19.55
QQQ,테스트 A(역대급 등락),K=10,2003,폭등,전체,2,6개월,익일시가,3,0,3,10.57,7.43,66.67,34.65,-10.37,22.67
QQQ,테스트 A(역대급 등락),K=10,2003,폭등,전체,2,1년,종가,3,0,3,27.87,29.91,100.0,32.49,21.21,5.91
QQQ,테스트 A(역대급 등락),K=10,2003,폭등,전체,2,1년,익일시가,3,0,3,27.87,29.71,100.0,36.12,17.79,9.3
QQQ,테스트 A(역대급 등락),K=10,2003,폭락,전체,2,1일,종가,4,0,4,6.09,6.5,100.0,8.47,2.88,2.49
QQQ,테스트 A(역대급 등락),K=10,2003,폭락,전체,2,1일,익일시가,4,0,4,3.62,3.48,100.0,4.71,2.82,0.83
QQQ,테스트 A(역대급 등락),K=10,2003,폭락,전체,2,1주,종가,4,0,4,-1.73,0.11,75.0,0.69,-7.83,4.07
QQQ,테스트 A(역대급 등락),K=10,2003,폭락,전체,2,1주,익일시가,4,0,4,-4.03,-3.94,0.0,-0.65,-7.58,2.97
QQQ,테스트 A(역대급 등락),K=10,2003,폭락,전체,2,1개월,종가,4,0,4,5.5,7.02,50.0,23.7,-15.76,17.32
