시작일,구간,시기,레버리지 ETF(%),선물 매일(%),선물 월 1회(%),선물 그대로(%),제외 사유
2009-09-16,5,저금리(~2021),-1.54,-2.31,-2.34,-2.34,
2009-09-17,5,저금리(~2021),0.05,-0.1,-0.07,-0.07,
2009-09-18,5,저금리(~2021),0.47,0.26,0.29,0.29,
2009-09-21,5,저금리(~2021),0.77,1.1,1.12,1.12,
2009-09-22,5,저금리(~2021),1.31,1.23,1.24,1.24,
2009-09-23,5,저금리(~2021),2.04,1.82,1.82,1.82,
2009-09-24,5,저금리(~2021),2.59,3.18,3.16,3.16,
2009-09-25,5,저금리(~2021),4.65,5.03,4.92,4.92,
2009-09-28,5,저금리(~2021),4.51,4.75,4.66,4.66,
2009-09-29,5,저금리(~2021),5.75,6.13,5.9,5.9,
2009-09-30,5,저금리(~2021),3.95,3.99,3.98,3.98,
2009-10-01,5,저금리(~2021),0.0,-0.52,-0.39,-0.39,
2009-10-05,5,저금리(~2021),-1.48,-2.09,-2.07,-2.07,
2009-10-06,5,저금리(~2021),-1.52,-1.94,-1.91,-1.91,
2009-10-07,5,저금리(~2021),-3.43,-3.14,-3.16,-3.16,
2009-10-08,5,저금리(~2021),-3.01,-2.31,-2.31,-2.31,
2009-10-09,5,저금리(~2021),0.56,0.34,0.37,0.37,
2009-10-12,5,저금리(~2021),-1.2,-0.74,-0.72,-0.72,
2009-10-13,5,저금리(~2021),-2.19,-2.14,-2.15,-2.15,
2009-10-14,5,저금리(~2021),-0.15,-0.67,-0.65,-0.65,
2009-10-15,5,저금리(~2021),1.88,1.87,1.89,1.89,
2009-10-16,5,저금리(~2021),0.0,0.23,0.28,0.28,
2009-10-19,5,저금리(~2021),-0.51,-0.78,-0.72,-0.72,
2009-10-20,5,저금리(~2021),0.31,0.42,0.48,0.48,
2009-10-21,5,저금리(~2021),2.79,2.59,2.65,2.65,
2009-10-22,5,저금리(~2021),2.59,2.92,2.98,2.98,
2009-10-23,5,저금리(~2021),4.02,4.62,4.55,4.55,
2009-10-26,5,저금리(~2021),6.68,6.73,6.42,6.42,
2009-10-27,5,저금리(~2021),6.9,6.96,6.63,6.63,
2009-10-28,5,저금리(~2021),1.83,2.64,2.65,2.65,
2009-10-29,5,저금리(~2021),2.14,1.67,1.69,1.69,
2009-10-30,5,저금리(~2021),0.1,-0.5,-0.44,-0.44,
2009-11-02,5,저금리(~2021),-1.67,-1.36,-1.32,-1.32,
2009-11-03,5,저금리(~2021),-2.42,-2.7,-2.71,-2.71,
2009-11-04,5,저금리(~2021),-1.5,-2.14,-2.14,-2.14,
2009-11-05,5,저금리(~2021),-2.29,-2.32,-2.33,-2.33,
2009-11-06,5,저금리(~2021),-0.39,0.04,0.07,0.07,
2009-11-09,5,저금리(~2021),-1.31,-1.47,-1.43,-1.43,
2009-11-10,5,저금리(~2021),-0.73,-0.6,-0.55,-0.55,
2009-11-11,5,저금리(~2021),-0.74,-0.7,-0.64,-0.64,
2009-11-12,5,저금리(~2021),-2.78,-2.63,-2.64,-2.64,
2009-11-13,5,저금리(~2021),-3.49,-3.81,-3.9,-3.9,
2009-11-16,5,저금리(~2021),-1.82,-2.05,-2.07,-2.07,
2009-11-17,5,저금리(~2021),-1.52,-1.23,-1.22,-1.22,
2009-11-18,5,저금리(~2021),-0.6,-0.7,-0.69,-0.69,
2009-11-19,5,저금리(~2021),1.2,1.12,1.12,1.12,
