시장,대상,집행,월,표본,방향,적중률(%),방향 기대값(%),합산 수익률(%),기준선(%),기준선 대비 차이(%p),우연확률,시기 구간,가장 약한 시기(%),1차 판정,뒷받침,미충족
코스피,KODEX 200,위 집행,1,24,위,50.0,-0.42,-10.09,48.4,1.6,1.0,2,33.33,제외,0/3,차이 · 우연확률 · 시기
코스피,KODEX 200,위 집행,2,24,아래,54.17,0.6,14.35,46.5,7.67,0.5165,2,50.0,제외,0/3,차이 · 우연확률 · 시기
코스피,KODEX 200,위 집행,3,24,아래,37.5,-0.66,-15.89,31.97,5.53,0.6384,2,33.33,제외,0/3,차이 · 우연확률 · 시기
코스피,KODEX 200,위 집행,4,24,아래,58.33,0.95,22.73,55.81,2.52,1.0,2,50.0,제외,0/3,차이 · 우연확률 · 시기
코스피,KODEX 200,위 집행,5,24,위,66.67,1.98,47.45,64.29,2.38,0.8501,2,66.67,후보,1/3,차이 · 우연확률
코스피,KODEX 200,위 집행,6,24,아래,50.0,-0.31,-7.45,42.09,7.91,0.5375,2,41.67,제외,0/3,차이 · 우연확률 · 시기
코스피,KODEX 200,위 집행,7,24,위,62.5,1.1,26.47,61.71,0.79,1.0,2,50.0,후보,0/3,차이 · 우연확률 · 시기
코스피,KODEX 200,위 집행,8,24,위,58.33,1.12,26.84,55.26,3.08,0.8322,2,58.33,제외,1/3,차이 · 우연확률
코스피,KODEX 200,위 집행,9,23,아래,60.87,1.13,25.93,44.39,16.48,0.1508,2,54.55,후보,1/3,우연확률 · 시기
코스피,KODEX 200,위 집행,10,24,아래,54.17,-0.02,-0.36,49.34,4.83,0.6823,2,50.0,제외,0/3,차이 · 우연확률 · 시기
코스피,KODEX 200,위 집행,11,24,위,70.83,1.32,31.68,60.74,10.1,0.2777,2,58.33,후보,2/3,우연확률
코스피,KODEX 200,위 집행,12,24,위,79.17,1.3,31.14,71.34,7.83,0.4955,2,75.0,후보,1/3,차이 · 우연확률
코스피,KODEX 인버스,아래 집행,1,17,위,52.94,0.54,9.2,49.1,3.84,0.7922,0,,제외,0/2,차이 · 우연확률
코스피,KODEX 인버스,아래 집행,2,17,위,64.71,0.92,15.66,51.5,13.21,0.3516,0,,후보,1/2,우연확률
코스피,KODEX 인버스,아래 집행,3,17,위,35.29,-0.47,-8.02,33.72,1.57,1.0,0,,제외,0/2,차이 · 우연확률
코스피,KODEX 인버스,아래 집행,4,17,위,41.18,-0.96,-16.28,41.11,0.07,1.0,0,,제외,0/2,차이 · 우연확률
코스피,KODEX 인버스,아래 집행,5,17,아래,70.59,1.78,30.33,60.57,10.02,0.4755,0,,후보,1/2,우연확률
코스피,KODEX 인버스,아래 집행,6,17,위,52.94,0.17,2.92,44.98,7.96,0.6404,0,,제외,0/2,차이 · 우연확률
코스피,KODEX 인버스,아래 집행,7,17,아래,64.71,1.09,18.51,61.56,3.15,0.7932,0,,후보,0/2,차이 · 우연확률
코스피,KODEX 인버스,아래 집행,8,17,위,47.06,-0.79,-13.37,48.4,-1.34,1.0,0,,제외,0/2,차이 · 우연확률
코스피,KODEX 인버스,아래 집행,9,17,위,70.59,1.38,23.49,50.82,19.77,0.1469,0,,후보,1/2,우연확률
코스피,KODEX 인버스,아래 집행,10,17,아래,47.06,-0.18,-3.09,44.24,2.82,0.8042,0,,제외,0/2,차이 · 우연확률
코스피,KODEX 인버스,아래 집행,11,17,아래,52.94,-0.22,-3.66,49.28,3.66,0.8212,0,,제외,0/2,차이 · 우연확률
코스피,KODEX 인버스,아래 집행,12,17,아래,82.35,1.61,27.36,68.79,13.57,0.2947,0,,후보,1/2,우연확률
코스닥,KODEX 코스닥150,위 집행,1,11,위,54.55,1.12,12.36,51.4,3.14,1.0,0,,제외,0/2,차이 · 우연확률
코스닥,KODEX 코스닥150,위 집행,2,11,아래,63.64,0.98,10.83,46.91,16.73,0.3397,0,,후보,1/2,우연확률
코스닥,KODEX 코스닥150,위 집행,3,11,아래,54.55,-0.42,-4.59,46.4,8.15,0.7592,0,,제외,0/2,차이 · 우연확률
코스닥,KODEX 코스닥150,위 집행,4,11,아래,81.82,1.69,18.63,66.82,15.0,0.3856,0,,후보,1/2,우연확률
