대상,월,신호,제외,표본,평균(%),중앙값(%),오른 비율(%),내린 비율(%),최고(%),최악(%),표준편차(%),기준선 신호,기준선 제외,기준선 표본,기준선 평균(%),기준선 중앙값(%),기준선 오른 비율(%),기준선 내린 비율(%),기준선 최고(%),기준선 최악(%),기준선 표준편차(%),평균 차이(%p),중앙값 차이(%p),오른 비율 차이(%p),내린 비율 차이(%p),평균 우연확률,중앙값 우연확률,오른 비율 우연확률,내린 비율 우연확률,비고,평균-비율 어긋남,판정가능
KODEX 200,1,24,0,24,-0.42,0.1,50.0,45.83,8.59,-7.33,4.02,469,0,469,-0.09,-0.1,48.4,51.39,23.37,-11.85,4.69,-0.33,0.2,1.6,-5.55,0.6703,0.7263,1.0,0.6773,,False,예
KODEX 200,2,24,0,24,-0.6,-0.09,45.83,54.17,9.06,-9.49,3.35,428,0,428,0.06,0.11,53.04,46.5,29.46,-13.02,4.82,-0.66,-0.2,-7.2,7.67,0.4655,0.7343,0.5205,0.5165,,False,예
KODEX 200,3,24,0,24,0.66,0.68,62.5,37.5,10.51,-12.96,4.5,488,0,488,0.85,0.94,67.62,31.97,19.0,-15.6,4.25,-0.19,-0.26,-5.12,5.53,0.7822,0.6084,0.6424,0.6384,,False,예
KODEX 200,4,24,0,24,-0.95,-0.64,41.67,58.33,5.72,-8.5,3.13,482,0,482,-0.18,-0.48,43.98,55.81,27.77,-9.76,4.19,-0.77,-0.16,-2.32,2.52,0.4106,0.8372,1.0,1.0,,False,예
KODEX 200,5,24,0,24,1.98,1.67,66.67,33.33,18.95,-3.87,4.58,448,0,448,1.33,1.1,64.29,35.27,28.04,-9.59,4.18,0.64,0.57,2.38,-1.93,0.4006,0.4326,0.8501,0.8541,,False,예
KODEX 200,6,24,0,24,0.31,0.35,50.0,50.0,7.39,-5.67,2.9,468,0,468,0.45,0.38,57.69,42.09,15.91,-12.41,3.43,-0.14,-0.02,-7.69,7.91,0.8342,0.8891,0.5375,0.5375,,False,예
KODEX 200,7,24,0,24,1.1,1.45,62.5,33.33,5.56,-3.18,2.57,504,0,504,1.15,0.83,61.71,36.9,24.17,-19.11,3.92,-0.05,0.62,0.79,-3.57,0.9231,0.4336,1.0,0.8511,,False,예
KODEX 200,8,24,0,24,1.12,0.63,58.33,41.67,8.59,-4.11,3.06,485,0,485,0.6,0.34,55.26,44.12,14.07,-14.36,3.26,0.51,0.29,3.08,-2.46,0.4376,0.6743,0.8322,1.0,,False,예
KODEX 200,9,23,0,23,-1.13,-0.49,39.13,60.87,2.25,-8.09,2.55,428,0,428,0.33,0.36,55.14,44.39,12.15,-11.38,3.71,-1.46,-0.85,-16.01,16.48,0.0689,0.2218,0.1538,0.1508,,False,예
KODEX 200,10,24,0,24,0.02,-0.41,45.83,54.17,8.28,-5.68,3.62,454,0,454,0.16,0.02,50.22,49.34,23.77,-19.26,4.96,-0.14,-0.42,-4.39,4.83,0.9101,0.5724,0.6853,0.6823,,True,예
KODEX 200,11,24,0,24,1.32,1.32,70.83,29.17,15.0,-4.14,3.76,489,0,489,0.83,0.77,60.74,38.45,15.0,-8.13,3.49,0.49,0.54,10.1,-9.28,0.4555,0.3736,0.2777,0.3666,,False,예
KODEX 200,12,24,0,24,1.3,1.39,79.17,16.67,6.61,-10.06,3.48,464,0,464,1.56,1.34,71.34,28.23,12.1,-12.94,3.93,-0.26,0.05,7.83,-11.57,0.7712,0.9311,0.4955,0.2647,,False,예
KODEX 인버스,1,17,0,17,0.54,0.07,52.94,47.06,7.12,-7.98,3.91,332,0,332,-0.1,0.0,49.1,49.4,9.9,-18.9,4.47,0.65,0.07,3.84,-2.34,0.5235,0.9311,0.7922,1.0,,False,예
