종목,청산 요일,만기월,표본,방향,적중률(%),방향 기대값(%),합산 수익률(%),기준선(%),기준선 대비 차이(%p),1차 판정
QQQ,금요일,1,27,아래,48.15,0.02,0.57,43.97,4.18,제외
QQQ,금요일,2,27,아래,55.56,1.03,27.9,47.71,7.85,제외
QQQ,금요일,3,28,위,60.71,0.68,19.12,55.17,5.54,후보
QQQ,금요일,4,28,위,67.86,1.18,33.04,52.53,15.33,후보
QQQ,금요일,5,28,위,64.29,0.59,16.51,54.03,10.25,후보
QQQ,금요일,6,28,아래,57.14,0.15,4.09,47.46,9.69,제외
QQQ,금요일,7,28,위,60.71,-0.03,-0.77,54.31,6.4,제외
QQQ,금요일,8,28,위,67.86,1.16,32.58,56.91,10.95,후보
QQQ,금요일,9,27,아래,66.67,1.11,29.84,46.96,19.71,후보
QQQ,금요일,10,27,위,66.67,0.6,16.19,64.71,1.96,후보
QQQ,금요일,11,27,위,70.37,0.98,26.57,62.07,8.3,후보
QQQ,금요일,12,27,위,62.96,0.53,14.29,56.64,6.33,후보
SPY,금요일,1,33,위,57.58,-0.01,-0.23,54.55,3.03,제외
SPY,금요일,2,34,아래,52.94,0.55,18.75,45.99,6.96,제외
SPY,금요일,3,34,아래,64.71,-0.31,-10.62,48.59,16.11,제외
SPY,금요일,4,34,위,70.59,0.58,19.79,56.67,13.92,후보
SPY,금요일,5,34,위,64.71,0.39,13.26,56.29,8.41,후보
SPY,금요일,6,34,아래,67.65,0.3,10.17,53.85,13.8,후보
SPY,금요일,7,34,아래,44.12,-0.23,-7.67,40.43,3.69,제외
SPY,금요일,8,33,위,72.73,0.57,18.66,59.46,13.27,후보
SPY,금요일,9,33,아래,72.73,0.88,28.92,49.65,23.08,후보
SPY,금요일,10,33,아래,45.45,-0.41,-13.47,35.62,9.84,제외
SPY,금요일,11,33,위,66.67,0.74,24.43,66.67,0.0,후보
SPY,금요일,12,33,위,69.7,0.71,23.53,54.35,15.35,후보
DIA,금요일,1,28,위,57.14,-0.23,-6.38,52.46,4.68,제외
DIA,금요일,2,29,아래,51.72,0.83,24.17,45.3,6.42,제외
DIA,금요일,3,29,아래,51.72,-0.35,-10.28,43.8,7.92,제외
DIA,금요일,4,29,위,58.62,0.33,9.52,57.84,0.78,제외
DIA,금요일,5,29,위,48.28,-0.03,-0.85,48.06,0.21,제외
DIA,금요일,6,29,아래,75.86,0.44,12.7,51.64,24.22,후보
DIA,금요일,7,29,위,62.07,0.18,5.17,61.67,0.4,후보
DIA,금요일,8,28,위,57.14,0.28,7.72,50.79,6.35,제외
DIA,금요일,9,28,아래,71.43,0.94,26.29,52.94,18.49,후보
DIA,금요일,10,28,위,67.86,0.74,20.84,66.13,1.73,후보
DIA,금요일,11,28,위,60.71,0.7,19.46,60.0,0.71,후보
DIA,금요일,12,28,위,82.14,0.9,25.08,58.62,23.52,후보
KODEX 200,금요일,1,24,아래,58.33,-0.01,-0.14,48.0,10.33,제외
KODEX 200,금요일,2,24,위,70.83,0.69,16.56,57.14,13.69,후보
KODEX 200,금요일,3,24,위,75.0,1.16,27.96,58.25,16.75,후보
KODEX 200,금요일,4,24,위,54.17,0.94,22.55,48.51,5.65,제외
KODEX 200,금요일,5,24,아래,45.83,0.16,3.79,40.62,5.21,제외
KODEX 200,금요일,6,24,아래,54.17,-0.3,-7.09,50.0,4.17,제외
KODEX 200,금요일,7,24,위,70.83,0.42,10.06,55.66,15.17,후보
KODEX 200,금요일,8,24,아래,50.0,1.02,24.48,43.14,6.86,제외
KODEX 200,금요일,9,23,위,78.26,1.25,28.71,56.99,21.27,후보
KODEX 200,금요일,10,23,위,65.22,0.15,3.35,56.7,8.52,후보
KODEX 200,금요일,11,24,아래,50.0,0.03,0.76,45.1,4.9,제외
KODEX 200,금요일,12,24,아래,37.5,-0.05,-1.17,33.67,3.83,제외
KODEX 200,목요일,1,24,위,66.67,0.11,2.56,55.0,11.67,후보
KODEX 200,목요일,2,24,위,58.33,0.59,14.26,56.04,2.29,제외
KODEX 200,목요일,3,24,위,66.67,0.58,13.92,53.4,13.27,후보
KODEX 200,목요일,4,24,위,66.67,0.86,20.68,54.46,12.21,후보
KODEX 200,목요일,5,24,아래,45.83,0.08,2.01,41.67,4.17,제외
KODEX 200,목요일,6,24,아래,54.17,-0.48,-11.45,45.0,9.17,제외
KODEX 200,목요일,7,24,위,70.83,0.44,10.51,60.38,10.46,후보
KODEX 200,목요일,8,24,아래,45.83,0.67,16.13,43.14,2.7,제외
KODEX 200,목요일,9,23,위,78.26,0.89,20.42,60.22,18.05,후보
KODEX 200,목요일,10,23,위,56.52,0.26,5.99,52.08,4.44,제외
KODEX 200,목요일,11,24,아래,50.0,0.04,0.86,39.22,10.78,제외
KODEX 200,목요일,12,24,아래,41.67,0.14,3.28,38.78,2.89,제외
