대상,월,시기,신호,제외,표본,평균(%),중앙값(%),오른 비율(%),내린 비율(%),최고(%),최악(%),표준편차(%),오른 평균(%),내린 평균(%),오른 건수,내린 건수,기준선 신호,기준선 제외,기준선 표본,기준선 평균(%),기준선 중앙값(%),기준선 오른 비율(%),기준선 내린 비율(%),기준선 최고(%),기준선 최악(%),기준선 표준편차(%),기준선 오른 평균(%),기준선 내린 평균(%),기준선 오른 건수,기준선 내린 건수,평균 차이(%p),중앙값 차이(%p),오른 비율 차이(%p),내린 비율 차이(%p),평균 우연확률,중앙값 우연확률,오른 비율 우연확률,내린 비율 우연확률,비고,평균-비율 어긋남,판정가능
KODEX 200,1,앞 절반,12,0,12,-1.08,-0.95,33.33,58.33,5.43,-7.33,3.82,2.72,3.4,4,7,217,0,217,-0.55,-0.55,39.63,59.91,7.92,-11.37,3.7,2.77,2.76,86,130,-0.52,-0.41,-6.3,-1.57,0.6314,0.5275,0.7692,1.0,,False,예
KODEX 200,1,뒤 절반,12,0,12,0.24,0.66,66.67,33.33,8.59,-6.77,4.28,2.51,4.31,8,4,215,0,215,0.58,0.28,55.35,44.65,23.37,-9.3,5.23,3.72,3.32,119,96,-0.34,0.39,11.32,-11.32,0.8142,0.5265,0.5694,0.5694,,False,예
KODEX 200,1,최근 10년,10,0,10,-0.14,0.45,60.0,40.0,8.59,-6.77,4.61,2.63,4.31,6,4,195,0,195,0.76,0.35,55.9,44.1,23.37,-9.3,5.55,4.2,3.61,109,86,-0.9,0.1,4.1,-4.1,0.6134,0.8422,1.0,1.0,,True,예
KODEX 200,1,최근 5년,5,0,5,0.68,0.34,60.0,40.0,8.59,-5.76,5.14,3.24,3.16,3,2,96,0,96,1.26,0.28,54.17,45.83,23.37,-9.3,6.63,5.46,3.7,52,44,-0.59,0.06,5.83,-5.83,,,,,표본 부족으로 검정 불가,False,아니오
KODEX 200,2,앞 절반,12,0,12,-0.21,0.03,50.0,50.0,2.75,-5.1,2.32,1.48,1.91,6,6,200,0,200,0.28,0.68,63.0,36.5,8.06,-13.02,3.85,2.45,3.48,126,73,-0.49,-0.65,-13.0,13.5,0.6084,0.4056,0.3716,0.3596,,False,예
KODEX 200,2,뒤 절반,12,0,12,-0.98,-0.8,41.67,58.33,9.06,-9.49,4.21,1.99,3.11,5,7,195,0,195,-0.18,-0.45,40.51,59.49,29.46,-11.29,5.88,3.71,2.84,79,116,-0.8,-0.35,1.15,-1.15,0.6444,0.8771,1.0,1.0,,False,예
KODEX 200,2,최근 10년,10,0,10,-1.24,-1.64,30.0,70.0,9.06,-9.49,4.6,3.1,3.11,3,7,177,0,177,-0.23,-0.81,36.16,63.84,29.46,-11.29,6.19,4.5,2.91,64,113,-1.01,-0.83,-6.16,6.16,0.5644,0.3696,0.7532,0.7532,,False,예
KODEX 200,2,최근 5년,5,0,5,0.16,-1.8,20.0,80.0,9.06,-4.22,5.19,9.06,2.06,1,4,89,0,89,2.02,-0.26,43.82,56.18,29.46,-5.06,7.31,7.0,1.85,39,50,-1.86,-1.53,-23.82,23.82,,,,,표본 부족으로 검정 불가,True,아니오
KODEX 200,3,앞 절반,12,0,12,1.37,1.59,66.67,33.33,6.21,-5.52,3.2,3.06,1.99,8,4,226,0,226,2.0,1.7,73.89,26.11,17.65,-6.77,3.59,3.36,1.84,167,59,-0.63,-0.11,-7.23,7.23,0.4985,0.9101,0.7273,0.7273,,False,예
KODEX 200,3,뒤 절반,12,0,12,-0.05,0.42,58.33,41.67,10.51,-12.96,5.56,2.99,4.3,7,5,223,0,223,0.03,0.57,64.13,35.43,19.0,-15.6,4.63,2.33,4.12,143,79,-0.08,-0.15,-5.79,6.24,0.9441,0.7802,0.7672,0.7742,,True,예
KODEX 200,3,최근 10년,10,0,10,-0.05,0.53,60.0,40.0,10.51,-12.96,6.15,3.39,5.21,6,4,201,0,201,-0.3,0.46,59.7,39.8,19.0,-15.6,5.04,2.56,4.6,120,80,0.25,0.08,0.3,0.2,0.8721,0.9301,1.0,1.0,,True,예
KODEX 200,3,최근 5년,5,0,5,-1.86,1.13,60.0,40.0,4.27,-12.96,7.2,2.92,9.02,3,2,99,0,99,-0.71,0.92,61.62,38.38,5.64,-15.6,5.17,2.66,6.11,61,38,-1.15,0.21,-1.62,1.62,,,,,표본 부족으로 검정 불가,True,아니오
KODEX 200,4,앞 절반,12,0,12,-1.67,-0.64,33.33,66.67,2.01,-8.5,3.34,1.36,3.19,4,8,221,0,221,-1.11,-0.8,42.53,57.47,8.42,-9.76,3.44,1.78,3.26,94,127,-0.56,0.16,-9.2,9.2,0.5924,0.982,0.5564,0.5564,,False,예
KODEX 200,4,뒤 절반,12,0,12,-0.22,-0.61,50.0,50.0,5.72,-4.15,2.85,2.1,2.54,6,6,221,0,221,0.61,-0.47,44.34,55.2,27.77,-4.15,4.82,3.9,2.02,98,122,-0.83,-0.14,5.66,-5.2,0.5305,0.7852,0.7702,0.7812,,False,예
KODEX 200,4,최근 10년,10,0,10,0.12,0.45,60.0,40.0,5.72,-4.15,3.01,2.1,2.84,6,4,201,0,201,0.95,0.04,50.25,49.25,27.77,-4.15,4.96,3.88,2.02,101,99,-0.83,0.41,9.75,-9.25,0.6004,0.6863,0.5504,0.7612,,False,예
