대상,월,표본,방향,적중률(%),방향 기대값(%),합산 수익률(%),기준선(%),기준선 대비 차이(%p),1차 판정
KODEX 200,1,24,위,50.0,-0.42,-10.09,48.4,1.6,제외
KODEX 200,2,24,아래,54.17,0.6,14.35,46.5,7.67,제외
KODEX 200,3,24,아래,37.5,-0.66,-15.89,31.97,5.53,제외
KODEX 200,4,24,아래,58.33,0.95,22.73,55.81,2.52,제외
KODEX 200,5,24,위,66.67,1.98,47.45,64.29,2.38,후보
KODEX 200,6,24,아래,50.0,-0.31,-7.45,42.09,7.91,제외
KODEX 200,7,24,위,62.5,1.1,26.47,61.71,0.79,후보
KODEX 200,8,24,위,58.33,1.12,26.84,55.26,3.08,제외
KODEX 200,9,23,아래,60.87,1.13,25.93,44.39,16.48,후보
KODEX 200,10,24,아래,54.17,-0.02,-0.36,49.34,4.83,제외
KODEX 200,11,24,위,70.83,1.32,31.68,60.74,10.1,후보
KODEX 200,12,24,위,79.17,1.3,31.14,71.34,7.83,후보
코스피200 지수,1,37,아래,51.35,0.07,2.43,48.54,2.81,판정 안 함
코스피200 지수,2,37,아래,59.46,0.83,30.89,58.32,1.14,판정 안 함
코스피200 지수,3,37,아래,45.95,-0.05,-1.84,41.98,3.96,판정 안 함
코스피200 지수,4,37,아래,45.95,0.0,0.01,41.14,4.81,판정 안 함
코스피200 지수,5,37,위,59.46,0.86,31.94,55.47,3.99,판정 안 함
코스피200 지수,6,37,아래,54.05,0.31,11.6,51.98,2.07,판정 안 함
코스피200 지수,7,37,위,51.35,0.03,1.17,50.68,0.67,판정 안 함
코스피200 지수,8,37,위,48.65,0.66,24.5,48.61,0.04,판정 안 함
코스피200 지수,9,36,아래,55.56,1.11,40.02,49.58,5.98,판정 안 함
코스피200 지수,10,36,아래,52.78,0.36,12.84,49.66,3.12,판정 안 함
코스피200 지수,11,36,위,55.56,0.15,5.34,51.1,4.46,판정 안 함
코스피200 지수,12,36,위,55.56,0.4,14.42,54.33,1.23,판정 안 함
코스피 종합지수,1,47,위,57.45,0.51,24.17,54.84,2.6,판정 안 함
코스피 종합지수,2,47,위,53.19,-0.66,-31.01,47.12,6.08,판정 안 함
코스피 종합지수,3,47,아래,36.17,-0.74,-34.71,36.01,0.16,판정 안 함
코스피 종합지수,4,47,아래,44.68,-0.27,-12.71,41.6,3.08,판정 안 함
코스피 종합지수,5,47,위,59.57,1.19,55.7,59.51,0.07,판정 안 함
코스피 종합지수,6,47,아래,59.57,0.13,6.07,52.01,7.56,판정 안 함
코스피 종합지수,7,47,아래,42.55,-0.52,-24.5,41.23,1.32,판정 안 함
코스피 종합지수,8,47,위,46.81,0.37,17.61,44.5,2.31,판정 안 함
코스피 종합지수,9,46,아래,60.87,1.12,51.39,51.8,9.06,판정 안 함
코스피 종합지수,10,46,아래,54.35,0.52,23.74,52.13,2.21,판정 안 함
코스피 종합지수,11,46,위,65.22,0.46,21.17,56.92,8.3,판정 안 함
코스피 종합지수,12,46,아래,47.83,-0.41,-18.77,39.62,8.2,판정 안 함
KODEX 코스닥150,1,11,위,54.55,1.12,12.36,51.4,3.14,제외
KODEX 코스닥150,2,11,아래,63.64,0.98,10.83,46.91,16.73,후보
KODEX 코스닥150,3,11,아래,54.55,-0.42,-4.59,46.4,8.15,제외
KODEX 코스닥150,4,11,아래,81.82,1.69,18.63,66.82,15.0,후보
KODEX 코스닥150,5,11,위,81.82,1.85,20.39,72.2,9.62,후보
KODEX 코스닥150,6,11,아래,81.82,1.94,21.36,61.97,19.85,후보
KODEX 코스닥150,7,11,아래,63.64,1.28,14.03,54.11,9.52,후보
KODEX 코스닥150,8,11,아래,36.36,-2.11,-23.24,33.78,2.58,제외
KODEX 코스닥150,9,10,아래,80.0,2.97,29.73,66.49,13.51,후보
KODEX 코스닥150,10,11,아래,54.55,0.78,8.61,53.96,0.59,제외
KODEX 코스닥150,11,11,아래,54.55,1.27,13.95,51.56,2.99,제외
KODEX 코스닥150,12,11,위,90.91,2.99,32.86,73.24,17.67,후보
코스닥150 지수,1,17,아래,58.82,0.08,1.28,56.02,2.8,판정 안 함
코스닥150 지수,2,17,아래,47.06,0.45,7.71,41.86,5.2,판정 안 함
코스닥150 지수,3,17,아래,52.94,-0.59,-10.11,43.02,9.92,판정 안 함
코스닥150 지수,4,17,아래,70.59,1.24,21.03,59.48,11.11,판정 안 함
코스닥150 지수,5,17,위,82.35,1.79,30.38,64.35,18.0,판정 안 함
코스닥150 지수,6,17,아래,58.82,0.96,16.31,48.94,9.89,판정 안 함
코스닥150 지수,7,17,아래,70.59,1.75,29.76,60.45,10.14,판정 안 함
코스닥150 지수,8,17,위,64.71,1.77,30.1,60.06,4.65,판정 안 함
코스닥150 지수,9,16,아래,75.0,2.23,35.69,57.63,17.37,판정 안 함
코스닥150 지수,10,16,위,56.25,-0.2,-3.13,47.84,8.41,판정 안 함
코스닥150 지수,11,16,위,50.0,-0.98,-15.72,48.62,1.38,판정 안 함
코스닥150 지수,12,16,위,87.5,2.67,42.8,70.65,16.85,판정 안 함
코스닥 종합지수,1,30,위,56.67,0.15,4.46,50.25,6.41,판정 안 함
코스닥 종합지수,2,30,아래,56.67,1.01,30.33,47.42,9.25,판정 안 함
코스닥 종합지수,3,30,아래,43.33,-0.71,-21.3,39.48,3.85,판정 안 함
코스닥 종합지수,4,30,아래,66.67,1.25,37.37,53.38,13.29,판정 안 함
코스닥 종합지수,5,30,위,70.0,1.28,38.42,58.19,11.81,판정 안 함
코스닥 종합지수,6,30,아래,66.67,0.9,27.1,55.67,11.0,판정 안 함
코스닥 종합지수,7,31,아래,58.06,1.72,53.33,57.21,0.86,판정 안 함
코스닥 종합지수,8,31,아래,48.39,-0.91,-28.15,47.58,0.81,판정 안 함
코스닥 종합지수,9,30,아래,70.0,2.17,65.03,59.82,10.18,판정 안 함
코스닥 종합지수,10,30,위,50.0,-1.2,-35.87,47.31,2.69,판정 안 함
코스닥 종합지수,11,30,위,56.67,0.15,4.58,54.33,2.34,판정 안 함
코스닥 종합지수,12,30,위,63.33,0.45,13.4,59.0,4.34,판정 안 함
