종목,테스트,파라미터,시작연도,방향,시대 구간,사건,구간,신호,제외,표본,평균(%),중앙값(%),오른 비율(%),내린 비율(%),최고(%),최악(%),표준편차(%)
QQQ,테스트 A(역대급 등락),K=5,2003,폭등,전체,2,1일,3,0,3,-2.94,-4.25,0.0,100.0,-0.25,-4.33,2.33
QQQ,테스트 A(역대급 등락),K=5,2003,폭등,전체,2,2일,3,0,3,-4.1,-2.49,33.33,66.67,3.08,-12.89,8.11
QQQ,테스트 A(역대급 등락),K=5,2003,폭등,전체,2,3일,3,0,3,-2.26,-1.83,33.33,66.67,3.23,-8.17,5.71
QQQ,테스트 A(역대급 등락),K=5,2003,폭등,전체,2,1주,3,0,3,-1.41,-4.68,33.33,66.67,5.93,-5.49,6.38
QQQ,테스트 A(역대급 등락),K=5,2003,폭등,전체,2,2주,3,0,3,-7.86,-5.52,33.33,66.67,0.29,-18.33,9.53
QQQ,테스트 A(역대급 등락),K=5,2003,폭등,전체,2,1개월,3,0,3,-5.83,-7.88,33.33,66.67,4.71,-14.32,9.68
QQQ,테스트 A(역대급 등락),K=5,2003,폭락,전체,2,1일,3,0,3,7.16,7.58,100.0,0.0,8.47,5.42,1.57
QQQ,테스트 A(역대급 등락),K=5,2003,폭락,전체,2,2일,3,0,3,1.78,4.31,66.67,33.33,5.56,-4.52,5.5
QQQ,테스트 A(역대급 등락),K=5,2003,폭락,전체,2,3일,3,0,3,5.38,4.94,100.0,0.0,8.5,2.72,2.91
QQQ,테스트 A(역대급 등락),K=5,2003,폭락,전체,2,1주,3,0,3,0.3,0.19,100.0,0.0,0.69,0.03,0.34
QQQ,테스트 A(역대급 등락),K=5,2003,폭락,전체,2,2주,3,0,3,8.5,8.22,100.0,0.0,13.43,3.86,4.79
QQQ,테스트 A(역대급 등락),K=5,2003,폭락,전체,2,1개월,3,0,3,12.58,14.5,66.67,33.33,23.7,-0.46,12.19
QQQ,테스트 A(역대급 등락),K=5,2003,역방향 전체,전체,3,1일,6,0,6,5.05,4.88,100.0,0.0,8.47,0.25,2.91
QQQ,테스트 A(역대급 등락),K=5,2003,역방향 전체,전체,3,2일,6,0,6,2.94,3.4,66.67,33.33,12.89,-4.52,6.32
QQQ,테스트 A(역대급 등락),K=5,2003,역방향 전체,전체,3,3일,6,0,6,3.82,3.83,83.33,16.67,8.5,-3.23,4.4
QQQ,테스트 A(역대급 등락),K=5,2003,역방향 전체,전체,3,1주,6,0,6,0.86,0.44,83.33,16.67,5.49,-5.93,4.08
QQQ,테스트 A(역대급 등락),K=5,2003,역방향 전체,전체,3,2주,6,0,6,8.18,6.87,83.33,16.67,18.33,-0.29,6.75
QQQ,테스트 A(역대급 등락),K=5,2003,역방향 전체,전체,3,1개월,6,0,6,9.2,11.1,66.67,33.33,23.7,-4.71,10.52
QQQ,테스트 A(역대급 등락),K=10,2003,폭등,전체,2,1일,3,0,3,-2.94,-4.25,0.0,100.0,-0.25,-4.33,2.33
QQQ,테스트 A(역대급 등락),K=10,2003,폭등,전체,2,2일,3,0,3,-4.1,-2.49,33.33,66.67,3.08,-12.89,8.11
QQQ,테스트 A(역대급 등락),K=10,2003,폭등,전체,2,3일,3,0,3,-2.26,-1.83,33.33,66.67,3.23,-8.17,5.71
QQQ,테스트 A(역대급 등락),K=10,2003,폭등,전체,2,1주,3,0,3,-1.41,-4.68,33.33,66.67,5.93,-5.49,6.38
