종목,청산 요일,기준선 종류,기준,구간,신호 표본,베이스라인 표본,평균 차이(%p),중앙값 차이(%p),오른 비율 차이(%p),내린 비율 차이(%p)
QQQ,금요일,같은 요일 주간 보유,close,-1,330,1384,0.06,0.17,1.95,-1.88
QQQ,금요일,같은 길이 단순 보유,close,4,78,6911,0.38,0.32,4.98,-4.73
QQQ,금요일,같은 길이 단순 보유,close,5,252,6910,-0.05,0.03,-0.61,0.81
SPY,금요일,같은 요일 주간 보유,close,-1,402,1691,-0.01,-0.05,-1.64,1.76
SPY,금요일,같은 길이 단순 보유,close,4,93,8446,0.17,0.1,2.64,-2.39
SPY,금요일,같은 길이 단순 보유,close,5,309,8445,-0.06,-0.15,-5.13,5.45
DIA,금요일,같은 요일 주간 보유,close,-1,342,1438,-0.08,-0.12,-1.57,1.57
DIA,금요일,같은 길이 단순 보유,close,4,81,7191,0.06,0.13,4.41,-4.22
DIA,금요일,같은 길이 단순 보유,close,5,261,7190,-0.12,-0.26,-5.42,5.56
KODEX 200,금요일,같은 요일 주간 보유,close,-1,286,1189,0.08,0.17,3.94,-3.52
KODEX 200,금요일,같은 길이 단순 보유,close,3,5,5895,0.51,0.06,25.41,-24.8
KODEX 200,금요일,같은 길이 단순 보유,close,4,4,5894,0.06,-0.01,19.71,-19.23
KODEX 200,금요일,같은 길이 단순 보유,close,5,42,5893,-1.13,-0.63,-8.4,8.92
KODEX 200,금요일,같은 길이 단순 보유,close,6,235,5892,0.19,0.27,4.9,-4.37
KODEX 200,목요일,같은 요일 주간 보유,close,-1,286,1188,0.03,0.1,3.67,-3.26
KODEX 200,목요일,같은 길이 단순 보유,close,2,2,5896,1.39,1.33,45.98,-45.44
KODEX 200,목요일,같은 길이 단순 보유,close,3,6,5895,-1.08,-0.35,-4.59,5.2
KODEX 200,목요일,같은 길이 단순 보유,close,4,40,5894,-0.69,0.03,-2.79,3.27
KODEX 200,목요일,같은 길이 단순 보유,close,5,238,5893,0.15,0.23,5.75,-5.64
