대상,격자 칸,진입 달력일,청산 상대 거래일,시기,신호,제외,표본,평균(%),중앙값(%),오른 비율(%),내린 비율(%),최고(%),최악(%),표준편차(%),오른 평균(%),내린 평균(%),오른 건수,내린 건수,기준선 신호,기준선 제외,기준선 표본,기준선 평균(%),기준선 중앙값(%),기준선 오른 비율(%),기준선 내린 비율(%),기준선 최고(%),기준선 최악(%),기준선 표준편차(%),기준선 오른 평균(%),기준선 내린 평균(%),기준선 오른 건수,기준선 내린 건수,평균 차이(%p),중앙값 차이(%p),오른 비율 차이(%p),내린 비율 차이(%p),평균 우연확률,중앙값 우연확률,오른 비율 우연확률,내린 비율 우연확률,비고,평균-비율 어긋남,판정가능
KODEX 200,15일 → 말일-3,15,-3,앞 절반,143,0,143,-0.0,0.37,52.45,46.15,9.96,-23.34,3.84,2.52,2.88,75,66,2372,0,2372,0.21,0.54,57.0,42.41,21.32,-28.11,4.2,2.77,3.23,1352,1006,-0.22,-0.17,-4.55,3.74,0.5185,0.5225,0.2667,0.3536,,True,예
KODEX 200,15일 → 말일-3,15,-3,뒤 절반,144,0,144,0.41,0.71,56.94,42.36,9.7,-18.04,3.28,2.35,2.19,82,61,2354,0,2354,0.56,0.38,58.16,41.46,28.2,-28.88,4.04,2.66,2.38,1369,976,-0.15,0.33,-1.21,0.9,0.6553,0.1738,0.7842,0.7912,,False,예
KODEX 200,15일 → 말일-3,15,-3,최근 10년,120,0,120,0.37,0.37,53.33,45.83,9.7,-18.04,3.53,2.64,2.27,64,55,1968,0,1968,0.59,0.34,57.22,42.53,28.2,-28.88,4.33,2.9,2.51,1126,837,-0.22,0.03,-3.88,3.3,0.5245,1.0,0.3736,0.4236,,False,예
KODEX 200,15일 → 말일-3,15,-3,최근 5년,60,0,60,0.57,0.42,53.33,45.0,9.7,-18.04,4.4,3.44,2.82,32,27,978,0,978,0.92,0.45,58.79,41.0,28.2,-28.88,5.29,3.66,3.01,575,401,-0.35,-0.03,-5.46,4.0,0.5934,0.8721,0.4106,0.5784,,False,예
KODEX 200,15일 → 말일-2,15,-2,앞 절반,143,0,143,0.08,0.79,57.34,42.66,9.26,-26.26,3.98,2.54,3.24,82,61,2514,0,2514,0.26,0.5,57.68,42.0,20.55,-30.85,4.13,2.74,3.14,1450,1056,-0.19,0.29,-0.33,0.65,0.5644,0.2827,0.9241,0.8492,,False,예
KODEX 200,15일 → 말일-2,15,-2,뒤 절반,144,0,144,0.44,0.7,60.42,39.58,11.99,-23.24,3.77,2.42,2.59,87,57,2497,0,2497,0.55,0.42,58.35,41.45,28.79,-33.39,4.32,2.77,2.57,1457,1035,-0.11,0.28,2.07,-1.87,0.8012,0.1558,0.6074,0.6633,,False,예
KODEX 200,15일 → 말일-2,15,-2,최근 10년,120,0,120,0.38,0.59,56.67,43.33,11.99,-23.24,4.08,2.73,2.7,68,52,2088,0,2088,0.56,0.39,57.14,42.67,28.79,-33.39,4.65,3.04,2.77,1193,891,-0.18,0.2,-0.47,0.66,0.6913,0.3916,1.0,0.9321,,False,예
KODEX 200,15일 → 말일-2,15,-2,최근 5년,60,0,60,0.56,0.45,53.33,46.67,11.99,-23.24,5.13,3.7,3.02,32,28,1038,0,1038,0.83,0.51,57.13,42.77,28.79,-33.39,5.74,3.94,3.32,593,444,-0.27,-0.06,-3.8,3.89,0.6843,0.9051,0.5864,0.5804,,False,예
KODEX 200,15일 → 말일-1,15,-1,앞 절반,143,0,143,0.27,0.37,55.94,44.06,9.19,-15.22,3.66,2.71,2.82,80,63,2656,0,2656,0.47,0.61,58.09,41.42,21.88,-20.49,3.92,2.91,2.93,1543,1100,-0.2,-0.24,-2.15,2.64,0.5175,0.3506,0.6064,0.4855,,False,예
KODEX 200,15일 → 말일-1,15,-1,뒤 절반,144,0,144,0.32,0.48,57.64,42.36,16.08,-24.93,4.13,2.62,2.8,83,61,2640,0,2640,0.4,0.3,55.04,44.62,30.71,-34.86,4.53,2.88,2.66,1453,1178,-0.07,0.18,2.6,-2.26,0.8601,0.3776,0.5405,0.5974,,False,예
KODEX 200,15일 → 말일-1,15,-1,최근 10년,120,0,120,0.27,0.31,55.0,45.0,16.08,-24.93,4.47,2.94,3.0,66,54,2208,0,2208,0.4,0.27,54.48,45.2,30.71,-34.86,4.89,3.16,2.91,1203,998,-0.13,0.03,0.52,-0.2,0.7443,0.8162,0.9171,1.0,,False,예
