대상,격자 칸,진입 달력일,청산 상대 거래일,신호,제외,표본,평균(%),중앙값(%),오른 비율(%),내린 비율(%),최고(%),최악(%),표준편차(%),오른 평균(%),내린 평균(%),오른 건수,내린 건수,기준선 신호,기준선 제외,기준선 표본,기준선 평균(%),기준선 중앙값(%),기준선 오른 비율(%),기준선 내린 비율(%),기준선 최고(%),기준선 최악(%),기준선 표준편차(%),기준선 오른 평균(%),기준선 내린 평균(%),기준선 오른 건수,기준선 내린 건수,평균 차이(%p),중앙값 차이(%p),오른 비율 차이(%p),내린 비율 차이(%p),평균 우연확률,중앙값 우연확률,오른 비율 우연확률,내린 비율 우연확률,비고,평균-비율 어긋남,판정가능
KODEX 200,15일 → 말일-3,15,-3,287,0,287,0.2,0.57,54.7,44.25,9.96,-23.34,3.57,2.43,2.55,157,127,4746,0,4746,0.39,0.45,57.5,42.01,28.2,-28.88,4.12,2.72,2.8,2729,1994,-0.18,0.12,-2.8,2.24,0.4545,0.4805,0.3506,0.4755,,False,예
KODEX 200,15일 → 말일-2,15,-2,287,0,287,0.26,0.77,58.89,41.11,11.99,-26.26,3.87,2.48,2.93,169,118,5033,0,5033,0.41,0.45,58.0,41.74,28.79,-33.39,4.22,2.75,2.85,2919,2101,-0.15,0.32,0.89,-0.63,0.5445,0.042,0.7532,0.8561,,False,예
KODEX 200,15일 → 말일-1,15,-1,287,0,287,0.3,0.42,56.79,43.21,16.08,-24.93,3.9,2.67,2.81,163,124,5320,0,5320,0.43,0.42,56.5,43.08,30.71,-34.86,4.23,2.89,2.78,3006,2292,-0.13,0.0,0.29,0.12,0.5415,0.9291,1.0,0.953,,False,예
KODEX 200,15일 → 말일,15,0,287,0,287,0.46,0.49,58.89,40.77,15.03,-13.9,3.85,2.78,2.88,169,117,5607,0,5607,0.6,0.47,57.52,41.97,29.46,-19.26,4.13,3.01,2.71,3225,2353,-0.13,0.02,1.37,-1.2,0.5604,0.9241,0.6813,0.7273,,False,예
KODEX 200,15일 → 말일+1,15,1,287,0,287,0.57,0.82,59.93,39.72,20.64,-15.1,4.18,3.02,3.12,172,114,5894,0,5894,0.68,0.61,58.59,41.11,34.67,-26.33,4.32,3.16,2.85,3453,2423,-0.11,0.21,1.35,-1.39,0.6933,0.3287,0.6464,0.6384,,False,예
KODEX 200,15일 → 말일+2,15,2,287,0,287,0.65,0.63,56.79,43.21,22.24,-14.05,4.51,3.45,3.03,163,124,5894,0,5894,0.76,0.59,57.99,41.69,44.87,-25.42,4.7,3.45,2.96,3418,2457,-0.12,0.03,-1.2,1.52,0.6913,0.8911,0.6543,0.6154,,False,예
KODEX 200,15일 → 말일+3,15,3,287,0,287,0.71,0.64,55.05,44.25,24.77,-16.18,4.62,3.68,2.97,158,127,5894,0,5894,0.83,0.58,56.14,43.47,47.87,-22.47,4.89,3.78,2.98,3309,2562,-0.11,0.06,-1.09,0.78,0.6893,0.8042,0.7303,0.8192,,False,예
KODEX 200,16일 → 말일-3,16,-3,287,0,287,0.2,0.35,57.84,41.81,10.0,-14.89,3.22,2.16,2.51,166,120,4746,0,4746,0.39,0.45,57.5,42.01,28.2,-28.88,4.12,2.72,2.8,2729,1994,-0.19,-0.1,0.34,-0.2,0.4436,0.5475,0.9161,0.9471,,False,예
KODEX 200,16일 → 말일-2,16,-2,287,0,287,0.25,0.54,59.23,40.77,11.43,-18.13,3.51,2.34,2.79,170,117,5033,0,5033,0.41,0.45,58.0,41.74,28.79,-33.39,4.22,2.75,2.85,2919,2101,-0.16,0.09,1.24,-0.98,0.5305,0.5504,0.6613,0.7602,,False,예
KODEX 200,16일 → 말일-1,16,-1,287,0,287,0.3,0.37,57.14,42.51,16.08,-19.6,3.6,2.54,2.72,164,122,5320,0,5320,0.43,0.42,56.5,43.08,30.71,-34.86,4.23,2.89,2.78,3006,2292,-0.14,-0.05,0.64,-0.57,0.5365,0.6523,0.9121,0.9041,,False,예
KODEX 200,16일 → 말일,16,0,287,0,287,0.46,0.4,57.14,42.51,15.03,-11.29,3.63,2.76,2.62,164,122,5607,0,5607,0.6,0.47,57.52,41.97,29.46,-19.26,4.13,3.01,2.71,3225,2353,-0.13,-0.08,-0.37,0.54,0.5714,0.6214,0.9121,0.8681,,False,예
KODEX 200,16일 → 말일+1,16,1,287,0,287,0.57,0.74,58.89,41.11,20.64,-12.31,3.92,3.0,2.91,169,118,5894,0,5894,0.68,0.61,58.59,41.11,34.67,-26.33,4.32,3.16,2.85,3453,2423,-0.11,0.13,0.3,0.01,0.6893,0.5504,0.8891,1.0,,False,예
KODEX 200,16일 → 말일+2,16,2,287,0,287,0.65,0.63,57.49,42.51,20.8,-11.9,4.31,3.31,2.95,165,122,5894,0,5894,0.76,0.59,57.99,41.69,44.87,-25.42,4.7,3.45,2.96,3418,2457,-0.12,0.04,-0.5,0.82,0.6913,0.8571,0.8472,0.8082,,False,예
KODEX 200,16일 → 말일+3,16,3,287,0,287,0.71,0.57,56.1,43.55,22.08,-16.23,4.43,3.55,2.94,161,125,5894,0,5894,0.83,0.58,56.14,43.47,47.87,-22.47,4.89,3.78,2.98,3309,2562,-0.11,-0.0,-0.04,0.09,0.6913,0.988,1.0,1.0,,False,예
KODEX 200,17일 → 말일-3,17,-3,287,0,287,0.19,0.26,57.49,42.16,10.81,-13.77,3.09,2.07,2.37,165,121,4746,0,4746,0.39,0.45,57.5,42.01,28.2,-28.88,4.12,2.72,2.8,2729,1994,-0.2,-0.19,-0.01,0.15,0.4126,0.2697,1.0,1.0,,False,예
KODEX 200,17일 → 말일-2,17,-2,287,0,287,0.24,0.46,58.54,41.46,11.43,-17.79,3.42,2.28,2.63,168,119,5033,0,5033,0.41,0.45,58.0,41.74,28.79,-33.39,4.22,2.75,2.85,2919,2101,-0.17,0.01,0.54,-0.28,0.4945,0.969,0.8571,0.9471,,False,예
KODEX 200,17일 → 말일-1,17,-1,287,0,287,0.29,0.33,55.4,43.55,16.08,-19.6,3.57,2.54,2.57,159,125,5320,0,5320,0.43,0.42,56.5,43.08,30.71,-34.86,4.23,2.89,2.78,3006,2292,-0.15,-0.09,-1.1,0.47,0.5195,0.5205,0.6813,0.8551,,False,예
KODEX 200,17일 → 말일,17,0,287,0,287,0.46,0.45,56.45,43.55,15.03,-11.22,3.65,2.74,2.51,162,125,5607,0,5607,0.6,0.47,57.52,41.97,29.46,-19.26,4.13,3.01,2.71,3225,2353,-0.14,-0.02,-1.07,1.59,0.5445,0.8741,0.7373,0.6084,,False,예
KODEX 200,17일 → 말일+1,17,1,287,0,287,0.56,0.7,58.19,41.46,20.64,-10.37,3.9,2.98,2.83,167,119,5894,0,5894,0.68,0.61,58.59,41.11,34.67,-26.33,4.32,3.16,2.85,3453,2423,-0.12,0.09,-0.4,0.35,0.6613,0.6683,0.9421,0.967,,False,예
KODEX 200,17일 → 말일+2,17,2,287,0,287,0.64,0.57,57.84,42.16,20.8,-13.04,4.3,3.27,2.97,166,121,5894,0,5894,0.76,0.59,57.99,41.69,44.87,-25.42,4.7,3.45,2.96,3418,2457,-0.12,-0.03,-0.15,0.47,0.6753,0.8432,0.9491,0.8961,,False,예
KODEX 200,17일 → 말일+3,17,3,287,0,287,0.71,0.51,57.49,42.51,22.93,-15.53,4.42,3.48,3.04,165,122,5894,0,5894,0.83,0.58,56.14,43.47,47.87,-22.47,4.89,3.78,2.98,3309,2562,-0.12,-0.06,1.35,-0.96,0.6743,0.7692,0.6823,0.7782,,False,예
KODEX 200,18일 → 말일-3,18,-3,287,0,287,0.17,0.29,58.19,41.81,10.81,-13.77,3.03,1.98,2.36,167,120,4746,0,4746,0.39,0.45,57.5,42.01,28.2,-28.88,4.12,2.72,2.8,2729,1994,-0.22,-0.16,0.69,-0.2,0.3586,0.3487,0.8222,0.9471,,False,예
KODEX 200,18일 → 말일-2,18,-2,287,0,287,0.23,0.46,56.79,42.86,11.03,-17.79,3.42,2.31,2.53,163,123,5033,0,5033,0.41,0.45,58.0,41.74,28.79,-33.39,4.22,2.75,2.85,2919,2101,-0.18,0.02,-1.2,1.11,0.4525,0.9381,0.7063,0.7043,,False,예
KODEX 200,18일 → 말일-1,18,-1,287,0,287,0.27,0.38,57.14,42.51,16.08,-19.6,3.6,2.47,2.67,164,122,5320,0,5320,0.43,0.42,56.5,43.08,30.71,-34.86,4.23,2.89,2.78,3006,2292,-0.16,-0.04,0.64,-0.57,0.4785,0.6793,0.9121,0.9041,,False,예
KODEX 200,18일 → 말일,18,0,287,0,287,0.44,0.41,56.45,42.51,14.98,-15.6,3.68,2.72,2.57,162,122,5607,0,5607,0.6,0.47,57.52,41.97,29.46,-19.26,4.13,3.01,2.71,3225,2353,-0.15,-0.07,-1.07,0.54,0.5045,0.6823,0.7373,0.8681,,False,예
KODEX 200,18일 → 말일+1,18,1,287,0,287,0.54,0.64,57.49,42.51,19.99,-9.68,3.88,3.0,2.77,165,122,5894,0,5894,0.68,0.61,58.59,41.11,34.67,-26.33,4.32,3.16,2.85,3453,2423,-0.14,0.03,-1.09,1.4,0.6144,0.8691,0.7592,0.6843,,False,예
KODEX 200,18일 → 말일+2,18,2,287,0,287,0.62,0.54,58.19,41.81,20.44,-15.93,4.27,3.18,2.94,167,120,5894,0,5894,0.76,0.59,57.99,41.69,44.87,-25.42,4.7,3.45,2.96,3418,2457,-0.14,-0.05,0.2,0.13,0.6304,0.7542,1.0,1.0,,False,예
KODEX 200,18일 → 말일+3,18,3,287,0,287,0.69,0.57,57.14,42.86,22.93,-14.9,4.35,3.39,2.92,164,123,5894,0,5894,0.83,0.58,56.14,43.47,47.87,-22.47,4.89,3.78,2.98,3309,2562,-0.14,-0.0,1.0,-0.61,0.6274,0.987,0.7822,0.8661,,False,예
KODEX 200,19일 → 말일-3,19,-3,287,0,287,0.18,0.21,56.45,43.55,14.85,-13.77,2.96,1.95,2.11,162,125,4746,0,4746,0.39,0.45,57.5,42.01,28.2,-28.88,4.12,2.72,2.8,2729,1994,-0.2,-0.24,-1.06,1.54,0.3976,0.1748,0.7822,0.6444,,False,예
KODEX 200,19일 → 말일-2,19,-2,287,0,287,0.24,0.33,56.45,43.21,17.61,-17.79,3.4,2.23,2.36,162,124,5033,0,5033,0.41,0.45,58.0,41.74,28.79,-33.39,4.22,2.75,2.85,2919,2101,-0.17,-0.11,-1.55,1.46,0.4825,0.4575,0.6144,0.6214,,False,예
KODEX 200,19일 → 말일-1,19,-1,287,0,287,0.28,0.35,55.05,44.6,16.92,-19.6,3.51,2.47,2.41,158,128,5320,0,5320,0.43,0.42,56.5,43.08,30.71,-34.86,4.23,2.89,2.78,3006,2292,-0.15,-0.07,-1.45,1.52,0.5005,0.5814,0.5964,0.6004,,False,예
