종목,청산 요일,날짜,주 기준일,청산 목표일,실제 청산일,보유 거래일,진입 종가,청산 종가,수익률(%),제외 사유,만기월
QQQ,금요일,1999-03-19,1999-03-19,1999-03-26,1999-03-26,5,51.2188,51.75,1.04,,3
QQQ,금요일,1999-04-16,1999-04-16,1999-04-23,1999-04-23,5,51.9688,55.3125,6.43,,4
QQQ,금요일,1999-05-21,1999-05-21,1999-05-28,1999-05-28,5,52.875,52.0312,-1.6,,5
QQQ,금요일,1999-06-18,1999-06-18,1999-06-25,1999-06-25,5,55.0625,54.6875,-0.68,,6
QQQ,금요일,1999-07-16,1999-07-16,1999-07-23,1999-07-23,5,61.375,57.2812,-6.67,,7
QQQ,금요일,1999-08-20,1999-08-20,1999-08-27,1999-08-27,5,57.9688,59.875,3.29,,8
QQQ,금요일,1999-09-17,1999-09-17,1999-09-24,1999-09-24,5,63.3125,60.0781,-5.11,,9
QQQ,금요일,1999-10-15,1999-10-15,1999-10-22,1999-10-22,5,59.875,61.9688,3.5,,10
QQQ,금요일,1999-11-19,1999-11-19,1999-11-26,1999-11-26,4,75.7812,77.6875,2.52,,11
QQQ,금요일,1999-12-17,1999-12-17,1999-12-24,1999-12-23,4,83.7812,90.2188,7.68,,12
QQQ,금요일,2000-01-21,2000-01-21,2000-01-28,2000-01-28,5,96.25,86.0,-10.65,,1
QQQ,금요일,2000-02-18,2000-02-18,2000-02-25,2000-02-25,4,98.4375,104.0625,5.71,,2
QQQ,금요일,2000-03-17,2000-03-17,2000-03-24,2000-03-24,5,110.8125,117.5625,6.09,,3
QQQ,금요일,2000-04-20,2000-04-21,2000-04-28,2000-04-28,5,87.25,94.75,8.6,,4
QQQ,금요일,2000-05-19,2000-05-19,2000-05-26,2000-05-26,5,81.6875,77.75,-4.82,,5
QQQ,금요일,2000-06-16,2000-06-16,2000-06-23,2000-06-23,5,94.25,91.5,-2.92,,6
QQQ,금요일,2000-07-21,2000-07-21,2000-07-28,2000-07-28,5,97.0,86.875,-10.44,,7
QQQ,금요일,2000-08-18,2000-08-18,2000-08-25,2000-08-25,5,95.25,98.0312,2.92,,8
QQQ,금요일,2000-09-15,2000-09-15,2000-09-22,2000-09-22,5,91.3125,92.9375,1.78,,9
QQQ,금요일,2000-10-20,2000-10-20,2000-10-27,2000-10-27,5,86.3125,79.7188,-7.64,,10
QQQ,금요일,2000-11-17,2000-11-17,2000-11-24,2000-11-24,4,72.8281,70.4375,-3.28,,11
QQQ,금요일,2000-12-15,2000-12-15,2000-12-22,2000-12-22,5,63.875,60.5,-5.28,,12
QQQ,금요일,2001-01-19,2001-01-19,2001-01-26,2001-01-26,5,66.3125,65.5469,-1.15,,1
QQQ,금요일,2001-02-16,2001-02-16,2001-02-23,2001-02-23,4,55.13,51.18,-7.16,,2
QQQ,금요일,2001-03-16,2001-03-16,2001-03-23,2001-03-23,5,41.2,42.8,3.88,,3
QQQ,금요일,2001-04-20,2001-04-20,2001-04-27,2001-04-27,5,48.4,45.15,-6.71,,4
