종목,연도,거래일,프리미엄 평균(%),프리미엄 절대값 평균(%),프리미엄 최대(%),프리미엄 최소(%)
261240,2016,3,-0.18,0.18,-0.11,-0.28
261240,2017,243,-0.07,0.1,0.17,-0.34
261240,2018,244,-0.04,0.08,0.19,-0.27
261240,2019,246,0.09,0.14,21.85,-0.19
261240,2020,248,-0.04,0.07,0.15,-0.29
261240,2021,248,-0.04,0.06,0.18,-0.31
261240,2022,246,-0.03,0.08,0.36,-0.27
261240,2023,245,-0.17,0.17,0.09,-0.44
261240,2024,244,-0.12,0.14,0.18,-0.49
261240,2025,242,-0.06,0.08,0.99,-0.29
261240,2026,156,-0.06,0.09,0.17,-0.31
261250,2016,3,-0.28,0.28,-0.19,-0.37
261250,2017,243,-0.08,0.13,0.34,-0.46
261250,2018,244,-0.08,0.12,0.29,-0.37
261250,2019,246,-0.03,0.08,0.23,-0.29
261250,2020,248,-0.05,0.1,0.62,-0.46
261250,2021,248,-0.06,0.1,0.28,-0.39
261250,2022,246,-0.01,0.11,0.55,-0.49
261250,2023,245,-0.22,0.23,0.16,-2.21
261250,2024,244,-0.17,0.18,0.22,-0.92
261250,2025,242,-0.08,0.12,0.88,-0.42
261250,2026,156,-0.07,0.14,0.33,-0.99
