지수,1배 종목,배수 종목,배수,상품,구간,1배 연율 분배 기여(%),배수 연율 분배 기여(%),배당 보정분(%p),측정 여부,분배 측정 구간
KOSPI200,069500,122630,2.0,ETF,1주,1.92,0.0,-0.08,예,2014-06-09 ~ 2026-08-26
KOSPI200,069500,122630,2.0,ETF,2주,1.92,0.0,-0.15,예,2014-06-09 ~ 2026-08-26
KOSPI200,069500,122630,2.0,ETF,1개월,1.92,0.0,-0.32,예,2014-06-09 ~ 2026-08-26
KOSPI200,069500,122630,2.0,ETF,3개월,1.92,0.0,-0.96,예,2014-06-09 ~ 2026-08-26
KOSPI200,069500,122630,2.0,ETF,6개월,1.92,0.0,-1.92,예,2014-06-09 ~ 2026-08-26
KOSPI200,069500,122630,2.0,ETF,1년,1.92,0.0,-3.84,예,2014-06-09 ~ 2026-08-26
KOSPI200,069500,122630,2.0,ETF,3년,1.92,0.0,-11.52,예,2014-06-09 ~ 2026-08-26
KOSPI200,069500,114800,-1.0,ETF,1주,1.92,0.0,0.04,예,2014-06-09 ~ 2026-08-26
KOSPI200,069500,114800,-1.0,ETF,2주,1.92,0.0,0.08,예,2014-06-09 ~ 2026-08-26
KOSPI200,069500,114800,-1.0,ETF,1개월,1.92,0.0,0.16,예,2014-06-09 ~ 2026-08-26
KOSPI200,069500,114800,-1.0,ETF,3개월,1.92,0.0,0.48,예,2014-06-09 ~ 2026-08-26
KOSPI200,069500,114800,-1.0,ETF,6개월,1.92,0.0,0.96,예,2014-06-09 ~ 2026-08-26
KOSPI200,069500,114800,-1.0,ETF,1년,1.92,0.0,1.92,예,2014-06-09 ~ 2026-08-26
KOSPI200,069500,114800,-1.0,ETF,3년,1.92,0.0,5.76,예,2014-06-09 ~ 2026-08-26
KOSPI200,069500,252670,-2.0,ETF,1주,1.92,0.0,0.08,예,2014-06-09 ~ 2026-08-26
KOSPI200,069500,252670,-2.0,ETF,2주,1.92,0.0,0.15,예,2014-06-09 ~ 2026-08-26
KOSPI200,069500,252670,-2.0,ETF,1개월,1.92,0.0,0.32,예,2014-06-09 ~ 2026-08-26
KOSPI200,069500,252670,-2.0,ETF,3개월,1.92,0.0,0.96,예,2014-06-09 ~ 2026-08-26
KOSPI200,069500,252670,-2.0,ETF,6개월,1.92,0.0,1.92,예,2014-06-09 ~ 2026-08-26
KOSPI200,069500,252670,-2.0,ETF,1년,1.92,0.0,3.84,예,2014-06-09 ~ 2026-08-26
KOSPI200,069500,252670,-2.0,ETF,3년,1.92,0.0,11.52,예,2014-06-09 ~ 2026-08-26
KOSDAQ150,229200,233740,2.0,ETF,1주,0.63,0.0,-0.02,예,2015-10-01 ~ 2026-09-02
KOSDAQ150,229200,233740,2.0,ETF,2주,0.63,0.0,-0.05,예,2015-10-01 ~ 2026-09-02
KOSDAQ150,229200,233740,2.0,ETF,1개월,0.63,0.0,-0.1,예,2015-10-01 ~ 2026-09-02
KOSDAQ150,229200,233740,2.0,ETF,3개월,0.63,0.0,-0.31,예,2015-10-01 ~ 2026-09-02
KOSDAQ150,229200,233740,2.0,ETF,6개월,0.63,0.0,-0.63,예,2015-10-01 ~ 2026-09-02
KOSDAQ150,229200,233740,2.0,ETF,1년,0.63,0.0,-1.26,예,2015-10-01 ~ 2026-09-02
KOSDAQ150,229200,233740,2.0,ETF,3년,0.63,0.0,-3.77,예,2015-10-01 ~ 2026-09-02
KOSDAQ150,229200,251340,-1.0,ETF,1주,0.63,0.0,0.01,예,2015-10-01 ~ 2026-09-02
KOSDAQ150,229200,251340,-1.0,ETF,2주,0.63,0.0,0.02,예,2015-10-01 ~ 2026-09-02
