종목,조합,월,방향,손절선(%),진입일,진입가,청산일,보유일,청산가,수익률(%),보유 중 최악(%),청산 사유
SPY,만기→다음주금,9,위,-5.0,1993-09-17,45.8125,1993-09-24,5,45.7812,-0.07,-2.18,기한청산
SPY,만기→다음주금,9,위,-5.0,1994-09-16,47.0156,1994-09-23,5,45.9062,-2.36,-2.73,기한청산
SPY,만기→다음주금,9,위,-5.0,1995-09-15,58.4375,1995-09-22,5,58.3125,-0.21,-1.12,기한청산
SPY,만기→다음주금,9,위,-5.0,1996-09-20,68.6406,1996-09-27,5,68.6875,0.07,-0.71,기한청산
SPY,만기→다음주금,9,위,-5.0,1997-09-19,95.0312,1997-09-26,5,94.4688,-0.59,-1.48,기한청산
SPY,만기→다음주금,9,위,-5.0,1998-09-18,102.0938,1998-09-25,5,104.25,2.11,-3.09,기한청산
SPY,만기→다음주금,9,위,-5.0,1999-09-17,133.75,1999-09-24,5,127.0625,-5.0,-5.0,장중손절
SPY,만기→다음주금,9,위,-5.0,2000-09-15,146.0,2000-09-22,5,145.2812,-0.49,-2.45,기한청산
SPY,만기→다음주금,9,위,-5.0,2001-09-21,97.28,2001-09-28,5,104.44,7.36,1.83,기한청산
SPY,만기→다음주금,9,위,-5.0,2002-09-20,84.35,2002-09-27,5,82.75,-1.9,-2.96,기한청산
SPY,만기→다음주금,9,위,-5.0,2003-09-19,103.67,2003-09-26,5,99.95,-3.59,-3.68,기한청산
SPY,만기→다음주금,9,위,-5.0,2004-09-17,113.15,2004-09-24,5,111.46,-1.49,-1.94,기한청산
SPY,만기→다음주금,9,위,-5.0,2005-09-16,123.5,2005-09-23,5,121.44,-1.67,-2.48,기한청산
SPY,만기→다음주금,9,위,-5.0,2006-09-15,131.96,2006-09-22,5,131.47,-0.37,-0.73,기한청산
SPY,만기→다음주금,9,위,-5.0,2007-09-21,151.97,2007-09-28,5,152.58,0.4,-0.99,기한청산
SPY,만기→다음주금,9,위,-5.0,2008-09-19,124.12,2008-09-24,3,117.914,-5.0,-5.0,장중손절
SPY,만기→다음주금,9,위,-5.0,2009-09-18,106.72,2009-09-25,5,104.45,-2.13,-2.46,기한청산
SPY,만기→다음주금,9,위,-5.0,2010-09-17,112.49,2010-09-24,5,114.82,2.07,-0.28,기한청산
SPY,만기→다음주금,9,위,-5.0,2011-09-16,121.52,2011-09-22,4,113.25,-6.81,-6.81,갭손절
SPY,만기→다음주금,9,위,-5.0,2012-09-21,145.87,2012-09-28,5,143.97,-1.3,-2.0,기한청산
SPY,만기→다음주금,9,위,-5.0,2013-09-20,170.72,2013-09-27,5,168.91,-1.06,-1.32,기한청산
SPY,만기→다음주금,9,위,-5.0,2014-09-19,200.7,2014-09-26,5,197.9,-1.4,-2.21,기한청산
SPY,만기→다음주금,9,위,-5.0,2015-09-18,195.45,2015-09-25,5,192.85,-1.33,-2.5,기한청산
SPY,만기→다음주금,9,위,-5.0,2016-09-16,213.37,2016-09-23,5,215.99,1.23,-0.16,기한청산
SPY,만기→다음주금,9,위,-5.0,2017-09-15,249.19,2017-09-22,5,249.44,0.1,-0.11,기한청산
SPY,만기→다음주금,9,위,-5.0,2018-09-21,291.99,2018-09-28,5,290.72,-0.43,-0.88,기한청산
SPY,만기→다음주금,9,위,-5.0,2019-09-20,298.28,2019-09-27,5,295.4,-0.97,-1.54,기한청산
SPY,만기→다음주금,9,위,-5.0,2020-09-18,330.65,2020-09-25,5,328.73,-0.58,-3.28,기한청산
SPY,만기→다음주금,9,위,-5.0,2021-09-17,441.4,2021-09-24,5,443.91,0.57,-2.84,기한청산
SPY,만기→다음주금,9,위,-5.0,2022-09-16,385.56,2022-09-23,5,366.282,-5.0,-5.0,장중손절
SPY,만기→다음주금,9,위,-5.0,2023-09-15,443.37,2023-09-22,5,430.42,-2.92,-3.02,기한청산
SPY,만기→다음주금,9,위,-5.0,2024-09-20,568.25,2024-09-27,5,571.47,0.57,-0.11,기한청산
SPY,만기→다음주금,9,위,-5.0,2025-09-19,663.7,2025-09-26,5,661.82,-0.28,-1.4,기한청산
SPY,만기→다음주금,9,위,무손절,1993-09-17,45.8125,1993-09-24,5,45.7812,-0.07,-2.18,기한청산
SPY,만기→다음주금,9,위,무손절,1994-09-16,47.0156,1994-09-23,5,45.9062,-2.36,-2.73,기한청산
SPY,만기→다음주금,9,위,무손절,1995-09-15,58.4375,1995-09-22,5,58.3125,-0.21,-1.12,기한청산
SPY,만기→다음주금,9,위,무손절,1996-09-20,68.6406,1996-09-27,5,68.6875,0.07,-0.71,기한청산
SPY,만기→다음주금,9,위,무손절,1997-09-19,95.0312,1997-09-26,5,94.4688,-0.59,-1.48,기한청산
SPY,만기→다음주금,9,위,무손절,1998-09-18,102.0938,1998-09-25,5,104.25,2.11,-3.09,기한청산
SPY,만기→다음주금,9,위,무손절,1999-09-17,133.75,1999-09-24,5,127.75,-4.49,-5.56,기한청산
SPY,만기→다음주금,9,위,무손절,2000-09-15,146.0,2000-09-22,5,145.2812,-0.49,-2.45,기한청산
SPY,만기→다음주금,9,위,무손절,2001-09-21,97.28,2001-09-28,5,104.44,7.36,1.83,기한청산
SPY,만기→다음주금,9,위,무손절,2002-09-20,84.35,2002-09-27,5,82.75,-1.9,-2.96,기한청산
SPY,만기→다음주금,9,위,무손절,2003-09-19,103.67,2003-09-26,5,99.95,-3.59,-3.68,기한청산
SPY,만기→다음주금,9,위,무손절,2004-09-17,113.15,2004-09-24,5,111.46,-1.49,-1.94,기한청산
SPY,만기→다음주금,9,위,무손절,2005-09-16,123.5,2005-09-23,5,121.44,-1.67,-2.48,기한청산
SPY,만기→다음주금,9,위,무손절,2006-09-15,131.96,2006-09-22,5,131.47,-0.37,-0.73,기한청산
SPY,만기→다음주금,9,위,무손절,2007-09-21,151.97,2007-09-28,5,152.58,0.4,-0.99,기한청산
SPY,만기→다음주금,9,위,무손절,2008-09-19,124.12,2008-09-26,5,120.85,-2.63,-5.1,기한청산
SPY,만기→다음주금,9,위,무손절,2009-09-18,106.72,2009-09-25,5,104.45,-2.13,-2.46,기한청산
SPY,만기→다음주금,9,위,무손절,2010-09-17,112.49,2010-09-24,5,114.82,2.07,-0.28,기한청산
SPY,만기→다음주금,9,위,무손절,2011-09-16,121.52,2011-09-23,5,113.54,-6.57,-8.41,기한청산
SPY,만기→다음주금,9,위,무손절,2012-09-21,145.87,2012-09-28,5,143.97,-1.3,-2.0,기한청산
SPY,만기→다음주금,9,위,무손절,2013-09-20,170.72,2013-09-27,5,168.91,-1.06,-1.32,기한청산
SPY,만기→다음주금,9,위,무손절,2014-09-19,200.7,2014-09-26,5,197.9,-1.4,-2.21,기한청산
SPY,만기→다음주금,9,위,무손절,2015-09-18,195.45,2015-09-25,5,192.85,-1.33,-2.5,기한청산
SPY,만기→다음주금,9,위,무손절,2016-09-16,213.37,2016-09-23,5,215.99,1.23,-0.16,기한청산
SPY,만기→다음주금,9,위,무손절,2017-09-15,249.19,2017-09-22,5,249.44,0.1,-0.11,기한청산
SPY,만기→다음주금,9,위,무손절,2018-09-21,291.99,2018-09-28,5,290.72,-0.43,-0.88,기한청산
SPY,만기→다음주금,9,위,무손절,2019-09-20,298.28,2019-09-27,5,295.4,-0.97,-1.54,기한청산
SPY,만기→다음주금,9,위,무손절,2020-09-18,330.65,2020-09-25,5,328.73,-0.58,-3.28,기한청산
SPY,만기→다음주금,9,위,무손절,2021-09-17,441.4,2021-09-24,5,443.91,0.57,-2.84,기한청산
SPY,만기→다음주금,9,위,무손절,2022-09-16,385.56,2022-09-23,5,367.95,-4.57,-5.78,기한청산
SPY,만기→다음주금,9,위,무손절,2023-09-15,443.37,2023-09-22,5,430.42,-2.92,-3.02,기한청산
SPY,만기→다음주금,9,위,무손절,2024-09-20,568.25,2024-09-27,5,571.47,0.57,-0.11,기한청산
SPY,만기→다음주금,9,위,무손절,2025-09-19,663.7,2025-09-26,5,661.82,-0.28,-1.4,기한청산
SPY,만기→다음주금,9,아래,-5.0,1993-09-17,45.8125,1993-09-24,5,45.7812,0.07,-0.34,기한청산
SPY,만기→다음주금,9,아래,-5.0,1994-09-16,47.0156,1994-09-23,5,45.9062,2.36,-0.66,기한청산
SPY,만기→다음주금,9,아래,-5.0,1995-09-15,58.4375,1995-09-22,5,58.3125,0.21,-0.59,기한청산
SPY,만기→다음주금,9,아래,-5.0,1996-09-20,68.6406,1996-09-27,5,68.6875,-0.07,-0.89,기한청산
SPY,만기→다음주금,9,아래,-5.0,1997-09-19,95.0312,1997-09-26,5,94.4688,0.59,-1.23,기한청산
SPY,만기→다음주금,9,아래,-5.0,1998-09-18,102.0938,1998-09-25,5,104.25,-2.11,-4.81,기한청산
SPY,만기→다음주금,9,아래,-5.0,1999-09-17,133.75,1999-09-24,5,127.75,4.49,-0.19,기한청산
SPY,만기→다음주금,9,아래,-5.0,2000-09-15,146.0,2000-09-22,5,145.2812,0.49,-0.66,기한청산
SPY,만기→다음주금,9,아래,-5.0,2001-09-21,97.28,2001-09-26,3,102.35,-5.21,-5.21,갭손절
SPY,만기→다음주금,9,아래,-5.0,2002-09-20,84.35,2002-09-27,5,82.75,1.9,-1.92,기한청산
SPY,만기→다음주금,9,아래,-5.0,2003-09-19,103.67,2003-09-26,5,99.95,3.59,0.37,기한청산
SPY,만기→다음주금,9,아래,-5.0,2004-09-17,113.15,2004-09-24,5,111.46,1.49,-0.28,기한청산
SPY,만기→다음주금,9,아래,-5.0,2005-09-16,123.5,2005-09-23,5,121.44,1.67,-0.09,기한청산
SPY,만기→다음주금,9,아래,-5.0,2006-09-15,131.96,2006-09-22,5,131.47,0.37,-0.61,기한청산
SPY,만기→다음주금,9,아래,-5.0,2007-09-21,151.97,2007-09-28,5,152.58,-0.4,-0.8,기한청산
SPY,만기→다음주금,9,아래,-5.0,2008-09-19,124.12,2008-09-26,5,120.85,2.63,-0.51,기한청산
SPY,만기→다음주금,9,아래,-5.0,2009-09-18,106.72,2009-09-25,5,104.45,2.13,-1.23,기한청산
SPY,만기→다음주금,9,아래,-5.0,2010-09-17,112.49,2010-09-24,5,114.82,-2.07,-2.14,기한청산
SPY,만기→다음주금,9,아래,-5.0,2011-09-16,121.52,2011-09-23,5,113.54,6.57,-0.39,기한청산
SPY,만기→다음주금,9,아래,-5.0,2012-09-21,145.87,2012-09-28,5,143.97,1.3,-0.25,기한청산
SPY,만기→다음주금,9,아래,-5.0,2013-09-20,170.72,2013-09-27,5,168.91,1.06,0.04,기한청산
SPY,만기→다음주금,9,아래,-5.0,2014-09-19,200.7,2014-09-26,5,197.9,1.4,0.16,기한청산
SPY,만기→다음주금,9,아래,-5.0,2015-09-18,195.45,2015-09-25,5,192.85,1.33,-1.14,기한청산
SPY,만기→다음주금,9,아래,-5.0,2016-09-16,213.37,2016-09-23,5,215.99,-1.23,-1.95,기한청산
SPY,만기→다음주금,9,아래,-5.0,2017-09-15,249.19,2017-09-22,5,249.44,-0.1,-0.4,기한청산
SPY,만기→다음주금,9,아래,-5.0,2018-09-21,291.99,2018-09-28,5,290.72,0.43,-0.09,기한청산
SPY,만기→다음주금,9,아래,-5.0,2019-09-20,298.28,2019-09-27,5,295.4,0.97,-0.52,기한청산
SPY,만기→다음주금,9,아래,-5.0,2020-09-18,330.65,2020-09-25,5,328.73,0.58,-0.17,기한청산
SPY,만기→다음주금,9,아래,-5.0,2021-09-17,441.4,2021-09-24,5,443.91,-0.57,-0.79,기한청산
SPY,만기→다음주금,9,아래,-5.0,2022-09-16,385.56,2022-09-23,5,367.95,4.57,-0.97,기한청산
SPY,만기→다음주금,9,아래,-5.0,2023-09-15,443.37,2023-09-22,5,430.42,2.92,-0.36,기한청산
SPY,만기→다음주금,9,아래,-5.0,2024-09-20,568.25,2024-09-27,5,571.47,-0.57,-1.14,기한청산
SPY,만기→다음주금,9,아래,-5.0,2025-09-19,663.7,2025-09-26,5,661.82,0.28,-0.55,기한청산
SPY,만기→다음주금,9,아래,무손절,1993-09-17,45.8125,1993-09-24,5,45.7812,0.07,-0.34,기한청산
SPY,만기→다음주금,9,아래,무손절,1994-09-16,47.0156,1994-09-23,5,45.9062,2.36,-0.66,기한청산
SPY,만기→다음주금,9,아래,무손절,1995-09-15,58.4375,1995-09-22,5,58.3125,0.21,-0.59,기한청산
SPY,만기→다음주금,9,아래,무손절,1996-09-20,68.6406,1996-09-27,5,68.6875,-0.07,-0.89,기한청산
SPY,만기→다음주금,9,아래,무손절,1997-09-19,95.0312,1997-09-26,5,94.4688,0.59,-1.23,기한청산
SPY,만기→다음주금,9,아래,무손절,1998-09-18,102.0938,1998-09-25,5,104.25,-2.11,-4.81,기한청산
SPY,만기→다음주금,9,아래,무손절,1999-09-17,133.75,1999-09-24,5,127.75,4.49,-0.19,기한청산
SPY,만기→다음주금,9,아래,무손절,2000-09-15,146.0,2000-09-22,5,145.2812,0.49,-0.66,기한청산
SPY,만기→다음주금,9,아래,무손절,2001-09-21,97.28,2001-09-28,5,104.44,-7.36,-12.69,기한청산
SPY,만기→다음주금,9,아래,무손절,2002-09-20,84.35,2002-09-27,5,82.75,1.9,-1.92,기한청산
SPY,만기→다음주금,9,아래,무손절,2003-09-19,103.67,2003-09-26,5,99.95,3.59,0.37,기한청산
SPY,만기→다음주금,9,아래,무손절,2004-09-17,113.15,2004-09-24,5,111.46,1.49,-0.28,기한청산
SPY,만기→다음주금,9,아래,무손절,2005-09-16,123.5,2005-09-23,5,121.44,1.67,-0.09,기한청산
SPY,만기→다음주금,9,아래,무손절,2006-09-15,131.96,2006-09-22,5,131.47,0.37,-0.61,기한청산
SPY,만기→다음주금,9,아래,무손절,2007-09-21,151.97,2007-09-28,5,152.58,-0.4,-0.8,기한청산
SPY,만기→다음주금,9,아래,무손절,2008-09-19,124.12,2008-09-26,5,120.85,2.63,-0.51,기한청산
SPY,만기→다음주금,9,아래,무손절,2009-09-18,106.72,2009-09-25,5,104.45,2.13,-1.23,기한청산
SPY,만기→다음주금,9,아래,무손절,2010-09-17,112.49,2010-09-24,5,114.82,-2.07,-2.14,기한청산
SPY,만기→다음주금,9,아래,무손절,2011-09-16,121.52,2011-09-23,5,113.54,6.57,-0.39,기한청산
SPY,만기→다음주금,9,아래,무손절,2012-09-21,145.87,2012-09-28,5,143.97,1.3,-0.25,기한청산
SPY,만기→다음주금,9,아래,무손절,2013-09-20,170.72,2013-09-27,5,168.91,1.06,0.04,기한청산
SPY,만기→다음주금,9,아래,무손절,2014-09-19,200.7,2014-09-26,5,197.9,1.4,0.16,기한청산
SPY,만기→다음주금,9,아래,무손절,2015-09-18,195.45,2015-09-25,5,192.85,1.33,-1.14,기한청산
SPY,만기→다음주금,9,아래,무손절,2016-09-16,213.37,2016-09-23,5,215.99,-1.23,-1.95,기한청산
SPY,만기→다음주금,9,아래,무손절,2017-09-15,249.19,2017-09-22,5,249.44,-0.1,-0.4,기한청산
SPY,만기→다음주금,9,아래,무손절,2018-09-21,291.99,2018-09-28,5,290.72,0.43,-0.09,기한청산
SPY,만기→다음주금,9,아래,무손절,2019-09-20,298.28,2019-09-27,5,295.4,0.97,-0.52,기한청산
SPY,만기→다음주금,9,아래,무손절,2020-09-18,330.65,2020-09-25,5,328.73,0.58,-0.17,기한청산
SPY,만기→다음주금,9,아래,무손절,2021-09-17,441.4,2021-09-24,5,443.91,-0.57,-0.79,기한청산
SPY,만기→다음주금,9,아래,무손절,2022-09-16,385.56,2022-09-23,5,367.95,4.57,-0.97,기한청산
SPY,만기→다음주금,9,아래,무손절,2023-09-15,443.37,2023-09-22,5,430.42,2.92,-0.36,기한청산
SPY,만기→다음주금,9,아래,무손절,2024-09-20,568.25,2024-09-27,5,571.47,-0.57,-1.14,기한청산
SPY,만기→다음주금,9,아래,무손절,2025-09-19,663.7,2025-09-26,5,661.82,0.28,-0.55,기한청산
SPY,만기→다음주금,12,위,-5.0,1993-12-17,46.5625,1993-12-23,4,46.75,0.4,-0.34,기한청산
SPY,만기→다음주금,12,위,-5.0,1994-12-16,45.75,1994-12-23,5,46.0625,0.68,-0.31,기한청산
SPY,만기→다음주금,12,위,-5.0,1995-12-15,61.8125,1995-12-22,5,61.2031,-0.99,-2.0,기한청산
SPY,만기→다음주금,12,위,-5.0,1996-12-20,74.8438,1996-12-27,4,75.875,1.38,-0.69,기한청산
SPY,만기→다음주금,12,위,-5.0,1997-12-19,94.7812,1997-12-26,4,93.7812,-1.06,-1.62,기한청산
SPY,만기→다음주금,12,위,-5.0,1998-12-18,118.5,1998-12-24,4,122.6875,3.53,0.42,기한청산
SPY,만기→다음주금,12,위,-5.0,1999-12-17,142.6875,1999-12-23,4,146.4844,2.66,-1.12,기한청산
SPY,만기→다음주금,12,위,-5.0,2000-12-15,130.9688,2000-12-22,5,130.9375,-0.02,-4.15,기한청산
SPY,만기→다음주금,12,위,-5.0,2001-12-21,114.95,2001-12-28,4,116.0,0.91,-0.3,기한청산
SPY,만기→다음주금,12,위,-5.0,2002-12-20,89.99,2002-12-27,4,87.38,-2.9,-2.9,기한청산
SPY,만기→다음주금,12,위,-5.0,2003-12-19,108.9,2003-12-26,4,109.7,0.73,-0.11,기한청산
SPY,만기→다음주금,12,위,-5.0,2004-12-17,119.44,2004-12-23,4,120.77,1.11,-0.23,기한청산
SPY,만기→다음주금,12,위,-5.0,2005-12-16,126.36,2005-12-23,5,126.76,0.32,-0.7,기한청산
SPY,만기→다음주금,12,위,-5.0,2006-12-15,142.34,2006-12-22,5,140.75,-1.12,-1.17,기한청산
SPY,만기→다음주금,12,위,-5.0,2007-12-21,148.13,2007-12-28,4,147.3,-0.56,-0.83,기한청산
SPY,만기→다음주금,12,위,-5.0,2008-12-19,88.19,2008-12-26,4,87.16,-1.17,-3.06,기한청산
SPY,만기→다음주금,12,위,-5.0,2009-12-18,110.21,2009-12-24,4,112.48,2.06,0.5,기한청산
SPY,만기→다음주금,12,위,-5.0,2010-12-17,124.3,2010-12-23,4,125.6,1.05,-0.26,기한청산
SPY,만기→다음주금,12,위,-5.0,2011-12-16,121.59,2011-12-23,5,126.39,3.95,-1.28,기한청산
SPY,만기→다음주금,12,위,-5.0,2012-12-21,142.79,2012-12-28,4,140.03,-1.93,-2.04,기한청산
SPY,만기→다음주금,12,위,-5.0,2013-12-20,181.56,2013-12-27,4,183.85,1.26,0.28,기한청산
SPY,만기→다음주금,12,위,-5.0,2014-12-19,206.52,2014-12-26,4,208.44,0.93,-0.03,기한청산
SPY,만기→다음주금,12,위,-5.0,2015-12-18,200.02,2015-12-24,4,205.68,2.83,0.03,기한청산
