시장,대상,집행,월,표본,방향,적중률(%),방향 기대값(%),합산 수익률(%),1차 판정
코스피,KODEX 200,위 집행,1,24,위,50.0,-0.42,-10.09,제외
코스피,KODEX 200,위 집행,2,24,아래,54.17,0.6,14.35,제외
코스피,KODEX 200,위 집행,3,24,위,62.5,0.66,15.89,후보
코스피,KODEX 200,위 집행,4,24,아래,58.33,0.95,22.73,제외
코스피,KODEX 200,위 집행,5,24,위,66.67,1.98,47.45,후보
코스피,KODEX 200,위 집행,6,24,위,50.0,0.31,7.45,제외
코스피,KODEX 200,위 집행,7,24,위,62.5,1.1,26.47,후보
코스피,KODEX 200,위 집행,8,24,위,58.33,1.12,26.84,제외
코스피,KODEX 200,위 집행,9,23,아래,60.87,1.13,25.93,후보
코스피,KODEX 200,위 집행,10,24,아래,54.17,-0.02,-0.36,제외
코스피,KODEX 200,위 집행,11,24,위,70.83,1.32,31.68,후보
코스피,KODEX 200,위 집행,12,24,위,79.17,1.3,31.14,후보
코스피,KODEX 인버스,아래 집행,1,17,위,52.94,0.54,9.2,판정 안 함
코스피,KODEX 인버스,아래 집행,2,17,위,64.71,0.92,15.66,판정 안 함
코스피,KODEX 인버스,아래 집행,3,17,아래,58.82,0.47,8.02,판정 안 함
코스피,KODEX 인버스,아래 집행,4,17,아래,58.82,0.96,16.28,판정 안 함
코스피,KODEX 인버스,아래 집행,5,17,아래,70.59,1.78,30.33,판정 안 함
코스피,KODEX 인버스,아래 집행,6,17,위,52.94,0.17,2.92,판정 안 함
코스피,KODEX 인버스,아래 집행,7,17,아래,64.71,1.09,18.51,판정 안 함
코스피,KODEX 인버스,아래 집행,8,17,위,47.06,-0.79,-13.37,판정 안 함
코스피,KODEX 인버스,아래 집행,9,17,위,70.59,1.38,23.49,판정 안 함
코스피,KODEX 인버스,아래 집행,10,17,위,52.94,0.18,3.09,판정 안 함
코스피,KODEX 인버스,아래 집행,11,17,아래,52.94,-0.22,-3.66,판정 안 함
코스피,KODEX 인버스,아래 집행,12,17,아래,82.35,1.61,27.36,판정 안 함
코스닥,KODEX 코스닥150,위 집행,1,11,위,54.55,1.12,12.36,제외
코스닥,KODEX 코스닥150,위 집행,2,11,아래,63.64,0.98,10.83,후보
코스닥,KODEX 코스닥150,위 집행,3,11,아래,54.55,-0.42,-4.59,제외
코스닥,KODEX 코스닥150,위 집행,4,11,아래,81.82,1.69,18.63,후보
코스닥,KODEX 코스닥150,위 집행,5,11,위,81.82,1.85,20.39,후보
코스닥,KODEX 코스닥150,위 집행,6,11,아래,81.82,1.94,21.36,후보
코스닥,KODEX 코스닥150,위 집행,7,11,아래,63.64,1.28,14.03,후보
코스닥,KODEX 코스닥150,위 집행,8,11,위,63.64,2.11,23.24,후보
코스닥,KODEX 코스닥150,위 집행,9,10,아래,80.0,2.97,29.73,후보
코스닥,KODEX 코스닥150,위 집행,10,11,아래,54.55,0.78,8.61,제외
코스닥,KODEX 코스닥150,위 집행,11,11,아래,54.55,1.27,13.95,제외
코스닥,KODEX 코스닥150,위 집행,12,11,위,90.91,2.99,32.86,후보
코스닥,KODEX 코스닥150선물인버스,아래 집행,1,10,아래,60.0,0.81,8.12,판정 안 함
코스닥,KODEX 코스닥150선물인버스,아래 집행,2,10,위,70.0,1.17,11.67,판정 안 함
코스닥,KODEX 코스닥150선물인버스,아래 집행,3,10,위,50.0,-0.55,-5.53,판정 안 함
코스닥,KODEX 코스닥150선물인버스,아래 집행,4,10,위,70.0,1.04,10.44,판정 안 함
코스닥,KODEX 코스닥150선물인버스,아래 집행,5,10,아래,80.0,1.94,19.43,판정 안 함
코스닥,KODEX 코스닥150선물인버스,아래 집행,6,10,위,80.0,1.95,19.45,판정 안 함
코스닥,KODEX 코스닥150선물인버스,아래 집행,7,10,위,70.0,1.1,11.0,판정 안 함
코스닥,KODEX 코스닥150선물인버스,아래 집행,8,11,아래,63.64,2.18,23.95,판정 안 함
코스닥,KODEX 코스닥150선물인버스,아래 집행,9,10,위,80.0,3.05,30.54,판정 안 함
코스닥,KODEX 코스닥150선물인버스,아래 집행,10,10,위,50.0,0.61,6.08,판정 안 함
코스닥,KODEX 코스닥150선물인버스,아래 집행,11,10,위,60.0,1.33,13.27,판정 안 함
코스닥,KODEX 코스닥150선물인버스,아래 집행,12,10,아래,90.0,3.01,30.14,판정 안 함
