종목,월,방향,손절선(%),시기,신호,합계(%),평균(%),승률(%),손익비,손익분기 승률(%),손익분기 대비(%p),이길 때(%),질 때(%),질 때 표본,최고(%),최악(%),보유 중 최악(%),표준편차(%),갭손절,장중손절,평균 보유일,판정가능,시기 시작일,시기 종료일,1차 판정
KODEX 200,1,아래,-3.0,전체,24,9.78,0.41,41.67,1.769,34.61,7.06,3.69,-2.09,13,7.33,-3.0,-3.0,3.47,0,7,6.0,예,2003-01-20,2026-01-20,제외
KODEX 200,1,아래,-3.0,앞 절반,12,15.54,1.29,58.33,1.644,34.67,23.66,3.4,-2.07,4,7.33,-3.0,-3.0,3.47,0,2,6.75,예,2003-01-20,2014-01-20,판정 안 함
KODEX 200,1,아래,-3.0,뒤 절반,12,-5.75,-0.48,25.0,2.084,32.42,-7.42,4.36,-2.09,9,6.77,-3.0,-3.0,3.38,0,5,5.25,예,2015-01-20,2026-01-20,판정 안 함
KODEX 200,1,아래,-3.0,최근 10년,10,-1.39,-0.14,30.0,2.109,32.17,-2.17,4.36,-2.07,7,6.77,-3.0,-3.0,3.61,0,4,5.2,예,2017-01-20,2026-01-20,판정 안 함
KODEX 200,1,아래,-3.0,최근 5년,5,-0.45,-0.09,40.0,1.4,41.66,-1.66,3.16,-2.26,3,5.76,-3.0,-3.0,3.61,0,2,4.6,아니오,2022-01-20,2026-01-20,판정 안 함
KODEX 200,1,아래,-4.0,전체,24,12.01,0.5,45.83,1.542,37.7,8.13,3.73,-2.42,12,7.33,-4.0,-4.0,3.71,0,5,6.62,예,2003-01-20,2026-01-20,제외
KODEX 200,1,아래,-4.0,앞 절반,12,13.54,1.13,58.33,1.324,39.44,18.89,3.4,-2.57,4,7.33,-4.0,-4.0,3.71,0,2,6.83,예,2003-01-20,2014-01-20,판정 안 함
KODEX 200,1,아래,-4.0,뒤 절반,12,-1.52,-0.13,33.33,1.837,35.24,-1.91,4.31,-2.34,8,6.77,-4.0,-4.0,3.77,0,3,6.42,예,2015-01-20,2026-01-20,판정 안 함
KODEX 200,1,아래,-4.0,최근 10년,10,2.74,0.27,40.0,1.784,35.92,4.08,4.31,-2.41,6,6.77,-4.0,-4.0,4.03,0,3,6.2,예,2017-01-20,2026-01-20,판정 안 함
KODEX 200,1,아래,-4.0,최근 5년,5,-2.45,-0.49,40.0,1.081,48.05,-8.05,3.16,-2.92,3,5.76,-4.0,-4.0,4.03,0,2,5.4,아니오,2022-01-20,2026-01-20,판정 안 함
KODEX 200,1,아래,-5.0,전체,24,13.02,0.54,45.83,1.598,36.89,8.94,3.73,-2.33,12,7.33,-5.47,-5.47,3.77,1,2,6.83,예,2003-01-20,2026-01-20,제외
KODEX 200,1,아래,-5.0,앞 절반,12,13.35,1.11,58.33,1.301,39.84,18.49,3.4,-2.61,4,7.33,-5.0,-5.0,3.75,0,1,7.0,예,2003-01-20,2014-01-20,판정 안 함
KODEX 200,1,아래,-5.0,뒤 절반,12,-0.33,-0.03,33.33,1.962,33.76,-0.43,4.31,-2.2,8,6.77,-5.47,-5.47,3.86,1,1,6.67,예,2015-01-20,2026-01-20,판정 안 함
KODEX 200,1,아래,-5.0,최근 10년,10,3.94,0.39,40.0,1.944,33.97,6.03,4.31,-2.22,6,6.77,-5.47,-5.47,4.11,1,1,6.5,예,2017-01-20,2026-01-20,판정 안 함
KODEX 200,1,아래,-5.0,최근 5년,5,0.21,0.04,40.0,1.55,39.21,0.79,3.16,-2.04,3,5.76,-5.0,-5.0,3.85,0,1,5.8,아니오,2022-01-20,2026-01-20,판정 안 함
KODEX 200,1,아래,-6.0,전체,24,12.42,0.52,45.83,1.564,37.37,8.46,3.73,-2.39,12,7.33,-6.26,-6.26,3.82,1,0,6.88,예,2003-01-20,2026-01-20,제외
KODEX 200,1,아래,-6.0,앞 절반,12,12.92,1.08,58.33,1.249,40.76,17.57,3.4,-2.72,4,7.33,-5.43,-5.72,3.82,0,0,7.0,예,2003-01-20,2014-01-20,판정 안 함
KODEX 200,1,아래,-6.0,뒤 절반,12,-0.5,-0.04,33.33,1.943,33.97,-0.64,4.31,-2.22,8,6.77,-6.26,-6.26,3.9,1,0,6.75,예,2015-01-20,2026-01-20,판정 안 함
KODEX 200,1,아래,-6.0,최근 10년,10,3.77,0.38,40.0,1.92,34.25,5.75,4.31,-2.24,6,6.77,-6.26,-6.26,4.16,1,0,6.6,예,2017-01-20,2026-01-20,판정 안 함
KODEX 200,1,아래,-6.0,최근 5년,5,-1.06,-0.21,40.0,1.285,43.77,-3.77,3.16,-2.46,3,5.76,-6.26,-6.26,4.28,1,0,6.0,아니오,2022-01-20,2026-01-20,판정 안 함
KODEX 200,1,아래,-7.0,전체,24,11.68,0.49,45.83,1.525,37.95,7.88,3.73,-2.45,12,7.33,-7.0,-7.0,3.88,0,1,6.88,예,2003-01-20,2026-01-20,제외
