종목,사이클 위치,진입 연도,방향,손절선(%),진입일,진입가,청산일,보유일,청산가,수익률(%),보유 중 최악(%),청산 사유
SPY,중간선거해,1994,위,무손절,1994-10-03,46.0625,1995-06-30,188,54.4062,18.11,-3.15,기한청산
SPY,중간선거해,1998,위,무손절,1998-10-01,98.8125,1999-06-30,187,137.0,38.65,-6.67,기한청산
SPY,중간선거해,2002,위,무손절,2002-10-01,85.72,2003-06-30,187,97.63,13.89,-10.09,기한청산
SPY,중간선거해,2006,위,무손절,2006-10-02,133.08,2007-06-29,186,150.43,13.04,-0.32,기한청산
SPY,중간선거해,2010,위,무손절,2010-10-01,114.61,2011-06-30,188,131.97,15.15,-1.25,기한청산
SPY,중간선거해,2014,위,무손절,2014-10-01,194.35,2015-06-30,187,205.85,5.92,-6.4,기한청산
SPY,중간선거해,2018,위,무손절,2018-10-01,291.73,2019-06-28,186,293.0,0.44,-19.87,기한청산
SPY,중간선거해,2022,위,무손절,2022-10-03,366.61,2023-06-30,186,443.28,20.91,-5.05,기한청산
SPY,중간선거해,1994,위,-5.0,1994-10-03,46.0625,1995-06-30,188,54.4062,18.11,-3.15,기한청산
SPY,중간선거해,1998,위,-5.0,1998-10-01,98.8125,1998-10-08,5,93.8719,-5.0,-5.0,장중손절
SPY,중간선거해,2002,위,-5.0,2002-10-01,85.72,2002-10-04,3,81.434,-5.0,-5.0,장중손절
SPY,중간선거해,2006,위,-5.0,2006-10-02,133.08,2007-06-29,186,150.43,13.04,-0.32,기한청산
SPY,중간선거해,2010,위,-5.0,2010-10-01,114.61,2011-06-30,188,131.97,15.15,-1.25,기한청산
SPY,중간선거해,2014,위,-5.0,2014-10-01,194.35,2014-10-15,10,184.6325,-5.0,-5.0,장중손절
SPY,중간선거해,2018,위,-5.0,2018-10-01,291.73,2018-10-11,8,277.08,-5.02,-5.02,갭손절
SPY,중간선거해,2022,위,-5.0,2022-10-03,366.61,2022-10-13,8,348.2795,-5.0,-5.0,장중손절
SPY,중간선거해,1994,위,-8.0,1994-10-03,46.0625,1995-06-30,188,54.4062,18.11,-3.15,기한청산
SPY,중간선거해,1998,위,-8.0,1998-10-01,98.8125,1999-06-30,187,137.0,38.65,-6.67,기한청산
SPY,중간선거해,2002,위,-8.0,2002-10-01,85.72,2002-10-07,4,78.8624,-8.0,-8.0,장중손절
SPY,중간선거해,2006,위,-8.0,2006-10-02,133.08,2007-06-29,186,150.43,13.04,-0.32,기한청산
SPY,중간선거해,2010,위,-8.0,2010-10-01,114.61,2011-06-30,188,131.97,15.15,-1.25,기한청산
SPY,중간선거해,2014,위,-8.0,2014-10-01,194.35,2015-06-30,187,205.85,5.92,-6.4,기한청산
SPY,중간선거해,2018,위,-8.0,2018-10-01,291.73,2018-10-24,17,268.3916,-8.0,-8.0,장중손절
SPY,중간선거해,2022,위,-8.0,2022-10-03,366.61,2023-06-30,186,443.28,20.91,-5.05,기한청산
SPY,중간선거해,1994,위,-10.0,1994-10-03,46.0625,1995-06-30,188,54.4062,18.11,-3.15,기한청산
