종목,사이클 위치,진입 연도,분할 방식,미체결 처리,진입일,진입가,2번째 몫 체결일,2번째 몫 체결가,2번째 몫 체결 사유,3번째 몫 체결일,3번째 몫 체결가,3번째 몫 체결 사유,4번째 몫 체결일,4번째 몫 체결가,4번째 몫 체결 사유,청산일,청산가,투자 비율(%),첫 몫 대비 평균 매수가(%),수익률(%),보유 중 최악(%)
SPY,중간선거해,1994,일시매수,해당 없음,1994-09-30,46.1719,,,,,,,,,,1995-06-30,54.4062,100.0,0.0,17.83,-3.38
SPY,중간선거해,1998,일시매수,해당 없음,1998-09-30,101.75,,,,,,,,,,1999-06-30,137.0,100.0,0.0,34.64,-9.37
SPY,중간선거해,2002,일시매수,해당 없음,2002-09-30,81.79,,,,,,,,,,2003-06-30,97.63,100.0,0.0,19.37,-5.77
SPY,중간선거해,2006,일시매수,해당 없음,2006-09-29,133.58,,,,,,,,,,2007-06-29,150.43,100.0,0.0,12.61,-0.7
SPY,중간선거해,2010,일시매수,해당 없음,2010-09-30,114.13,,,,,,,,,,2011-06-30,131.97,100.0,0.0,15.63,-0.83
SPY,중간선거해,2014,일시매수,해당 없음,2014-09-30,197.02,,,,,,,,,,2015-06-30,205.85,100.0,0.0,4.48,-7.66
SPY,중간선거해,2018,일시매수,해당 없음,2018-09-28,290.72,,,,,,,,,,2019-06-28,293.0,100.0,0.0,0.78,-19.59
SPY,중간선거해,2022,일시매수,해당 없음,2022-09-30,357.18,,,,,,,,,,2023-06-30,443.28,100.0,0.0,24.11,-2.54
SPY,중간선거해,1994,A 시간 4등분,해당 없음,1994-09-30,46.1719,1994-10-31,47.4844,월말,1994-11-30,45.5938,월말,1994-12-30,45.5625,월말,1995-06-30,54.4062,100.0,0.04,17.79,-2.77
SPY,중간선거해,1998,A 시간 4등분,해당 없음,1998-09-30,101.75,1998-10-30,110.0,월말,1998-11-30,116.125,월말,1998-12-31,123.3125,월말,1999-06-30,137.0,100.0,10.3,22.07,-2.34
SPY,중간선거해,2002,A 시간 4등분,해당 없음,2002-09-30,81.79,2002-10-31,88.52,월말,2002-11-29,93.98,월말,2002-12-31,88.23,월말,2003-06-30,97.63,100.0,7.49,11.05,-9.71
SPY,중간선거해,2006,A 시간 4등분,해당 없음,2006-09-29,133.58,2006-10-31,137.79,월말,2006-11-30,140.53,월말,2006-12-29,141.62,월말,2007-06-29,150.43,100.0,3.54,8.76,-1.13
SPY,중간선거해,2010,A 시간 4등분,해당 없음,2010-09-30,114.13,2010-10-29,118.49,월말,2010-11-30,118.49,월말,2010-12-31,125.75,월말,2011-06-30,131.97,100.0,4.33,10.83,-0.21
SPY,중간선거해,2014,A 시간 4등분,해당 없음,2014-09-30,197.02,2014-10-31,201.66,월말,2014-11-28,207.2,월말,2014-12-31,205.54,월말,2015-06-30,205.85,100.0,2.92,1.51,-2.43
SPY,중간선거해,2018,A 시간 4등분,해당 없음,2018-09-28,290.72,2018-10-31,270.63,월말,2018-11-30,275.65,월말,2018-12-31,249.92,월말,2019-06-28,293.0,100.0,-6.81,8.15,-12.1
SPY,중간선거해,2022,A 시간 4등분,해당 없음,2022-09-30,357.18,2022-10-31,386.21,월말,2022-11-30,407.68,월말,2022-12-30,382.43,월말,2023-06-30,443.28,100.0,7.1,15.88,-1.53
SPY,중간선거해,1994,B 사다리 5%,12월 말 일괄 매수,1994-09-30,46.1719,1994-12-30,45.5625,12월 말 일괄,1994-12-30,45.5625,12월 말 일괄,,,,1995-06-30,54.4062,100.0,-0.88,18.88,-1.13
SPY,중간선거해,1998,B 사다리 5%,12월 말 일괄 매수,1998-09-30,101.75,1998-10-09,98.5312,단계 도달,1998-12-31,123.3125,12월 말 일괄,,,,1999-06-30,137.0,100.0,4.98,28.26,-3.12
SPY,중간선거해,2002,B 사다리 5%,12월 말 일괄 매수,2002-09-30,81.79,2002-12-31,88.23,12월 말 일괄,2002-12-31,88.23,12월 말 일괄,,,,2003-06-30,97.63,100.0,5.11,13.56,-7.67
SPY,중간선거해,2006,B 사다리 5%,12월 말 일괄 매수,2006-09-29,133.58,2006-12-29,141.62,12월 말 일괄,2006-12-29,141.62,12월 말 일괄,,,,2007-06-29,150.43,100.0,3.93,8.35,-1.5
SPY,중간선거해,2010,B 사다리 5%,12월 말 일괄 매수,2010-09-30,114.13,2010-12-31,125.75,12월 말 일괄,2010-12-31,125.75,12월 말 일괄,,,,2011-06-30,131.97,100.0,6.56,8.51,-0.28
SPY,중간선거해,2014,B 사다리 5%,12월 말 일괄 매수,2014-09-30,197.02,2014-10-16,186.27,단계 도달,2014-12-31,205.54,12월 말 일괄,,,,2015-06-30,205.85,100.0,-0.54,5.05,-2.55
SPY,중간선거해,2018,B 사다리 5%,12월 말 일괄 매수,2018-09-28,290.72,2018-10-12,275.95,단계 도달,2018-12-17,255.36,단계 도달,,,,2019-06-28,293.0,100.0,-6.01,7.23,-14.45
SPY,중간선거해,2022,B 사다리 5%,12월 말 일괄 매수,2022-09-30,357.18,2022-12-30,382.43,12월 말 일괄,2022-12-30,382.43,12월 말 일괄,,,,2023-06-30,443.28,100.0,4.6,18.64,-0.85
SPY,중간선거해,1994,B 사다리 5%,현금 유지,1994-09-30,46.1719,,,미체결,,,미체결,,,,1995-06-30,54.4062,33.33,0.0,5.94,-1.13
SPY,중간선거해,1998,B 사다리 5%,현금 유지,1998-09-30,101.75,1998-10-09,98.5312,단계 도달,,,미체결,,,,1999-06-30,137.0,66.67,-1.61,24.56,-3.12
SPY,중간선거해,2002,B 사다리 5%,현금 유지,2002-09-30,81.79,,,미체결,,,미체결,,,,2003-06-30,97.63,33.33,0.0,6.46,-1.92
SPY,중간선거해,2006,B 사다리 5%,현금 유지,2006-09-29,133.58,,,미체결,,,미체결,,,,2007-06-29,150.43,33.33,0.0,4.2,-0.23
SPY,중간선거해,2010,B 사다리 5%,현금 유지,2010-09-30,114.13,,,미체결,,,미체결,,,,2011-06-30,131.97,33.33,0.0,5.21,-0.28
SPY,중간선거해,2014,B 사다리 5%,현금 유지,2014-09-30,197.02,2014-10-16,186.27,단계 도달,,,미체결,,,,2015-06-30,205.85,66.67,-2.8,5.0,-2.55
