종목,사이클 위치,방향,신호,제외,표본,평균(%),중앙값(%),오른 비율(%),내린 비율(%),최고(%),최악(%),표준편차(%),오른 평균(%),내린 평균(%),오른 건수,내린 건수,기준선 신호,기준선 제외,기준선 표본,기준선 평균(%),기준선 중앙값(%),기준선 오른 비율(%),기준선 내린 비율(%),기준선 최고(%),기준선 최악(%),기준선 표준편차(%),기준선 오른 평균(%),기준선 내린 평균(%),기준선 오른 건수,기준선 내린 건수,평균 차이(%p),중앙값 차이(%p),오른 비율 차이(%p),내린 비율 차이(%p),평균 우연확률,중앙값 우연확률,오른 비율 우연확률,내린 비율 우연확률,비고,평균-비율 어긋남,판정가능,비중첩 표본,기준선 비중첩 표본,배당락 대조 건수,배당락 걸린 건수,배당락 평균 왜곡(%p)
SPY,중간선거해,위,8,0,8,15.76,14.52,100.0,0.0,38.65,0.44,11.33,15.76,,8,0,104,8,96,6.1,7.35,79.17,20.83,38.65,-29.2,11.95,10.72,11.45,76,20,9.66,7.17,20.83,-20.83,,,,,표본 부족으로 검정 불가,False,아니오,8,16,8,8,-1.5973
SPY,대선전해,위,8,0,8,11.11,12.64,87.5,12.5,27.36,-17.06,13.53,15.14,17.06,7,1,96,0,96,8.2,8.82,77.08,22.92,30.32,-17.06,11.01,12.83,7.39,74,22,2.92,3.82,10.42,-10.42,,,,,표본 부족으로 검정 불가,False,아니오,8,16,8,8,-1.4989
SPY,대선해,위,8,0,8,7.02,9.9,75.0,25.0,27.99,-20.77,17.47,15.28,17.77,6,2,96,0,96,5.78,9.21,77.08,22.92,51.89,-46.77,17.88,13.67,20.77,74,22,1.24,0.69,-2.08,2.08,,,,,표본 부족으로 검정 불가,False,아니오,8,16,8,8,-1.4573
SPY,대선다음해,위,9,0,9,3.94,3.82,66.67,33.33,18.5,-13.12,10.4,9.56,7.29,6,3,107,1,106,8.59,9.32,79.25,20.75,55.72,-23.29,12.45,13.28,9.31,84,22,-4.65,-5.5,-12.58,12.58,,,,,표본 부족으로 검정 불가,False,아니오,9,18,9,9,-1.3227
DIA,중간선거해,위,7,0,7,15.21,14.32,85.71,14.29,43.5,-0.33,13.9,17.8,0.33,6,1,91,8,83,5.72,5.94,79.52,20.48,43.5,-24.64,11.4,9.85,10.33,66,17,9.49,8.38,6.2,-6.2,,,,,표본 부족으로 검정 불가,False,아니오,7,14,7,7,-1.8264
DIA,대선전해,위,7,0,7,5.41,10.16,71.43,28.57,20.77,-19.33,13.62,12.02,11.1,5,2,84,0,84,4.73,4.16,64.29,35.71,29.43,-19.33,10.09,10.57,5.76,54,30,0.68,6.0,7.14,-7.14,,,,,표본 부족으로 검정 불가,False,아니오,7,14,7,7,-1.6709
DIA,대선해,위,7,0,7,4.64,4.54,71.43,28.57,24.02,-22.12,14.9,11.26,11.92,5,2,84,0,84,3.85,4.49,66.67,33.33,46.05,-43.46,15.82,12.04,12.51,56,28,0.78,0.05,4.76,-4.76,,,,,표본 부족으로 검정 불가,False,아니오,7,14,7,7,-1.6979
DIA,대선다음해,위,7,0,7,4.85,6.18,85.71,14.29,12.52,-10.3,7.51,7.38,10.3,6,1,84,1,83,7.46,7.45,75.9,24.1,52.71,-17.58,11.03,11.9,6.54,63,20,-2.6,-1.27,9.81,-9.81,,,,,표본 부족으로 검정 불가,False,아니오,7,14,7,7,-1.5663
QQQ,중간선거해,위,6,0,6,19.46,17.49,100.0,0.0,36.26,0.31,14.07,19.46,,6,0,81,9,72,7.41,10.6,77.78,22.22,39.46,-48.34,17.84,14.79,18.41,56,16,12.05,6.89,22.22,-22.22,,,,,표본 부족으로 검정 불가,False,아니오,6,12,6,5,-0.5501
QQQ,대선전해,위,7,0,7,21.63,25.46,85.71,14.29,55.18,-13.13,22.03,27.42,13.13,6,1,81,0,81,19.18,16.79,80.25,19.75,109.83,-15.81,22.58,25.35,5.9,65,16,2.45,8.67,5.47,-5.47,,,,,표본 부족으로 검정 불가,False,아니오,7,13,7,6,-0.5265
QQQ,대선해,위,7,0,7,1.35,4.09,71.43,28.57,25.57,-47.32,23.82,12.45,26.41,5,2,84,0,84,2.12,8.0,65.48,33.33,72.09,-58.9,26.3,17.49,28.0,55,28,-0.77,-3.91,5.95,-4.76,,,,,표본 부족으로 검정 불가,False,아니오,7,14,7,6,-0.6509
