종목,만기월,방향,손절선(%),손절적용,구간,신호,제외,합계(%),평균(%),승률(%),손익비,손익분기 승률(%),이길 때(%),질 때(%),질 때 표본,최고(%),최악(%),표준편차(%),갭손절,장중손절,평균 보유일,판정가능,구간 시작일,구간 종료일
DIA,12,위,-5.0,가능,전체,28,0,25.08,0.9,82.14,1.034,49.16,1.38,-1.34,5,3.8,-2.8,1.52,0,0,4.29,예,1998-12-18,2025-12-19
DIA,12,위,-5.0,가능,앞 절반,14,,12.89,0.92,71.43,1.517,39.73,1.75,-1.15,4,3.8,-2.8,1.84,0,0,4.29,예,1998-12-18,2011-12-16
DIA,12,위,-5.0,가능,뒤 절반,14,,12.2,0.87,92.86,0.532,65.29,1.1,-2.06,1,2.85,-2.06,1.18,0,0,4.29,예,2012-12-21,2025-12-19
DIA,12,위,-5.0,가능,최근 10년,10,,8.85,0.88,100.0,,,0.88,,0,2.85,0.04,0.84,0,0,4.4,예,2016-12-16,2025-12-19
DIA,12,위,-5.0,가능,최근 5년,5,,4.4,0.88,100.0,,,0.88,,0,1.62,0.31,0.56,0,0,4.4,아니오,2021-12-17,2025-12-19
KODEX 200,9,위,-5.0,가능,전체,23,0,16.24,0.71,69.57,0.788,55.92,2.28,-2.89,7,4.61,-5.35,2.93,1,1,5.09,예,2003-09-09,2025-09-11
KODEX 200,9,위,-5.0,가능,앞 절반,11,,6.49,0.59,63.64,0.836,54.46,2.93,-3.5,4,4.61,-5.35,3.66,1,1,4.91,예,2003-09-09,2013-09-12
KODEX 200,9,위,-5.0,가능,뒤 절반,12,,9.75,0.81,75.0,0.853,53.98,1.78,-2.09,3,4.44,-3.32,2.21,0,0,5.25,예,2014-09-11,2025-09-11
KODEX 200,9,위,-5.0,가능,최근 10년,10,,6.16,0.62,70.0,0.85,54.05,1.77,-2.09,3,4.44,-3.32,2.34,0,0,5.1,예,2016-09-08,2025-09-11
KODEX 200,9,위,-5.0,가능,최근 5년,5,,2.64,0.53,60.0,1.264,44.17,1.86,-1.47,2,4.44,-2.78,2.59,0,0,5.0,아니오,2021-09-09,2025-09-11
SPY,9,아래,-5.0,가능,전체,33,0,31.07,0.94,72.73,1.32,43.1,1.81,-1.37,9,6.57,-5.21,2.16,1,0,4.94,예,1993-09-17,2025-09-19
SPY,9,아래,-5.0,가능,앞 절반,16,,12.07,0.75,75.0,0.85,54.06,1.66,-1.95,4,4.49,-5.21,2.27,1,0,4.88,예,1993-09-17,2008-09-19
SPY,9,아래,-5.0,가능,뒤 절반,17,,19.0,1.12,70.59,2.162,31.62,1.96,-0.91,5,6.57,-2.07,2.1,0,0,5.0,예,2009-09-18,2025-09-19
SPY,9,아래,-5.0,가능,최근 10년,10,,7.29,0.73,60.0,2.639,27.48,1.63,-0.62,4,4.57,-1.23,1.76,0,0,5.0,예,2016-09-16,2025-09-19
SPY,9,아래,-5.0,가능,최근 5년,5,,6.64,1.33,60.0,4.564,17.97,2.59,-0.57,2,4.57,-0.57,2.31,0,0,5.0,아니오,2021-09-17,2025-09-19
DIA,9,아래,-5.0,가능,전체,28,0,28.0,1.0,71.43,1.325,43.01,2.01,-1.51,8,6.45,-5.0,2.31,0,1,4.89,예,1998-09-18,2025-09-19
DIA,9,아래,-5.0,가능,앞 절반,14,,17.3,1.24,71.43,1.109,47.41,2.71,-2.44,4,6.45,-5.0,3.05,0,1,4.79,예,1998-09-18,2011-09-16
DIA,9,아래,-5.0,가능,뒤 절반,14,,10.7,0.76,71.43,2.221,31.05,1.3,-0.59,4,3.96,-0.8,1.27,0,0,5.0,예,2012-09-21,2025-09-19
DIA,9,아래,-5.0,가능,최근 10년,10,,6.87,0.69,60.0,2.617,27.64,1.54,-0.59,4,3.96,-0.8,1.5,0,0,5.0,예,2016-09-16,2025-09-19
DIA,9,아래,-5.0,가능,최근 5년,5,,4.78,0.96,60.0,3.3,23.26,2.0,-0.61,2,3.96,-0.65,1.96,0,0,5.0,아니오,2021-09-17,2025-09-19
SPY,12,위,-5.0,가능,전체,33,0,23.53,0.71,69.7,1.469,40.5,1.45,-0.99,10,3.95,-2.9,1.53,0,0,4.3,예,1993-12-17,2025-12-19
SPY,12,위,-5.0,가능,앞 절반,16,,3.93,0.25,56.25,1.169,46.11,1.3,-1.12,7,3.53,-2.9,1.58,0,0,4.31,예,1993-12-17,2008-12-19
SPY,12,위,-5.0,가능,뒤 절반,17,,19.6,1.15,82.35,2.238,30.89,1.55,-0.69,3,3.95,-1.93,1.38,0,0,4.29,예,2009-12-18,2025-12-19
SPY,12,위,-5.0,가능,최근 10년,10,,9.46,0.95,80.0,16.822,5.61,1.2,-0.07,2,2.93,-0.09,1.0,0,0,4.4,예,2016-12-16,2025-12-19
SPY,12,위,-5.0,가능,최근 5년,5,,5.24,1.05,80.0,14.199,6.58,1.33,-0.09,1,2.33,-0.09,0.9,0,0,4.4,아니오,2021-12-17,2025-12-19
QQQ,9,아래,-5.0,가능,전체,27,0,27.64,1.02,66.67,1.307,43.34,2.49,-1.9,9,5.78,-5.0,2.65,0,1,4.85,예,1999-09-17,2025-09-19
QQQ,9,아래,-5.0,가능,앞 절반,13,,14.53,1.12,69.23,0.968,50.82,2.99,-3.09,4,5.78,-5.0,3.37,0,1,4.69,예,1999-09-17,2011-09-16
QQQ,9,아래,-5.0,가능,뒤 절반,14,,13.11,0.94,64.29,2.082,32.45,1.99,-0.95,5,4.77,-1.76,1.88,0,0,5.0,예,2012-09-21,2025-09-19
QQQ,9,아래,-5.0,가능,최근 10년,10,,7.45,0.74,60.0,1.73,36.63,2.02,-1.17,4,4.77,-1.76,2.13,0,0,5.0,예,2016-09-16,2025-09-19
QQQ,9,아래,-5.0,가능,최근 5년,5,,8.06,1.61,80.0,2.504,28.53,2.24,-0.89,1,4.77,-0.89,2.4,0,0,5.0,아니오,2021-09-17,2025-09-19
QQQ,12,위,-5.0,가능,전체,27,0,14.57,0.54,62.96,1.056,48.63,1.93,-1.83,10,7.68,-5.0,2.53,0,1,4.19,예,1999-12-17,2025-12-19
QQQ,12,위,-5.0,가능,앞 절반,13,,4.43,0.34,53.85,1.143,46.66,2.53,-2.21,6,7.68,-5.0,3.26,0,1,4.08,예,1999-12-17,2011-12-16
QQQ,12,위,-5.0,가능,뒤 절반,14,,10.14,0.72,71.43,1.207,45.32,1.52,-1.26,4,3.66,-2.51,1.72,0,0,4.29,예,2012-12-21,2025-12-19
