종목,파라미터,시작연도,방향,손절선(%),구간,신호,합계(%),평균(%),승률(%),손익비,손익분기 승률(%),이길 때(%),질 때(%),질 때 표본,최고(%),최악(%),표준편차(%),갭손절,장중손절,평균 보유일,판정가능,구간 시작일,구간 종료일,사건
KODEX 200,K=10,2005,역방향 전체,-5.0,전체,51,76.65,1.5,78.43,0.788,55.91,2.94,-3.73,11,10.11,-5.0,3.76,0,7,1.2,예,2005-11-23,2026-08-03,12
KODEX 200,K=10,2005,역방향 전체,-5.0,앞 절반,25,19.16,0.77,80.0,0.553,64.39,1.75,-3.16,5,6.19,-5.0,2.65,0,3,1.28,예,2005-11-23,2011-08-19,6
KODEX 200,K=10,2005,역방향 전체,-5.0,뒤 절반,26,57.49,2.21,76.92,0.983,50.42,4.14,-4.21,6,10.11,-5.0,4.53,0,4,1.12,예,2011-09-27,2026-08-03,6
KODEX 200,K=10,2005,역방향 전체,-5.0,최근 10년,25,56.41,2.26,76.0,1.021,49.47,4.3,-4.21,6,10.11,-5.0,4.61,0,4,1.12,예,2020-03-19,2026-08-03,5
KODEX 200,K=10,2005,역방향 전체,-5.0,최근 5년,20,45.63,2.28,75.0,1.085,47.97,4.39,-4.05,5,10.11,-5.0,4.65,0,3,1.15,예,2024-08-05,2026-08-03,3
KODEX 200,K=20,2005,역방향 전체,-5.0,전체,88,146.84,1.67,80.68,0.789,55.9,2.97,-3.76,17,21.44,-5.85,4.12,1,10,1.22,예,2005-11-23,2026-08-20,20
KODEX 200,K=20,2005,역방향 전체,-5.0,앞 절반,44,39.77,0.9,86.36,0.46,68.51,1.59,-3.47,6,6.19,-5.0,2.34,0,4,1.25,예,2005-11-23,2011-09-05,13
KODEX 200,K=20,2005,역방향 전체,-5.0,뒤 절반,44,107.07,2.43,75.0,1.16,46.3,4.55,-3.92,11,21.44,-5.85,5.27,1,6,1.18,예,2011-09-23,2026-08-20,8
KODEX 200,K=20,2005,역방향 전체,-5.0,최근 10년,41,100.73,2.46,73.17,1.222,45.0,4.8,-3.92,11,21.44,-5.85,5.46,1,6,1.17,예,2020-03-18,2026-08-20,6
KODEX 200,K=20,2005,역방향 전체,-5.0,최근 5년,32,76.46,2.39,71.88,1.293,43.61,4.77,-3.69,9,21.44,-5.85,5.61,1,4,1.22,예,2023-11-06,2026-08-20,4
QQQ,K=10,2005,역방향 전체,-5.0,전체,7,33.19,4.74,100.0,,,4.74,,0,8.47,0.25,2.78,0,0,1.0,아니오,2008-09-29,2025-04-09,3
QQQ,K=10,2005,역방향 전체,-5.0,앞 절반,3,12.63,4.21,100.0,,,4.21,,0,5.42,2.88,1.28,0,0,1.0,아니오,2008-09-29,2008-10-15,1
QQQ,K=10,2005,역방향 전체,-5.0,뒤 절반,4,20.56,5.14,100.0,,,5.14,,0,8.47,0.25,3.73,0,0,1.0,아니오,2008-10-28,2025-04-09,3
QQQ,K=10,2005,역방향 전체,-5.0,최근 10년,3,20.31,6.77,100.0,,,6.77,,0,8.47,4.25,2.22,0,0,1.0,아니오,2020-03-12,2025-04-09,2
QQQ,K=10,2005,역방향 전체,-5.0,최근 5년,1,4.25,4.25,100.0,,,4.25,,0,4.25,4.25,,0,0,1.0,아니오,2025-04-09,2025-04-09,1
QQQ,K=20,2005,역방향 전체,-5.0,전체,14,51.79,3.7,85.71,1.617,38.21,4.81,-2.98,2,11.98,-5.0,4.23,0,1,1.14,예,2008-09-29,2025-04-09,5
QQQ,K=20,2005,역방향 전체,-5.0,앞 절반,7,16.67,2.38,85.71,0.722,58.06,3.61,-5.0,1,5.45,-5.0,3.71,0,1,1.14,아니오,2008-09-29,2020-03-09,3
QQQ,K=20,2005,역방향 전체,-5.0,뒤 절반,7,35.12,5.02,85.71,6.319,13.66,6.01,-0.95,1,11.98,-0.95,4.57,0,0,1.14,아니오,2020-03-12,2025-04-09,3
QQQ,K=20,2005,역방향 전체,-5.0,최근 10년,8,40.56,5.07,87.5,6.234,13.82,5.93,-0.95,1,11.98,-0.95,4.23,0,0,1.12,아니오,2020-03-09,2025-04-09,3
QQQ,K=20,2005,역방향 전체,-5.0,최근 5년,2,3.3,1.65,50.0,4.471,18.28,4.25,-0.95,1,4.25,-0.95,3.68,0,0,1.5,아니오,2022-11-10,2025-04-09,2
