종목,만기월,방향,손절선(%),시기,신호,합계(%),평균(%),승률(%),손익비,손익분기 승률(%),이길 때(%),질 때(%),질 때 표본,최고(%),최악(%),표준편차(%),갭손절,장중손절,평균 보유일,판정가능,시기 시작일,시기 종료일
DIA,12,위,무손절,전체,28,25.08,0.9,82.14,1.034,49.16,1.38,-1.34,5,3.8,-2.8,1.52,0,0,4.29,예,1998-12-18,2025-12-19
DIA,12,위,무손절,앞 절반,14,12.89,0.92,71.43,1.517,39.73,1.75,-1.15,4,3.8,-2.8,1.84,0,0,4.29,예,1998-12-18,2011-12-16
DIA,12,위,무손절,뒤 절반,14,12.2,0.87,92.86,0.532,65.29,1.1,-2.06,1,2.85,-2.06,1.18,0,0,4.29,예,2012-12-21,2025-12-19
DIA,12,위,무손절,최근 10년,10,8.85,0.88,100.0,,,0.88,,0,2.85,0.04,0.84,0,0,4.4,예,2016-12-16,2025-12-19
DIA,12,위,무손절,최근 5년,5,4.4,0.88,100.0,,,0.88,,0,1.62,0.31,0.56,0,0,4.4,아니오,2021-12-17,2025-12-19
DIA,12,위,-1.0,전체,28,14.86,0.53,64.29,1.38,42.02,1.38,-1.0,10,3.8,-1.2,1.49,2,7,3.57,예,1998-12-18,2025-12-19
DIA,12,위,-1.0,앞 절반,14,11.24,0.8,64.29,1.861,34.95,1.78,-0.96,5,3.8,-1.0,1.76,0,4,3.71,예,1998-12-18,2011-12-16
DIA,12,위,-1.0,뒤 절반,14,3.62,0.26,64.29,0.94,51.55,0.98,-1.05,5,2.47,-1.2,1.16,2,3,3.43,예,2012-12-21,2025-12-19
DIA,12,위,-1.0,최근 10년,10,-0.8,-0.08,60.0,0.541,64.89,0.57,-1.06,4,1.22,-1.2,0.88,2,2,3.4,예,2016-12-16,2025-12-19
DIA,12,위,-1.0,최근 5년,5,-0.33,-0.07,60.0,0.568,63.77,0.63,-1.1,2,1.22,-1.2,1.02,1,1,3.6,아니오,2021-12-17,2025-12-19
DIA,12,위,-1.5,전체,28,15.28,0.55,71.43,0.981,50.48,1.29,-1.32,8,3.8,-1.55,1.55,1,5,3.86,예,1998-12-18,2025-12-19
DIA,12,위,-1.5,앞 절반,14,9.99,0.71,64.29,1.477,40.37,1.78,-1.2,5,3.8,-1.55,1.87,1,2,3.93,예,1998-12-18,2011-12-16
