종목,파라미터,시작연도,방향,손절선(%),시기,신호,합계(%),평균(%),승률(%),손익비,손익분기 승률(%),손익분기 대비(%p),이길 때(%),질 때(%),질 때 표본,최고(%),최악(%),보유 중 최악(%),표준편차(%),갭손절,장중손절,평균 보유일,판정가능,시기 시작일,시기 종료일,1차 판정,사건
KODEX 200,K=10,2005,역방향 전체,무손절,전체,51,72.26,1.42,82.35,0.524,65.64,16.71,2.91,-5.56,9,10.11,-17.45,-17.45,4.65,0,0,1.29,예,2005-11-23,2026-08-03,후보,12
KODEX 200,K=10,2005,역방향 전체,무손절,앞 절반,25,9.64,0.39,84.0,0.254,79.77,4.23,1.85,-7.28,4,6.19,-17.45,-17.45,4.75,0,0,1.36,예,2005-11-23,2011-08-19,판정 안 함,6
KODEX 200,K=10,2005,역방향 전체,무손절,뒤 절반,26,62.62,2.41,80.77,0.95,51.28,29.49,3.98,-4.19,5,10.11,-8.4,-13.55,4.41,0,0,1.23,예,2011-09-27,2026-08-03,판정 안 함,6
KODEX 200,K=10,2005,역방향 전체,무손절,최근 10년,25,61.54,2.46,80.0,0.985,50.39,29.61,4.12,-4.19,5,10.11,-8.4,-13.55,4.49,0,0,1.24,예,2020-03-19,2026-08-03,판정 안 함,5
KODEX 200,K=10,2005,역방향 전체,무손절,최근 5년,20,49.44,2.47,80.0,0.966,50.87,29.13,4.17,-4.32,4,10.11,-8.4,-13.55,4.6,0,0,1.25,예,2024-08-05,2026-08-03,판정 안 함,3
KODEX 200,K=10,2005,역방향 전체,-2.0,전체,51,44.36,0.87,60.78,1.228,44.88,15.9,3.02,-2.46,20,10.11,-4.89,-4.89,3.55,8,11,1.08,예,2005-11-23,2026-08-03,제외,12
KODEX 200,K=10,2005,역방향 전체,-2.0,앞 절반,25,-11.44,-0.46,52.0,0.565,63.91,-11.91,1.39,-2.46,12,3.86,-4.89,-4.89,2.28,5,6,1.08,예,2005-11-23,2011-08-19,판정 안 함,6
KODEX 200,K=10,2005,역방향 전체,-2.0,뒤 절반,26,55.81,2.15,69.23,1.708,36.93,32.3,4.19,-2.45,8,10.11,-3.95,-3.95,4.09,3,5,1.08,예,2011-09-27,2026-08-03,판정 안 함,6
KODEX 200,K=10,2005,역방향 전체,-2.0,최근 10년,25,54.73,2.19,68.0,1.782,35.94,32.06,4.37,-2.45,8,10.11,-3.95,-3.95,4.17,3,5,1.08,예,2020-03-19,2026-08-03,판정 안 함,5
KODEX 200,K=10,2005,역방향 전체,-2.0,최근 5년,20,41.94,2.1,65.0,1.895,34.54,30.46,4.51,-2.38,7,10.11,-3.95,-3.95,4.25,2,5,1.1,예,2024-08-05,2026-08-03,판정 안 함,3
KODEX 200,K=10,2005,역방향 전체,-3.0,전체,51,41.75,0.82,64.71,0.96,51.01,13.7,2.93,-3.05,18,10.11,-4.89,-4.89,3.69,4,12,1.16,예,2005-11-23,2026-08-03,제외,12
KODEX 200,K=10,2005,역방향 전체,-3.0,앞 절반,25,-9.5,-0.38,60.0,0.46,68.48,-8.48,1.41,-3.07,10,3.86,-4.89,-4.89,2.5,3,6,1.2,예,2005-11-23,2011-08-19,판정 안 함,6
KODEX 200,K=10,2005,역방향 전체,-3.0,뒤 절반,26,51.25,1.97,69.23,1.386,41.91,27.32,4.19,-3.02,8,10.11,-3.95,-3.95,4.29,1,6,1.12,예,2011-09-27,2026-08-03,판정 안 함,6
KODEX 200,K=10,2005,역방향 전체,-3.0,최근 10년,25,50.17,2.01,68.0,1.447,40.87,27.13,4.37,-3.02,8,10.11,-3.95,-3.95,4.38,1,6,1.12,예,2020-03-19,2026-08-03,판정 안 함,5
