종목,청산 요일,만기월,표본,방향,적중률(%),방향 기대값(%),합산 수익률(%),1차 판정
QQQ,금요일,1,27,위,51.85,-0.02,-0.57,제외
QQQ,금요일,2,27,아래,55.56,1.03,27.9,제외
QQQ,금요일,3,28,위,60.71,0.68,19.12,후보
QQQ,금요일,4,28,위,67.86,1.18,33.04,후보
QQQ,금요일,5,28,위,64.29,0.59,16.51,후보
QQQ,금요일,6,28,아래,57.14,0.15,4.09,제외
QQQ,금요일,7,28,위,60.71,-0.03,-0.77,제외
QQQ,금요일,8,28,위,67.86,1.16,32.58,후보
QQQ,금요일,9,27,아래,66.67,1.11,29.84,후보
QQQ,금요일,10,27,위,66.67,0.6,16.19,후보
QQQ,금요일,11,27,위,70.37,0.98,26.57,후보
QQQ,금요일,12,27,위,62.96,0.53,14.29,후보
SPY,금요일,1,33,위,57.58,-0.01,-0.23,제외
SPY,금요일,2,34,아래,52.94,0.55,18.75,제외
SPY,금요일,3,34,아래,64.71,-0.31,-10.62,제외
SPY,금요일,4,34,위,70.59,0.58,19.79,후보
SPY,금요일,5,34,위,64.71,0.39,13.26,후보
SPY,금요일,6,34,아래,67.65,0.3,10.17,후보
SPY,금요일,7,34,위,55.88,0.23,7.67,제외
SPY,금요일,8,33,위,72.73,0.57,18.66,후보
SPY,금요일,9,33,아래,72.73,0.88,28.92,후보
SPY,금요일,10,33,위,54.55,0.41,13.47,제외
SPY,금요일,11,33,위,66.67,0.74,24.43,후보
SPY,금요일,12,33,위,69.7,0.71,23.53,후보
DIA,금요일,1,28,위,57.14,-0.23,-6.38,제외
DIA,금요일,2,29,아래,51.72,0.83,24.17,제외
DIA,금요일,3,29,아래,51.72,-0.35,-10.28,제외
DIA,금요일,4,29,위,58.62,0.33,9.52,제외
DIA,금요일,5,29,아래,51.72,0.03,0.85,제외
DIA,금요일,6,29,아래,75.86,0.44,12.7,후보
DIA,금요일,7,29,위,62.07,0.18,5.17,후보
DIA,금요일,8,28,위,57.14,0.28,7.72,제외
DIA,금요일,9,28,아래,71.43,0.94,26.29,후보
DIA,금요일,10,28,위,67.86,0.74,20.84,후보
DIA,금요일,11,28,위,60.71,0.7,19.46,후보
DIA,금요일,12,28,위,82.14,0.9,25.08,후보
KODEX 200,금요일,1,24,아래,58.33,-0.01,-0.14,제외
KODEX 200,금요일,2,24,위,70.83,0.69,16.56,후보
KODEX 200,금요일,3,24,위,75.0,1.16,27.96,후보
KODEX 200,금요일,4,24,위,54.17,0.94,22.55,제외
KODEX 200,금요일,5,24,위,54.17,-0.16,-3.79,제외
KODEX 200,금요일,6,24,아래,54.17,-0.3,-7.09,제외
KODEX 200,금요일,7,24,위,70.83,0.42,10.06,후보
KODEX 200,금요일,8,24,위,50.0,-1.02,-24.48,제외
KODEX 200,금요일,9,23,위,78.26,1.25,28.71,후보
KODEX 200,금요일,10,23,위,65.22,0.15,3.35,후보
KODEX 200,금요일,11,24,위,50.0,-0.03,-0.76,제외
KODEX 200,금요일,12,24,위,62.5,0.05,1.17,후보
KODEX 200,목요일,1,24,위,66.67,0.11,2.56,후보
KODEX 200,목요일,2,24,위,58.33,0.59,14.26,제외
KODEX 200,목요일,3,24,위,66.67,0.58,13.92,후보
KODEX 200,목요일,4,24,위,66.67,0.86,20.68,후보
KODEX 200,목요일,5,24,위,54.17,-0.08,-2.01,제외
KODEX 200,목요일,6,24,아래,54.17,-0.48,-11.45,제외
KODEX 200,목요일,7,24,위,70.83,0.44,10.51,후보
KODEX 200,목요일,8,24,위,54.17,-0.67,-16.13,제외
KODEX 200,목요일,9,23,위,78.26,0.89,20.42,후보
KODEX 200,목요일,10,23,위,56.52,0.26,5.99,제외
KODEX 200,목요일,11,24,위,50.0,-0.04,-0.86,제외
KODEX 200,목요일,12,24,위,58.33,-0.14,-3.28,제외
