종목,기준,보유 거래일,신호,제외,표본,평균(%),중앙값(%),오른 비율(%),내린 비율(%),최고(%),최악(%),표준편차(%),오른 평균(%),내린 평균(%),오른 건수,내린 건수
QQQ,close,전체,330,0,330,0.29,0.58,57.88,42.12,9.19,-10.65,3.08,2.24,2.4,191,139
QQQ,close,4,78,0,78,0.58,0.71,61.54,38.46,9.19,-7.16,2.83,2.18,1.97,48,30
QQQ,close,5,252,0,252,0.2,0.52,56.75,43.25,8.6,-10.65,3.15,2.26,2.51,143,109
SPY,close,전체,403,1,402,0.18,0.25,54.48,45.52,13.29,-11.16,2.26,1.63,1.55,219,183
SPY,close,4,93,0,93,0.33,0.4,60.22,39.78,13.29,-4.72,2.34,1.62,1.61,56,37
SPY,close,5,309,0,309,0.14,0.2,52.75,47.25,10.76,-11.16,2.24,1.64,1.54,163,146
DIA,close,전체,343,1,342,0.08,0.15,53.51,46.49,12.74,-12.14,2.37,1.66,1.73,183,159
DIA,close,4,81,0,81,0.19,0.38,60.49,39.51,9.63,-5.47,2.26,1.51,1.83,49,32
DIA,close,5,261,0,261,0.05,0.06,51.34,48.66,12.74,-12.14,2.41,1.71,1.71,134,127
KODEX 200,close,전체,286,0,286,0.31,0.53,59.79,40.21,18.62,-13.44,3.31,2.22,2.52,171,115
KODEX 200,close,3,5,0,5,0.68,0.29,80.0,20.0,5.28,-3.32,3.07,1.68,3.32,4,1
KODEX 200,close,4,4,0,4,0.28,0.29,75.0,25.0,0.7,-0.16,0.39,0.43,0.16,3,1
KODEX 200,close,5,42,0,42,-0.86,-0.28,47.62,52.38,6.31,-13.01,3.58,1.88,3.35,20,22
KODEX 200,close,6,235,0,235,0.51,0.66,61.28,38.72,18.62,-13.44,3.27,2.31,2.34,144,91
KODEX 코스닥150,close,전체,131,0,131,-0.07,-0.13,47.33,51.15,13.26,-10.23,3.71,3.01,2.92,62,67
KODEX 코스닥150,close,3,3,0,3,1.96,3.41,66.67,33.33,4.55,-2.08,3.54,3.98,2.08,2,1
KODEX 코스닥150,close,4,3,0,3,-0.72,-2.67,33.33,66.67,3.76,-3.24,3.89,3.76,2.96,1,2
KODEX 코스닥150,close,5,19,0,19,-1.58,-1.66,31.58,63.16,6.21,-7.05,3.83,2.94,3.97,6,12
KODEX 코스닥150,close,6,106,0,106,0.16,0.02,50.0,49.06,13.26,-10.23,3.66,2.96,2.69,53,52
