종목,만기월,방향,손절선(%),진입일,진입가,청산 목표일,청산일,보유일,청산가,수익률(%),보유 중 최악(%),청산 사유
SPY,9,아래,-5.0,1993-09-17,45.8125,1993-09-24,1993-09-24,5,45.7812,0.07,-0.34,기한청산
SPY,9,아래,-5.0,1994-09-16,47.0156,1994-09-23,1994-09-23,5,45.9062,2.36,-0.66,기한청산
SPY,9,아래,-5.0,1995-09-15,58.4375,1995-09-22,1995-09-22,5,58.3125,0.21,-0.59,기한청산
SPY,9,아래,-5.0,1996-09-20,68.6406,1996-09-27,1996-09-27,5,68.6875,-0.07,-0.89,기한청산
SPY,9,아래,-5.0,1997-09-19,95.0312,1997-09-26,1997-09-26,5,94.4688,0.59,-1.23,기한청산
SPY,9,아래,-5.0,1998-09-18,102.0938,1998-09-25,1998-09-25,5,104.25,-2.11,-4.81,기한청산
SPY,9,아래,-5.0,1999-09-17,133.75,1999-09-24,1999-09-24,5,127.75,4.49,-0.19,기한청산
SPY,9,아래,-5.0,2000-09-15,146.0,2000-09-22,2000-09-22,5,145.2812,0.49,-0.66,기한청산
SPY,9,아래,-5.0,2001-09-21,97.28,2001-09-28,2001-09-26,3,102.35,-5.21,-5.21,갭손절
SPY,9,아래,-5.0,2002-09-20,84.35,2002-09-27,2002-09-27,5,82.75,1.9,-1.92,기한청산
SPY,9,아래,-5.0,2003-09-19,103.67,2003-09-26,2003-09-26,5,99.95,3.59,0.37,기한청산
SPY,9,아래,-5.0,2004-09-17,113.15,2004-09-24,2004-09-24,5,111.46,1.49,-0.28,기한청산
SPY,9,아래,-5.0,2005-09-16,123.5,2005-09-23,2005-09-23,5,121.44,1.67,-0.09,기한청산
SPY,9,아래,-5.0,2006-09-15,131.96,2006-09-22,2006-09-22,5,131.47,0.37,-0.61,기한청산
SPY,9,아래,-5.0,2007-09-21,151.97,2007-09-28,2007-09-28,5,152.58,-0.4,-0.8,기한청산
SPY,9,아래,-5.0,2008-09-19,124.12,2008-09-26,2008-09-26,5,120.85,2.63,-0.51,기한청산
SPY,9,아래,-5.0,2009-09-18,106.72,2009-09-25,2009-09-25,5,104.45,2.13,-1.23,기한청산
SPY,9,아래,-5.0,2010-09-17,112.49,2010-09-24,2010-09-24,5,114.82,-2.07,-2.14,기한청산
SPY,9,아래,-5.0,2011-09-16,121.52,2011-09-23,2011-09-23,5,113.54,6.57,-0.39,기한청산
SPY,9,아래,-5.0,2012-09-21,145.87,2012-09-28,2012-09-28,5,143.97,1.3,-0.25,기한청산
SPY,9,아래,-5.0,2013-09-20,170.72,2013-09-27,2013-09-27,5,168.91,1.06,0.04,기한청산
SPY,9,아래,-5.0,2014-09-19,200.7,2014-09-26,2014-09-26,5,197.9,1.4,0.16,기한청산
SPY,9,아래,-5.0,2015-09-18,195.45,2015-09-25,2015-09-25,5,192.85,1.33,-1.14,기한청산
SPY,9,아래,-5.0,2016-09-16,213.37,2016-09-23,2016-09-23,5,215.99,-1.23,-1.95,기한청산
SPY,9,아래,-5.0,2017-09-15,249.19,2017-09-22,2017-09-22,5,249.44,-0.1,-0.4,기한청산
SPY,9,아래,-5.0,2018-09-21,291.99,2018-09-28,2018-09-28,5,290.72,0.43,-0.09,기한청산
SPY,9,아래,-5.0,2019-09-20,298.28,2019-09-27,2019-09-27,5,295.4,0.97,-0.52,기한청산
SPY,9,아래,-5.0,2020-09-18,330.65,2020-09-25,2020-09-25,5,328.73,0.58,-0.17,기한청산
SPY,9,아래,-5.0,2021-09-17,441.4,2021-09-24,2021-09-24,5,443.91,-0.57,-0.79,기한청산
SPY,9,아래,-5.0,2022-09-16,385.56,2022-09-23,2022-09-23,5,367.95,4.57,-0.97,기한청산
SPY,9,아래,-5.0,2023-09-15,443.37,2023-09-22,2023-09-22,5,430.42,2.92,-0.36,기한청산
SPY,9,아래,-5.0,2024-09-20,568.25,2024-09-27,2024-09-27,5,571.47,-0.57,-1.14,기한청산
SPY,9,아래,-5.0,2025-09-19,663.7,2025-09-26,2025-09-26,5,661.82,0.28,-0.55,기한청산
DIA,9,아래,-5.0,1998-09-18,78.8125,1998-09-25,1998-09-25,5,80.125,-1.67,-3.89,기한청산
DIA,9,아래,-5.0,1999-09-17,108.375,1999-09-24,1999-09-24,5,102.6406,5.29,-0.09,기한청산
DIA,9,아래,-5.0,2000-09-15,109.0,2000-09-22,2000-09-22,5,108.75,0.23,-0.43,기한청산
DIA,9,아래,-5.0,2001-09-21,82.8,2001-09-28,2001-09-25,2,86.94,-5.0,-5.0,장중손절
DIA,9,아래,-5.0,2002-09-20,79.67,2002-09-27,2002-09-27,5,76.85,3.54,-0.75,기한청산
DIA,9,아래,-5.0,2003-09-19,96.47,2003-09-26,2003-09-26,5,93.3,3.29,0.39,기한청산
DIA,9,아래,-5.0,2004-09-17,103.01,2004-09-24,2004-09-24,5,100.72,2.22,0.13,기한청산
DIA,9,아래,-5.0,2005-09-16,106.23,2005-09-23,2005-09-23,5,104.1,2.01,0.08,기한청산
DIA,9,아래,-5.0,2006-09-15,115.59,2006-09-22,2006-09-22,5,115.01,0.5,-0.55,기한청산
DIA,9,아래,-5.0,2007-09-21,137.9,2007-09-28,2007-09-28,5,138.91,-0.73,-0.89,기한청산
DIA,9,아래,-5.0,2008-09-19,113.57,2008-09-26,2008-09-26,5,111.15,2.13,-0.36,기한청산
DIA,9,아래,-5.0,2009-09-18,98.11,2009-09-25,2009-09-25,5,96.74,1.4,-1.07,기한청산
DIA,9,아래,-5.0,2010-09-17,106.07,2010-09-24,2010-09-24,5,108.57,-2.36,-2.44,기한청산
DIA,9,아래,-5.0,2011-09-16,114.86,2011-09-23,2011-09-23,5,107.45,6.45,-0.35,기한청산
DIA,9,아래,-5.0,2012-09-21,135.47,2012-09-28,2012-09-28,5,134.05,1.05,-0.32,기한청산
DIA,9,아래,-5.0,2013-09-20,154.3,2013-09-27,2013-09-27,5,152.21,1.35,-0.01,기한청산
DIA,9,아래,-5.0,2014-09-19,172.45,2014-09-26,2014-09-26,5,170.7,1.01,0.04,기한청산
DIA,9,아래,-5.0,2015-09-18,163.54,2015-09-25,2015-09-25,5,162.88,0.4,-1.24,기한청산
DIA,9,아래,-5.0,2016-09-16,180.97,2016-09-23,2016-09-23,5,182.42,-0.8,-1.82,기한청산
DIA,9,아래,-5.0,2017-09-15,222.45,2017-09-22,2017-09-22,5,223.2,-0.34,-0.68,기한청산
DIA,9,아래,-5.0,2018-09-21,267.12,2018-09-28,2018-09-28,5,264.4,1.02,0.16,기한청산
DIA,9,아래,-5.0,2019-09-20,269.25,2019-09-27,2019-09-27,5,267.99,0.47,-0.51,기한청산
DIA,9,아래,-5.0,2020-09-18,276.52,2020-09-25,2020-09-25,5,271.7,1.74,0.7,기한청산
