종목,만기월,방향,손절선(%),시기,신호,합계(%),평균(%),승률(%),손익비,손익분기 승률(%),이길 때(%),질 때(%),질 때 표본,최고(%),최악(%),표준편차(%),갭손절,장중손절,평균 보유일,판정가능,시기 시작일,시기 종료일
QQQ,1,위,무손절,전체,27,-0.57,-0.02,51.85,0.909,52.38,1.9,-2.09,13,4.8,-10.65,2.99,0,0,4.44,예,2000-01-21,2026-01-16
QQQ,1,위,무손절,앞 절반,13,-21.5,-1.65,30.77,0.342,74.53,0.96,-2.82,9,2.08,-10.65,3.14,0,0,4.54,예,2000-01-21,2012-01-20
QQQ,1,위,무손절,뒤 절반,14,20.93,1.5,71.43,5.14,16.29,2.27,-0.44,4,4.8,-1.3,1.91,0,0,4.36,예,2013-01-18,2026-01-16
QQQ,1,위,무손절,최근 10년,10,16.02,1.6,80.0,11.224,8.18,2.05,-0.18,2,4.8,-0.3,1.86,0,0,4.5,예,2017-01-20,2026-01-16
QQQ,1,위,무손절,최근 5년,5,7.21,1.44,100.0,,,1.44,,0,4.8,0.03,1.96,0,0,4.6,아니오,2022-01-21,2026-01-16
QQQ,1,위,-1.0,전체,27,1.06,0.04,37.04,1.783,35.93,2.28,-1.28,17,4.8,-5.56,2.18,4,11,2.85,예,2000-01-21,2026-01-16
QQQ,1,위,-1.0,앞 절반,13,-11.33,-0.87,23.08,0.739,57.49,1.08,-1.46,10,2.08,-5.56,1.72,1,9,2.15,예,2000-01-21,2012-01-20
QQQ,1,위,-1.0,뒤 절반,14,12.39,0.89,50.0,2.736,26.77,2.79,-1.02,7,4.8,-1.73,2.27,3,2,3.5,예,2013-01-18,2026-01-16
QQQ,1,위,-1.0,최근 10년,10,11.44,1.14,60.0,2.298,30.32,2.69,-1.17,4,4.8,-1.73,2.36,2,1,3.5,예,2017-01-20,2026-01-16
QQQ,1,위,-1.0,최근 5년,5,3.57,0.71,60.0,1.373,42.14,2.31,-1.69,2,4.8,-1.73,2.69,2,0,3.2,아니오,2022-01-21,2026-01-16
QQQ,1,위,-1.5,전체,27,-4.38,-0.16,37.04,1.426,41.22,2.28,-1.6,17,4.8,-5.56,2.29,3,11,3.04,예,2000-01-21,2026-01-16
QQQ,1,위,-1.5,앞 절반,13,-15.83,-1.22,23.08,0.565,63.91,1.08,-1.91,10,2.08,-5.56,1.76,1,9,2.54,예,2000-01-21,2012-01-20
QQQ,1,위,-1.5,뒤 절반,14,11.45,0.82,50.0,2.418,29.26,2.79,-1.15,7,4.8,-1.73,2.33,2,2,3.5,예,2013-01-18,2026-01-16
QQQ,1,위,-1.5,최근 10년,10,10.94,1.09,60.0,2.076,32.51,2.69,-1.29,4,4.8,-1.73,2.42,2,1,3.5,예,2017-01-20,2026-01-16
QQQ,1,위,-1.5,최근 5년,5,3.57,0.71,60.0,1.373,42.14,2.31,-1.69,2,4.8,-1.73,2.69,2,0,3.2,아니오,2022-01-21,2026-01-16
QQQ,1,위,-2.0,전체,27,-8.21,-0.3,37.04,1.249,44.46,2.28,-1.82,17,4.8,-5.56,2.4,1,11,3.37,예,2000-01-21,2026-01-16
QQQ,1,위,-2.0,앞 절반,13,-18.04,-1.39,23.08,0.506,66.4,1.08,-2.13,10,2.08,-5.56,1.85,1,7,3.23,예,2000-01-21,2012-01-20
QQQ,1,위,-2.0,뒤 절반,14,9.82,0.7,50.0,2.012,33.2,2.79,-1.39,7,4.8,-2.0,2.47,0,4,3.5,예,2013-01-18,2026-01-16
QQQ,1,위,-2.0,최근 10년,10,9.81,0.98,60.0,1.704,36.98,2.69,-1.58,4,4.8,-2.0,2.56,0,3,3.5,예,2017-01-20,2026-01-16
QQQ,1,위,-2.0,최근 5년,5,2.94,0.59,60.0,1.157,46.37,2.31,-2.0,2,4.8,-2.0,2.83,0,2,3.2,아니오,2022-01-21,2026-01-16
QQQ,1,위,-2.5,전체,27,-9.93,-0.37,40.74,1.016,49.61,2.09,-2.06,16,4.8,-5.56,2.5,1,9,3.59,예,2000-01-21,2026-01-16
QQQ,1,위,-2.5,앞 절반,13,-20.49,-1.58,23.08,0.454,68.79,1.08,-2.37,10,2.08,-5.56,1.95,1,6,3.46,예,2000-01-21,2012-01-20
QQQ,1,위,-2.5,뒤 절반,14,10.56,0.75,57.14,1.61,38.31,2.47,-1.53,6,4.8,-2.5,2.49,0,3,3.71,예,2013-01-18,2026-01-16
QQQ,1,위,-2.5,최근 10년,10,11.05,1.1,70.0,1.321,43.08,2.34,-1.77,3,4.8,-2.5,2.52,0,2,3.8,예,2017-01-20,2026-01-16
QQQ,1,위,-2.5,최근 5년,5,4.68,0.94,80.0,0.718,58.22,1.79,-2.5,1,4.8,-2.5,2.63,0,1,3.8,아니오,2022-01-21,2026-01-16
QQQ,1,위,-3.0,전체,27,-11.57,-0.43,40.74,0.968,50.83,2.09,-2.16,16,4.8,-5.56,2.63,2,6,3.74,예,2000-01-21,2026-01-16
QQQ,1,위,-3.0,앞 절반,13,-23.57,-1.81,23.08,0.402,71.35,1.08,-2.68,10,2.08,-5.56,2.13,2,4,3.54,예,2000-01-21,2012-01-20
QQQ,1,위,-3.0,뒤 절반,14,12.0,0.86,57.14,1.909,34.38,2.47,-1.29,6,4.8,-3.0,2.45,0,2,3.93,예,2013-01-18,2026-01-16
QQQ,1,위,-3.0,최근 10년,10,12.99,1.3,70.0,2.083,32.44,2.34,-1.12,3,4.8,-3.0,2.33,0,1,4.1,예,2017-01-20,2026-01-16
QQQ,1,위,-3.0,최근 5년,5,4.18,0.84,80.0,0.598,62.58,1.79,-3.0,1,4.8,-3.0,2.8,0,1,3.8,아니오,2022-01-21,2026-01-16
QQQ,1,위,-3.5,전체,27,-10.45,-0.39,44.44,0.866,53.58,1.97,-2.27,15,4.8,-5.56,2.7,2,5,3.85,예,2000-01-21,2026-01-16
QQQ,1,위,-3.5,앞 절반,13,-21.45,-1.65,30.77,0.342,74.49,0.96,-2.81,9,2.08,-5.56,2.29,2,3,3.77,예,2000-01-21,2012-01-20
QQQ,1,위,-3.5,뒤 절반,14,11.0,0.79,57.14,1.691,37.16,2.47,-1.46,6,4.8,-3.5,2.57,0,2,3.93,예,2013-01-18,2026-01-16
QQQ,1,위,-3.5,최근 10년,10,12.49,1.25,70.0,1.813,35.55,2.34,-1.29,3,4.8,-3.5,2.44,0,1,4.1,예,2017-01-20,2026-01-16
QQQ,1,위,-3.5,최근 5년,5,3.68,0.74,80.0,0.513,66.11,1.79,-3.5,1,4.8,-3.5,2.97,0,1,3.8,아니오,2022-01-21,2026-01-16
