종목,월,방향,손절선(%),시기,신호,합계(%),평균(%),승률(%),손익비,손익분기 승률(%),손익분기 대비(%p),이길 때(%),질 때(%),질 때 표본,최고(%),최악(%),보유 중 최악(%),표준편차(%),갭손절,장중손절,평균 보유일,판정가능,시기 시작일,시기 종료일,1차 판정
KODEX 200,9,아래,-5.0,전체,23,25.93,1.13,60.87,2.474,28.79,32.08,2.5,-1.01,9,8.09,-2.25,-4.37,2.55,0,0,6.35,예,2003-09-19,2025-09-19,후보
KODEX 200,9,아래,-5.0,앞 절반,11,7.23,0.66,54.55,1.757,36.27,18.28,2.29,-1.3,5,6.71,-2.25,-3.05,2.64,0,0,6.36,예,2003-09-19,2013-09-17,판정 안 함
KODEX 200,9,아래,-5.0,뒤 절반,12,18.7,1.56,66.67,4.116,19.55,47.12,2.66,-0.65,4,8.09,-1.14,-4.37,2.5,0,0,6.33,예,2014-09-19,2025-09-19,판정 안 함
KODEX 200,9,아래,-5.0,최근 10년,10,14.26,1.43,60.0,4.342,18.72,41.28,2.81,-0.65,4,8.09,-1.14,-4.37,2.73,0,0,6.3,예,2016-09-20,2025-09-19,판정 안 함
KODEX 200,9,아래,-5.0,최근 5년,5,12.38,2.48,60.0,9.738,9.31,50.69,4.43,-0.45,2,8.09,-0.59,-4.37,3.51,0,0,6.4,아니오,2021-09-17,2025-09-19,판정 안 함
코스피200 지수,9,아래,손절불가,전체,36,40.02,1.11,55.56,1.905,34.42,21.14,3.45,-1.81,16,11.0,-4.62,-5.2,3.56,0,0,6.67,예,1990-09-20,2025-09-19,판정 안 함
코스피200 지수,9,아래,손절불가,앞 절반,18,15.19,0.84,44.44,2.004,33.29,11.15,5.05,-2.52,10,11.0,-4.62,-5.2,4.54,0,0,6.89,예,1990-09-20,2007-09-20,판정 안 함
코스피200 지수,9,아래,손절불가,뒤 절반,18,24.83,1.38,66.67,3.788,20.88,45.79,2.38,-0.63,6,8.51,-1.96,-3.41,2.3,0,0,6.44,예,2008-09-19,2025-09-19,판정 안 함
코스피200 지수,9,아래,손절불가,최근 10년,10,17.39,1.74,60.0,7.99,11.12,48.88,3.16,-0.4,4,8.51,-0.94,-3.41,2.81,0,0,6.3,예,2016-09-20,2025-09-19,판정 안 함
코스피200 지수,9,아래,손절불가,최근 5년,5,14.27,2.85,60.0,63.798,1.54,58.46,4.81,-0.08,2,8.51,-0.12,-3.41,3.53,0,0,6.4,아니오,2021-09-17,2025-09-19,판정 안 함
코스피 종합지수,9,아래,손절불가,전체,46,51.39,1.12,60.87,1.567,38.96,21.91,3.11,-1.99,18,10.46,-3.99,-4.46,3.48,0,0,7.02,예,1980-09-20,2025-09-19,판정 안 함
코스피 종합지수,9,아래,손절불가,앞 절반,23,20.45,0.89,52.17,1.619,38.18,13.99,3.93,-2.43,11,10.46,-3.99,-4.46,4.14,0,0,7.7,예,1980-09-20,2002-09-19,판정 안 함
코스피 종합지수,9,아래,손절불가,뒤 절반,23,30.95,1.35,69.57,1.93,34.13,35.44,2.5,-1.3,7,8.97,-2.53,-3.38,2.73,0,0,6.35,예,2003-09-19,2025-09-19,판정 안 함
코스피 종합지수,9,아래,손절불가,최근 10년,10,19.42,1.94,80.0,3.058,24.64,55.36,2.64,-0.86,2,8.97,-0.88,-3.02,2.95,0,0,6.3,예,2016-09-20,2025-09-19,판정 안 함
코스피 종합지수,9,아래,손절불가,최근 5년,5,15.55,3.11,100.0,,,,3.11,,0,8.97,0.0,-3.02,3.58,0,0,6.4,아니오,2021-09-17,2025-09-19,판정 안 함
KODEX 코스닥150,9,아래,-5.0,전체,10,29.73,2.97,80.0,3.725,21.16,58.84,3.98,-1.07,2,10.05,-2.1,-4.56,3.52,0,0,6.3,예,2016-09-20,2025-09-19,후보
KODEX 코스닥150,9,아래,-5.0,앞 절반,5,11.14,2.23,80.0,79.022,1.25,78.75,2.79,-0.04,1,5.26,-0.04,-2.51,2.73,0,0,6.2,아니오,2016-09-20,2020-09-18,판정 안 함
KODEX 코스닥150,9,아래,-5.0,뒤 절반,5,18.59,3.72,80.0,2.46,28.9,51.1,5.17,-2.1,1,10.05,-2.1,-4.56,4.37,0,0,6.4,아니오,2021-09-17,2025-09-19,판정 안 함
