종목,사이클 위치,방향,분할 방식,미체결 처리,표본,합계(%),평균(%),중앙값(%),오른 비율(%),최고(%),최악(%),일시매수 대비 평균 차이(%p),보유 중 최악 평균(%),보유 중 최악 중앙값(%),보유 중 최악(%),평균 투자 비율(%),첫 몫 대비 평균 매수가 평균(%),추가 몫이 규칙으로 체결된 진입 수
SPY,중간선거해,위,일시매수,해당 없음,8,129.46,16.18,16.73,100.0,34.64,0.78,0.0,-6.23,-4.58,-19.59,100.0,0.0,0
SPY,중간선거해,위,A 시간 4등분,해당 없음,8,96.04,12.01,10.94,100.0,22.07,1.51,-4.17,-4.03,-2.38,-12.1,100.0,3.61,8
SPY,중간선거해,위,B 사다리 5%,12월 말 일괄 매수,8,108.49,13.56,11.03,100.0,28.26,5.05,-2.62,-3.94,-2.03,-14.45,100.0,2.22,3
SPY,중간선거해,위,B 사다리 5%,현금 유지,8,66.64,8.33,6.2,100.0,24.56,4.2,-7.85,-3.07,-1.53,-14.45,50.0,-1.3,3
SPY,중간선거해,위,B 사다리 10%,12월 말 일괄 매수,8,99.41,12.43,12.24,100.0,18.95,1.59,-3.75,-3.31,-2.03,-9.35,100.0,3.28,1
SPY,중간선거해,위,B 사다리 10%,현금 유지,8,48.07,6.01,5.58,100.0,11.55,1.49,-10.17,-2.43,-1.53,-9.35,37.5,-0.81,1
SPY,중간선거해,위,C1 RSI(14) 30 아래,12월 말 일괄 매수,8,97.58,12.2,11.03,100.0,18.95,5.05,-3.98,-4.1,-2.03,-15.72,100.0,3.42,2
SPY,중간선거해,위,C1 RSI(14) 30 아래,현금 유지,8,52.04,6.5,5.79,100.0,11.55,4.2,-9.68,-3.23,-1.53,-15.72,45.83,-0.93,2
SPY,중간선거해,위,C2 20일 이격도 95% 아래,12월 말 일괄 매수,8,107.19,13.4,13.15,100.0,28.26,1.59,-2.78,-3.72,-2.03,-16.11,100.0,2.4,3
SPY,중간선거해,위,C2 20일 이격도 95% 아래,현금 유지,8,68.85,8.61,5.58,100.0,24.56,1.49,-7.57,-3.38,-1.84,-16.11,50.0,-0.93,3
DIA,중간선거해,위,일시매수,해당 없음,7,111.51,15.93,14.96,100.0,39.89,0.55,0.0,-5.16,-4.76,-17.94,100.0,0.0,0
DIA,중간선거해,위,A 시간 4등분,해당 없음,7,71.3,10.19,8.61,100.0,26.74,0.58,-5.74,-4.17,-2.03,-11.66,100.0,5.06,7
DIA,중간선거해,위,B 사다리 5%,12월 말 일괄 매수,7,76.11,10.87,9.65,100.0,26.29,3.81,-5.06,-3.97,-1.84,-13.62,100.0,4.34,2
DIA,중간선거해,위,B 사다리 5%,현금 유지,7,45.9,6.56,5.84,100.0,13.3,4.2,-9.37,-2.81,-1.59,-13.62,47.62,-1.11,2
DIA,중간선거해,위,B 사다리 10%,12월 말 일괄 매수,7,75.67,10.81,9.65,100.0,26.29,0.35,-5.12,-3.37,-1.84,-8.84,100.0,4.46,1
DIA,중간선거해,위,B 사다리 10%,현금 유지,7,41.17,5.88,4.99,100.0,13.3,1.13,-10.05,-2.13,-1.59,-8.84,38.1,-0.77,1
DIA,중간선거해,위,C1 RSI(14) 30 아래,12월 말 일괄 매수,7,70.79,10.11,9.65,100.0,26.29,0.35,-5.82,-4.27,-1.84,-15.14,100.0,5.07,1
DIA,중간선거해,위,C1 RSI(14) 30 아래,현금 유지,7,40.97,5.85,4.99,100.0,13.3,1.13,-10.08,-3.03,-1.59,-15.14,42.86,-0.47,1
DIA,중간선거해,위,C2 20일 이격도 95% 아래,12월 말 일괄 매수,7,75.01,10.72,9.65,100.0,26.29,0.35,-5.21,-3.77,-1.84,-15.14,100.0,4.52,2
DIA,중간선거해,위,C2 20일 이격도 95% 아래,현금 유지,7,47.73,6.82,4.99,100.0,13.3,1.13,-9.11,-3.2,-1.59,-15.14,47.62,-0.59,2
QQQ,중간선거해,위,일시매수,해당 없음,6,125.02,20.84,16.68,100.0,44.55,0.51,0.0,-7.43,-4.75,-22.78,100.0,0.0,0
