날짜,종가,NAV,괴리율
2016-12-27,10040,10054.22,-0.14
2016-12-28,10050,10078.07,-0.28
2016-12-29,10055,10066.17,-0.11
2017-01-02,10055,10058.1,-0.03
2017-01-03,10020,10019.64,0.0
2017-01-04,10030,10045.82,-0.16
2017-01-05,9880,9870.47,0.1
2017-01-06,9935,9941.76,-0.07
2017-01-09,10050,10070.22,-0.2
2017-01-10,9945,9956.28,-0.11
2017-01-11,9930,9963.78,-0.34
2017-01-12,9860,9871.53,-0.12
2017-01-13,9785,9786.87,-0.02
2017-01-16,9850,9846.28,0.04
2017-01-17,9775,9788.41,-0.14
2017-01-18,9715,9704.48,0.11
2017-01-19,9810,9813.25,-0.03
2017-01-20,9735,9752.86,-0.18
2017-01-23,9695,9707.15,-0.13
2017-01-24,9695,9714.04,-0.2
2017-01-25,9695,9723.46,-0.29
2017-01-26,9640,9662.27,-0.23
2017-01-31,9675,9688.6,-0.14
2017-02-01,9650,9650.59,-0.01
2017-02-02,9555,9546.3,0.09
2017-02-03,9560,9564.52,-0.05
2017-02-06,9480,9481.48,-0.02
2017-02-07,9530,9538.7,-0.09
2017-02-08,9545,9562.31,-0.18
2017-02-09,9545,9558.49,-0.14
2017-02-10,9575,9591.46,-0.17
2017-02-13,9590,9598.38,-0.09
2017-02-14,9475,9485.2,-0.11
2017-02-15,9500,9522.72,-0.24
2017-02-16,9500,9521.8,-0.23
2017-02-17,9550,9565.68,-0.16
2017-02-20,9565,9572.5,-0.08
2017-02-21,9545,9557.77,-0.13
2017-02-22,9520,9531.34,-0.12
2017-02-23,9480,9492.48,-0.13
2017-02-24,9425,9440.43,-0.16
2017-02-27,9450,9464.03,-0.15
2017-02-28,9430,9430.23,-0.0
2017-03-02,9510,9532.41,-0.24
2017-03-03,9640,9643.66,-0.04
2017-03-06,9640,9655.7,-0.16
2017-03-07,9565,9575.65,-0.11
2017-03-08,9555,9564.77,-0.1
2017-03-09,9660,9659.45,0.01
2017-03-10,9640,9664.08,-0.25
2017-03-13,9550,9550.09,-0.0
2017-03-14,9565,9595.37,-0.32
2017-03-15,9545,9546.98,-0.02
2017-03-16,9450,9448.67,0.01
2017-03-17,9440,9435.34,0.05
2017-03-20,9350,9349.4,0.01
2017-03-21,9330,9345.49,-0.17
2017-03-22,9375,9376.35,-0.01
2017-03-23,9350,9365.13,-0.16
2017-03-24,9365,9365.63,-0.01
2017-03-27,9285,9290.59,-0.06
2017-03-28,9290,9299.37,-0.1
2017-03-29,9300,9307.87,-0.08
2017-03-30,9325,9322.7,0.02
2017-03-31,9335,9340.04,-0.05
2017-04-03,9310,9316.94,-0.07
2017-04-04,9350,9374.98,-0.27
2017-04-05,9385,9388.71,-0.04
2017-04-06,9445,9464.27,-0.2
2017-04-07,9470,9474.68,-0.05
2017-04-10,9535,9542.94,-0.08
2017-04-11,9575,9579.0,-0.04
2017-04-12,9520,9538.9,-0.2
2017-04-13,9440,9440.62,-0.01
2017-04-14,9510,9523.27,-0.14
2017-04-17,9500,9510.85,-0.11
2017-04-18,9525,9542.01,-0.18
2017-04-19,9515,9522.2,-0.08
2017-04-20,9505,9519.1,-0.15
2017-04-21,9455,9482.77,-0.29
2017-04-24,9440,9448.77,-0.09
2017-04-25,9390,9404.74,-0.16
2017-04-26,9400,9417.53,-0.19
2017-04-27,9430,9445.65,-0.17
2017-04-28,9485,9503.41,-0.19
2017-05-02,9450,9456.19,-0.07
2017-05-04,9455,9476.46,-0.23
2017-05-08,9460,9466.12,-0.06
2017-05-10,9480,9504.28,-0.26
2017-05-11,9430,9438.86,-0.09
2017-05-12,9420,9428.72,-0.09
2017-05-15,9395,9392.21,0.03
2017-05-16,9330,9332.36,-0.03
2017-05-17,9345,9351.87,-0.07
2017-05-18,9405,9407.43,-0.03
2017-05-19,9405,9433.03,-0.3
2017-05-22,9350,9347.92,0.02
2017-05-23,9385,9397.42,-0.13
2017-05-24,9420,9417.63,0.03
2017-05-25,9325,9345.07,-0.21
2017-05-26,9355,9370.79,-0.17
2017-05-29,9375,9388.37,-0.14
2017-05-30,9395,9407.03,-0.13
2017-05-31,9360,9356.35,0.04
2017-06-01,9375,9393.67,-0.2
2017-06-02,9380,9389.88,-0.11
2017-06-05,9350,9356.82,-0.07
2017-06-07,9395,9400.55,-0.06
2017-06-08,9375,9392.52,-0.19
2017-06-09,9380,9405.47,-0.27
2017-06-12,9425,9438.2,-0.14
2017-06-13,9425,9449.88,-0.26
2017-06-14,9390,9406.77,-0.18
2017-06-15,9390,9407.66,-0.19
2017-06-16,9490,9497.79,-0.08
2017-06-19,9480,9484.61,-0.05
2017-06-20,9505,9506.58,-0.02
2017-06-21,9555,9571.96,-0.18
2017-06-22,9540,9551.48,-0.12
2017-06-23,9525,9528.21,-0.03
2017-06-26,9510,9512.48,-0.03
2017-06-27,9510,9520.38,-0.11
2017-06-28,9555,9580.46,-0.27
2017-06-29,9535,9558.26,-0.24
2017-06-30,9575,9585.01,-0.1
2017-07-03,9590,9603.78,-0.14
2017-07-04,9635,9635.2,-0.0
2017-07-05,9625,9630.6,-0.06
2017-07-06,9685,9693.91,-0.09
2017-07-07,9665,9672.84,-0.08
2017-07-10,9630,9637.66,-0.08
2017-07-11,9635,9646.33,-0.12
2017-07-12,9580,9600.94,-0.22
2017-07-13,9520,9524.5,-0.05
2017-07-14,9500,9505.84,-0.06
2017-07-17,9455,9457.63,-0.03
2017-07-18,9415,9415.2,-0.0
2017-07-19,9395,9406.11,-0.12
2017-07-20,9435,9435.15,-0.0
2017-07-21,9375,9375.29,-0.0
2017-07-24,9340,9336.84,0.03
2017-07-25,9350,9349.53,0.01
2017-07-26,9400,9401.88,-0.02
2017-07-27,9330,9337.72,-0.08
2017-07-28,9395,9401.15,-0.07
2017-07-31,9385,9389.7,-0.05
2017-08-01,9380,9395.07,-0.16
2017-08-02,9425,9422.23,0.03
2017-08-03,9460,9467.2,-0.08
2017-08-04,9420,9439.05,-0.2
2017-08-07,9455,9465.17,-0.11
2017-08-08,9440,9445.88,-0.06
2017-08-09,9515,9517.81,-0.03
2017-08-10,9555,9584.05,-0.3
2017-08-11,9570,9599.74,-0.31
2017-08-14,9560,9552.19,0.08
2017-08-16,9555,9578.42,-0.24
2017-08-17,9520,9542.69,-0.24
2017-08-18,9570,9574.62,-0.05
2017-08-21,9555,9558.1,-0.03
2017-08-22,9510,9519.89,-0.1
2017-08-23,9490,9497.39,-0.08
2017-08-24,9465,9471.02,-0.06
2017-08-25,9470,9469.86,0.0
2017-08-28,9400,9396.43,0.04
2017-08-29,9430,9448.66,-0.2
2017-08-30,9430,9441.22,-0.12
2017-08-31,9465,9461.97,0.03
2017-09-01,9430,9425.02,0.05
2017-09-04,9510,9502.43,0.08
2017-09-05,9495,9493.51,0.02
2017-09-06,9525,9529.0,-0.04
2017-09-07,9485,9484.08,0.01
2017-09-08,9470,9471.88,-0.02
2017-09-11,9500,9504.82,-0.05
2017-09-12,9475,9468.01,0.07
2017-09-13,9465,9475.58,-0.11
2017-09-14,9495,9512.43,-0.18
2017-09-15,9485,9497.36,-0.13
2017-09-18,9460,9457.34,0.03
2017-09-19,9480,9494.46,-0.15
2017-09-20,9475,9472.65,0.02
2017-09-21,9510,9510.14,-0.0
2017-09-22,9545,9540.7,0.05
2017-09-25,9505,9506.44,-0.02
2017-09-26,9550,9553.58,-0.04
2017-09-27,9560,9579.91,-0.21
2017-09-28,9650,9653.82,-0.04
2017-09-29,9620,9622.55,-0.03
2017-10-10,9545,9544.43,0.01
2017-10-11,9540,9536.57,0.04
2017-10-12,9520,9523.02,-0.03
2017-10-13,9490,9485.42,0.05
2017-10-16,9480,9474.68,0.06
2017-10-17,9515,9511.73,0.03
2017-10-18,9485,9497.34,-0.13
2017-10-19,9515,9510.9,0.04
2017-10-20,9510,9504.88,0.05
2017-10-23,9500,9494.69,0.06
2017-10-24,9475,9478.04,-0.03
2017-10-25,9480,9477.58,0.03
2017-10-26,9455,9448.42,0.07
2017-10-27,9500,9501.15,-0.01
2017-10-30,9455,9447.24,0.08
2017-10-31,9420,9410.54,0.1
2017-11-01,9370,9360.04,0.11
2017-11-02,9370,9361.42,0.09
2017-11-03,9365,9356.54,0.09
2017-11-06,9375,9374.41,0.01
2017-11-07,9350,9343.53,0.07
2017-11-08,9380,9371.93,0.09
2017-11-09,9375,9373.8,0.01
2017-11-10,9390,9395.23,-0.06
2017-11-13,9425,9431.42,-0.07
2017-11-14,9395,9399.62,-0.05
2017-11-15,9355,9349.77,0.06
2017-11-16,9260,9256.65,0.04
2017-11-17,9225,9225.32,-0.0
2017-11-20,9250,9253.64,-0.04
2017-11-21,9215,9213.56,0.02
2017-11-22,9155,9139.84,0.17
2017-11-23,9130,9125.76,0.05
2017-11-24,9125,9133.89,-0.1
2017-11-27,9155,9156.74,-0.02
2017-11-28,9120,9120.73,-0.01
2017-11-29,9060,9044.97,0.17
2017-11-30,9150,9148.69,0.01
2017-12-01,9125,9136.69,-0.13
2017-12-04,9160,9153.04,0.08
2017-12-05,9115,9128.05,-0.14
2017-12-06,9195,9194.74,0.0
2017-12-07,9200,9207.79,-0.08
2017-12-08,9195,9194.12,0.01
2017-12-11,9190,9186.01,0.04
2017-12-12,9190,9180.43,0.1
2017-12-13,9180,9167.68,0.13
2017-12-14,9145,9151.8,-0.07
2017-12-15,9165,9167.09,-0.02
2017-12-18,9160,9159.7,0.0
2017-12-19,9130,9123.78,0.07
2017-12-20,9095,9088.72,0.07
2017-12-21,9110,9104.23,0.06
2017-12-22,9070,9084.69,-0.16
2017-12-26,9055,9057.93,-0.03
2017-12-27,9035,9032.25,0.03
2017-12-28,9010,8999.5,0.12
2018-01-02,8920,8932.59,-0.14
2018-01-03,8960,8961.08,-0.01
2018-01-04,8940,8942.19,-0.02
2018-01-05,8940,8950.31,-0.12
2018-01-08,8975,8980.93,-0.07
2018-01-09,8985,8987.85,-0.03
2018-01-10,9030,9031.03,-0.01
2018-01-11,9030,9030.49,-0.01
2018-01-12,8970,8953.07,0.19
2018-01-15,8950,8951.87,-0.02
2018-01-16,8950,8947.91,0.02
2018-01-17,9005,9008.7,-0.04
2018-01-18,9020,9022.55,-0.03
2018-01-19,8975,8978.54,-0.04
2018-01-22,9005,9018.42,-0.15
2018-01-23,9010,9022.96,-0.14
2018-01-24,9010,9019.84,-0.11
2018-01-25,8930,8928.33,0.02
2018-01-26,8975,8972.01,0.03
2018-01-29,8980,8990.81,-0.12
2018-01-30,9055,9053.32,0.02
2018-01-31,9010,9004.66,0.06
2018-02-01,9040,9042.16,-0.02
2018-02-02,9110,9110.94,-0.01
2018-02-05,9170,9189.79,-0.22
2018-02-06,9190,9206.15,-0.18
2018-02-07,9165,9157.64,0.08
2018-02-08,9165,9181.74,-0.18
2018-02-09,9200,9209.35,-0.1
2018-02-12,9150,9154.46,-0.05
2018-02-13,9145,9153.22,-0.09
2018-02-14,9085,9091.51,-0.07
2018-02-19,9015,8999.8,0.17
2018-02-20,9050,9059.95,-0.11
2018-02-21,9085,9087.26,-0.02
2018-02-22,9145,9151.03,-0.07
2018-02-23,9110,9106.19,0.04
2018-02-26,9065,9065.97,-0.01
2018-02-27,9050,9041.91,0.09
2018-02-28,9130,9147.99,-0.2
2018-03-02,9125,9127.61,-0.03
2018-03-05,9140,9142.9,-0.03
2018-03-06,9085,9089.9,-0.05
2018-03-07,9035,9031.91,0.03
2018-03-08,9030,9046.51,-0.18
2018-03-09,9030,9034.45,-0.05
2018-03-12,8990,8995.03,-0.06
2018-03-13,9020,9018.87,0.01
2018-03-14,8995,8993.66,0.01
2018-03-15,9010,8996.25,0.15
2018-03-16,9010,9012.03,-0.02
2018-03-19,9055,9051.17,0.04
2018-03-20,9030,9032.03,-0.02
2018-03-21,9055,9057.58,-0.03
2018-03-22,9045,9048.79,-0.04
2018-03-23,9135,9134.06,0.01
2018-03-26,9125,9122.43,0.03
2018-03-27,9045,9036.53,0.09
2018-03-28,9045,9056.24,-0.12
2018-03-29,9015,9002.65,0.14
2018-03-30,8995,8988.13,0.08
2018-04-02,8935,8924.94,0.11
2018-04-03,8905,8921.06,-0.18
2018-04-04,8955,8954.45,0.01
2018-04-05,8960,8964.95,-0.06
2018-04-06,9045,9039.29,0.06
2018-04-09,9030,9021.22,0.1
2018-04-10,9025,9018.96,0.07
2018-04-11,9025,9023.6,0.02
2018-04-12,9050,9052.25,-0.02
2018-04-13,9040,9055.48,-0.17
2018-04-16,9075,9089.63,-0.16
2018-04-17,9035,9033.2,0.02
2018-04-18,9035,9041.95,-0.08
2018-04-19,8985,8992.37,-0.08
2018-04-20,9035,9039.58,-0.05
2018-04-23,9055,9051.8,0.04
2018-04-24,9120,9130.9,-0.12
2018-04-25,9140,9164.24,-0.26
2018-04-26,9160,9149.31,0.12
2018-04-27,9120,9118.88,0.01
2018-04-30,9055,9052.37,0.03
2018-05-02,9110,9121.46,-0.13
2018-05-03,9120,9123.52,-0.04
2018-05-04,9125,9136.36,-0.12
2018-05-08,9115,9125.52,-0.12
2018-05-09,9165,9173.32,-0.09
2018-05-10,9100,9093.19,0.07
2018-05-11,9070,9071.77,-0.02
2018-05-14,9045,9060.98,-0.18
2018-05-15,9110,9108.82,0.01
2018-05-16,9135,9144.08,-0.1
2018-05-17,9160,9169.46,-0.1
2018-05-18,9145,9143.46,0.02
2018-05-21,9205,9201.75,0.04
2018-05-23,9165,9161.15,0.04
2018-05-24,9165,9157.41,0.08
2018-05-25,9150,9144.57,0.06
2018-05-28,9115,9115.99,-0.01
2018-05-29,9140,9145.81,-0.06
2018-05-30,9160,9169.91,-0.11
2018-05-31,9145,9143.11,0.02
2018-06-01,9135,9130.27,0.05
2018-06-04,9100,9103.46,-0.04
2018-06-05,9090,9091.28,-0.01
2018-06-07,9075,9078.05,-0.03
2018-06-08,9130,9132.23,-0.02
2018-06-11,9125,9133.43,-0.09
2018-06-12,9155,9153.8,0.01
2018-06-14,9190,9207.13,-0.19
2018-06-15,9325,9318.5,0.07
2018-06-18,9385,9385.88,-0.01
2018-06-19,9415,9434.59,-0.21
2018-06-20,9395,9394.86,0.0
2018-06-21,9445,9445.48,-0.01
2018-06-22,9410,9410.4,-0.0
2018-06-25,9500,9497.39,0.03
2018-06-26,9470,9481.45,-0.12
2018-06-27,9500,9507.98,-0.08
2018-06-28,9555,9565.32,-0.11
2018-06-29,9470,9485.44,-0.16
2018-07-02,9520,9523.01,-0.03
2018-07-03,9515,9511.55,0.04
