날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액
2016-12-01,254.84,255.23,254.06,254.48,59348372,3209992183908,1084272192792810
2016-12-02,253.93,254.22,252.06,252.88,55138585,2836609702659,1076886657655130
2016-12-05,252.12,253.04,251.52,252.14,50360824,2177874869458,1074131832795350
2016-12-06,253.88,256.27,253.85,255.63,61484818,3064703989249,1089371189868610
2016-12-07,256.57,257.05,255.96,256.34,54699576,2887478487232,1090691918641875
2016-12-08,258.79,262.0,258.63,262.0,74290339,4066091773233,1113759330427125
2016-12-09,261.24,261.29,260.34,260.91,58353707,2936298538273,1109436229265255
2016-12-12,261.59,261.69,259.89,260.72,56950418,2720614717520,1109545712132475
2016-12-13,260.38,261.72,260.08,261.63,77992348,3061200423323,1114136751094090
2016-12-14,262.64,262.86,261.12,262.0,55929094,2503848970921,1116753489613620
2016-12-15,259.9,262.08,259.82,261.45,55035212,2420554316722,1115535789596835
2016-12-16,261.59,262.91,261.16,262.56,60475001,2966409150236,1118493612344395
2016-12-19,262.03,263.22,261.86,261.93,46955399,2145966064263,1115735527025965
2016-12-20,262.78,263.26,262.14,262.59,51200598,2231068476745,1117862323054220
2016-12-21,263.76,264.42,262.1,262.1,62168086,2549895248190,1115648656157595
2016-12-22,262.71,262.92,261.66,261.97,53376423,2376817062691,1114876092761115
2016-12-23,262.1,262.26,261.3,261.61,46535716,2263079615337,1114644922566870
2016-12-26,261.83,262.27,261.36,261.9,45262568,1920270190425,1115959487289270
2016-12-27,262.35,262.85,261.79,262.49,52535692,2140360995766,1118675166411320
2016-12-28,259.65,260.59,259.52,259.7,54257286,2288224628871,1105964177531600
2016-12-29,259.02,260.04,258.62,260.01,48685043,2298802955232,1106917147411705
2017-01-02,259.42,261.21,258.64,260.36,36913098,1865849599741,1106997092147985
2017-01-03,261.55,263.0,260.72,262.97,61838711,2893837634982,1117580157318395
2017-01-04,263.19,263.27,262.47,263.12,68765255,3001392772662,1117984626398040
2017-01-05,262.88,262.94,261.64,261.98,78823343,3328611035594,1114665343270930
2017-01-06,263.01,263.61,262.66,263.2,56571680,2541335924779,1118831228667865
2017-01-09,263.83,264.55,263.34,263.74,59178996,2880966547653,1119540181124230
2017-01-10,263.15,263.88,262.83,263.73,60748649,2641088642250,1118244085478140
2017-01-11,264.24,268.91,264.18,268.15,76588092,3547032946773,1136279179673675
2017-01-12,268.48,269.95,267.93,269.95,70686267,3226230840360,1143573498972875
