지수,롤 규칙,판정일,집행일,근월물,근월물 이름,차월물,차월물 이름,조정계수,근월물 미결제약정,차월물 미결제약정,규칙대로 못 한 롤
KOSPI200,미결제약정 역전,,1996-06-13,KR4101660000,KOSPI 200 선물 9606,KR4101690000,KOSPI 200 선물 9609,1.002729945401092,1174.0,1157.0,True
KOSPI200,미결제약정 역전,,1996-09-12,KR4101690000,KOSPI 200 선물 9609,KR41016C0000,KOSPI 200 선물 9612,1.0213776722090262,2140.0,2354.0,True
KOSPI200,미결제약정 역전,,1996-12-12,KR41016C0000,KOSPI 200 선물 9612,KR4101730000,KOSPI 200 선물 9703,1.0141610642254328,3841.0,2514.0,True
KOSPI200,미결제약정 역전,1997-03-12,1997-03-13,KR4101730000,KOSPI 200 선물 9703,KR4101760000,KOSPI 200 선물 9706,0.9674257276428895,3772.0,5921.0,False
KOSPI200,미결제약정 역전,,1997-06-12,KR4101760000,KOSPI 200 선물 9706,KR4101790000,KOSPI 200 선물 9709,1.0412746204993102,4798.0,3379.0,True
KOSPI200,미결제약정 역전,,1997-09-11,KR4101790000,KOSPI 200 선물 9709,KR41017C0000,KOSPI 200 선물 9712,1.0278551532033426,6953.0,4979.0,True
KOSPI200,미결제약정 역전,,1997-12-11,KR41017C0000,KOSPI 200 선물 9712,KR4101830000,KOSPI 200 선물 9803,0.9138134592680047,23323.0,11130.0,True
KOSPI200,미결제약정 역전,,1998-03-12,KR4101830000,KOSPI 200 선물 9803,KR4101860000,KOSPI 200 선물 9806,1.0239425379090186,25874.0,14715.0,True
KOSPI200,미결제약정 역전,,1998-06-11,KR4101860000,KOSPI 200 선물 9806,KR4101890000,KOSPI 200 선물 9809,0.9283783783783784,49646.0,21281.0,True
KOSPI200,미결제약정 역전,,1998-09-10,KR4101890000,KOSPI 200 선물 9809,KR41018C0000,KOSPI 200 선물 9812,0.9735799207397622,42493.0,23189.0,True
KOSPI200,미결제약정 역전,,1998-12-10,KR41018C0000,KOSPI 200 선물 9812,KR4101930000,KOSPI 200 선물 9903,1.0466004583651642,44273.0,17888.0,True
KOSPI200,미결제약정 역전,,1999-03-11,KR4101930000,KOSPI 200 선물 9903,KR4101960000,KOSPI 200 선물 9906,1.0288675055514434,34569.0,18075.0,True
KOSPI200,미결제약정 역전,,1999-06-10,KR4101960000,KOSPI 200 선물 9906,KR4101990000,KOSPI 200 선물 9909,1.013986013986014,30915.0,22965.0,True
KOSPI200,미결제약정 역전,,1999-09-09,KR4101990000,KOSPI 200 선물 9909,KR41019C0000,KOSPI 200 선물 9912,1.0047846889952152,0.0,17076.0,True
KOSPI200,미결제약정 역전,,1999-12-09,KR41019C0000,KOSPI 200 선물 9912,KR4101030000,KOSPI 200 선물 0003,1.0228198859005704,39065.0,22498.0,True
KOSPI200,미결제약정 역전,,2000-03-09,KR4101030000,KOSPI 200 선물 0003,KR4101060000,KOSPI 200 선물 0006,1.0044642857142858,32143.0,15003.0,True
KOSPI200,미결제약정 역전,,2000-06-08,KR4101060000,KOSPI 200 선물 0006,KR4101090000,KOSPI 200 선물 0009,0.9705738106915155,31627.0,14694.0,True
KOSPI200,미결제약정 역전,,2000-09-14,KR4101090000,KOSPI 200 선물 0009,KR41010C0000,KOSPI 200 선물 0012,1.0113065326633166,47455.0,21551.0,True
KOSPI200,미결제약정 역전,,2000-12-14,KR41010C0000,KOSPI 200 선물 0012,KR4101130000,KOSPI 200 선물 0103,0.9963530269876003,27379.0,18694.0,True
KOSPI200,미결제약정 역전,,2001-03-08,KR4101130000,KOSPI 200 선물 0103,KR4101160000,KOSPI 200 선물 0106,1.002090592334495,19617.0,23252.0,True
KOSPI200,미결제약정 역전,,2001-06-14,KR4101160000,KOSPI 200 선물 0106,KR4101190000,KOSPI 200 선물 0109,0.9908854166666666,30427.0,29796.0,True
KOSPI200,미결제약정 역전,,2001-09-13,KR4101190000,KOSPI 200 선물 0109,KR41011C0000,KOSPI 200 선물 0112,0.9884678747940692,35220.0,32814.0,True
KOSPI200,미결제약정 역전,,2001-12-13,KR41011C0000,KOSPI 200 선물 0112,KR4101230000,KOSPI 200 선물 0203,1.0041891083183723,41810.0,32844.0,True
KOSPI200,미결제약정 역전,,2002-03-14,KR4101230000,KOSPI 200 선물 0203,KR4101260000,KOSPI 200 선물 0206,0.996222851746931,31023.0,47670.0,True
KOSPI200,미결제약정 역전,,2002-06-12,KR4101260000,KOSPI 200 선물 0206,KR4101290000,KOSPI 200 선물 0209,1.0126891166422645,40921.0,49752.0,True
KOSPI200,미결제약정 역전,,2002-09-12,KR4101290000,KOSPI 200 선물 0209,KR41012C0000,KOSPI 200 선물 0212,1.0005382131324003,39983.0,61158.0,True
KOSPI200,미결제약정 역전,,2002-12-12,KR41012C0000,KOSPI 200 선물 0212,KR4101330000,KOSPI 200 선물 0303,0.9872434830837492,45325.0,57149.0,True
KOSPI200,미결제약정 역전,,2003-03-13,KR4101330000,KOSPI 200 선물 0303,KR4101360000,KOSPI 200 선물 0306,0.9992406985573273,49835.0,76525.0,True
KOSPI200,미결제약정 역전,,2003-06-12,KR4101360000,KOSPI 200 선물 0306,KR4101390000,KOSPI 200 선물 0309,0.9988123515439429,49248.0,70337.0,True
KOSPI200,미결제약정 역전,,2003-09-09,KR4101390000,KOSPI 200 선물 0309,KR41013C0000,KOSPI 200 선물 0312,1.013131313131313,45824.0,68006.0,True
KOSPI200,미결제약정 역전,,2003-12-11,KR41013C0000,KOSPI 200 선물 0312,KR4101430000,KOSPI 200 선물 0403,0.9849660523763337,46826.0,71286.0,True
KOSPI200,미결제약정 역전,,2004-03-11,KR4101430000,KOSPI 200 선물 0403,KR4101460000,KOSPI 200 선물 0406,1.0136383633963924,48389.0,76232.0,True
KOSPI200,미결제약정 역전,,2004-06-10,KR4101460000,KOSPI 200 선물 0406,KR4101490000,KOSPI 200 선물 0409,0.9793814432989691,42409.0,86884.0,True
KOSPI200,미결제약정 역전,2004-09-08,2004-09-09,KR4101490000,KOSPI 200 선물 0409,KR41014C0000,KOSPI 200 선물 0412,0.9933712121212123,36699.0,83376.0,False
KOSPI200,미결제약정 역전,,2004-12-09,KR41014C0000,KOSPI 200 선물 0412,KR4101530000,KOSPI 200 선물 0503,0.9721848362494392,45872.0,76099.0,True
KOSPI200,미결제약정 역전,,2005-03-10,KR4101530000,KOSPI 200 선물 0503,KR4101560000,KOSPI 200 선물 0506,0.9980724749421742,57916.0,80756.0,True
KOSPI200,미결제약정 역전,,2005-06-09,KR4101560000,KOSPI 200 선물 0506,KR4101590000,KOSPI 200 선물 0509,1.0055423594615993,59942.0,77809.0,True
KOSPI200,미결제약정 역전,,2005-09-08,KR4101590000,KOSPI 200 선물 0509,KR41015C0000,KOSPI 200 선물 0512,1.0084430935494766,54747.0,77287.0,True
KOSPI200,미결제약정 역전,,2005-12-08,KR41015C0000,KOSPI 200 선물 0512,KR4101A30000,KOSPI 200 선물 0603,0.987606963706108,50557.0,78763.0,True
KOSPI200,미결제약정 역전,2006-03-08,2006-03-09,KR4101A30000,KOSPI 200 선물 0603,KR4101A60000,KOSPI 200 선물 0606,0.9985311398354877,47109.0,80612.0,False
KOSPI200,미결제약정 역전,,2006-06-08,KR4101A60000,KOSPI 200 선물 0606,KR4101A90000,KOSPI 200 선물 0609,0.987460815047022,59228.0,99259.0,True
KOSPI200,미결제약정 역전,,2006-09-14,KR4101A90000,KOSPI 200 선물 0609,KR4101AC0000,KOSPI 200 선물 0612,1.008257403189066,56753.0,93639.0,True
KOSPI200,미결제약정 역전,,2006-12-14,KR4101AC0000,KOSPI 200 선물 0612,KR4101B30000,KOSPI 200 선물 0703,1.0010964912280702,71591.0,73775.0,True
KOSPI200,미결제약정 역전,,2007-03-08,KR4101B30000,KOSPI 200 선물 0703,KR4101B60000,KOSPI 200 선물 0706,1.0152796725784448,52957.0,78104.0,True
KOSPI200,미결제약정 역전,,2007-06-14,KR4101B60000,KOSPI 200 선물 0706,KR4101B90000,KOSPI 200 선물 0709,1.0112107623318385,68055.0,82857.0,True
KOSPI200,미결제약정 역전,,2007-09-13,KR4101B90000,KOSPI 200 선물 0709,KR4101BC0000,KOSPI 200 선물 0712,1.0079246091240095,57968.0,76478.0,True
KOSPI200,미결제약정 역전,,2007-12-13,KR4101BC0000,KOSPI 200 선물 0712,KR4101C30000,KOSPI 200 선물 0803,0.9903609515996717,57222.0,68524.0,True
KOSPI200,미결제약정 역전,,2008-03-13,KR4101C30000,KOSPI 200 선물 0803,KR4101C60000,KOSPI 200 선물 0806,1.0053684724255734,44729.0,84779.0,True
KOSPI200,미결제약정 역전,,2008-06-12,KR4101C60000,KOSPI 200 선물 0806,KR4101C90009,코스피200 F 200809,1.0067385444743935,60015.0,89024.0,True
KOSPI200,미결제약정 역전,,2008-09-11,KR4101C90009,코스피200 F 200809,KR4101CC0007,코스피200 F 200812,1.014228187919463,68349.0,92092.0,True
