종목,조합,월,방향,손절선(%),진입일,진입가,청산일,보유일,청산가,수익률(%),보유 중 최악(%),청산 사유
SPY,만기→말일,9,아래,-5.0,1993-09-17,45.8125,1993-09-30,9,45.9375,-0.27,-1.09,기한청산
SPY,만기→말일,9,아래,-5.0,1994-09-16,47.0156,1994-09-30,10,46.1719,1.79,-0.66,기한청산
SPY,만기→말일,9,아래,-5.0,1995-09-15,58.4375,1995-09-29,10,58.4844,-0.08,-0.8,기한청산
SPY,만기→말일,9,아래,-5.0,1996-09-20,68.6406,1996-09-30,6,68.625,0.02,-0.89,기한청산
SPY,만기→말일,9,아래,-5.0,1997-09-19,95.0312,1997-09-30,7,94.375,0.69,-1.23,기한청산
SPY,만기→말일,9,아래,-5.0,1998-09-18,102.0938,1998-09-30,8,101.75,0.34,-4.81,기한청산
SPY,만기→말일,9,아래,-5.0,1999-09-17,133.75,1999-09-30,9,128.75,3.74,-0.19,기한청산
SPY,만기→말일,9,아래,-5.0,2000-09-15,146.0,2000-09-29,10,143.625,1.63,-0.66,기한청산
SPY,만기→말일,9,아래,-5.0,2001-09-21,97.28,2001-09-26,3,102.35,-5.21,-5.21,갭손절
SPY,만기→말일,9,아래,-5.0,2002-09-20,84.35,2002-09-30,6,81.79,3.03,-1.92,기한청산
SPY,만기→말일,9,아래,-5.0,2003-09-19,103.67,2003-09-30,7,99.95,3.59,0.37,기한청산
SPY,만기→말일,9,아래,-5.0,2004-09-17,113.15,2004-09-30,9,111.76,1.23,-0.28,기한청산
SPY,만기→말일,9,아래,-5.0,2005-09-16,123.5,2005-09-30,10,123.04,0.37,-0.09,기한청산
SPY,만기→말일,9,아래,-5.0,2006-09-15,131.96,2006-09-29,10,133.58,-1.23,-1.54,기한청산
SPY,만기→말일,9,아래,-5.0,2007-09-21,151.97,2007-09-28,5,152.58,-0.4,-0.8,기한청산
SPY,만기→말일,9,아래,-5.0,2008-09-19,124.12,2008-09-30,7,115.99,6.55,-0.51,기한청산
SPY,만기→말일,9,아래,-5.0,2009-09-18,106.72,2009-09-30,8,105.59,1.06,-1.23,기한청산
SPY,만기→말일,9,아래,-5.0,2010-09-17,112.49,2010-09-30,9,114.13,-1.46,-2.93,기한청산
SPY,만기→말일,9,아래,-5.0,2011-09-16,121.52,2011-09-30,10,113.15,6.89,-0.39,기한청산
SPY,만기→말일,9,아래,-5.0,2012-09-21,145.87,2012-09-28,5,143.97,1.3,-0.25,기한청산
SPY,만기→말일,9,아래,-5.0,2013-09-20,170.72,2013-09-30,6,168.01,1.59,0.04,기한청산
SPY,만기→말일,9,아래,-5.0,2014-09-19,200.7,2014-09-30,7,197.02,1.83,0.16,기한청산
SPY,만기→말일,9,아래,-5.0,2015-09-18,195.45,2015-09-30,8,191.63,1.95,-1.14,기한청산
SPY,만기→말일,9,아래,-5.0,2016-09-16,213.37,2016-09-30,10,216.3,-1.37,-1.95,기한청산
SPY,만기→말일,9,아래,-5.0,2017-09-15,249.19,2017-09-29,10,251.23,-0.82,-0.85,기한청산
SPY,만기→말일,9,아래,-5.0,2018-09-21,291.99,2018-09-28,5,290.72,0.43,-0.09,기한청산
SPY,만기→말일,9,아래,-5.0,2019-09-20,298.28,2019-09-30,6,296.77,0.51,-0.52,기한청산
SPY,만기→말일,9,아래,-5.0,2020-09-18,330.65,2020-09-30,8,334.89,-1.28,-2.31,기한청산
SPY,만기→말일,9,아래,-5.0,2021-09-17,441.4,2021-09-30,9,429.14,2.78,-0.79,기한청산
SPY,만기→말일,9,아래,-5.0,2022-09-16,385.56,2022-09-30,10,357.18,7.36,-0.97,기한청산
SPY,만기→말일,9,아래,-5.0,2023-09-15,443.37,2023-09-29,10,427.48,3.58,-0.36,기한청산
SPY,만기→말일,9,아래,-5.0,2024-09-20,568.25,2024-09-30,6,573.76,-0.97,-1.14,기한청산
SPY,만기→말일,9,아래,-5.0,2025-09-19,663.7,2025-09-30,7,666.18,-0.37,-0.55,기한청산
SPY,만기→말일,9,아래,무손절,1993-09-17,45.8125,1993-09-30,9,45.9375,-0.27,-1.09,기한청산
SPY,만기→말일,9,아래,무손절,1994-09-16,47.0156,1994-09-30,10,46.1719,1.79,-0.66,기한청산
SPY,만기→말일,9,아래,무손절,1995-09-15,58.4375,1995-09-29,10,58.4844,-0.08,-0.8,기한청산
SPY,만기→말일,9,아래,무손절,1996-09-20,68.6406,1996-09-30,6,68.625,0.02,-0.89,기한청산
SPY,만기→말일,9,아래,무손절,1997-09-19,95.0312,1997-09-30,7,94.375,0.69,-1.23,기한청산
SPY,만기→말일,9,아래,무손절,1998-09-18,102.0938,1998-09-30,8,101.75,0.34,-4.81,기한청산
SPY,만기→말일,9,아래,무손절,1999-09-17,133.75,1999-09-30,9,128.75,3.74,-0.19,기한청산
SPY,만기→말일,9,아래,무손절,2000-09-15,146.0,2000-09-29,10,143.625,1.63,-0.66,기한청산
SPY,만기→말일,9,아래,무손절,2001-09-21,97.28,2001-09-28,5,104.44,-7.36,-12.69,기한청산
SPY,만기→말일,9,아래,무손절,2002-09-20,84.35,2002-09-30,6,81.79,3.03,-1.92,기한청산
SPY,만기→말일,9,아래,무손절,2003-09-19,103.67,2003-09-30,7,99.95,3.59,0.37,기한청산
SPY,만기→말일,9,아래,무손절,2004-09-17,113.15,2004-09-30,9,111.76,1.23,-0.28,기한청산
SPY,만기→말일,9,아래,무손절,2005-09-16,123.5,2005-09-30,10,123.04,0.37,-0.09,기한청산
SPY,만기→말일,9,아래,무손절,2006-09-15,131.96,2006-09-29,10,133.58,-1.23,-1.54,기한청산
SPY,만기→말일,9,아래,무손절,2007-09-21,151.97,2007-09-28,5,152.58,-0.4,-0.8,기한청산
SPY,만기→말일,9,아래,무손절,2008-09-19,124.12,2008-09-30,7,115.99,6.55,-0.51,기한청산
SPY,만기→말일,9,아래,무손절,2009-09-18,106.72,2009-09-30,8,105.59,1.06,-1.23,기한청산
SPY,만기→말일,9,아래,무손절,2010-09-17,112.49,2010-09-30,9,114.13,-1.46,-2.93,기한청산
SPY,만기→말일,9,아래,무손절,2011-09-16,121.52,2011-09-30,10,113.15,6.89,-0.39,기한청산
SPY,만기→말일,9,아래,무손절,2012-09-21,145.87,2012-09-28,5,143.97,1.3,-0.25,기한청산
SPY,만기→말일,9,아래,무손절,2013-09-20,170.72,2013-09-30,6,168.01,1.59,0.04,기한청산
SPY,만기→말일,9,아래,무손절,2014-09-19,200.7,2014-09-30,7,197.02,1.83,0.16,기한청산
SPY,만기→말일,9,아래,무손절,2015-09-18,195.45,2015-09-30,8,191.63,1.95,-1.14,기한청산
SPY,만기→말일,9,아래,무손절,2016-09-16,213.37,2016-09-30,10,216.3,-1.37,-1.95,기한청산
SPY,만기→말일,9,아래,무손절,2017-09-15,249.19,2017-09-29,10,251.23,-0.82,-0.85,기한청산
SPY,만기→말일,9,아래,무손절,2018-09-21,291.99,2018-09-28,5,290.72,0.43,-0.09,기한청산
SPY,만기→말일,9,아래,무손절,2019-09-20,298.28,2019-09-30,6,296.77,0.51,-0.52,기한청산
SPY,만기→말일,9,아래,무손절,2020-09-18,330.65,2020-09-30,8,334.89,-1.28,-2.31,기한청산
SPY,만기→말일,9,아래,무손절,2021-09-17,441.4,2021-09-30,9,429.14,2.78,-0.79,기한청산
SPY,만기→말일,9,아래,무손절,2022-09-16,385.56,2022-09-30,10,357.18,7.36,-0.97,기한청산
SPY,만기→말일,9,아래,무손절,2023-09-15,443.37,2023-09-29,10,427.48,3.58,-0.36,기한청산
SPY,만기→말일,9,아래,무손절,2024-09-20,568.25,2024-09-30,6,573.76,-0.97,-1.14,기한청산
SPY,만기→말일,9,아래,무손절,2025-09-19,663.7,2025-09-30,7,666.18,-0.37,-0.55,기한청산
DIA,만기→말일,9,아래,-5.0,1998-09-18,78.8125,1998-09-30,8,78.1875,0.79,-3.89,기한청산
DIA,만기→말일,9,아래,-5.0,1999-09-17,108.375,1999-09-30,9,103.625,4.38,-0.09,기한청산
DIA,만기→말일,9,아래,-5.0,2000-09-15,109.0,2000-09-29,10,106.625,2.18,-0.43,기한청산
DIA,만기→말일,9,아래,-5.0,2001-09-21,82.8,2001-09-25,2,86.94,-5.0,-5.0,장중손절
DIA,만기→말일,9,아래,-5.0,2002-09-20,79.67,2002-09-30,6,76.0,4.61,-0.75,기한청산
DIA,만기→말일,9,아래,-5.0,2003-09-19,96.47,2003-09-30,7,93.13,3.46,0.39,기한청산
DIA,만기→말일,9,아래,-5.0,2004-09-17,103.01,2004-09-30,9,100.87,2.08,0.13,기한청산
DIA,만기→말일,9,아래,-5.0,2005-09-16,106.23,2005-09-30,10,105.75,0.45,0.08,기한청산
DIA,만기→말일,9,아래,-5.0,2006-09-15,115.59,2006-09-29,10,116.74,-0.99,-1.51,기한청산
DIA,만기→말일,9,아래,-5.0,2007-09-21,137.9,2007-09-28,5,138.91,-0.73,-0.89,기한청산
DIA,만기→말일,9,아래,-5.0,2008-09-19,113.57,2008-09-30,7,108.36,4.59,-0.36,기한청산
DIA,만기→말일,9,아래,-5.0,2009-09-18,98.11,2009-09-30,8,97.09,1.04,-1.07,기한청산
DIA,만기→말일,9,아래,-5.0,2010-09-17,106.07,2010-09-30,9,107.91,-1.73,-3.25,기한청산
DIA,만기→말일,9,아래,-5.0,2011-09-16,114.86,2011-09-30,10,108.93,5.16,-0.35,기한청산
DIA,만기→말일,9,아래,-5.0,2012-09-21,135.47,2012-09-28,5,134.05,1.05,-0.32,기한청산
DIA,만기→말일,9,아래,-5.0,2013-09-20,154.3,2013-09-30,6,151.0,2.14,-0.01,기한청산
DIA,만기→말일,9,아래,-5.0,2014-09-19,172.45,2014-09-30,7,170.07,1.38,0.04,기한청산
DIA,만기→말일,9,아래,-5.0,2015-09-18,163.54,2015-09-30,8,162.62,0.56,-1.24,기한청산
DIA,만기→말일,9,아래,-5.0,2016-09-16,180.97,2016-09-30,10,182.78,-1.0,-1.82,기한청산
DIA,만기→말일,9,아래,-5.0,2017-09-15,222.45,2017-09-29,10,223.82,-0.62,-0.68,기한청산
