Date,Value
2016-12-27,10107.69
2016-12-28,10154.19
2016-12-29,10129.36
2017-01-02,10112.86
2017-01-03,10035.04
2017-01-04,10086.01
2017-01-05,9734.17
2017-01-06,9873.23
2017-01-09,10127.89
2017-01-10,9898.71
2017-01-11,9910.52
2017-01-12,9727.83
2017-01-13,9561.17
2017-01-16,9677.34
2017-01-17,9562.26
2017-01-18,9399.91
2017-01-19,9609.3
2017-01-20,9489.09
2017-01-23,9400.56
2017-01-24,9413.06
2017-01-25,9430.26
2017-01-26,9311.2
2017-01-31,9362.14
2017-02-01,9289.42
2017-02-02,9088.82
2017-02-03,9121.58
2017-02-06,8963.0
2017-02-07,9070.16
2017-02-08,9114.03
2017-02-09,9106.67
2017-02-10,9168.51
2017-02-13,9182.09
2017-02-14,8964.95
2017-02-15,9034.71
2017-02-16,9032.43
2017-02-17,9115.54
2017-02-20,9128.99
2017-02-21,9100.12
2017-02-22,9049.54
2017-02-23,8975.28
2017-02-24,8875.84
2017-02-27,8920.06
2017-02-28,8857.0
2017-03-02,9046.82
2017-03-03,9258.9
2017-03-06,9280.77
2017-03-07,9126.86
2017-03-08,9106.12
2017-03-09,9286.98
2017-03-10,9293.19
2017-03-13,9075.49
2017-03-14,9158.91
2017-03-15,9068.47
2017-03-16,8881.25
2017-03-17,8855.84
2017-03-20,8693.74
2017-03-21,8684.02
2017-03-22,8743.06
2017-03-23,8720.01
2017-03-24,8721.94
2017-03-27,8581.37
2017-03-28,8596.25
2017-03-29,8611.91
2017-03-30,8639.88
2017-03-31,8669.66
2017-04-03,8626.11
2017-04-04,8729.83
2017-04-05,8758.63
2017-04-06,8896.48
2017-04-07,8918.01
2017-04-10,9045.34
2017-04-11,9113.68
2017-04-12,9035.13
2017-04-13,8852.32
2017-04-14,9003.12
2017-04-17,8981.12
2017-04-18,9038.74
2017-04-19,9002.31
2017-04-20,8995.12
2017-04-21,8923.81
2017-04-24,8862.19
2017-04-25,8778.41
2017-04-26,8801.99
2017-04-27,8852.67
2017-04-28,8959.25
2017-05-02,8871.98
2017-05-04,8905.6
2017-05-08,8888.5
2017-05-10,8956.56
2017-05-11,8835.52
2017-05-12,8815.85
2017-05-15,8749.44
2017-05-16,8636.36
2017-05-17,8671.72
2017-05-18,8774.31
2017-05-19,8813.95
2017-05-22,8660.76
2017-05-23,8749.36
2017-05-24,8789.6
2017-05-25,8649.61
2017-05-26,8696.11
2017-05-29,8727.18
2017-05-30,8763.82
2017-05-31,8671.98
2017-06-01,8733.95
2017-06-02,8728.06
2017-06-05,8667.1
2017-06-07,8748.71
2017-06-08,8730.23
2017-06-09,8751.9
2017-06-12,8814.57
2017-06-13,8834.12
2017-06-14,8755.63
2017-06-15,8756.9
2017-06-16,8924.7
2017-06-19,8900.33
2017-06-20,8941.97
2017-06-21,9063.88
2017-06-22,9024.31
2017-06-23,8981.49
2017-06-26,8951.72
2017-06-27,8964.3
2017-06-28,9075.64
2017-06-29,9035.43
2017-06-30,9086.77
2017-07-03,9121.51
2017-07-04,9183.18
2017-07-05,9173.92
2017-07-06,9292.91
2017-07-07,9251.35
2017-07-10,9182.93
2017-07-11,9198.51
2017-07-12,9109.78
2017-07-13,8965.9
2017-07-14,8929.94
2017-07-17,8839.49
2017-07-18,8760.19
2017-07-19,8741.05
2017-07-20,8795.96
2017-07-21,8681.42
2017-07-24,8610.72
2017-07-25,8634.67
2017-07-26,8731.21
2017-07-27,8608.59
2017-07-28,8726.3
2017-07-31,8699.31
2017-08-01,8712.62
2017-08-02,8762.78
2017-08-03,8843.19
2017-08-04,8787.61
2017-08-07,8834.05
2017-08-08,8799.28
2017-08-09,8938.0
2017-08-10,9056.22
2017-08-11,9084.57
2017-08-14,9000.42
2017-08-16,9043.0
2017-08-17,8975.82
2017-08-18,9039.55
2017-08-21,9007.79
2017-08-22,8933.23
2017-08-23,8891.9
2017-08-24,8841.49
2017-08-25,8840.32
2017-08-28,8703.91
2017-08-29,8795.58
2017-08-30,8782.03
2017-08-31,8823.22
2017-09-01,8753.17
2017-09-04,8897.81
2017-09-05,8879.09
2017-09-06,8944.27
2017-09-07,8859.73
2017-09-08,8835.54
2017-09-11,8896.51
2017-09-12,8830.17
2017-09-13,8840.39
2017-09-14,8909.91
2017-09-15,8883.38
2017-09-18,8810.54
2017-09-19,8876.68
2017-09-20,8838.56
2017-09-21,8907.37
2017-09-22,8965.02
2017-09-25,8898.9
2017-09-26,8986.15
2017-09-27,9033.61
2017-09-28,9176.08
2017-09-29,9113.69
2017-10-10,8965.86
2017-10-11,8951.39
2017-10-12,8923.9
2017-10-13,8855.11
2017-10-16,8834.97
2017-10-17,8903.41
2017-10-18,8873.2
2017-10-19,8901.84
2017-10-20,8891.84
2017-10-23,8872.93
2017-10-24,8838.91
2017-10-25,8838.62
2017-10-26,8784.69
2017-10-27,8881.43
2017-10-30,8782.41
2017-10-31,8714.04
2017-11-01,8618.35
2017-11-02,8619.12
2017-11-03,8608.19
2017-11-06,8637.18
2017-11-07,8582.01
2017-11-08,8635.41
2017-11-09,8637.53
2017-11-10,8673.25
2017-11-13,8737.83
2017-11-14,8682.04
2017-11-15,8590.76
2017-11-16,8419.72
2017-11-17,8362.25
2017-11-20,8411.9
2017-11-21,8338.8
2017-11-22,8210.2
2017-11-23,8179.77
2017-11-24,8190.89
2017-11-27,8232.99
2017-11-28,8167.01
2017-11-29,8033.85
2017-11-30,8215.2
2017-12-01,8191.51
2017-12-04,8221.9
2017-12-05,8175.89
2017-12-06,8295.56
2017-12-07,8314.88
2017-12-08,8292.44
2017-12-11,8277.53
2017-12-12,8268.75
2017-12-13,8245.39
2017-12-14,8215.95
2017-12-15,8240.92
2017-12-18,8226.74
2017-12-19,8163.39
2017-12-20,8100.6
2017-12-21,8127.69
2017-12-22,8089.78
2017-12-26,8041.62
2017-12-27,7997.71
2017-12-28,7939.46
2018-01-02,7817.31
2018-01-03,7866.89
2018-01-04,7832.96
2018-01-05,7845.34
2018-01-08,7898.18
2018-01-09,7910.83
2018-01-10,7985.97
2018-01-11,7984.99
2018-01-12,7852.18
2018-01-15,7844.69
2018-01-16,7838.58
2018-01-17,7943.03
2018-01-18,7966.65
