Date,Value
2022-10-17,20091.26
2022-10-18,18833.82
2022-10-19,19592.78
2022-10-20,20446.08
2022-10-21,20510.69
2022-10-24,19025.62
2022-10-25,19210.24
2022-10-26,19258.12
2022-10-27,18516.19
2022-10-28,19012.49
2022-10-31,18520.2
2022-11-01,18580.35
2022-11-02,18692.35
2022-11-03,19330.3
2022-11-04,19249.04
2022-11-07,18715.95
2022-11-08,17813.84
2022-11-09,18026.73
2022-11-10,18794.4
2022-11-11,16639.61
2022-11-14,16866.89
2022-11-15,15627.16
2022-11-16,15944.04
2022-11-17,16232.34
2022-11-18,16652.82
2022-11-21,17506.91
2022-11-22,17965.08
2022-11-23,16930.87
2022-11-24,16314.69
2022-11-25,16761.2
2022-11-28,17546.11
2022-11-29,16878.21
2022-11-30,16892.31
2022-12-01,16202.43
2022-12-02,17020.24
2022-12-05,16797.28
2022-12-06,17465.91
2022-12-07,17654.71
2022-12-08,17470.35
2022-12-09,17279.73
2022-12-12,17707.69
2022-12-13,17485.61
2022-12-14,16938.76
2022-12-15,17384.18
2022-12-16,17908.05
2022-12-19,17801.98
2022-12-20,18627.03
2022-12-21,18228.54
2022-12-22,17415.56
2022-12-23,18866.78
2022-12-26,18068.79
2022-12-27,17494.89
2022-12-28,18516.63
2022-12-29,19329.18
2023-01-02,19756.25
2023-01-03,19504.76
2023-01-04,19282.23
2023-01-05,19675.22
2023-01-06,18901.31
2023-01-09,18191.15
2023-01-10,18859.79
2023-01-11,17931.49
2023-01-12,17853.72
2023-01-13,17979.52
2023-01-16,17662.29
2023-01-17,18302.81
2023-01-18,18152.01
2023-01-19,18174.97
2023-01-20,17933.08
2023-01-25,17216.78
2023-01-26,16689.97
2023-01-27,16813.38
2023-01-30,17025.9
2023-01-31,16980.47
2023-02-01,16162.66
2023-02-02,15498.15
2023-02-03,15400.31
2023-02-06,15767.74
2023-02-07,15014.05
2023-02-08,14785.67
2023-02-09,14346.35
2023-02-10,14623.18
2023-02-13,14596.98
2023-02-14,14245.46
2023-02-15,14780.4
2023-02-16,13573.68
2023-02-17,14141.48
2023-02-20,13256.56
2023-02-21,13135.19
2023-02-22,13925.09
2023-02-23,13692.42
2023-02-24,13981.38
2023-02-27,13871.77
2023-02-28,13269.43
2023-03-02,13814.9
2023-03-03,12883.52
2023-03-06,12226.99
2023-03-07,12306.79
2023-03-08,12414.94
2023-03-09,12640.34
2023-03-10,13347.27
2023-03-13,12986.22
2023-03-14,14043.8
2023-03-15,12989.79
2023-03-16,13195.4
2023-03-17,12631.52
2023-03-20,12742.26
2023-03-21,12559.32
2023-03-22,12146.93
2023-03-23,12247.45
2023-03-24,11885.14
2023-03-27,11798.82
2023-03-28,11797.53
2023-03-29,11388.84
2023-03-30,11111.94
2023-03-31,11014.31
2023-04-03,10849.44
2023-04-04,10882.87
2023-04-05,10254.25
2023-04-06,10421.09
2023-04-07,9810.01
2023-04-10,9202.35
2023-04-11,8932.94
2023-04-12,9350.5
2023-04-13,9352.52
2023-04-14,9109.32
2023-04-17,9051.2
2023-04-18,9038.57
2023-04-19,9186.42
2023-04-20,9770.58
2023-04-21,10206.17
2023-04-24,10587.9
2023-04-25,10949.58
2023-04-26,10881.71
2023-04-27,10011.05
2023-04-28,10170.1
2023-05-02,9787.89
2023-05-03,10374.37
2023-05-04,10232.94
2023-05-08,10424.11
2023-05-09,10649.58
2023-05-10,10834.96
2023-05-11,11256.51
2023-05-12,11142.73
2023-05-15,11259.49
2023-05-16,11055.68
2023-05-17,10460.97
2023-05-18,10643.44
2023-05-19,10413.2
2023-05-22,10103.52
2023-05-23,9777.76
2023-05-24,9987.68
2023-05-25,10209.06
2023-05-26,10258.81
2023-05-30,9940.49
2023-05-31,9795.59
2023-06-01,9623.81
2023-06-02,9537.56
2023-06-05,9614.99
2023-06-07,9194.6
2023-06-08,9475.01
2023-06-09,9039.79
2023-06-12,8968.41
2023-06-13,8639.85
2023-06-14,9415.06
2023-06-15,9292.15
2023-06-16,8891.26
2023-06-19,8912.74
2023-06-20,9146.4
2023-06-21,9452.0
2023-06-22,9303.77
2023-06-23,9436.95
2023-06-26,9300.47
2023-06-27,9447.72
2023-06-28,9764.37
2023-06-29,9798.07
2023-06-30,9463.0
2023-07-03,8786.47
2023-07-04,8928.52
2023-07-05,8802.56
2023-07-06,9066.23
2023-07-07,9202.87
2023-07-10,9396.61
2023-07-11,8867.85
2023-07-12,8864.48
2023-07-13,8654.85
2023-07-14,8465.07
2023-07-17,8499.83
2023-07-18,7785.67
2023-07-19,7424.03
2023-07-20,7382.35
2023-07-21,7223.34
2023-07-24,7116.0
2023-07-25,6567.9
2023-07-26,7230.9
2023-07-27,7766.41
2023-07-28,7109.28
2023-07-31,6592.41
2023-08-01,6689.86
2023-08-02,7331.53
2023-08-03,6793.2
2023-08-04,7007.36
2023-08-07,7608.27
2023-08-08,7593.84
2023-08-09,7168.85
2023-08-10,7183.88
2023-08-11,7302.43
2023-08-14,7617.42
2023-08-16,7978.3
2023-08-17,7585.97
2023-08-18,7874.28
2023-08-21,7463.2
2023-08-22,7290.25
2023-08-23,7588.64
2023-08-24,7206.45
2023-08-25,7238.36
2023-08-28,7100.65
2023-08-29,7107.89
2023-08-30,7060.94
2023-08-31,7011.49
2023-09-01,7236.26
2023-09-04,7306.14
2023-09-05,7425.58
2023-09-06,7539.63
2023-09-07,7779.94
2023-09-08,7535.26
2023-09-11,7724.75
2023-09-12,7832.92
2023-09-13,8107.37
2023-09-14,7801.28
2023-09-15,7839.61
2023-09-18,7930.16
2023-09-19,7982.22
2023-09-20,7819.52
2023-09-21,8289.07
2023-09-22,8297.94
2023-09-25,8636.14
2023-09-26,8923.72
2023-09-27,8534.27
2023-10-04,9320.26
2023-10-05,9331.13
2023-10-06,9109.27
2023-10-10,9629.99
2023-10-11,8951.02
2023-10-12,8438.58
2023-10-13,8797.29
2023-10-16,9003.52
2023-10-17,8800.84
2023-10-18,9133.37
2023-10-19,9573.91
2023-10-20,10002.2
2023-10-23,10030.75
2023-10-24,9339.28
2023-10-25,10023.61
2023-10-26,10743.03
2023-10-27,10465.49
2023-10-30,10266.0
2023-10-31,10964.99
2023-11-01,11022.77
2023-11-02,9884.82
2023-11-03,9635.13
2023-11-06,6847.46
2023-11-07,7576.63
2023-11-08,8038.34
2023-11-09,8176.25
2023-11-10,8508.51
2023-11-13,8819.31
2023-11-14,8235.04
2023-11-15,7888.77
2023-11-16,7970.9
2023-11-17,8378.43
2023-11-20,7922.18
2023-11-21,7977.96
2023-11-22,8025.56
2023-11-23,7965.86
2023-11-24,8094.92
2023-11-27,8178.96
2023-11-28,7925.53
2023-11-29,7795.55
2023-11-30,7559.62
